start,end,text
720,8000," Hello everyone and welcome to another Zuzin session. How about that? I bet you didn't expect that shit to happen."
8000,19400," So today we're going to try to solve advent of code day 13 again. I was trying to solve it yesterday on a stream and I went over my usual two hours limit."
19400,26480," I try not to stream more than two hours because it's getting a little bit overwhelming and I decided to call it a day."
26940,33940," So, and the reason why I was struggling to solve this problem is because I decided to go with a very dumb approach."
33940,40440," So the point of the problem is actually quite simple, right? So the problem itself is rather simple."
40440,46740," You have a sheet of transparent paper, right? So let's actually go ahead and draw it out."
46740,53880," Just a second. So here is the sheet of transparent paper and there are some dots on that sheet of paper."
53880,62880," There's like a lot of dots in here. And essentially you're given a sequence of folds that you have to perform on the paper, right?"
62880,69880," So you can fold along Y, right? So, and if you fold along Y, you're actually given a specific Y."
69880,75880," You have to take this part of the paper and fold it over to the left, right?"
75880,80880," And that way some of the dots will be merged and some of them will be on the new places."
80880,87880," And then you keep basically folding this thing until you ran out of the sequence of folds."
87880,93880," And then the dots are supposed to form some sort of a pattern that is the solution to the problem."
93880,102880," So how I decided to go with the solution is basically I was trying to simulate the sheet of paper as an array of character, right?"
102880,111880," So because it's basically a grid and I decided to simulate the whole grid, which turned the process of folding into something very, very painful."
111880,119880," I was basically able to solve the first part, but the second part, like performing all of the sequence of folds was actually quite unbearable."
119880,123880," So, and there, there is obviously a better approach."
123880,130880," I think the better approach would be to essentially simulate the paper on the level of the, of the points themselves."
130880,132880," So basically keep the set of the points."
132880,139880," And, uh, when you perform a fold, you basically, uh, transpose the, uh, the points in the set."
139880,144880," Uh, and then you draw out the resulting pattern and this is going to be your solution."
144880,152880," So, uh, what I decided to do on today's sessions is basically try that approach, uh, instead of the one that I was trying yesterday."
152880,155880," So I'm not sure I'm going to upload the yesterday session."
155880,156880," It was not that interesting."
156880,159880," It was just me struggling with a very crappy approach."
159880,163880," So, uh, let's start over, I suppose."
163880,170880," Uh, let me go to advent of code folder and I'm going to mount, uh, my AOC 2021."
170880,172880," Uh, all right."
172880,175880," So, and I'm going to remove the current thing."
175880,176880," Do I really want to remove everything?"
176880,178880," I don't think so."
178880,181880," Maybe I'm going to just remove only the, uh, the solution."
181880,182880," Right."
182880,183880," So the current solution."
183880,185880," Uh, so it's a day 13."
185880,189880," Uh, I'm going to keep the input and the sample because I think there are a lot of,"
189880,190880," quite valuable."
190880,193880," Uh, here's the sample and here is the input."
193880,194880," So, okay, cool."
194880,197880," And I'm going to remove, uh, main dot HC."
197880,199880," I hope I'm in the mount folder."
199880,200880," Right."
200880,202880," I'm going to basically copy the template."
202880,204880," Uh, do I have a template?"
204880,206880," I think the template is located somewhere here."
206880,208880," So here's the template HC."
208880,209880," Uh, all right."
209880,212880," And I should probably rename it to main dot HC."
212880,213880," Forgot to do that."
213880,214880," Uh, all right."
214880,216880," So everything seems to be fresh."
216880,218880," Everything seems to be reset."
218880,219880," Uh, let's go."
219880,221880," Uh, okay."
221880,231880," Um, so day 13, uh, we need to keep track of the set of the points."
231880,235880," So it would make sense to introduce some sort of a structure called point."
235880,236880," Uh, right."
236880,238880," There is no structures in Temple OS."
238880,240880," There's only classes, but they act like structures anyway."
240880,241880," So who cares?"
241880,246880," Uh, and in here we're going to have, uh, essentially X and Y."
246880,247880," Right."
247880,250880," So, and we're going to have a set of points essentially."
250880,251880," Uh, right."
251880,255880," So let's define the capacity of the region where we start the points."
255880,257880," It's going to be points, uh, cap."
257880,261880," Um, and it's going to be 100, uh, 1024."
261880,263880," I hope that is going to be enough."
263880,266880," Um, so let me try to estimate."
266880,268880," So how many points do we have?"
268880,269880," Where is the input?"
269880,274880," Um, to, to, to, to, to, uh, get your puzzle input."
274880,275880," Okay."
275880,277880," So let me copy paste this thing in here."
277880,283880," Uh, and we have, um, yeah, we have below 1000, uh, 1000 points."
283880,286880," So I think 1024 should be enough for us."
286880,290880," And, uh, I'm going to allocate an array points."
290880,294880," Uh, so points it's too much to type."
294880,296880," I think I'm going to call them PS."
296880,297880," Right."
297880,303880," So this is the points PS, PS cup, uh, peace cup."
303880,304880," Yes."
304880,305880," It's a peace cup."
305880,306880," Uh, okay."
306880,310880," And then we're going to have, uh, how many of those things we have."
310880,314880," So PS, C and T, uh, and there we go."
314880,315880," There we go."
315880,319880," So the format, uh, the format is rather interesting, right?"
319880,321880," So you have a bunch of points in here."
321880,322880," Oh no."
322880,329880," So some of these things are, does it keep the track of the cursor?"
329880,340880," So the thing that kind of worries me is that it remembers where it plays the cursor, which means that it stores an extra character in there."
340880,342880," So let me actually confirm that real quick."
342880,343880," Okay."
343880,346880," Uh, I'm going to mount, um, AOC 2021 one more time."
346880,348880," And I'm going to go there."
348880,356880," Uh, AOC, M and T home, AOC 13 and in the input down."
356880,357880," Yeah, there we go."
357880,358880," Here is the character."
358880,360880," Here's the character I was talking about."
360880,365880," So there's a very bad habit, uh, in the temple OS."
365880,371880," The temple OS text editor stores the last position of its cursor within the document itself."
371880,377880," I think I already said that multiple times and that thing can screw you over, uh, really, really badly."
377880,381880," If you're like, have very unstable, like parsing and stuff like that."
381880,384880," So, yeah, I'm going to quickly just remove this entire thing."
384880,392880," I think, I hope, uh, this character was not, uh, placed anywhere else because you can actually have several of these characters per document."
392880,396880," Anything temple was just jumps to the first one or something like that."
396880,397880," Uh, right."
397880,398880," And what about the sample?"
398880,400880," And of course there's this thing in the sample as well."
400880,402880," So let's actually keep the documents clean."
402880,410880," Uh, so yeah, a lot of things in temple OS can screw screw you over if you're not being careful enough."
411880,415880," So, uh, to, to, to, to, to."
415880,416880," Alrighty."
416880,420880," So I hope I actually deleted everything in from the correct place."
420880,421880," Right."
421880,422880," I hope I did."
422880,423880," Anyway."
423880,425880," So, uh, this is going to be 13."
425880,429880," This is going to be main and, um, there we go."
429880,432880," So how are we going to do all of that?"
432880,439880," I think we're going to basically parse until, um, SV size is greater than zero."
439880,440880," Right."
440880,441880," The size is greater than zero."
441880,447880," And, uh, the first character in the input is not equal to the new line, right?"
447880,453880," Because the sequence of points is separated from the sequence of folds with a new line."
453880,456880," Uh, so if we take a look at this thing, uh, yeah."
456880,458880," So here's the simple sequence of points."
458880,460880," And then here's the sequence of lines, right?"
460880,462880," And the first symbol in here is the new line."
462880,465880," That means we reached, uh, the end of the sequence of points."
465880,466880," Uh, all right."
466880,472880," So the first thing we want to do essentially, we want to read the X of the first point."
472880,474880," So we're going to use a sweet shop."
474880,478880," I 64 and I'm going to chop it off of the input, uh, right there."
478880,484880," And this thing should return X, which we can assign to PS CNT X."
484880,485880," There we go."
485880,486880," So this is the first one."
486880,489880," After that, we have a comma, which we want to chop off."
489880,493880," So we're going to chop left, which chops a single character out of that."
493880,499880," So then we have PS CNT Y, uh, SV chop I 64."
499880,505880," Uh, and then we have a new line, which we also want to chop off, uh, of this entire thing."
505880,508880," Uh, and after that, we're going to increment PS, uh, CNT."
508880,509880," Right."
509880,510880," There we go."
510880,513880," So that way we are reading all of the points into a set."
513880,519880," And then we want to print something like, uh, D points red, uh, D points red."
519880,523880," And, uh, I'm going to actually provide the, how many points we read."
523880,524880," So we're currently reading the sample."
524880,526880," So let's take a look at this thing."
526880,527880," It does not compile."
527880,528880," Of course."
528880,529880," Thank you very much."
529880,531880," Uh, 25, the line 25."
531880,534880," So, uh, PS X, Y."
534880,536880," So what it was talking about?"
536880,541880," Uh, to, to, to, to, to, to, to, so missing expression."
541880,542880," Semicolon."
542880,543880," Semicolon."
543880,544880," Did I?"
544880,545880," Okay."
545880,547880," So I don't know where I forgot the semicolon."
547880,556880," Uh, is that because it's not called SV chop I 64, or is it called something else?"
556880,563880," Um, so it's complaints about dot Y, but it doesn't complain about dot X, right?"
563880,566880," So there's something wrong in here."
566880,569880," And I literally can't see what."
569880,574880," Uh, so if I comment out this specific line, uh, will it work?"
574880,576880," It still doesn't work."
576880,579880," It just complains about commented outline."
579880,580880," All right."
580880,582880," So, um, okay."
582880,588880," So if I comment out this thing, what if I comment out everything in the inside of the body of the"
588880,590880," while, uh, and it kinda, okay."
590880,596880," So it basically worked, but it hang, um, all right."
596880,598880," Oh, I think I know what the hell is going on."
