start,end,text
0,6640," Hello everyone and welcome to yet another recreational programming session with Amista Azozun."
6640,12160," Today we're looking at a very interesting thing actually, it is called M4."
12160,15880," So it's a macro language, not the thing you thought."
15880,21360," Right, it's a general purpose macro processor included in most Unix-like operating systems."
21360,25700," And maybe you never actually heard about this thing, and maybe you did, right."
25700,29300," If you're a hardcore Linux nerd, you probably know what it is."
29720,31580," And if you don't, you probably don't, right."
31580,33780," It's kind of like a very interesting niche thing."
33780,40660," But essentially, it's something that the C preprocessor is kind of modeled after."
40660,46400," Right, imagine a slightly more, maybe not even slightly, but on steroids,"
46400,51940," C preprocessor that is not bound to C itself, but you can use on its own."
51940,53260," Imagine that."
53260,56120," This is M4, right."
56240,63140," It's basically a more powerful C preprocessor that is not a part of C, and you can just use it on its own."
63140,65300," And it has a slightly different syntax."
65300,70620," It doesn't require hashes and stuff like that, but you can just define a variable, as you can see."
70620,72420," So here we are defining a variable."
72420,76420," And then you can just use this variable throughout the code, right."
76420,86780," So it's not really used very much in many places, but it has a few niches."
86780,92020," It has a few niches where it is actively used, specifically in auto-tune."
92020,93680," Yeah, people know, people know."
93680,103280," So it's kind of like not really used very much anymore, but it kind of settled in these very specific niches that it's just like used very, very fucking actively."
103280,108180," And outside of these niches, it kind of died out, and nobody really cares about it anymore."
108180,116920," Right, if you want to use auto-tools, and auto-tools is basically the generator of building scripts, of generator of building scripts, of generator of building scripts."
116920,119760," It's the kind of CMake-style thingy, right."
119760,123860," So this is the CMake before we had CMake, essentially, right."
123860,132640," And to generate scripts that generate scripts that generate scripts, this is a very good place where you can use M4, actually, right."
132640,134300," So because it makes it a little bit easier."
134300,139580," Right, so what I want you to do, I want you to actually not only look into it, right."
139580,146500," I would like to, yeah, there was a very weird idea that we had on Discord."
146920,153340," Is that I would review this weird language, and also try to do a Rayleap speedrun on it."
153340,161820," Maybe not speedrun, but can I try to use Rayleap from this weird language, right."
161820,166280," So because Rayleap is so goddamn fucking cross-platform, you can use Rayleap from anything."
166280,168220," Okay, can you use it in M4?"
168220,172100," So, yeah."
172520,180060," But what's interesting is that I don't think you can on its own, but M4 is open source."
183740,193780," So that means, theoretically, you can maybe add some commands that, you know, call some Rayleap functions."
193780,197720," Because at least I think, at least GNU M4 is written in C."
197720,204680," And since it's written in C, that means potentially, potentially I can link it with Rayleap, right."
204840,207580," So, and yeah, so that may work."
207580,210500," So, does that sound interesting?"
210500,223460," So, that gives us an opportunity to look at an old, interesting macro language, explore its source code, modify it, and then try to extend it."
223460,225820," So, I think that sounds interesting, right."
225820,227480," So, let's go ahead and do that."
227560,233880," So, and it's also a good exercise in working with somebody else's source code, right."
233880,237220," It's kind of similar to what we did with memcached video."
237220,238700," Do you guys remember that?"
238700,242080," I think, so let me actually go to YouTube."
242080,245560," If YouTube even opens, because it's kind of banned in Russia, right."
245560,247480," So, well, it's not banned, it's slowed down."
247480,250260," So, quite often I can't even open it."
250260,251840," As you can see, it doesn't even open."
252500,259160," Right, so, but one of the things I can do actually is maybe, I just put a todo for myself, right."
259160,264600," So, to be done, link to memcached video, right."
264600,271080," So, and it's basically the video, the stream where we explore the source code of memcached and we're extending it and stuff like that."
271080,275160," And before, M4 requires a very specific autotools version to build."
275160,278900," That would be funny, right."
278900,280140," That would be funny if that happens."
280140,283760," But, I mean, it is what it is and it isn't what it is and this is a live stream."
283760,285240," Anything can happen in here."
285240,286700," Literally anything can happen."
286700,288240," So, let's go."
288240,293020," So, let's maybe start with taking a look at M4 itself."
293020,295000," Let's not try to extend it."
295000,297540," Let's try to learn it because I don't fucking know it, right."
297540,304120," So, I'm about to extend something that I don't know how to fucking use because I usually don't do any autotools, right."
304120,305200," So, I usually work with CMA."
305200,308040," So, we don't even have M4."
308840,309980," That's a great start."
309980,311320," That's a great start."
311320,315260," How are you supposed to try to modify something that you don't even have in store?"
315260,316380," Right."
316380,318040," So, here is my root console."
318040,319440," Can I do XPS query?"
319440,321040," Query."
321040,321520," R."
321520,322700," Jesus."
322700,323120," R."
323120,323640," S."
323640,325740," M4."
325740,326560," Do we have M4?"
326560,327100," Yeah."
327100,327980," We do have M4."
327980,328240," Okay."
328240,329520," So, let's actually do install."
329520,331840," And hopefully, that will install that shit."
333200,333600," Okay."
333600,336540," So, now we do, in fact, have M4."
336540,339700," It doesn't do anything."
339700,343360," I suppose it probably reads the standard input."
343360,345060," That's probably what happens."
345060,352400," Usually, when you start some Unix programs and they don't do anything and they feel like they hang, they are looking for some input."
352760,355120," Maybe it is actually looking for some of the commands."
355120,357460," Can I just put this thing?"
357460,358400," Oh, yeah."
358400,359660," I was just copy-pasting it in here."
359660,360100," There we go."
360100,361520," So, I copy-pasted this thing in here."
361520,363760," And then I can do H2 count."
363760,364180," Right."
364180,365240," So, I input that."
366020,366280," Okay."
366280,370140," So, it can actually not only work as the C preprocessor."
370140,371760," It can actually stream."
371760,374400," That's actually kind of cool."
374400,378420," So, you can even, like, send this thing over the network."
378420,383680," And it will just render the document as it receives the M4 script."
383680,385240," This is kind of cool, actually."
385240,387800," This is kind of cool."
387800,389260," All right."
389260,390880," So, we have that."
391460,397200," But I wonder if I put some of that stuff to, you know, to a file."
397200,398380," How do you work with that?"
398380,401220," So, M4, it does, in fact, accept the file."
401220,401520," Right."
401520,402880," So, it does, in fact, accept the file."
402880,406800," So, maybe we can actually just create some sort of a thing in here."
406800,407820," So, it's going to be a program."
407820,410000," So, prob."
410000,410620," Right."
410620,411940," So, we're probing some stuff in here."
411940,412740," So, this is garbage."
412740,413900," I want to actually remove that."
413900,415520," Right."
