start,end,text
960,7120," Hello everyone, and welcome to yet another recreation programming session. How about that?"
7120,12720," So we're working on Google, which is Google for C, believe it or not, right? So essentially here is"
12720,20000," the idea. You have a command line utility, right? So I made it so right now you supply a file. For"
20000,26720," instance, I'm interested in Rayleap right now, right? And it's going to search within that file."
26720,32720," And the queries that you can make is essentially they have the following syntax. For instance,"
32720,37360," the classical example that I like to use is basically a function that accepts a caller"
37360,44640," and accepts a float and returns another caller. So that's essentially how it looks like, right?"
44640,51040," So and show me all of the functions that accept one caller float and returns another caller. So"
51040,56320," functions like that probably will modify some aspect of the caller, right? For instance,"
56320,61680," maybe alpha, maybe brightness, maybe something else. And you go ahead and search for it. And here are"
61680,66960," all the functions that match that specific query. You have a caller contrast, right? So it accepts a"
66960,73760," caller and float, caller alpha, fade, brightness, and also it matches some other things that are similar"
73760,79200," to that. For example, set, sound, pan, volume, pitch. And the first thing is a sound and the second"
79200,86000," one is float. So it not only strictly matches those things, right? It not only strictly matches those"
86000,93200," things, it actually matches them positively, right? So if you're not sure exactly how the type signature"
93200,99280," looks like, it will just like find something that is close to that. It will just find that that is close"
99280,106000," to that. So and it's a prototype, right? So it's completely unfinished. It may crash on unexpected"
106000,112160," things. And that is what happened when I was trying to use it for different things. For example, there is a"
112160,121920," thing along with the Raylib, in fact, it's RayMath, right? It's RayMath. It already has like a function"
121920,128240," vector to scale, right? So it accepts a vector and just like multiplies the scale that you're providing"
128240,134320," there to each individual component. I wanted to find something like that, but with addition instead"
134320,141440," of multiplication, right? So the easiest way to do for me, the easiest way for me to do that would be to"
141440,149520," ask the following thing. RayMath, like find all of the functions that return vector2, accept vector2,"
149520,154560," and accept float, right? So among them are going to have vector2 scale, but maybe there is going to be"
154560,162160," another function exactly like that, that adds things instead. And this entire thing crashed, right? So"
162160,167840," isn't that great? Like a really similar situation and it already crashed and it crashed for a very"
167840,175600," weird reason, right? So the traversal, right? Because we're using libclang to parse AST and then we're"
175600,185600," traversing AST. The traversal encountered like an expected kind of node, right? And the reason why it"
185600,194320," did like that, so let me show you. So essentially, let's imagine that we have an AST. It stands for"
194320,199440," abstract syntax tree, right? If you never encountered anything like that, it's an abstract syntax tree. So"
199440,206240," essentially, you take the source code, you analyze its syntax, and you build a tree that corresponds to"
206240,213520," that syntax, right? So if you are careful enough and you look at the code, you may notice that the source"
213520,219600," code has a lot of nested things, has a lot of nested things. Well, the entire source code can be represented"
219600,226960," as a tree as a tree, right? So essentially, maybe you have, you know, the function declaration, the function"
