start,end,text
800,6800," looks like we're live hello everyone and welcome to yet another azuzian session"
6800,14320," today is an azuzian session let's make a little bit of an announcement and officially start"
14320,21120," the stream so uh let's wait until discord really you know recomputes its layout as usual so it"
21120,27760," will take a little bit of time i don't know my my laptop is rather slow so uh live on twitch i'm"
27760,33280," actually considering to just start using something like the alternative discord client if i got the"
33280,41040," name of it uh right so what are we doing today uh what are we doing today on twitch.at television"
41040,46640," today we're developing a search engine in rust holy fucking that sounds actually very"
46640,50560," epic i really like that title that's a very good title that's a very strong title i would say"
51360,59440," so essentially uh what's the idea for today's stream i've been browsing uh the documentation"
59440,66960," for the open gl uh for the open gl lately i think it's called dogs gl and i noticed some cringe in"
66960,77040," this website like a little bit of a cringe and the cringe is essentially uh uh you can only search by the"
77040,84720," names of the freaking functions by the names of the freaking functions you can't really search by the"
84720,90400," uh descriptions of those functions for instance and that's kind of cringe right so look how much text"
90400,96720," you have in here look how much you have in here you can search by all of that stuff uh and so i decided"
97840,105440," hey some time ago uh i did a pretty interesting project uh which is called uh which which was related"
105440,114880," to xkcd i do remember that uh it was related to xkcd let me actually find that xkcd xkcd indexer so"
114880,124240," the idea of this project is rather simple uh basically download uh all of the metadata from xkcd so there is"
124240,132080," the xkcd json.html uh which basically explains the um the api of xkcd you can actually download all of"
132080,140240," the like metadata and whatnot and it gives you like uh alternative text of the xkcd you know the usual"
140240,145200," thing that you have in there and also like some sort of like description or maybe some metadata i"
145200,152240," don't quite remember i think yeah it has a title and alternative text yeah so and essentially it basically"
152240,158960," indexes all of that data and puts it into sql database and then from that sql database you can"
158960,169280," basically search for certain xkcds from the keywords right so and the model that we used to index the xkcd"
169280,176240," was called i think tf-idf all right so the basically the term frequency inverse document frequency right"
176240,182240," it's actually a very simple model i'm not really sure if it's called model but the very simple idea"
182240,188960," uh right so the idea is the following right so basically you have a set of documents"
188960,197200," you have a set of documents and a document is a set of terms in our case it could be like set of words"
197760,205360," so the term frequency is basically how a certain term aka word um how frequently it occurs in that"
205360,212240," specific document right this is a term frequency right so if you put a bunch of terms in search it"
212240,218560," basically it can take you can take your term and see how frequently that term occurs in each of the"
218560,225360," the document and you can basically sort uh the documents by that specific term but on top of"
225360,232160," the term frequency there is idf inverse document frequency and this is a very interesting idea all"
232160,238400," right so essentially you may have a term that is very frequent in uh in all of the documents"
238960,244480," like it is very high frequency in all of the documents so that may occur if we're talking about"
244480,252240," terms like uh a right so the article a right it's a term that is going to be very frequent in all of the"
252240,257840," documents right so an inverse document frequency essentially says the following thing uh right the"
257840,265200," value the rating of a certain term is how frequent it is in that document divided by how frequent"
265200,271360," it is in other documents you see what i mean right so essentially you have a very frequent term that"
271360,276800," occurs in the document but if the same term occurs very frequently in other documents it's probably"
276800,282800," noise so you want to kind of exclude it right so this is basically what idf sort of solves right so"
282800,287040," and uh what you have at the end is the term frequency inverse document frequency your frequency"
287040,291280," gives you how frequently it is in the document and idf tells you whether it's noise or not"
292000,298160," all right so i use this model for this entire thing but i don't remember if i use idf here"
298160,304000," uh i remember that i wanted to use uh idf idf and i think i ended up using only tf which is kind of"
304000,311120," weird but this thing worked really uh really well and uh we even integrated it in our bot some time ago"
311120,315120," right so it's not in the in the current version of the bot maybe i should actually port that to the bot as"
315120,323600," well uh but yeah so and what i decided to do i decided to basically refresh my knowledge of this"
323600,330960," thing and just implement the same idea for the docs gl and it's like rather easy because you have the"
330960,337200," entire website on github right so you can just grab it from the github and furthermore on the github it is"
337200,344320," in a form that is easy to parse right so you have all these sections in here which contain uh xhtml so"
344320,349920," basically as far as you know it comes with some scripts that pre-process the xhtml and turn it into"
349920,356480," a proper website what we can do we can just basically take uh these documents and basically index them"
356480,362880," with tf idf uh directly without any pre-processing and stuff like that and essentially what we can do"
362880,368960," uh right so we have some sort of xml in here we can just strip off all of the tags and leave only the"
368960,376080," text nodes and in the text nodes we can just use tf idf uh and then we'll be able to search using this"
376080,381520," sort of technique uh on all the documents right so maybe you want to search for some sort of like um"
381520,388160," um you know some operation on the texture right so you'll describe it in in sort of a sentence we're"
388160,394320," going to split it into the terms then we're going to look up the tf idf in in the indexed documents"
394320,399680," and arrange the documents how likely uh you're searching for that specific function or something"
399680,406640," like that and to maybe refresh my knowledge of rust i decided to do that in rust right so that's basically"
406640,413440," the idea so that's basically the idea and as uh as soon as i get this kind of like a simple utility i may"
413440,420160," extend it right so i may actually make it work with more than xml's maybe with also text files maybe"
420160,426800," also json files maybe html files you can make it work with html files and then you can write a crawler"
426800,432400," that collects the html's on the internet you can plug these two things together and you got your"
432400,438160," simpler search engine by the way as far as i know like early versions of google like very very early"
438160,444240," versions of google we're basically using that if i remember correctly i'm not 100 sure but i think the"
444240,450560," early versions of google were basically using that and so though the google had a very interesting"
450560,458480," revolutionary idea the idea was to actually give a feedback from the user so essentially the way the"
458480,466080," documents were sorted was not affected only by the terms but also by how often users clicked on certain"
466080,471840," documents on certain websites so essentially if the user clicked on a certain website in the ranking it"
471840,477200," would give it more priority just because other users click on it and because of that uh google at"
477200,484160," the beginning felt like it knew what you want because other people clicked on it so you're more likely to"
484160,489040," actually click on that as well so right now google works completely differently right so it actually works"
489040,496480," worse it's kind of funny have you guys noticed that google like today is kind of like worse than it was"
496480,504480," in the past i wonder if you take the old version of google would it feel better than the current version"
504480,512080," maybe this shed is actually better maybe that's the reason why google was better actually maybe that's"
512080,518080," what you want but i don't know it's kind of weird so maybe the problem right today all like a lot of"
518080,524240," websites they use shed ton of javascript and because of that it's kind of more difficult to index those"
524240,530720," website and that's why google and other search ends are engines are so shut right because there's not"
530720,538960," that many websites left that you can just index or i don't know so yeah that's basically the idea of the stream"
538960,545600," so i can see a lot of subs all of a sudden uh right so let me let me take a look oh boy oh boy oh boy"
545600,552400," where's my soy i need a lot of so if you actually read all of that so um okay apocryphos uh subscribed"
552400,559040," for um for 13 months thank you so much have you considered writing google in rust this is precisely what"
559040,566640," i'm doing today that's right um so maybe i'm gonna make it a little bigger marcia ven netto thank you so"
566640,574640," much for five months uh xia yang thank you so much for 43 months holy look at that 43 months it's insane"
574640,581840," pocchamp iya pocchamp indeed matt kruger thank you so much for three months uh says hey hello hello hello"
581840,589280," uh lumis xh thank you so much for seven months hello mr soiling hello uh i hope you're having a great day i'm"
589280,595040," having actually pretty great days so this is more of like an evening right now uh kenran thank you so much for"
595040,601440," nine months resubscription uh xarist thank you so much for 11 months we're back we're back to back"
601440,607040," champions of the arena uh neil ham thank you so much for 100 beats thank you thank you thank you"
607040,612400," that's like a lot of subs all of a sudden right so i guess i know what i have to do i just have to not"
612400,621520," stream for a week so and when i go back people start subbing like crazy thinking that i'm gone but i'm not actually gone"
621520,630080," okay so yeah um yeah that's gonna be the idea for today so we can just"
630080,637600," you know go ahead grab some data and implement like a simple indexer that also will allow us to search"
637600,642240," within that index right and if we come up with something interesting we can start extending it"
642240,647760," maybe we're gonna add some sort of a web interface uh maybe we're gonna store the index in the database and"
648480,653200," you know slowly but steadily you may actually get some sort of a search engine or maybe this project"
653200,656000," is going to end on this stream who knows maybe it's gonna be boring we'll see"
656000,663120," uh that's that's the beauty of the zozin session zozin session so i think i want to give the links"
663120,669040," to to the different stuff so here is a tf idea uh right for anyone who's interested i'm going to also"
669040,676560," copy paste it in the chat uh right so this is that uh and here is the xkcd intercept that i implemented"
676560,683840," some time ago right so it's here if anyone is interested and uh in the server and also the source"
683840,690880," code of docs.jl so this is what we're doing this is what we're doing all right so let's create a folder"
690880,696240," with a project so how we're gonna call this search engine right so let me think about the name let me"
696240,707200," think about the name for the search engine uh search engine in rust uh yeah let's replace this thing with"
707200,720800," s-e uh cc rust yeah let's call it cyroost uh i really like this name cyroost uh cyroost"
720800,727280," so i'm gonna create cyroost and i don't remember how to use cargo so it can be something like cargo"
727280,735120," emit i think that's how we do that and there we go we initialize that shite uh so the reason why i"
735120,739360," usually don't like to use like build tools and especially cargo even though i program in rust"
739360,744000," all right but today we're going to probably be using some sort of like a third party dependencies"
744000,749040," because one of the things we'll need to do we'll need to parse xml's right and to be able to parse"
