start,end,text
0,4960," wait a second can i just say 34 35 and just return a"
4960,14960," bro i can have python in my assembly we can now do something like this so we can say okay from 1"
14960,21120," to 10 print hello world scheisse and the message is yeah i can actually put whatever in here and"
21120,29120," then i just i i can actually have nice four loops in here and it makes too much oh my god are you"
29120,37120," serious all righty chat so i haven't programmed an assembly for quite some time i think the time has"
37120,42880," come to to kind of refresh my assembly skills right so let's go ahead and do that so we're going to be"
42880,47920," using phasm today uh which is a flat assembler uh i think i need to put that in the description just"
47920,54080," in case i i didn't think yeah i already put it in the description okay so i'm going to go to maybe"
54080,60160," somewhere and create like a phasm hello right so let's create a hello world so i'm going to create"
60160,66000," my main awesome right so and i don't fucking remember how to do that there's a little bit"
66000,71440," of a bureaucracy involved into creating l files and stuff like that so i do not quite remember how to do"
71440,79200," that so let's actually try to do that on oh okay look at that you don't even need to put any special"
79200,84720," instructions or anything like that you can just create the empty file and it generated zero bytes"
84720,86000," and it actually okay so"
86000,93760," who said that the first program has to be hello world"
93760,98880," this is your first program just empty file and empty file in empty file"
102160,107760," you can it even says bin or something i think you have to specify like the format of the file"
107760,115040," you're generating i don't quite remember so can i just take a look at the um you know at the files of"
115040,121440," phasm what kind of files do i have uh in there so oh yeah there is some documentation in here can we"
121440,128160," just can we just open this so here is the official documentation uh"
128160,135920," so do we have something like elf 64 oh okay so uh to select alpha output format use a format elf"
135920,145280," directive the default code setting for this format is 32 bits bits to create a file for the x86"
145280,152560," 69 architecture use elf format 64 directive in such case the long mode code is generated by default"
152560,160080," okay so let's give it a try let's give it a try can i just do that mate oh okay look at that so"
160080,167040," generated more 392 bytes that's already something i think that's pretty cool so uh and it's actually"
167040,172720," generated an old file uh but i think i want to have an executable and i kind of vaguely remember that"
172720,178720," you have to put sort of like a execute oh yeah yeah so look at that so it's even highlighted that"
178720,184480," so and i do have a phasm mode in here which specifically recognizes phasm directives and"
184480,189920," stuff like that so uh i suppose now i should be able to do this kind of shed and it generated an"
189920,195040," executable look at that isn't that a poggers i think that's pretty freaking poggers but look at"
195040,202640," the size of this executable it's 64 bits about bytes actually not bits bytes uh 64 bytes and i'm"
202640,210160," pretty sure i won't be able to even run this entire uh so yeah exact format error it it probably generated"
210160,216640," some sort of a garbage right so we can try to read this entire elf thingy but this is not how it you"
216640,224160," read i think you i think you do something like read the elf all and it just shows you like literally"
224160,231440," everything right so this is elf 64 to complement the version one which never changes it's always always the"
231440,238480," first version so os abi is a unique system 5 and so on and so forth it's an executable file"
238480,244960," and so on and so forth so as far as i know as far as i know you have to like create like a start"
244960,252240," instruction uh right so you have to return out of that so that's basically how you do all these things"
252240,258320," and it actually generated less right so it actually generated less uh and now it fails with segmentation"
258320,264880," fault right so before it failed with invalid exact format but now it is a valid exact format and it"
264880,269760," fails with segmentation fault right so and the reason why it does that is because we're trying"
269760,279280," to return here and uh we return usually uh all from the address on the stack right so return takes whatever"
279280,285840," is on the stack and just jumps there right and since we have nothing on the stack or we probably have some"
285840,290320," sort of a garbage it tries to jump to the garbage which is not readable which is not executable"
290320,295840," it tried to read it it tried to execute it and operating system rightfully so slapped it in the"
295840,301200," face with the segmentation fault right so that's basically what happened here so essentially at the"
301200,307600," end of the program we have to call like a you know exit syscall right so let's actually google up linux"
307600,315600," x86 64 syscall's table give me the table so the chromium table or maybe some other table i don't freaking"
315600,326160," know so probably this one yeah so essentially we have to put some number into the rex a rex register"
326160,334480," uh and the one we need in here is a sys exit uh yeah 60 yeah i think i vaguely remember that so let's"
334480,342080," actually move uh into rex 16. right and so there is different parameters in here so it has one argument"
342080,350080," which is error code and that parameter goes into the register rdi right so we move into rdi and let's"
350080,356160," put 69 in there and after that you're supposed to put syscall and since after calling the exit syscall"
356160,360400," the program is going to be unloaded from the memory there's no point in putting return here so it's"
360400,367040," basically this thing i think acts like a return a return back to the monkey to the operating system"
367040,374160," right so let's try to maybe rebuild this entire right so you know the size didn't change much right so"
374160,379840," you know uh dozens of bytes and if i try to yeah look at that so it exited abnormally but it"
379840,387520," exited with 69 and that was expected that was basically expected so this is a very simple"
387520,393840," assembly program uh right so which is like simpler than hello world okay you can go with simpler than"
393840,398560," that the most simple program is going to be this right so it's essentially like literally nothing"
398560,403760," and it just generates zero byte the next one is going to be this which is just a single exit code"
403760,409600," right so this is a level two so this is a level one assembly this is a level two assembly"
409600,414560," so we're going to be doing now level three assembly which is trying to print something on a standard"
414560,419760," output right so we're leveling up slowly right so i know that i already done this kind of stuff before"
