start,end,text
0,5500," Hello everyone and welcome to yet another recreational programming session with Mr. Zodin."
5500,9060," So today I would like to continue something that I studied in the previous stream which is"
9060,16620," re-implementing Raylib in JavaScript. To be fair the goal of the project is not as ambitious as"
16620,22600," it sounds right so essentially for those who doesn't know Raylib is a game library right so"
22600,28600," and it's written completely in C so it's it's for writing games in in pure C and I was not"
28600,35620," particularly satisfied with the way it is ported to web there's nothing particularly wrong with the"
35620,41200," approach they use they rely completely on Emscripten right and it's sort of like a cover everything"
41200,47300," approach right so essentially Emscripten just like literally re-implements the entire POSIX layer"
47300,55420," which makes it super quick to port existing POSIX applications to just web but the the end result"
55420,62260," is very bloated and very janky right but if you don't care it's fine so unfortunately I do care"
62260,70200," right and what I decided to do I decided is to see how difficult or easy it is to implement a small"
70200,77900," subset of Raylib API in JavaScript so you can use it directly from WebAssembly written in C"
77900,82700," without Emscripten for more context I really recommend you to watch the previous stream is the"
82700,87440," link is going to be in the description right so there's the full context in there but what essentially"
87440,93680," this library facilitates will try to facilitate it's not even you know well implemented yet there is not"
93680,99920," that many things implemented there so what it facilitates it facilitates the sort of like a this"
99920,108760," simple style of C programming for WebAssembly without Emscripten so this is a style of programmer programming"
108760,116240," of its own right so it's not really that well known but it's a very cool style which results in a simpler"
116240,121480," and in my opinion more maintainable software because it doesn't depend on too many moving parts that can"
121480,126840," break at any point right so if you want to learn more about this kind of stuff I recommend"
126840,137060," googling up C web assembly without Emscripten right and so there is one article like a really good"
137060,143380," article that basically summarizes how you generally do that right so and I'm going to give that article"
143380,150480," to people in chat and of course people on YouTube who's watching on YouTube I'm going to put it in the"
150480,156840," description of course it's going to be there so let's take a look at what we've got so far what"
156840,165820," we've got so far so essentially we've got a very simple game right it's written in Raylib it actually"
165820,174420," it is compilable with Raylib so I think I actually removed the Raylib library from here so let me quickly"
174420,180380," maybe bring the Raylib library back so I can actually demonstrate you that this particular"
180480,189680," game is actually native right so you can run it on a native machine so this is going to be game and"
189680,200840," the game depends on game c lib raylib.a which is this thing and then we do clank game game.c not"
200840,207880," gaming gaming game.c and essentially we're going to link with Raylib and what's going to be the next"
207880,212740," thing so the the math library so this is one of the things we definitely need to have in here let's try to"
212740,216940," compile this entire thing so it's compiling for web right so it compiles it to web assembly but it's not"
216940,224600," that interesting and Raylib header is not found so let's actually you know add include path called"
224600,231840," include right and I'm going to rebuild probably only the game uh right so it could not find the library"
231840,236440," this is because we need to add the library path hopefully now it found the library and if you try to"
236440,242620," run this game so you have the bouncing circle right as you can see it's a native application it's a native"
242620,248580," application that doesn't in fact work outside of the browser so and there's a second second compilation"
248580,255180," line which compiles this entire thing to web assembly right if I do game.wasm right game.wasm"
255180,260620," so this is not really what I want to do I want to do making here instead uh it's already up to date"
260620,266380," right so and what it does it generates this wasm module it's actually a very small wasm module it's"
266380,273400," all like less than two kilobytes right just less than two kilobytes on a scale of web how much is that"
273400,277380," right so we have hello worlds that are measured in megabytes"
277380,285140," and essentially what we did we looked through what functions what Raylib functions we use in here"
285140,290180," right things like begin drawing clear background and stuff like that and we literally implemented"
290180,295760," them in javascript right so we literally implemented them in javascript so here is the list of these"
295760,301220," functions so that c program compiled to web assembly will be calling to these javascript functions"
301220,307140," right so the game doesn't really know where exactly it is running it doesn't know where it's running natively"
307140,314420," in linux or on windows or in a browser it literally has no idea uh right so and now we have to start"
314420,320280," the server right so because if you're fetching web assembly modules you have to do that through a server"
320280,325540," because of the course uh like you know restrictions and stuff like that so uh it's going to be https"
325540,331860," server 69 or 69 and we're going to go into localhost look at that and it is working there"
331860,339140," it is working there and we're not using the official Raylib web support and we're not using mscripten"
339140,344260," again and we managed to implement that i suppose within like two hours on the previous stream"
344260,351620," i think it was like around two hours uh the whole setup and everything prototyping and uh it now works in there"
351620,358740," and the whole thing right so the library itself is 3.5 kilobytes right a small subset of Raylibs so the"
