start,end,text
480,6240," looks like we're live hello everyone and welcome to yet another recreational programming session"
6240,11360," with a mr azuzin let's make a little bit of announcement and officially start the stream"
11360,21440," uh so red circle live on twitch and what are we doing today on twitch.at television website today"
21440,27120," we're doing something interesting today we are implementing react and rust for terminals"
28880,34320," i'm going to give the link to twitch.tv/todding and i'm going to ping everyone who's interested in being"
34320,40800," pinged so i'm going to explain what all of that means in a second right so essentially today we"
40800,48000," continue working on for at which is the chat system right i wouldn't say chat application it's a chat"
48000,53520," system in in rust right so because it consists of the server and it consists of the client so it's a"
54480,59120," client service and circus clown architecture right so it's a circus clown architecture"
59120,68080," so and recently we developed a very simple client for this chat system so we used to use just telnet"
68080,75440," for simplicity but recently we implemented like an actual uh client using cross term which is the rust"
75440,81360," library for uh cross platform terminal stuff right so let me actually demonstrate you yeah let me actually"
81360,86880," demonstrate you so what you're supposed to do you're supposed to run the server first right so this is"
86880,95040," quite important so let's actually do the server uh right so let me actually grab the file path to the"
95040,102640," project so i can actually open that stuff in a separate terminal uh right so and let me uh actually"
102640,110160," copy paste the token so uh we're currently authorizing via the token that is generated by the server"
110160,114640," right so it is generated by the server so you basically give that token to the people you trust"
114640,120640," and they provide that token in a client when they are connecting so that's kind of the point uh right so"
120640,129600," let's actually start the client um so i'm gonna do cargo run bin client and here is the client so it's as you"
129600,135520," can see it's a 2e application text user interface application so it has commands uh right so one of"
135520,143760," the commands that you're supposed to use is supposed to use connect command uh you provide the um um the the"
143760,150560," ip in our case it's a local ip and then you provide the token uh right so i didn't have a token copy pasted"
150560,157840," anywhere so i i suppose what i need to do first i need to uh add that token to to the clipboard right so i'm"
157840,164880," going to do something like this um right i didn't have an x clip or i'm sorry i'm an idiot so it's"
164880,172080," actually talking so uh let's actually go to to the client right so and essentially i'm going to connect"
172080,177920," to 127.001 and i'm going to just copy paste like that and there we go we finally connected right we"
177920,182160," finally connected you're supposed to send messages and as you can see the server receives the messages"
182160,186800," if you connect another client you will be able to see the messages of other people and stuff like that so"
186800,194080," this is basically the chat application and it works great it works great on um you know real operating"
194080,202640," systems like linux unfortunately i've got some reports from the uh you know operating system for"
202640,209840," video games right so it's called something like doors or windows right so there is operating systems called"
209840,215840," for for gamers called windows and people reported that they have some sort of problems with this"
215840,222000," application which is kind of expected right so this is not a video game so obviously it is not going to"
222000,229200," work that well on the operating system for video games so that was quite expected so uh let's actually"
229200,236000," take a look at that so somebody actually tweeted that at me uh so let me let me see so here is the tweet"
236000,243360," it's going to be in the description right so unfortunately i can't access that tweet uh right so it is"
243360,251040," straight up banned in my country because twitter is a very dangerous website with propaganda so i i literally"
251040,257840," can't open that website unfortunately i can't open that website but through the magic of vpn i actually"
257840,264960," downloaded the video on that post so we still can watch that right so i'm going to show you so i think"
264960,271120," it's flickering yeah flickering mp4 so it's so here it is so that's the video that was uh reported to"
271120,276640," me so as you can see this is the operating system for video games right so this is the terminal obviously"
276640,284720," for video games uh and uh yeah so when they open this application it starts to flicker so apparently the"
284720,292080," operating system for video games doesn't have enough fps which is quite surprising to me right so"
292800,298000," like it's it's it's it's for video games so like you're supposed to have a lot of fps so there is"
298000,306400," also a another problem that uh some of them i can't catch the moment but uh sometimes the uh the keys"
306400,312640," that you press are pressed twice we already fixed that that's a bug of cross term so somebody submitted"
312640,320880," a pull request i accepted that so it's a known problem uh so but this is quite concerning"
322080,328480," this is quite concerning you know why because when i was implementing this client in one of the"
328480,336000," previous streams i even i think i even said that out loud i i said that i think cross term actually"
336000,344160," implements buffering right some sort of a buffering and by buffering i meant that it has this virtual"
344160,351040," terminal it maintains that virtual terminal every changes you make you make to that virtual terminal and then"
351040,357360," before flushing uh the state of the buffer it would actually uh compute the diff"
357360,366080," between the frames and only apply the changes where they're needed so and i even compare that to a"
366080,372320," virtual dome of react right you do you guys know about virtual dome of react it's kind of a similar"
372320,380160," concept right so basically react maintains its own like a virtual copy of the dome of the browser and uh instead"
380160,386880," of applying the changes to the real dome right away it basically accumulates the changes finds the diff and"
386880,395360," finds the way to sort of like apply only the things that changed those greatly uh allegedly um improving"
395360,396080," the performance"
396080,404560," it's been proven several times but that that's not the case but nobody cares i think it is the case for"
404560,413040," for for facebook right i think as far as i know it is the case for facebook because their website the dome"
413040,419040," of their website is so clusterfuck over complicated that they need these kind of solutions to actually"
419040,428960," improve the performance so yeah that actually supports the thesis that um react was developed by facebook for"
428960,437200," for themselves not for you right if you think facebook develops react for you you're completely wrong they"
437200,439200," develop in react for for themselves"
439200,448960," so anyway and essentially what we're going to be doing today we're going to be implementing virtual dome"
449760,458240," in rust for terminal because apparently cross term doesn't support that i looked around i googled around"
458240,465840," and apparently cross term is considered the low level library it is a low level library and because of"
465840,473920," that it's not the concern of such a low level library it's for the high level peasants to think about that"
474400,482000," buffering so and because of that we are the one we are the peasants who's going to be implemented that"
482000,487920," uh freaking buffering so luckily it's not that difficult you literally just maintain a 2d array"
487920,495520," and instead of rendering directly into the terminal you render into that 2d array and then you just find"
495520,502880," the difference luckily it's not a tree it's not a dome finding the difference between two-dimensional arrays"
502880,510240," it's super easy and then basically we can form some sort of a patch and we can apply that patch"
510240,514960," through the cross term commands if that makes any sense i think it would make more sense"
514960,521120," when we actually start writing the code uh right so i think that's a pretty interesting topic"
521120,531120," so yeah all right let's go ahead and do that let's go ahead and do that so uh i think i need to close"
531120,539120," everything in here it should be pretty step forward i hope so at least uh i hope so at least so i'm gonna"
539120,549920," go into the client and uh so as of right now we're sort of like a maintaining uh immediate ui style uh you"
