start,end,text
960,11040," Today I woke up and chose the violence. Today we're implementing ""go to"" in OCaml. Let's get started."
11040,16880," So let's start with implementing ""hello world"". Right, so let's create a file and let's do ""let"""
16880,22240," parenthesis because this is how you define an entry point in OCaml and let's do print and line"
22240,29600," ""hello world"". Right, so essentially it will just print this string and put ""hello world"" at the end"
29600,34320," of the output. Right, and we're going to call the OCaml compiler. Right, so we're going to compile"
34320,40880," this entire thing and that should produce an executable ""a.out"" which you can then run and it"
40880,45520," will say ""hello world"". It's not particularly a real executable. Right, if you take a look at the file"
45520,51920," in here it will not say that it's an ""elf"" executable, it will say that it's a script executable with binary"
51920,57360," data. Right, that's kind of sus, isn't it? And this is because it's actually bytecode. Right, so they're"
57360,62880," using a very interesting trick in here where they just compile all of that into byte code and then"
62880,69520," they append ""shebank"" with OCaml run that just executes that bytecode as a script. Right, but of course"
69520,76480," in OCaml you can actually compile into a native executable if you want to. OCaml opt.ml. Right,"
76480,83680," and that will produce an actual and native executable F64 bits, LSB blah blah blah. So the usual stuff."
83680,89520," But for our case, I don't think it matters. I don't think it matters that much. So anyway,"
89520,98480," how would you print ""hello world"" for example 10 times? You know, the computer science freshman"
98480,106000," would probably write a recursive function. Right, so let's create something like ""hello"" function. Right,"
106000,112320," and this function will probably accept a counter. Right, it will count 10 times and then it will quit."
112320,118000," So this entire thing accepts an integer and in here one of the things we can do, we can check if i is"
118000,129040," less than 10. Right, then we are printing ""hello world"" and then we're calling ""hello i+1"". Right, so that's"
129040,135920," what we're essentially doing and otherwise we're just exiting this entire thing and then we do ""hello 0"". Right,"
135920,141280," and if we actually compile this entire thing, as far as you know we can even just like run with"
141280,147680," interpreter without like missing the compilation step and it should work, but it doesn't because ""hello"" is"
147680,154240," an unbound variable. It is in fact an unbound variable, even though we just defined it. And"
154240,159120," this is because it's not visible within the function itself. To make it visible within the function, we"
159120,166160," need to mark it as a recursive. Right, and only then it will allow us to do all of that. We can even probably"
166160,172880," maybe even print the number of the iteration. So to do that we probably want to use ""printf"". Right,"
172880,179440," where we're going to do ""d"" and a new line ""i"". And then I'm going to do the following thing, but we don't have"
179440,186000," a ""printf"", because this is not a ""c"". It's a ""soy"", a ""camel"". So what we have to do, we have to actually import"
186000,193280," ""printf"" from a separate module. Right, there we go. And now it actually works. Okay, that's cool. But"
193280,200080," people write code like that because they're bad-shit scared of for loops. But we are professional software"
200080,206880," developers who are not scared of for loops. So let's go ahead and rewrite this entire thing using"
206880,211760," for loops. Right, so I'm going to write ""for"". I think, you know, ""camel"", you do it like in Pascal. Right,"
211760,218640," so ""from 0 to 9"", ""do"". And I'm going to take the printf, I'm going to put it in here, and I'm going to put"
218640,225840," ""done"" in here. There we go. I might as well comment out this entire thing super quick. And let's actually"
225840,231360," try to run it. And it's an error, so I think... Yeah, there we go. So yeah, you don't have to put ""call"""
231360,239280," here because it's from Pascal. Anyway, so this is how you write with for loops. But again, both of the"
239280,247600," solutions, they kind of avoid a very important thing, and that thing is mutable variables. Right, that thing is"
247600,253040," mutable variables. Again, we are professional software developers. We're not afraid of mutable variables."
253040,260080," Let's go ahead and introduce a mutable variable like so, and rewrite this entire thing using while loop."
260080,267760," All right, so while... So to read from a ref, we have to do ""excelenation mark i"". So essentially,"
267760,275600," ref is a mutable cell. So the thing about the camel is that it's kind of like a half pure"
275600,282080," functional programming language where everything is immutable. But it has some hacks that allow you to"
282080,288000," have mutable variables like ref cells. Right, so and what we're doing in here, we're creating a ref cell"
288000,295680," where we put a value 0. And to read a value from that from that ref cell, we have to actually put this"
295680,303200," operator. Right, so it's not ""not"". Right, it's a dereference this value. So if you want to use ""not"","
303200,308320," in a camel, I think you have to do ""not"". Yeah, so they basically made it like that. Right, so we're"
308320,316240," reading ""i"" and while it's less than 10, right, we're printing ""hello world"". After that, we have to mutate the"
316240,322800," variable. Right, and to mutate a ref cell, you have to use the double-dig operator like in Pascal. And this"
322800,327520," is why I thought that in for loop you have to use also like a column in there. Right, so what you're"
327520,332960," going to do in here, you're going to just basically read the value and add one in here. And there you go."
332960,338640," We re-rolled this entire thing using wire loops. Right, so if we try to run it, it doesn't really work"
338640,345120," because you have to read ""i"" in here. There we go. So it also works. So obviously, this solution is way more"
345120,358400," superior than this soy boy computer science student's comp soy solution. Yeah, obviously, this solution is"
358400,366960," more superior than this comp soy solution. So we're going to nuke that out of the codebase. So, all right,"
366960,374320," that's cool and all, but there's even more chad solution than this. And that solution would involve"
374320,386480," goto, right. Unfortunately, being the comp soy language OCaml is, it doesn't have a chad goto construction."
386480,394400," But let's actually hallucinate like chad gpt that it does have goto. How would we implement all of that? Well,"
394400,401360," first of all, I would probably just remove all of that, first of all, right. So, and I would create a"
401360,410720," label loop, right. I would create a label loop. And then at the end of the loop, I would basically go to"
410720,417520," in here. So, I think Emacs have a stroke, right, because we're using syntax that doesn't exist"
