start,end,text
0,6360," Hello everyone and welcome to yet another recreational programming session with Mr. Azuzin."
6360,12860," Have you heard about WebSocket? You probably heard about it. It's a very old protocol already,"
12860,18000," right? So I still remember when it came out, but this is because I'm old, right? So for me it feels"
18000,26400," like it's been just yesterday, but it's actually a pretty old protocol at this point. So what's"
26400,32740," interesting is about this protocol, right, is that it's very simple, actually. It's very simple."
32740,39580," So the sort of like a, you know, feature of this protocol is that it has a handshake that looks"
39580,47240," like a HTTP request, right? So if we take a look at how it was in, I think this article, oh, this"
47240,52760," article is just like API, so this is like very close to specification. But anyway, so essentially if you"
52760,59720," open a connection to WebSocket, the first thing you have to do, you have to send like literal HTTP"
59720,65960," request, right? But that HTTP request requests upgrading the protocol and server responds with"
65960,72260," something that looks like HTTP response. And from now on, they start communicating using TCP rather"
72260,79700," than HTTP, right? And the way they communicate is by sending frames, right? And frame is just like a chunk"
79700,86180," of, a chunk of data, right? And there's two kinds of frames. There's two kinds of frames. There's text"
86180,95540," frames and there is binary frames, right? So, um, so binary frames can contain any data and text frames are"
96260,105700," more interesting than binary data. They supposed to contain only UTF-8, right? So, and, uh, so what's"
105700,112660," interesting is that your message may not fit into a single frame. And, uh, WebSocket protocol allows you"
112660,120660," to actually chain several frames, uh, into a single message, right? One single WebSocket message could be"
120660,125620," actually several frames and they're sort of like chained together. So you can have like a continuation"
125620,132580," frames, uh, right? So, and, you know, binary or text could be not just a single frame, but the whole message,"
132580,143620," right? So the, the funny thing about, uh, text messages is that as you receive text frames, right,"
143620,152980," they can break up UTF-8 message in between the UTF-8 code points. So let, let me actually show you. So I"
152980,160820," think I need to explain, uh, like how exactly UTF-8 works, right? So, uh, if you, if anyone never, like,"
160820,168900," knew how UTF-8 works, I think there's a video online by Tom Scott, uh, maybe on computer file or somewhere"
168900,175700," else where he explains how UTF-8 works. I think, I think it's, uh, something computer file. So Tom"
175700,184980," Scott, uh, UTF-8. Again, like nobody gives a shit about, you know, actual programming that that's what"
184980,192020," people care about when it comes about like Tom Scott. Tom Scott made so many fucking interesting things"
192020,198260," about programming, about technology, about just nerdy shit. The only thing people care about is"
198260,208180," it's just the vape meme. Anyway, so, uh, Tom Scott UTF-8, um, right, uh, this one. So this is actually a"
208180,215140," very good video, like a very old one as well, right, where he basically explains how UTF-8 works. So I'm"
215140,221380," gonna put it in here and, uh, also I'm gonna put that in the description. My, my keyboard is dying again,"
221380,228260," even though I updated the cable as of, as of late. That's, that's bizarre, honestly. Uh, right. So"
228260,235780," something, something is already breaking. Maybe it's something with my, uh, USB hub. So, but essentially,"
235780,244580," uh, essentially, um, UTF-8 has a variable length characters, right? So it has a variable length"
244580,251460," characters. So that means some of the characters may, may be one byte. Uh, some of them could be like two bytes."
251460,257620," Uh, some of them, I think, up to four, right? So it's, it's a variable sort of like length. So if you're"
257620,266100," going to be breaking up, uh, the UTF-8 message into frames, uh, they could be broken up. They could be broken up,"
266100,275220," uh, in between these codes, right? So, and if you take a look at this chunk of data, uh, where you are in"
275220,284020," the middle of UTF-8 character, this is not going to be a correct UTF-8, right? So, and WebSocket protocol"
284020,291140," actually forbids you sending text messages that are not valid UTF-8. Implementations, WebSocket"
291140,299460," implementations are required after receiving a message to verify that it's a correct UTF-8 and"
299460,309060," drop the fucking connection if it is not. Because, well, look at the name. It's a WebSocket. It's not"
309060,316980," sockets. It's WebSockets. It's designed not for software developers. It's designed for web developers."
316980,324260," You cannot expect web developers to even fucking know what the fuck is UTF-8, let alone correctly"
324260,329860," verify it. That's why you need to build all of that shit into the protocol. So..."
333300,340260," the more I think the funny it becomes, actually."
340260,347940," Anyway, so, yeah, so you're supposed to drop the connection if it's not the correct UTF-8. But again,"
347940,355620," uh, you can actually split the message in between the codes. And so, individual frames might be incorrect."
355620,362260," Individual frames might be incorrect. But when you concatenate all of the frames, the whole message"
362260,369540," must be correct. That's the only thing, as far as I know, the UTF-8 spec is saying."
369540,376980," Right. We can actually check it out. So, let me actually do it. I think I have RFC mode browser,"
376980,382660," right? So, this is the thing I just remembered I have. And I can literally just, like, search for some"
382660,389300," RFCs in here. Right in Emacs. Can your VM do that? I don't fucking think so. So, WebSockets. So, here's the"
389300,395540," WebSocket protocol. Right. So, and we can search for UTF-8. I think that's the only thing, right?"
