start,end,text
0,5680," Hello everyone and welcome to yet another recreational programming session. How about that?"
5680,11640," So here we have a music visualizer that I started to work on some time ago, right? So it's pretty"
11640,15580," straightforward. You just drag and drop some music in here and it starts playing the music"
15580,21560," and visualizing it in a classical sort of FFT fashion, right? So fast, fast, fury, a transform."
22040,30400," It's pretty cool, I think, but except it is not. In fact, it sucks. It actually sucks."
30400,38040," Right, so if we take a look at the visualization of the similar style for the same song, right, so"
38040,45580," one of such visualizations are available on a website that is called Bottle of Beats. It's a"
45580,53520," pretty interesting website, by the way. So people like organize different competitions for the cheap"
53520,60040," tune artists in there, right? So and that song was actually submitted there by the author, right? So"
60040,64780," here is the entry. So I'm going to keep the link to that entry in the description for anyone who's"
64780,71040," interested in stuff like that, right? And you can listen to the submission in here and if you click"
71040,76300," listen, so it starts playing. And here is their FFT visualization."
76300,85700," Look how cool it is! Like, wow! It's just like, it makes so much sense. You can actually see the,"
85700,90940," like, how the music plays and stuff like that. Ignore this line because this line represents basically"
90940,97280," the samples, but the grayish part in here. And especially this part. Like, you can clearly see"
97280,104620," the notes that are currently playing right now. Like, why our visualization doesn't work the same?"
104620,111140," Like, why our visualization sucks so much compared to that? Right, so if we just, like, you know,"
111140,118740," try to do that again, like, what the hell is that? It kind of responds to the sound of the song,"
118820,124080," but it's just so janky and there's these flickering frequencies, like a freaking high frequency. What"
124080,129780," the hell is going on, actually? And this is what I want you to do on today's session, right? I want"
129780,136900," you to investigate what the hell is going on and why does it suck so much? Well, you can also see the"
136900,146140," notes in here, but they're not as epic as on that website. No? Right. So anyway, to sort of understand,"
146140,153740," to investigate why it acts like that, we need to recap how does it even work? How does it even work?"
153740,161420," So essentially, we have a buffer that holds the samples of the sound, right? And essentially,"
161420,168380," what we do, we receive the samples of the sound in a callback periodically that is called from the sound"
168380,175020," thread. So sound thread periodically just grabs the chunk of the sound, like the samples, and calls"
175020,180780," our callback with that chunk, right? So here is the pointer to the beginning of the data, and this is"
180780,187100," how many frames this data contains. Frame is a pair of samples for left and right channel, for left and"
187100,194060," right here, right? And what we're doing here, we basically push that samples to the input buffer, to the"
194060,201740," global input buffer, from right to left, sort of like in a ring buffer fashion. So and essentially,"
201740,207900," that input buffer becomes like a rolling window over the playing song, right? So it's basically smoothly"
207900,215660," rolling over the song. So and then on each frame, in a plug update somewhere here, what do we do with that"
215660,224540," window? Yeah, in here, if the music is playing, we're doing FFT on that input into the output. So"
224540,232460," essentially, we are transforming the time domain of that signal into the frequency domain. So out is the"
232460,238220," is the array of the same size, right? So if we take a look at the definition of this entire thing,"
239020,248060," it is an array of the same size N, right? But now it contains not the samples over time, but actually"
248060,257100," frequencies, right? So ith element of out is ith frequency. So and it is complex, right? It is complex"
257100,263260," because the frequency can be actually offset, right? So because of that, we have to sort of keep track of"
263260,268540," sine and cosine of the frequency simultaneously. And the easiest way to do that is to actually use complex"
268540,273180," numbers because you can do that through the Euler's formula, right? The Euler formula actually allows"
273180,279020," you to essentially keep track of sines and cosines simultaneously, right? If you're interested about the"
279020,284460," details, I recommend you to watch the first episode of this series. The link to the playlist of the series"
284460,290780," is going to be in the description, as usual, and stuff like that. And then we are displaying those"
290780,297100," frequencies, right? But because the human ear doesn't really perceive the frequencies linearly, we are"
297100,305980," displaying them sort of exponentially. So specifically, we start with the frequency 20, right? For some reason."
305980,313820," And then to get the next frequency, we're not adding some sort of like a step, we don't add one,"
313820,321500," we multiply by the step. Specifically, I chose 1.06 because it's kind of like similar to how"
321500,329020," the frequency of the next note is calculated on the piano, right? So it's usually like the value that is"
329020,335820," roughly this. So you can actually pick any value, right? But it then grows sort of exponentially. And"
335820,341980," this is roughly how the human ear perceives the sound. And this is one of the reasons why on this website,"
341980,348860," by the way, the frequencies are displayed like this, you can see that the lower frequencies are"
348860,354460," actually sort of wider, and a high frequency becomes narrower and narrower and narrower, right?"
354460,362300," So it tries to sort of also, you know, replicate that sort of like an exponential algorithmic scale of"
362300,372060," the human ear. So if that makes any sense, I'm not sure if it does, right? But yeah. So we're just"
372060,379820," basically skipping all of those things. And essentially, that creates actually chunks of frequencies of"
379820,388700," increasing size, right? And we have to display a single bar for a chunk or for the range of the"
388700,394220," frequencies. So as of right now, what I'm doing is just like I'm taking the average of them, which is"
394220,401100," probably not a particularly great idea. One of the things that I heard people suggested is to use maximum,"
401100,406300," right? So you have like a range of frequencies, and it makes sense to just like for that range,"
406300,411580," take the maximum, and that's going to be the good representation of what you have for that specific"
411580,417500," range. Maybe this is something that we can try to do, actually. Right, so let's actually try to run the"
417500,425500," song. Let's try to run the song and see how we can modify it, because we have a hot reloading, so that"
425500,432540," means we can, you know, explore and modify the code in real time, right? And see the effects in real time,"
432540,440700," so which is actually kind of kind of good. Right, so let me let me see. So here, we are basically"
440700,447020," iterating everything right iterating the frequency for a specific chunk, right for a specific chunk."
447020,454060," And here I'm accumulating the the frequencies, and then I divide by the size of the range,"
454060,460380," right? So if I want to do a maximum, right, so a is already zero, right, it holds the value of that is"
460380,467020," going to be used as the height of the bar. So it's already zero, so it's already minimum,"
467020,473340," which is all right. So let's actually assign the current amplitude to sort of like B, and if we found"
473340,478700," a B that is greater than A, this is the new value, this is the new representation, and we don't really"
478700,484700," have to divide by anything, right? So we don't have to take an average or anything like that."
484700,494940," All right, so that's really interesting. So it became jankier, and yeah, it's kind of interesting,"
494940,503100," right? And there's this frequency, which is very high. And the reason why it is so high, because"
505100,509980," the frequencies are mirrored somewhere in the center. So since we're displaying everything"
509980,515420," logarithmically, the center is actually shifted somewhere here. So if we didn't display things"
515420,522780," logarithmically, right, if we display things linearly, it's going to be kind of different. It's going to be"
522780,530780," literally mirrored from left to right. So let's actually try to reduce the amount of samples, right?"
530780,535500," So because with a huge amount of samples, I don't think it's visible particularly that well."
535500,542700," All right. And then let's try to do the linear representation of this entire thing. I'm wondering"
542700,549020," if we can easily do that. That's actually a very interesting question. What if I just do plus one,"
549020,555340," right? So this is going to be plus one. So we're not multiplying by step anymore. And"
557100,561980," this one is going to be temporarily f plus one. That's a very interesting way of doing that."
561980,569180," But yeah, so let me see. So do we use the step? Okay, so we don't really use the step anywhere"
569180,576540," anymore. So I can basically refresh. So I forgot the semicolon. Imagine asking for semicolon in 2023."
577820,584620," Right. So we can kind of see that it's still not mirrored because we're starting to display the"
584620,590460," frequencies not from the beginning, but from the 20. And the reason why we start to do that from 20 is"
590460,597340," because I thought that maybe they represent the actual Hertz and the the lowest frequency that the"
597340,604380," human can hear is 20 Hertz. But in reality, 20th frequency is not necessarily 20 Hertz. It actually"
604380,611340," depends on the size of the window and the sample rate of the sound. So it's kind of like it was a"
611340,617260," little bit far-fetched. So I don't think like using 20 as like a low bar for frequency displaying is"
617260,624060," actually a good idea. So you know what? I think I'm going to extract this 20 to a separate variable. I"
624060,630140," think I only use it twice and call it low F. Right. And here it's going to be a separate parameter that I can"
630140,638220," control now. Right. So let me refresh everything. Right. And let's actually say that the low frequency"
638220,642380," is going to be one. Right. So we're displaying everything starting from one. And as you can see,"
642380,650780," they're mirrored. They're straight up mirrored. And this is because how FFT on the real signal works."
650780,658620," I googled up like the reason why it is mirrored. And essentially, it all boils down to the fact that"
658620,666700," the input is actually real and not complex. And when the input is real, the FFT just like mirrors"
666700,672300," everything. And the second half of the frequencies actually is not really useful for you. So you can"
672300,677660," basically ignore it. I do not fully understand the reason why you can ignore it. But you can basically"
677660,682940," ignore it. You can literally see it. Right. You can effectively see it. And this is something that we"
682940,691020," probably can do. Right. So essentially, instead of iterating up until n, we can iterate up until n and"
691020,697980," half. Right. So n and half. And let me actually refresh this into, I think. And as you can see,"
697980,707260," so now it's n. So let's actually add a little bit more samples. Right. So yeah, that's a lot of samples."
708540,713420," So can we do something like three? Right. So yeah, so the more samples we have in here,"
713420,719260," the less we can see them because at some point, the width of the bar becomes less than one pixel. So we"
719260,724780," can't see anything at all. Right. And we're still displaying everything linearly. So let's actually"
724780,730380," switch to logarithmic scale. Right. So let's actually bring back the this step. Right. So because it's going"
730380,735900," to be very much useful. So we're multiplying by the step. Right. So this is multiplication by the step."
735900,742700," Now, multiplication by this step. And the next thing here is computed by a multiplication by step."
742700,747420," And I think this one is not particularly useful anymore. Right. Because we're not computing the"
747420,756860," average. And it looks a little bit weird, doesn't it? Right. So let's increase the amount of samples."
759340,765980," So we're starting to have these kind of weird gaps. And they're not going anywhere. By the way,"
765980,772780," we can keep increasing the amount of stuff. The gaps are not going anywhere. So we couldn't see them,"
772780,778380," by the way, before, because we had a low frequency equal to 20. Right. So the lower frequency of 20 kind"
778380,785020," of hides the fact that somewhere at the low frequencies, we have these huge gaps. But as soon as you start"
785020,792380," trying to display like all the low frequencies, it's just like looks kind of weird. And the reason is"
792380,801100," how we calculate the next frequency to display. So imagine like we multiply by the step and step is"
801100,811420," 1.06. Right. So essentially, if your frequency is one, and you're trying to compute the next frequency,"
811420,816620," f1, and you multiply it by the step, what you're effectively doing, you're multiplying by 1.06."
816620,826860," Right. And then you need to use, you need to use that value, which is effectively 106 as an index in an"
826860,835740," array. And since we're not doing any sort of floor or seal, it basically gets truncated. Right. So"
835740,843580," essentially, it gets truncated into one. So effectively, f and f1 are the same frequency. So"
843580,850140," effectively, they're going to be displayed in the same place. And it will get like a lot of time until"
850140,861580," it gets to at least two. So one way we can remedy that is essentially, instead of truncating it, actually"
861580,867260," always take a seal. So when we compute the next frequency, we multiply by the step, and we instantly"
867260,873420," seal it. So if it's going to be 1.06, it's going to become two, and then it's going to become three,"
873420,881020," and so on and so forth. So we basically do a seal. I'm not sure how correct that is. But our goal is to"
881020,887020," not have a correct frequency, right? Our goal was to have something cool looking, right? So I think in that"
887020,892300," case, it's totally fine to do this kind of thing, even though if it is not particularly correct."
892300,897420," So and every time we compute the next frequency, we have to do that seal, right? So f multiply by step,"
897420,907340," and we have to do the seal. And in here, we also have to do the seal. Right. So I think that's a good..."
908780,916780," All right. So that seems to be working. That seems to be working. So there is a kind of a weird flickering"
916780,923820," in here, right? There is kind of a flickering in here of the... of some high frequencies, and I do not"
923820,932300," particularly understand where it is coming from. Right. So... but maybe it is coming from the fact how we"
932940,941100," compute the amplitude, right? So let's take a look. Yeah. So essentially, the way we compute the amplitude"
941100,949020," is we take the real and imaginary part of the frequency, and we take a maximum out of their absolute"
949020,957260," values, which is not particularly great way to do that. Right. So the actual amplitude... so we can think about"
958620,969340," the real number as actually a vector on imaginary plane. Right. So let me... let me actually see..."
969340,984140," So... yeah. So here is the real numbers, and here is imaginary. So and we have a frequency, and it's sort of some"
984140,990940," sort of a vector in here. And essentially what we're doing right now, we're taking this value and this"
990940,998780," value, and we're taking maximum between them, and we're trying... we're using that as an amplitude. So a"
998780,1004460," more correct thing would be... and this is something that I actually heard in the comments on the previous"
1004460,1011020," video, so thank you commenters who said that. You have to use this sort of magnitude of this vector."
1012300,1018620," Right. So, and it makes more sense, and it actually represents the amplitude of the... of that specific"
1018620,1026060," frequency. So the direction kind of represents the phase of the... of the sort of like a sinusoid,"
1026060,1034300," right, of sinusoidal signal, and the length represent like how... like intense it is, its sort of magnitude."
1034300,1040140," Right. And that's the value we're sort of interested in. So we can give it a try. As far as I know,"
1040140,1045820," the standard C library has a function that lets you compute that magnitude."
1045820,1055500," Right. So I think it's called C... C-I-B-A-B-S-F, if I'm not mistaken. I think that's what it's called."
1055500,1057580," Um, yeah."
1057580,1062940," And essentially it will just compute the length of that vector."
1063820,1071100," So, it will take a real part, imaginary part, square them, add them together,"
1071100,1074940," and take a square root out of them. So, because that's how we compute the length of the vector."
