start,end,text
0,29980," Thank you."
30000,59980," Thank you."
60000,89980," Thank you."
90000,119980," Thank you."
120000,149980," Thank you."
150000,179980," Thank you."
180000,209980," Thank you."
210000,239980," Thank you."
240000,269980," Thank you."
270000,299980," Thank you."
300000,329980," Thank you."
330000,359980," Thank you."
360000,389980," Thank you."
390000,419980," Thank you."
420000,449980," Thank you."
450000,479980," Thank you."
480000,509980," Thank you."
510000,539980," Thank you."
540000,569980," Thank you."
570000,599980," Thank you."
600000,629980," Thank you."
630000,659980," Thank you."
659980,689960," Thank you."
689960,719940," Thank you."
719940,749920," Thank you."
749940,779920," Thank you."
779940,809920," Thank you."
809940,839920," Thank you."
839940,869920," Thank you."
869940,899920," Thank you."
899940,929920," Thank you."
929940,959920," Thank you."
959920,989900," Thank you."
989920,1019900," Thank you."
1019920,1049900," Thank you."
1049900,1079880," So, you're welcome."
1079880,1109860," Thank you."
1109880,1139860," Thank you."
1139880,1169860," Thank you."
1169880,1199860," Thank you."
1199880,1229860," Thank you."
1229880,1259860," Thank you."
1259880,1289860," Thank you."
1289880,1301000," side of it a little bit of a csmr uh all right so let's do uh the opening it's a key comment yeah"
1301000,1309800," that's a good so we actually have shed tone of uh our local own brands that try to mimic something"
1309800,1318600," from europe um okay it's quite cool in russian where's the referral link i it's it's not sponsored"
1318600,1324200," by this is not sponsored by the way this is whatever i bought in the store across the road i mean if the"
1324200,1331800," store wants to sponsor me like yeah maybe um but it's not an ad okay so can i open that"
1331800,1336360," first try without actually screwing up the packaging let's find out"
1336360,1344440," first try i think i first tried the opening yeah boy"
1347320,1347880," there we go"
1347880,1358120," nice sponsored yeah i'm sponsored by kgb since it's a key comrade brand uh obviously i'm sponsored by"
1358120,1364120," kendry b uh right so i'm not gonna do uh not gonna make any tea right now just a little bit later i"
1364120,1372760," just want you to pre open it right uh uh so i don't have to open it later so no and then i have another"
1372760,1377960," paper piece i have shed ton of them by the way so i'm just using them to seal the packaging of all"
1377960,1389400," sorts of things yeah it's loose it's loose uh it is lose leaf tea all right so um yeah so what's that"
1389400,1395480," what's that what's that okay let's do all of that cool"
1395480,1401880," referral zozin yes referral zozin"
1405800,1412360," okay let's take a look at what we need to do uh today oh by the way i also updated so it highlights"
1412360,1417480," uh just a second um"
1417480,1427640," i also updated the mode so it highlights the uh the character minerals right also string minerals and"
1427640,1433480," stuff like that so if you you can push the character literal uh like this and it's a valid"
1433480,1443160," thing and it's going to be translated as the ascii code of that character literal so yes yes yes oh"
1443160,1449880," another thing if you try to call a native right if you try to call a native uh i mean i already did"
1449880,1458040," much i did that um if you can try to like use native on something that is label i think it will also fail"
1458040,1464120," yeah trying to invoke native function from a binding that is label uh binding for native functions have"
1464120,1472120," to be defined via native uh bosom directory right so that's that's basically this it's pretty cool it's"
1472120,1480920," pretty cool not gonna lie so we have a type safety in assembly can your nazem do that can you know them do that"
1484760,1491240," so let's do something simple entry point already set error does not tell where exactly the entry"
1491240,1501080," has been already set uh okay so let's take a look uh essentially uh yeah if you try to set the entry"
1501080,1507720," two times uh our compiler does not allow you to be to be a two-time champion of the of the bosom"
1507720,1513080," unfortunately uh maybe fortunately depends on how you look at it so essentially if you define something"
1513080,1519880," like uh second main right so here is the second main and try to do something like this entry"
1519880,1526840," second main right if you try to compile this thing uh it will say entry point has been already set it"
1526840,1532600," tells you like where it's uh you're trying to redefine it but it doesn't tell you where it was originally"
1532600,1537800," set and i think it could be quite important especially if it's in a different file because it could be"
1537800,1543000," sometimes difficult to find it so i think this is something that we have to keep track and i didn't think"
1543080,1552680," it's that difficult to do um this is vim actually right so if you take a look it's it's a vim"
1552680,1557080," so the the title of this uh editor is vim so yeah"
1559960,1568760," um so let me let me see so i think i'm gonna go uh and do it like that so let me create a separate branch"
1569960,1585400," uh one two four one two four um um you forgot to also ask for mesh shaders i think um all right"
1585400,1595000," so uh i recently introduced a type called file location so file location basically keeps track of the file"
1595000,1604360," path path and uh line number and also file location has its own uh formatting printf macros so if you have"
1604360,1610840," a file location you can easily print it on using printf or sn printf or something like that um so"
1610840,1619400," in the bosom we keep track of the entry uh deferred name and deferred location right"
1621000,1631640," deferred name and deferred location but deferred location is um where the entry is defined uh we need"
1631640,1639720," another file location we need another file location uh for the original"
1639720,1647000," entry if you know what i mean for the original entry"
1649480,1657880," uh but maybe we can always set yeah i think we don't need to separate between deferred"
1657880,1662760," entry location and entry location just always do entry location i think it's a it's a good idea"
1662760,1667160," um so"
1667160,1671960," all right what about your shaders uh"
1674120,1680280," what i have my i use mesh shaders every day three times a day is that is that what you want you to"
1680280,1680440," know"
1680440,1682920," um"
1682920,1693240," all right so we have an entry location and where do i set the entry let me find all right so this is where"
1693240,1700920," i set the entry all right this is where we set the deferred location and this is where i do this thing"
1701560,1706120," entry location is the current location is the current location of the translation there we go so now we"
