start,end,text
320,5520," Hello everyone and welcome to yet another recreational programming session with Mr. Zozin."
5520,10560," So I have this game that I implemented some time ago, right, so this is a WebAssembly version of"
10560,15200," the game and it's just a breakout clone, nothing particularly special, except maybe it has pretty"
15200,20880," cool, you know, effects, particle effects and stuff like that. And it has a very cool tutorial"
20880,26240," that I actually really like, right. So it's cool and all, it's actually super fun to play,"
26240,30160," right. So the concept of a breakout is extremely fun. It doesn't really have that many features."
30160,34400," Maybe in the future I will add more. The problem with this game is that"
34400,38560," it's written in a language that doesn't exist anymore,"
38560,48720," like at all. There's a really weird situation that like in some of the companies you may have binaries"
48720,55440," for very useful business critical application, but the company lost the source code, so they can't"
55440,62640," reproduce this binary. We kind of have a similar situation, but worse. We have the binary, which"
62640,68160," is a WebAssembly binary, right, so we can even just take a look at that. So here is the WebAssembly"
68160,74480," binary, right. So this is a WebAssembly binary to hand it in five kilobytes. We have the source code,"
74480,81280," here's the source code, but we can't reproduce that binary. We can't because it's written in a language"
81280,87600," that doesn't exist anymore. Specifically, it is written in Jai version 1.033."
87600,95280," The latest version of this language, which is not out yet, right, so Jai is a programming language made by"
95280,100640," Jonathan Blow, is being made by Jonathan Blow, it's in active development, it's in closed beta,"
100640,108960," I am in closed beta, and the current beta version is 2.0.0.8. Right, and I went through the links he sends"
108960,114320," to emails, right, every time there is a release he sends out email with a drop box links and stuff like"
114320,120720," that. I went through all the emails, I found that specific version in my email box, but the file for"
120720,127440," that specific version was deleted, so he deletes old versions. So you literally can't compile this"
127440,132640," game anymore, you have the source code, you have binary, a single binary in the entire universe,"
132640,138880," WebAssembly binary, this game has also native version, it used to have native version. Right,"
138880,144880," you can't reproduce that WebAssembly binary anymore, like at all, like you can't do that. So that's it,"
145520,151440," whatever you see in here on this website, and this website is going to be, you know, available in the"
151440,160320," description in here. All right, so whatever you see on this website exists in one single instance,"
160320,168880," right, so there is no, like you can't reproduce that anymore, it's unreproducible. So it's kind of a unique"
168880,175440," game in a sense. So what I'm going to be doing today, I'm going to try to maybe port the source code,"
176160,181760," and everything to a newer version of Jai, right? So this is going to be the goal for today. And maybe"
181760,185680," if we have time, maybe we're going to implement more features for this game, because I didn't think,"
185680,190560," even though like I sound dramatic, right, I do kind of sound dramatic, but at the same time,"
190560,196000," I didn't think it's that hard to port it to a newer version, right? So we're going to just take, grab the"
196000,200240," the latest version, we're going to try to compile it as it is, and we're going to just follow compilation"
200240,205360," errors and see what exactly we can do in there. Furthermore, this game is kind of interesting"
205360,212720," in the sense that the WebAssembly binary is actually 32-bits binary, and Jai doesn't really support"
212720,218800," WASM32. It only supports WASM64 for a variety of reasons, probably because of how the standard"
218800,224640," library and the compiler is organized. So if you want to do any WASM development in Jai, right,"
224640,229680," you have to always compile with memory64 support, right, so you also have to enable that support in"
229680,235840," the browser, it's annoying and stuff like that, but this binary is 32-bits, and the reason why it is 32-bits"
235840,245280," is because we actually patched it with a special magical tool which is called WASM64-32, right? It is a"
