start,end,text
720,5860," Are we live? Looks like we're live. Hello everyone and welcome to yet another"
5860,11720," recreational programming session with Azuzi. How about that? Let's make a little bit of an"
11720,19960," announcement and officially start the stream. So yeah, let's do the usual red circle, right?"
19960,26240," Red circle live on Twitch. And what are we doing today on twitch.television website?"
26240,33160," Today, we are implementing alternative neural network visualization."
33160,41180," I'm going to give the link where we do know that on twitch.tv slash Azuzi and I'm going to ping"
41180,46760," everyone who's interested in being pinged. And there you go. The stream has officially started."
46760,54040," So today we're going to continue working on our deep learning framework in PRC called nn.h. You can"
54040,59340," find this thing here. I'm going to copy paste it in the chat for people who are watching on YouTube."
59340,64760," It's going to be in the description, hopefully. Where is the description? I didn't even open the"
64760,71360," description file. So here it is. Yeah, it's going to be in the description. Right. So and let's take a"
71360,77560," look at what we have so far. We have a couple of demos you can run, right, that are implemented with"
77560,82680," this deep learning framework. And part of the framework that we have in there is actually"
82680,89640," some sort of like a UI system, right, that allows you to sort of like throw some widgets together"
89640,96820," just to visualize different aspects of the state of your model, right, and stuff like that. So one of the"
96820,103480," models that we have is image to nn, where you have to provide two images. So we have some like subset of"
103480,109160," nice database, we can provide two numbers in here, just a second, I won't be able to see this kind of"
109160,114120," stuff. So training eight. And this is the second one. And if you run it like this, this is basically what"
114120,120440," you have. This is a simple neural network that is trained to behave like, well, I mean, like two images"
120440,126040," in here. So I suppose to actually use six in here instead, there we go. So now we have two separate images,"
126040,132440," right. So this is the images that it's supposed to behave as. And this is its current behavior,"
132440,138360," right. As soon as we start training, as you can see, it starts to like slowly converge towards behaving"
138360,144040," like these two images. And then what you can do is basically, you know, interpolate between these two"
144040,150120," images. So we do that with neural networks, right. And so in the middle, you can see the actual"
150120,156200," visualization of the neural network that we use for that specific thing, right. That's like"
156200,161320," literally the entirety of the state of the neural network that we use for that. It's not really a"
161320,167800," state, but it's specifically visualization of the weights and biases of the neurons for this entire"
167800,176040," thing. And as you can notice, it's fucking useless, actually, right. So essentially, purple means a"
176040,182120," negative value, and green means a positive value, right. And gray obviously means something like in"
182120,188840," between, it's zero, right. So basically, like this bias is dead, right. And because this is a fully"
188840,195160," connected neural network, each neuron is connected to every neuron to the next layer, it becomes a huge"
195160,202200," mess. Like, what the hell is this? Like, how am I supposed to even see anything useful in here? It was"
202200,208680," okay when we had like very small models, right. For example, Zor, right. So this is a very small,"
208680,213400," simple model, and you can clearly see how things are going on in here, right. And it's like, yeah,"
213400,219320," it's useful, right. So these are the inputs, this is like a hidden layer, this is the outputs,"
219320,224920," here are the positive connections, here are the negative connections, and so on and so forth. It makes"
224920,228920," sense. But as soon as you have something more complicated, it's just like, what the hell is that?"
230120,235800," And the more complicated it becomes, the more useless it becomes, actually, right. So if we go"
235800,243240," to image2nm, right, and we add more layers in here, right. So let's actually make it a deep,"
243240,249480," dark neural network, right. And that will require recompilation of this entire stuff, right."
249480,257560," So it becomes deeper, and like, you can't really see anything useful in there. And that's a huge problem"
257560,264680," that I've been ignoring for quite some time, because at least this entire thing serves as a pretty picture"
264680,270040," to show on the stream. And showing pretty pictures on the stream is very important, because that's why"
270040,276120," we are programming. Aren't we? Like, we're not programming to just see some numbers on the screen,"
276120,281960," we want to see some things moving around, because it feels like magic. That's literally the reason we all are"
281960,290200," programming to make, you know, to make our computers do fart noises and whistles and stuff like that."
290200,295400," We feel like magicians and stuff like that. So that's why it's very important to have something cool on the screen."
295400,303080," Right. But here's an interesting thing. This visualization, this visualization is not that useless."
303800,311000," On one of the previous streams, when I was exploring my mistake that I made during the explanation of"
311000,317000," backpropagation, I noticed that this kind of visualization is useful, is useful to demonstrate"
317000,327480," under utilization, under utilization of some parts of the neural network. Right. So as you can see,"
328120,333240," when I'm not using the traditional backpropagation approach, you can instantly see that this part"
333240,338600," of the neural network is underutilized. And this part of the neural network is overutilized."
338600,345000," Right. So, and that's kind of a problem. Right. So that's kind of a problem. And you can instantly see"
345000,353640," that on the visualization. Right. So that means these kind of visualizations are useful. Right. So, and I was"
353640,361000," actually thinking, can I make it, you know, not as much of a mess, not as much of a mess, but still"
361000,367240," retain its usefulness, uh, when it comes to just instantly seeing what parts of the neural network"
367240,375080," are overutilized or underutilized and stuff like that. And I think, I think I came up with a pretty"
375080,381400," interesting idea. So let's actually, let's actually, uh, take a look at this very simple example. Right."
381400,386200," Let's take a look at the very simple example and I'm going to call it simple. I don't know. Right."
386200,393960," So I just want to start like over, uh, right. And here is a simple application in here. Right. So here"
393960,401800," is the simple application. And if I try to print something like, hello, uh, semen, uh, right. And"
401800,407560," then let's just build this entire thing. So this one is going to clank simple, simple.c, and then I'm"
407560,413560," going to run this entire thing. And there you go. It says, hello, semen. So let's plug in our neural"
413560,419720," network, uh, framework. Right. So it's going to be nn.h. Uh, right. And we also have to define"
419720,425320," nn implementation, right. And then implementation. And I'm going to rebuild this into, I think,"
425320,431160," of course, it tries to use, uh, a bunch of, uh, things, uh, which is kind of weird. Um, well,"
431160,436600," I mean, I implemented, oh, I just need to link all of that with the math library. Yeah, that's right."
436600,442680," So I need to link. Yeah, there we go. So now it works. So let's allocate a simple neural network,"
442680,449160," right. So let's do nn. And I'm going to do nn log. And what I have to do here, I have to provide the"
449160,455960," architecture and architecture is basically a sequence of integers. It's a sequence of integers. And these"
455960,462920," integers are the sizes of each individual layer. So we can say that input layer has two neurons,"
462920,468920," right? So we have two inputs. Then the hidden layer may have three neurons. Then the next layer"
468920,475000," can have four neurons, uh, right? Four neurons. And the next layer is going to have a two neurons."
475000,481560," So, and this is the architecture of our neural network, right? So, uh, we described that in,"
481560,488280," in the terms of like, uh, the sizes of the layers, right? So we feed that architecture into an analog."
488280,492840," And also we have to provide how many numbers we have in here. So we have to do array lengths to get the"
492840,497880," length of that specific array. And that thing should, uh, allocate that neural network for us,"
497880,503320," right? So, and we can also print this entire thing, right? And there we go. If we try to run this"
503320,509640," entire thing. So this is a neural network and it consists of a sequence of matrices, right? So it"
509640,517080," consists of a sequence of matrices, which are actually pairs of matrices. So the first matrix is the weights"
517080,522520," of the first layer, right? All of the weights of the first layer. And this one is all of the biases"
522520,528760," of the first layer. And this is basically the, all of the weights of the second layer and so on and so"
528760,533400," forth. So all of that is zero initialized, obviously, right? All of that is zero initialized. We can"
533400,537800," actually randomize this entire thing to make it a little bit prettier, right? Let's actually fill it"
537800,542920," with, uh, values from minus one to one and all of that thing is going to be, you know, randomized and so"
542920,547800," on and so forth, right? So it looks a little bit better. It looks a little bit interesting. So"
547800,556200," essentially, um, what all of that means, right? Uh, what all of that means, uh, maybe it would be nice to"
556200,563880," actually see, uh, this neural network as well, uh, right? Maybe it would be nice to visualize it"
563880,570280," somehow, but I'm not sure if I want to start, uh, RayLib thingy, right? But maybe it's worth actually"
570280,576440," starting the RayLib thingy. So let's actually quickly do that. Uh, right. I'm going to include RayLib, uh, super"
576440,583240," quick, uh, right. And of course it doesn't have a RayLib. Uh, so let's go into the build, right? So this one"
583240,590680," is going to be essentially the build, uh, and let's put a simple in here, right? And, uh, if I try to"
590680,594840," build this entire thing, I think it's, I think it's still going to complain about, no, no, it's actually"
594840,600840," fine because I'm, I run everything in the correct environment, right? So which is super nice. All right."
600840,609720," So in here, what we can do, uh, we can, uh, initialize the window, right? We need to window, um, so 800 by 600."
609720,615080," So this is a simple thing. Uh, and do I want to do anything else? I think no, right? So let's actually"
615080,622760," start, uh, the event loop. Should a window, uh, should close. I don't quite remember. Image to an end."
622760,631160," Uh, yeah. Window should close. Window should close. While window should not close, we begin drawing,"
631160,637560," we begin drawing, and then ending drawing, right? And also let's actually clean the background with"
637560,644120," maybe black color, right? So this is going to be black color. And let's actually render our neural"
644120,649960," network, right? So I'm going to go to nn.h, and I think it was something like gym, uh, render, yeah,"
649960,656760," gym, render, and then, and, uh, this thing accepts the neural network that we just allocated, and the"
656760,661320," rectangle within which we want to render all of that. So what I want to do, I probably want to render"
661320,666760," within, uh, the window itself. So let's actually factor out, uh, the width and height of the window,"
666760,672920," right? So something like this. So this is going to be height. So this is width. This is height. Uh,"
672920,679800," right. And let's actually use the collateral, right? Uh, and let's put the following thing. So we're going to"
