start,end,text
0,7680," that was an insane journey honestly holy shit i learned so much about networking about asynchronous"
7680,13640," programming about all this stuff it's actually fucking insane and i think my journey is finally"
13640,19100," over i think my journey is finally over and soon i'll be able to fully rewrite this server part of"
19100,29200," coil in c3 hello everyone and welcome to yet another recreational programming session with"
29200,34440," a mr zozin as usual so today is an offline session so there will be no chat or anything like that"
34440,40860," we're going to continue developing our coroutines library and just to recap what is coroutines"
40860,48440," coroutines are sort of like a lightweight threads which execute all of them execute on a single"
48440,55980," operating system thread or even quite often on a single cpu right so they look like this so let me"
55980,62640," find some examples in here so here is the example of a counter we have a single coroutine in here which"
62640,69360," accepts basically the upper boundary and simply counts from zero to that upper boundary printing"
69360,76600," its own id and the counter and we create two of such coroutines and the thing about coroutines is that"
77780,84220," actually switch between them right so there's an operation called yield and it calls to the scheduler"
84220,90960," and uh it switches to the next coroutine which allows to sort of like interleave them right so we can"
90960,95400," actually take a look at how uh that looks like uh if i just rebuild all of the examples and stuff like"
95400,102640," that so it's going to be build coroutine and as you can see uh so we have zero zero one one two two three three"
102640,108360," four four four and we're sort of like interleaved between these coroutines so in the example we're"
108360,113800," actually starting two coroutines one is shorter than another right so one counts from zero to five"
113800,118380," another one counts from zero to ten and this is intentional so because i want the first coroutine"
118380,124640," die and the longer coroutine to continue executing just test how that works uh so and this is basically"
124640,129280," the result right so we have uh two different ids then the shorter coroutine dies and the longer one"
129280,135800," continues counting until uh it is done so in fact there's three coroutines in here there's also main"
135800,143600," coroutine which constantly yields uh basically in um switching to the counter coroutines until the amount"
143600,149040," of alive coroutines becomes equal to one which is the main coroutine and then uh everything is finished"
149040,154240," in clinda right so the question is like why would you even use such coroutines right because you have"
154240,159460," threats you can just create two threats and that will work for you uh the thing about threats is that as"
159460,164140," soon as you start using them you need to think about synchronization right so you are starting to have"
164140,170360," um you know threat safety problems which means that you need to introduce mutexes and stuff like that"
170360,176240," if you're doing coroutines everything is kind of a deterministic and everything is executed on a"
176240,181560," single threat so you don't have to think about synchronization that much in fact you can send"
181560,186300," information from one coroutine to another one through a global variable and that's fine that's totally"
186300,192200," fine so it simplifies you know synchronization between them and coordination so it's not really"
192200,199560," for parallelism it's more for concurrency uh so but at the same time you're only utilizing a single core"
199560,206220," right so you're kind of losing performance well this is useful when you actually don't"
206220,213660," do much work on your threats especially if you're doing asynchronous networking so these kind of"
213660,219680," coroutines are perfect for asynchronous networking when majority of the time you're just waiting on io"
219680,226680," right you're waiting on the read operation or write operation and stuff like that so uh so creating a lot"
226680,231860," of threats uh for for this kind of stuff is kind of like a wasteful um it would be better to just like"
231860,238120," create these lightweight sort of fibers i think uh in some libraries and some operating systems this kind"
238120,245400," of threat are called fibers so and we can even demonstrate that we even have an example uh which"
245400,251120," implements an echo server right so here it is uh so it's a very simple example uh what are we doing"
251120,258020," here is that we actually this is c3 so here we had c right so and here we switched already to a completely"
258020,262820," different language which is c3 uh right if you never heard about c3 i recommend to check it out"
262820,268400," so here is the website uh not the best language i've ever tried but it's an all right language right"
268400,272680," it's also in progress so some of these things may not work so be cautious when you're using this"
272680,278360," language i'm a trained professional i kind of got used to using unfinished buggy software so it's totally"
278360,285820," fine for me so and uh the cool thing is that this um language has a very convenient socket interface out"
285820,291920," of the box so creating the like this kind of aqua server is very easy so what what i can do in here"
291920,298000," i can listen to host and port right so just a random host and port i mean local host uh so then i can set"
298000,304420," it to non-blocking right and essentially now in the loop uh i can try to accept the connection"
304420,310220," and if i i didn't receive any connection i can actually yield to other coroutines"
310220,317880," and other coroutines are already accepted clients that just listen to incoming uh incoming data right so"
317880,323120," for example there is a read loop uh right that checks is there something to read if there is nothing"
323120,328580," to read we yield to another client which also will check if there is something to uh to to read in"
328580,334420," there and yield to another one and so on and so forth as soon as we get some data uh we're initiating"
334420,339540," the right loop which tries to write things and if it couldn't write it yields to another coroutine and"
339540,346060," so on and so forth so the idea in here is that uh the coroutines try to do an operation and if the"
346060,351560," operation is not available yet we just yield to another coroutine right so we just go and do something"
351560,358000," else right so these kind of things are perfect for these situations when uh you did some work"
358000,363100," now you try an operation and operation is not available yet well i guess i can go do something"
363100,370920," else right this is kind of perfect uh so we can even test if this works uh let me see if i can just do"
370920,377520," echo right so here you go so we're listening to localhost 6969 i can just use stellnet to actually"
377520,382520," connect to this entire thing so the client has connected so i can say hello and as you can see"
382520,388880," this so we can see that we received seven bytes and here is hello we received hello back and now we can"
388880,395160," actually uh connect another client right so we can say world in here and we again received seven bytes"
395160,400540," maybe we can actually send more and there we go so we can also close this entire stuff everything is"
400540,408040," working everything seems to be twerking but the problem here is that it busy loops right so i can"
408040,415320," even take a look at the btop so let me see let me see so here is there should be one thread that is"
