start,end,text
80,6560," looks like we're live hello everyone and welcome to yet another recreational pogroming session"
6560,11840," with azuzin let's make a little bit of an announcement and officially start the stream"
11840,20240," as usual so red circle uh live on twitch and what are we doing today on twitch dot a television a"
20240,27120," website today we're doing uh data mining and see how about that so i'm gonna give the link to where"
27120,32000," we're doing all that https twitch.tv/todding and i'm gonna ping everyone who's interested in being"
32000,37920," pinged and there we go the stream has officially started the stream has officially started so the"
37920,44160," title is pretty loud but we're not going to be doing anything like super super special right uh especially"
44160,48320," if you are like a person who works in data mining industry it's probably not going to be that"
48320,54640," interesting for you but what i want you to do today i want you to implement a key means clustering"
54640,60080," algorithm in c right so if you want to learn more about this kind of thing you can find it in here"
60080,63440," i'm going to copy paste it in the chat for people who's watching that on youtube it's going to be in"
63440,72720," the description of course so and um so i learned about this algorithm in the context of one meme paper"
72720,80400," that was circulating around in 2022 when the chat gpt was like the hot thing and stuff like that and it's"
80400,87360," basically the sort of like the code name of that paper is gzip is all you need right it's it's a pretty"
87360,94560," funny thing it's sort of the idea in um you know classification of you of the documents right so"
94560,102640," essentially uh this paper demonstrated that you can quite easily classify documents by just g zipping"
102640,109120," them and doing k-means clustering on them and that basically competes in the performance with like"
109120,116640," you know like deep learning algorithms and stuff like that so very dumb thing performs better than just"
116640,122560," like uh large language models and stuff like that for classifying documents and it's just like very"
122560,127360," unexpected and it was like what the is k-means clustering and k-means clustering is a very"
127360,134480," interesting algorithm essentially you give it uh a set of points right of some sort of observations"
134480,139680," right in in here i suppose it's a set of documents right so the one document is going to be one point"
139680,147280," right and essentially you say okay i want to have i want to split this entire set of points into k"
147280,153120," clusters you basically decide how many clusters you want to have and what it tries to do it tries"
153120,160320," to find uh so-called centroids i think they're called centroids or means right uh for each individual"
160320,166240," cluster and it groups all of the points to the cluster that are closer to that specific mean"
166240,173040," right so there is a pretty cool visualization of this algorithm how it works uh right so essentially here"
173040,177920," is an animation you have a bunch of points and as you can see you have centroids and the algorithm sort"
177920,187360," of like uh adjusts the centroids so uh you can fit optimally uh all of these uh data sets in like three"
187360,193440," clusters right so and interestingly it kind of reminds me the machine learning algorithm right"
193440,199360," so you have some sort of like a cost function some some sort of parameter and you adjust the parameters"
199360,205760," aka centroids so to optimize a certain cost function and somehow you split the entire data set into"
205760,213360," into k clusters and apparently the naive algorithm that is one of the like most used algorithms right"
213360,220000," so the wikipedia at least calls it the standard algorithm is extremely simple it is extremely simple"
220000,225760," uh so to the point that like i mean i can implement that and see uh not only i can implement that and see i"
225760,231760," i want to actually write a visualization in ray bib with animation that just does that or something"
231760,239040," that would have been interesting i think uh right just visualize that stuff as well um so shouldn't be"
239040,246160," that difficult essentially what you do you have k m's k centroids k means right and essentially you"
246160,252480," split uh the entire set according to those means right so this is a very simple algorithm"
252480,257120," as you can see this is sort of like a for loop right this is a for loop you're iterating from"
257120,262960," one to k for all j's between one and k it's a for loop right it's more like a least comprehension"
262960,271280," right and then you take a point uh right so you take a point and if one point is like uh closer to the"
271280,275920," mean than the other point you actually include that in a set right so basically you split all the points"
275920,284160," according to which set it is closer to right and then you update each individual mean by uh essentially"
284160,289280," summing up all of the values in that specific set and dividing it by the size of the set and it's an"
289280,296880," iterative process and it slowly converges towards local optimum right it doesn't converge to the global"
296880,301840," optimum but it converges to some local world depending on where you start you can basically randomize"
301840,306560," uh this means right you can randomize this means and depending how you randomize it it will just"
306560,310960," find different optimums and also depends on data set and stuff like that and that's it that's the"
310960,316000," entirety of the naive algorithm right and i suppose that's the most used algorithm as well right there's"
316000,323760," more optimal algorithms that go really nuts about different stuff uh but that's the basic idea uh and"
323760,330240," once we nail that once we implement that we can try to tackle this paper like i'm not going to try it"
330240,336080," today that could be probably a separate stream right but we can try to just implement this kind of stuff"
336080,341280," today uh right just to learn how to use this algorithm because i've never actually implemented that"
341280,346640," even though i went to a university i prayed i went to a pretty shady university that didn't teach me"
346640,353520," ship so because of that i have to sort of make up for that uh like myself on the streams right like"
353520,358160," just reading wikipedia and stuff like that sounds interesting i really like that it's just that"
358160,363120," simple and it's really easy to comprehend and really easy to implement really easy to visualize"
363120,369040," uh right i really like things like that like small little golden nuggets right that you can just like"
369040,378400," play around with so yeah uh so let's go ahead and try to do that how about that all right so let's go"
378400,386320," ahead and just create uh some sort of a boilerplate right so okay means right so this is going to be"
386320,391200," basically the folder where we do all of that and i'm going to just create a simple hello world and of"
391200,397680," course for building this entire stuff we're going to be using a knob right as usual as usual"
399200,406800," because that's the only acceptable for me build system in c right i mean it's it's not true i can"
406800,412160," use whatever build system like is required but when i'm talking about like my personal projects in my"
412160,419440," personal projects i do whatever the i want right and i want to use a knob i want to use knob so i think"
419440,426400," knob is located somewhere here so here is knob.h and there you go so i need to create knob.c"
428320,435360," and uh in knob.c we're going to be including the knob locally right and of course we need to do define"
435360,442080," knob implementation to make this knob.h act like a c file as well because by default it acts like"
442080,448160," a header as soon as you include this thing it starts to act like a c and uh also includes implementations"
448160,454160," and stuff implementations and stuff so the first thing we're going to do we're going to do knob.cmd"
455200,461120," all right and we're going to just craft a simple command line uh command line that is going to build"
461120,468160," our project so for now it's going to be very simplistic uh knob.cmd append is going to be very"
