start,end,text
720,6320," Hello and welcome to another Zuzin session. How about that?"
6320,16080," So I've been developing this linear algebra library recently, which you can find in the"
16080,24480," description of course. And it's currently at the state where I'm more or less happy with the library,"
25200,36080," except I think it lacks some examples on how to use it. And today what I wanted to do, I wanted to"
36080,43120," write a small demo that shows how you're supposed to use the library and what you can do with the"
43120,49520," library. It's a very simple library, it doesn't really need anything complicated. But I wanted to"
49520,56960," implement something fun, right? So something fun. So I have an idea of implementing like a simple"
56960,64800," animation over like a bouncing ball, which simulates like a very simple physics like gravity and so on"
64800,71120," and so forth. And to keep the amount of dependency low, I was thinking that I'm going to render the"
71120,77440," ball in ASCII in the terminal, right? So it's going to be a very simple program that renders, you know,"
77440,82960," animation in ASCII and just animates the bouncing ball. And we're going to be using vectors for that"
82960,89040," and the vectors are going to be from this linear algebra, linear algebra library. So we actually"
89040,95120," started to develop this thing like three episodes ago. I think this is the fourth episode. So for a"
95120,101760," playlist of all of the episodes of this like library development, I would redirect you to Tsojing Daily"
101760,113440," channel, which has a playlist, I suppose. So as of recording, the third episode is not out yet, right?"
113440,121040," I think, yeah, so as you can see, it's it's privated, so it's not out yet, but it's going to be"
121040,129040," out when this video is out already. So I'm going to put the playlist in here, playlist of the previous"
129040,137920," episodes. There we go. The previous episodes, let's capitalize everything nicely. All right,"
137920,143760," let's go ahead and implement that thing. So and we're going to put this demo into the source code of the"
143760,148480," of the main repos. So you'll be able to download the source code and also take a look at the examples"
148480,154400," and see how you're supposed to use this kind of thing. All right, all right, all right, all right,"
154400,162400," all right. So let's create a file called ball.c. And the first thing we're going to include, we're"
162400,169840," going to include the stdio for the input output, of course. Let's create an entry point. It's not going"
169840,176240," to be doing anything. We're not going to accept any arguments. User have nothing to say to us. And let's"
176240,182640," define LA implementation, implementation, because this is a header on the library. And let's include that"
182640,190480," library. Okay, so let's include the compilation of the ball example into the make file, right? So what"
190480,196320," we're doing here, we're building the library itself. And we're also going to be building a ball, right? And"
196320,205280," ball depends on ball.c and the library itself. So if we modify the library, the ball has to be rebuilt as"
205280,210960," well. Right. So what we're going to be using, we're going to be using a C compiler, the common C flags,"
210960,217120," the standard that we're going to be playing with is C11. So the library itself tries to keep it C99,"
217120,226640," just to make it more like widely integratable. I guess that's the word. But for our example,"
226640,230800," we don't have to follow that, right? It's just an example. It just demonstrates how we use the library."
230800,235680," All right. So, and let's just compile the entire thing. I didn't think we need to link with the math"
235680,241600," library because we're not going to be using any math library features. So, and let's go ahead and"
241600,246560," rebuild it, I think. And as you can see, we managed to build this thing. All right. So that's already"
246560,251840," pretty good. So we're going to be rendering everything in ASCII. And because of that,"
251840,257440," we probably need to define the width and height of the display that we're going to have. We're going to"
257440,264320," have like a, basically a array of characters as the display. So let's define width. So you don't really"
264320,269200," need too many characters in the, in the terminal. Terminals are usually very small. So let's actually say"
269200,274000," that width is going to be 32 characters and height is also going to be 32 characters. I'm going to keep"
274000,279520," it powers of two because it will make it easier to divide it by two because it's, it's a power of two."
279520,287840," Okay. Let's define the display and the display is going to be a array of characters, width by height."
287840,295760," And let's keep this thing static. So it will be zero initialized for us. All right. So we need some"
295760,302560," sort of a function that will render a circle in the display, right? Let's implement a function literally"
302560,308800," called circle, right? It will accept the center of the circle as a two-dimensional vector of integers,"
308800,314800," right? So this is the center of the circle and it will accept an integer, the radius of the circle,"
314800,320320," right? And so what will this thing do? It will render the circle at that specific center with that"
320320,326160," specific radius within the display, right? So we're going to be rendering this, the circle pixel by"
326160,332320," pixel. And I think we're going to employ the midpoint, uh, circle visualization algorithm that we developed"
332320,337680," in one of the previous videos. So, uh, let's actually go to the TotingDaily channel."
341440,348640," So the video is called Programming in Rust. So in this video, I actually went to one of my previous"
348640,354720," projects, uh, and, uh, one of my previous projects was actually looking into the midpoint visualization"
354720,361600," algorithm. Uh, right. So let's take a look at it here. It is, and there we re-implemented it and"
361600,369600," generated a circle pixel by pixel, uh, like so, right? So here is the, uh, here's the final thing. I'm trying to"
369600,374160," right click this entire thing. It doesn't allow me to do that because Chromium do be like that sometimes."
374160,379200," So to fix the Chromium, I have to open another application that supports right clicks, right?"
379200,385600," Then I have to do right click, right? And only then I can right click in the Chromium yet again. I have no"
385600,390560," idea if that's the bug of Chromium or my environment or something like that, but it do be like that"
390560,398080," sometimes. Okay. So, and, uh, yeah, here basically we generate a circle, um, um, completely from scratch,"
398080,402480," pixel by pixel, just using mathematical formulas and stuff like that. And this is basically the algorithm"
402480,406640," that we're going to be using to do the ASCII graphic, right? So basically character is just"
406640,414640," like pixel, right? Just, just big pixel. It's just bigger. Uh, so yeah, I'm going to give the link to, um,"
414640,417200," this video in the description. So where is the description?"
419200,426080," Uh, two, two, two, two, two, two. So midpoint visually visualization algorithm."
426080,432640," Uh, and by the way, we, we did that in rust. So if you guys like rust, you may like this video,"
432640,436800," right? Because we were programming in rust. So I'm also going to mention that in rust,"
437600,445760," rust video, right? And you can find it in here and in the description on that video, you can find a lot"
445760,451440," of interesting links and link to the repo itself and so on and so forth. So I left a lot of the"
451440,457680," interesting things for you to explore. Um, okay. So we're going to be using that algorithm. Um, let's go"
457680,464480," back here and let's see what we're going to have in here. So essentially, uh, let's imagine that we have"
464480,471520," some sort of a display, like something like this. Uh, right. And then, uh, we were told that we want"
471520,478720," to render a circle somewhere here. Uh, right. So this is where we need to render. Essentially, we need to"
478720,487280," find like a bounding box that encloses the circle. We know the radius, right? So if we step up the radius"
487280,495600," and then write the radius, we'll find the left, uh, left top corner of the, uh, of this bounding box."
495600,499920," We can repeat the same thing in the other direction, right? So this is going to be one,"
499920,505200," two, three, one, two, three. And there we go. Here is another thing. And there we go. We found the"
505200,513120," bounding box, right? So we found the bounding box. Uh, and now we can take that bounding box and we can"
513120,521520," iterate it with, um, a nested loop, right? We can just iterate it with a, with a nested loop."
521520,526560," I just want, I just really want to finish because my OCD doesn't allow me to not finish this entire"
526560,533040," session, uh, of replacing characters. Yeah, there we go. So, uh, there we go. So distance between the"
533040,539440," center and this side is radius and distance between this one is also radius. So we're going to be iterating"
539440,549200," each individual pixel like this and then with a simple formula of, uh, uh, x squared plus y squared, uh,"
549200,555360," less or equal radius squared, we're going to check if a particular point within that bounding box lies"
555360,561360," within, uh, within the circle. And if it is, we're going to be, uh, setting it to, to something, right?"
561360,567440," We're going to be setting it to, um, color, but in our case it's going to be character, right? So, and that"
567440,573520," way we're going to essentially fill in everything. So maybe I'm going to put like this here, right?"
573520,578720," And maybe it's going to be like that. I don't even know how it's going to look like, but I would imagine"
578720,585840," that the final result will probably look like this if I would imagine, right? Because it kind of makes sense to me."
587120,596880," Yes. Roughly. Um, cool. So let's go ahead and do that. So let's actually find the, uh, you know,"
596880,604080," left top corner. So to do that, we'll have to take the center, right? And we'll have to subtract, um,"
604080,611760," I suppose the radius from the center, right? Radius as a scalar, we'll have to convert the radius to a vector to be able to"
611760,617680," actually subtract this entire thing. So, uh, vector to II, if you take a look at implementation of this"
617680,626000," function, right? It just takes a single argument and, uh, basically splits it into like two components of"
626000,635040," the vector, right? So essentially V to II, um, two is basically V to II, right? So you can clearly see that."
635040,641440," So, um, so if you interested in any of these functions, how they work, you can easily find them"
641440,645360," within the source code of the library and they're pretty straightforward, but they're very simple."
645360,651440," Uh, you will see how they work. There's no magic in here. So we're subtracting the radius and this is"
651440,657600," essentially our beginning, right? So this is the beginning. And, uh, now we need to do the end."
657600,663600," And for the end, we're going to be adding the radius to, to this thing. Interestingly enough,"
663600,672800," right? If, uh, the radius is three and you add, uh, three, you can go outside of the circle,"
672800,677200," right? You can go outside. You see one, two, three, but if you add three to here,"
677200,679360," you're going to be going in here and you're going to be checking the,"
682800,686240," I don't know what my, what my neighbors are doing, but anyway, so you're going to be checking"
686240,692960," extra, uh, characters. That's not going to be part of the, of the circle, right? But maybe it's not"
692960,697360," going to hurt, right? So maybe it doesn't matter because they're not going to be part of the circle"
697360,702160," anyway. So, uh, I guess that's fine. What I was thinking about, maybe we could just do something like,"
702160,708320," uh, minus one, uh, but I didn't think it matters, right? So at the end of the day, they're not going to be"
