start,end,text
0,29980," We'll be right back."
30000,59980," We'll be right back."
60000,89980," We'll be right back."
90000,119980," We'll be right back."
120000,149980," We'll be right back."
150000,179980," We'll be right back."
180000,209980," We'll be right back."
210000,239980," We'll be right back."
240000,269980," We'll be right back."
270000,299980," We'll be right back."
300000,329980," We'll be right back."
330000,359980," We'll be right back."
360000,389980," We'll be right back."
390000,419980," We'll be right back."
420000,449980," We'll be right back."
450000,479980," We'll be right back."
480000,509980," We'll be right back."
510000,539980," We'll be right back."
540000,569980," We'll be right back."
570000,599980," We'll be right back."
600000,629980," We'll be right back."
630000,659980," We'll be right back."
659980,689960," We'll be right back."
689960,719940," We'll be right back."
719940,749920," We'll be right back."
749920,779900," We'll be right back."
779900,809880," We'll be right back."
809880,839860," We'll be right back."
839860,869840," We'll be right back."
869840,899820," We'll be right back."
899820,929800," We'll be right back."
929800,959780," We'll be right back."
959780,989760," It's stuck."
989760,1019740," We'll be right back."
1019740,1049720," We'll be right back."
1049720,1079700," We'll be right back."
1079700,1109680," We'll be right back."
1109680,1139660," We'll be right back."
1139660,1169640," We'll be right back."
1169640,1199620," We'll be right back."
1199620,1229600," We'll be right back."
1229600,1259580," We'll be right back."
1259580,1289560," We'll be right back."
1289560,1319540," We'll be right back."
1319540,1349520," We'll be right back."
1349520,1379500," We'll be right back."
1379500,1409480," We'll be right back."
1409480,1439460," We'll be right back."
1439460,1469440," We'll be right back."
1469440,1499420," We'll be right back."
1499420,1529400," We'll be right back."
1529400,1559380," We'll be right back."
1559380,1589360," We'll be right back."
1589360,1619340," We'll be right back."
1619340,1649320," We'll be right back."
1649320,1679300," We'll be right back."
1679300,1709280," We'll be right back."
1709280,1739260," We'll be right back."
1739260,1769240," We'll be right back."
1769240,1799220," We'll be right back."
1799220,1829200," We'll be right back."
1829200,1859180," We'll be right back."
1859180,1889160," We'll be right back."
1889160,1919140," We'll be right back."
1919140,1949120," We'll be right back."
1949120,1979100," We'll be right back."
1979100,2009080," We'll be right back."
2009080,2039060," We'll be right back."
2039060,2069040," We'll be right back."
2069040,2099020," We'll be right back."
2099020,2129000," We'll be right back."
2129000,2158980," We'll be right back."
2158980,2188960," We'll be right back."
2188960,2218940," We'll be right back."
2218940,2248920," We'll be right back."
2248920,2278900," We'll be right back."
2278900,2308880," We'll be right back."
2308880,2338860," We'll be right back."
2338860,2368840," We'll be right back."
2368840,2398820," We'll be right back."
2398820,2428800," We'll be right back."
2428800,2458780," We'll be right back."
2458780,2488760," We'll be right back."
2488760,2518740," We'll be right back."
2518740,2548720," We'll be right back."
2548720,2578700," We'll be right back."
2578700,2608680," We'll be right back."
2608680,2638660," We'll be right back."
2638660,2668640," We'll be right back."
2668640,2698620," We'll be right back."
2698620,2728600," We'll be right back."
2728600,2758580," We'll be right back."
2758580,2788560," We'll be right back."
2788560,2818540," We'll be right back."
2818540,2848520," We'll be right back."
2848520,2878500," We'll be right back."
2878500,2908480," We'll be right back."
2908480,2938460," I'm hungry."
2938460,2968440," We'll be right back."
2968440,2998420," We'll be right back."
2998420,3028400," We'll be right back."
3028400,3058380," We'll be right back."
3058380,3088360," We'll be right back."
3088360,3118340," We'll be right back."
3118340,3148320," We'll be right back."
3148320,3178300," We'll be right back."
3178300,3208280," We'll be right back."
3208280,3238260," We'll be right back."
3238260,3268240," We'll be right back."
3268240,3298220," We'll be right back."
3298220,3328200," We'll be right back."
3328200,3358180," We'll be right back."
3358180,3388160," We'll be right back."
3388160,3418140," We'll be right back."
3418140,3448120," We'll be right back."
3448120,3478100," We'll be right back."
3478100,3508080," We'll be right back."
3508080,3538060," We'll be right back."
3538060,3568040," We'll be right back."
3568040,3598020," We'll be right back."
3598020,3628000," We'll be right back."
3628000,3657980," We'll be right back."
3657980,3687960," We'll be right back."
3687960,3717940," We'll be right back."
3717940,3747920," We'll be right back."
3747920,3777900," We'll be right back."
3777900,3807880," We'll be right back."
3807880,3837860," We'll be right back."
3837860,3867840," We'll be right back."
3867840,3897820," We'll be right back."
3897820,3927800," We'll be right back."
3927800,3957780," We'll be right back."
3957780,3987760," We'll be right back."
3987760,4017740," We'll be right back."
4017740,4047720," We'll be right back."
4047720,4077700," We'll be right back."
4077700,4107680," We'll be right back."
4107680,4137660," We'll be right back."
4137660,4167640," We'll be right back."
