start,end,text
0,9520," Hello and welcome to another Zodian session. How about that? So today is Thursday, if I'm not"
9520,15360," mistaken, and today we're going to continue developing our programming language called Bang,"
15360,22080," which resides for some reason in a repo called BM. And this is because it's a build on top of"
22080,26800," the virtual machine called BM. You can find the source code of this thing in the description. And"
27360,32640," in the previous episode, we were working on compiling loops. So you can find the previous"
32640,39360," episode in the description. We successfully managed to implement the compilation of the while loop. And"
39360,45760," today we're going to work on something else. I suppose we're going to try to work on compiling"
45760,54080," procedures. Because right now we can only compile one single procedure, which is main. So since I'm"
54080,60320," trying to get the language to a usable state as quickly as possible, I'm taking a lot of shortcuts,"
60320,67760," and one of the shortcuts was that we can only have one procedure. So maybe today the time has come to"
67760,73520," finally get rid of that limitation. So let's take a look. Let's take a look at what we need to do in"
73520,80720," here. So I think I even have an issue for that, if I'm not mistaken. Does not support additional procedures."
80720,87120," Yes, it is a thing in here. It is a thing. It does not support additional procedures. So let's see what"
87120,92000," we can do about that. So do we need to fetch the other stuff? I don't think I need to fetch the other"
92000,98560," stuff. All right. So let's take a look at our example. So we have a very simple example in here,"
98560,104400," as you can see. It's a single procedure, because our language supports only single procedure. And it just"
104400,111600," like loops 10 times and prints. Hey, we can try to run this entire thing and see if it works exactly"
111600,118640," as it's supposed to work. And there you go. It seems to be working. It seems to be twerking. So if you try"
118640,127760," to add another procedure in here, for instance, something like proc foo, right, there we go. And then you try to"
127760,133280," write something inside foo, this will not compile. And it will produce a hilarious error message."
133280,141920," Bang does not support additional procedures. Only main. We are working on adding more procedures."
141920,148080," Stay tuned. So, and that's precisely the topic of today's session, right? That's precisely the topic"
148080,155280," of today's session. We're going to be adding more procedures. We're going to be adding more procedures."
155280,162560," That's actually quite, quite funny. So, yeah. And we can remove all of that. And if you try to run it"
162560,168880," one more time, it is working. It is twerking. So let's create a separate branch for this specific issue."
170800,179200," It's going to be for 415, right? And how are we going to be doing all of that? So I think we need"
179200,183520," to find a place where we're compiling all of this. So it should be located somewhere in the compiler."
183520,190080," Right. It has to be something like compile bang module, right? So this is where we compile the module."
190080,196560," Okay. So we're just iterating through all the top level definitions and top level definition"
196560,204320," is basically either variable definition or a procedure definition, right? So right now we only have two"
204320,210320," top level definitions. So if you encounter a variable definition, you just compile it as it is. If you"
210320,218240," encounter a procedure definition, you look if it's main, right? You look if it's main, then you set up the"
218240,225600," entry point for the Basm context and so on and so forth. And if it's not main, you throw that error message"
225600,230720," saying that we don't have more procedures, right? We also check for the redefinition of main. So yeah,"
230720,240320," yeah, yeah. So how would you? So here's an interesting thing. How would you generally, generally compile,"
240320,248960," compile a procedure, right? So let me see, let me see. So let's actually go to the drawing board. And let's"
248960,257600," imagine that you have a procedure Foo, yet again, right? Which basically writes Foo as before."
257600,266240," Well, first of all, you will probably generate some sort of a label, right? Indicating the procedure. And how"
266240,274720," do you usually enter a procedure and enter a procedure in BM, right? In BM, we have two instructions to for"
274720,282160," working with procedures. It's call and return, right? So we can even take a look at the definitions of"
282160,289120," those instructions in BM.c. So here is the definitions of all the instructions. We have 64 of them."
290000,295680," And if you take a look at the call, well, it's not class. Why do they type class? Call. There we go."
295680,302000," So it's an instruction that has a single operand, right? As you can see, it has an operand. And the"
302000,310160," operand type is an instruction address, right? As far as I know, it... Oh, and it also produces an instruction"
310160,317120," address output, right? So this is quite interesting. So it accepts instruction address as an operand,"
317120,323120," right? And also pushes on the stack another instruction address. All right, let's take a look"
323120,328320," what's going on in here. So if you have a particular procedure somewhere here, right? So here is the"
328320,334960," procedure. And then in BM, you call Foo. What is going on, right? Foo is an instruction address."
335520,342080," So what this function will do... Instruction, not function. It will take the address of the next"
342080,348560," instruction, right? It will take the address of the next instruction and push that thing onto the stack,"
348560,360880," right? All right. So red address. So it pushes onto the stack and jumps to here, right? So it remembers where"
360880,368320," it needs to return and jumps to the particular label, to the particular address rather. Then you execute"
368320,373600," the instructions of the address, and then you can use a return instruction to return back"
373600,382960," to the original location. So what return does... What return does... Yeah. It takes"
382960,390160," instruction address on the stack, right? It takes the instruction address on the stack and just jumps to it,"
390160,396320," consuming the instruction address, right? So usually a procedure in Basm, right? A procedure in Basm will"
396320,404240," look like this, right? Right. So you have a label that indicates the beginning of the procedure,"
404240,409520," right? Then you have an instructions, and then you have the return address, a return instruction to return"
409520,416080," back to the core. So yeah, that's basically how it looks like. And this is what we need to compile"
416080,422960," our procedure into. Right. So, but here's an interesting thing. Usually the entry point,"
422960,431120," the entry point procedure doesn't look like this, right? Usually when you have something like main,"
431120,437840," right? You have something like main, you have the instructions of the main, right? And then instead of"
437840,444560," return, you're supposed to put halt. And halt is a special instruction that holds the virtual machine."
444560,451040," So the reason why it is like that is that because there's nowhere to return. So the execution just"
451040,457920," starts from the main. And where does it return? It returns nowhere. So the only thing you can do after"
457920,463440," you're done executing your entire program is just hold the entire virtual machine. So essentially,"
463440,470400," we need to distinguish between a procedure that is a regular procedure that has to use return to return"
470400,477440," from itself, right? And also an entry point procedure that holds at the end. What's interesting is that"
477440,484480," there is more than this kind of differences between these kind of procedures, the entry point one and not"
484480,492000," entry point one. When you enter the procedure, you have the return address on the stack. And you also"
492000,498160," use the stack for other mathematical operations. So you constantly will have to keep track of,"
498160,502720," oh, okay, so I have a return address. I should not corrupt it and should not lose it. Otherwise,"
502720,510160," I won't be able to get back, right? And in the main, you don't need to do that because there's no way to return."
510160,516960," And so that you don't, because of that, you don't have to maintain the return address. So these become"
516960,524000," two completely different procedures that have to be compiled and handled differently throughout the whole"
524000,531680," like execution, which is kind of what makes it difficult to generalize just compilation of the"
532640,541920," of the procedures. I have the following idea. What if we make the main just a regular procedure, right?"
541920,549280," So it's going to be a regular procedure. And essentially, we're not going to set the entry point, the entry"
549280,557680," point to the main. We're actually going to generate a completely separate entry point that jumps to the main."
558480,563120," Right. So in that entry point is going to look like this, right? So it's going to be something like this."
563120,568480," If you program in bank, you will never actually define this entry point directly. What you will"
568480,574640," have to define, you will have to have to define the main procedure and the entry point will be generated"
574640,579200," for you by the compiler. And the entry point will look like this, right? So it's going to be entry."
579200,588240," And what you're doing here is you just call main. You just call main. And after main returns from its"
588240,597520," execution, you just hold. That's it. So that way, you can compile main as a regular procedure."
597520,603760," So you can just have a single procedure in the compiler and single process in the compiler that"
603760,609200," just compiles procedures and the procedures look the same. They all have the return address on the stack"
609200,615120," and they all end with the return using that return address. And the entry point just calls to that main"
615120,620880," function. And when main function returns, it just puts the whole thing here and it simplifies everything."
620880,622560," It simplifies everything. It's beautiful."
623120,632480," So as a matter of fact, that's precisely how C programs work on Linux specifically. On Linux, right, if you"
632480,642000," have a C program, right, if you have a C program that looks like this. Let's actually write a hello world."
642000,645280," This is going to be a hello world."
650560,655600," This is not how you do that. Okay. So this is going to be a slash n. And let's recompile this entire thing."
655600,662800," It's going to be all main main.c. Okay. I didn't want to return. I removed it. And there we go."
662800,667920," You have a hello world. So let's actually try to compile this entire thing with the debug information"
667920,674320," and see what's going on. There we go. We now have a debug information and I can do GDB on this entire thing."
674320,680160," And I'm going to break on main. I'm going to run it and let's take a look at what's going on. Okay."
680160,687600," So we are inside of the main procedure. If you take a look at the stack, it just shows me."
687600,699520," Okay. Thank you. What if I disable all of the optimizations? Will it work?"
700240,709680," Or is that how the debug information usually generated, right? If I take a look at the T? Apparently it doesn't show that."
709680,717760," Apparently it doesn't show that. But the point is, as far as I know, GCC and maybe other compilers first generate"
719680,729840," a start function, right? A start function, which already calls a main function, right? Which already calls main function."
729840,739840," And after main function has finished executing, it just calls the exit syscall of Linux and it's actually kind of similar to what we're trying to do with our virtual machine."
739840,747280," So Linux start. Why does the user start in C?"
747280,750000," Yeah. So people talking about it. It is a thing."
753440,761360," Oh yeah. So you can actually define this thing yourself, right? You can define this thing yourself, but you have to do no start files."
761360,769440," Symbol starts is an entry point of your program. That is the address of the symbol is the address jump to on program start."
769920,776800," Normally the function with the name underscore start is supplied by the file call CRT zero. Yeah, I remember that. Which contains the startup code, blah, blah, blah."
776800,782160," It populates argv and then it calls main and then it calls exit."
782160,790480," Right. If the program does not want to use CRT, you can use start. The thing about the exit, by the way, is that if you don't call exit syscall,"
790480,796400," your program is not going to finish correctly. It's just not going to finish correctly."
796400,804400," Basically, the program cannot just stop executing. It needs to tell an operating system that it's done executing."
804400,809520," So operating system can unload it from the memory. And that's what exit syscall is usually used for."
809520,815200," And it's precisely our case, right? It's precisely our case with the virtual machine, right?"
815200,820640," Our virtual machine cannot just stop executing. It always keeps executing the next and next instruction."
820640,828640," So what it needs to have, it needs to have a special instruction that tells the environment or the virtual machine itself that I'm done executing."
828640,834640," That's it. Stop me. I'm loaded from memory. Full stop. Right. And that's actually kind of a similar situation."
834640,841440," It's actually kind of a similar situation. So we can actually try to do that. I kind of want to try to compile this example."
841440,845600," put gcc no start files and just, you know, see what's going to happen. It's kind of interesting."
845600,849120," All right. So I have main.c."
849120,855280," Oh yeah. So if I try to just define something like this, right?"
855280,863280," Will that even work? So it's going to be gcc no start, no start files."
863440,871440," Okay. So what we will see implicit declaration of main. So that's probably means that I need to put start below the main."
871440,880320," So what else do we have in here? Exit. Implicit declaration of exit. I think exit is located somewhere in lib, stdlib."
880320,886160," And it worked actually. It actually worked. That's kind of interesting."
