start,end,text
480,7600," hello and welcome to another soothing session how about that uh how about that i bet you didn't"
7600,13200," expect that to happen yet again it's every day pretty much so today we're going to continue"
13200,19520," working on the wank tile project that's right so yeah we've been working on this project for"
19520,25120," several days already and the more i work on this project the more i want to work on it even further"
25120,30960," because it's such an awesome thing i didn't expect that such a simple idea would yield such"
30960,36960," awesome results and it's like really really interesting to explore uh you can find the"
36960,42800," source code of the thing we're doing uh in here in the chat if you're watching on twitch if you're"
42800,52480," one of those youtube people you can find a source code in here so what is wank tiles well uh specifically"
52480,58400," we're talking about uh in in this in the scope of the project we're talking about two colored wank"
58400,67520," tiles so they have two colors so wank tile is a square tile right each side of which can have two"
67520,74400," different cores and what you need to do you need to basically tile an infinite grid um maintaining the"
74400,82720," following restrictions the tiles with the same color can be only placed uh um adjacent with the tile with"
82720,88080," the same color does make any sense right so uh basically like a domino game right but with the"
88080,97520," colors of the sides right and uh the cool thing is that uh you can actually make tiles look however you want"
97520,107600," for example we generated two uh kinds of tiles uh so and each tile on its side has one of two colors"
107600,113920," and if you use these style sets to produce the uh to tile the grid they will look like this so this is"
113920,120000," the result of the first one and this is the result of the second one right so they use the same principle"
120000,123360," they use the same principle of having two colors on the side and you can also place"
123360,132720," uh like the same color suggesting to each other so and um the idea of this specific project is to"
132720,141040," actually generate the uh wing tile grid based on the definition of a simple single function so this is"
141040,148880," the function this function accepts two parameters something called bltr and uv so bltr is a bit mask"
149440,159040," four bits beat mask uh each bit of which represents a side in the following order um bottom left top right"
159040,166560," and if the uh beat is zero that means that side has one color if that bit is one that means that side has"
166560,176960," a different color so basically a single four beat mask describes the whole tile uv is a coordinate on the"
176960,184080," texture of that tile and that coordinates a coordinate is normalized from zero to one right so and it's"
184080,188560," resolution independent because of that so you can make the tile of whatever resolution you want whatever"
188560,193600," ratio you want these coordinates are going to be normalized from zero to one so and what this"
193600,201280," thing does given these two parameters it produces the rgb color the pixel of this style at that specific"
201280,207760," coordinates so you can think of this thing as the fragment shader the fragment shader which generates"
207760,215360," the the tile given the tile description and the coordinates of the pixel on that tile so and as a"
215360,223040," matter of fact both of these style sets were generated from one single function like that seriously like"
223040,231200," both of these things were generated from that single uh shader function so and yeah uh the entire rendering"
231200,236880," we wrote the program that performs the entire rendering uh in three phases first we render the"
236880,244640," atlas basically the full wank tile set here are the atlases and then we generate the grid basically"
244640,252320," generating a sequence of these beat masks making sure that they um you know maintain the constraints"
252320,258400," how to say what's what's the verb uh comply to the constraints i suppose making sure that they comply"
258400,265680," to the constraints and once we have the um um you know the grid and the atlas we're using the both to"
265680,271760," to generate the final image in here all right so and this is basically what we were working on for"
271760,278560," the past like five or four days i don't remember for sure but on the youtube daily there is a playlist"
278560,286880," where you can watch the development of this project from scratch uh right so let's go sorting daily right"
