start,end,text
800,6560," Looks like we're live! Hello everyone and welcome to yet another recreational programming session"
6560,11360," with Azusa. Let's make a little bit of an announcement and this is the stream"
11360,21200," as usual as usual so let's do the usual red circle live on Twitch and what are we doing today on"
21200,31600," twitchad.television website. Today we're doing a custom build system for c ditch your cmake"
31600,37040," bruv so i'm going to also ping everyone who's interested in being pinged and i think i forgot"
37040,40480," something i think i forgot to give the link where to where we're doing all of that we're doing all of"
40480,49520," that on twitch.tv/todding and there we go the stream has officially started the stream has officially"
49520,57040," started hello hello welcome welcome welcome how are you guys doing today so today we're going to"
57040,62560," continue working on a custom build system for mutualizer i'm going to give this link in the"
62560,67440," chat for anyone who's interested and for people on youtube of course it's going to be in the description"
67440,73120," right i've already put it in the description and interestingly enough that build system is basically"
73120,79280," like another iteration of something that that i developed before which is no build right to get"
79280,84960," the idea of this build system i'm going to also give the link to the snow build thingy and for"
84960,90720," people on youtube of course it will be in the description but the idea is essentially writing the"
90720,98480," build scripts in c which is rather an interesting idea so it's specifically for c projects right it works"
98480,105200," specifically for c projects essentially if your project is written in c and your build system is also"
105200,113840," written in c the only thing that you need to build your entire project is just a c compiler right so"
113840,118640," that means with the c compiler you will be able to bootstrap your build system and then you run this"
118640,124960," build system and the build system builds everything else that's a very interesting and powerful idea"
124960,133280," actually because um these days to build a c project you need a lot of external third-party programs you"
133280,140720," need not only just a compiler but you also need uh some sort of a like a build system right low level"
140720,150000," build system something like make or ninja these are low level build systems right so they're not meant to be used by humans"
150560,157040," so on top of those build system you need to have a higher level build system like auto conf or cmake"
157040,164880," that generates you make file or a ninja file so you have like two layers of these things right so and"
164880,170480," on different platforms under different circumstances you need different kind of programs and it's just like"
170480,177920," it's an insanity it's a freaking insanity especially if you're making very simple c project that only"
178880,185520," you know um requires like one line like compiling one translation you need like why do you need this"
185520,193600," extra complexity why so you have a c project you use a c compiler to build the get damn c project"
193600,200400," why do you need anything else i don't freaking know right so and this is basically the idea behind no build"
200400,207600," uh the execution is kind of near of this idea so that's why i'm reiterating on that execution one more"
207600,215200," time so we can take a look at how it looks like in uh mutualizer right now right so in mutualizer uh"
215200,221920," there are two important files i would say it's a knob.h and knob.c so essentially the the next iteration"
221920,228320," of build uh i decided to call it knob because it's shorter which means that i can use that word as a"
228320,233440," prefix for the functions for the library and stuff like that right so in the main build system is actually"
233440,239760," implemented in a header right it is implemented in a header so that's the entirety of the build system"
239760,247520," it's just a single text file text file not a binary executable not some sort of like a binary library"
247520,256560," that you link with it's just a text file so and it contains uh standard compliance c code uh right and"
256560,263920," in fact it contains cross-platform code right so because it includes uh windows stuff and posix stuff"
263920,272640," so if your code uses this library it will be compilable on linux mac os and windows it will work on the major"
272640,277200," three operating system maybe more because it's not only linux it's actually posix there are way more"
277200,282000," posix operating systems than windows windows is just one operating system the rest of the operating"
282000,288880," system is posix so which is not entirely true like there are some exotic things like temple os"
288880,293840," they're not particularly posix but anyway you get what i mean uh you get what i mean so and"
293840,298560," essentially the reason why i wanted to call it like knob like a short name is because"
298560,305120," uh i will be able to not repeat the mistake of ray leap i still do believe that it's a mistake even"
305120,312800," though it is advertised as a feature of ray leap uh i deeply respect ray san uh but i disagree with him on"
312800,318880," that part i disagree with him with him on that part and i was actually spend way more time than i should"
318880,325680," have on things because of the lack of the prefixes but let's put that aside uh let's put it aside so"
325680,330960," anyway uh because it's a short name it's very easy to put it as a prefix for all of these functions in"
330960,336400," here so i it creates some sort of like a name spacing in a language without namespaces it would be perfect"
336400,340960," if the language just had namespaces right so you wouldn't have to worry about that but it is what it"
340960,345920," is and it isn't what it isn't the most popular language one of the most popular languages on the planet"
345920,353920," earth uh it actually doesn't have namespaces right so the current uh most popular language on the planet earth"
353920,359520," right now is python in the previous decade it was java so what's interesting is that throughout"
359520,366640," several decades the most popular language is always different but the second most popular language is always c"
367920,374400," it is always c which actually hints you something which which actually hints you something the actual"
374400,383040," the king of programming is c the things that are on top are the the jesters right so the the actually"
383040,389520," jesters because as we know the jesters always get more attention than the king while the king doing the"
389520,392000," actual work anyway so"
392000,403920," so and um yeah so it would be kind of nice if the king of programming at least had namespaces"
403920,409440," that would have been cool uh right but we don't have it so we kind of stuck with what we have"
409440,417600," so essentially uh nope nope.c is your building script right nope.c is your building script and what"
417600,424720," you do in this thing you include uh nope.h and it's sdb um style header only library right so"
424720,430720," uh that's why you have to do no no implementation to sort of tell this header to act also like a c file"
430720,436000," uh right and it will include implementations right so there's some you know um you know auxiliary code"
436000,440240," that can constructs things but whatever it doesn't really matter so what's interesting is the main"
440240,447200," right in the main we don't really do anything particularly special we just parse command line arguments"
447200,451600," and um you can do whatever you want in it programming in this build system feels like"
451600,458960," programming in shell button c but also you don't need shell you don't depend on any particular shell"
458960,462880," uh but because it's a real programming language you can do whatever you want so for example i build a"
462880,470080," small like very simple system of sub commands right so i have two sub commands like build and logo logo"
470080,473040," just builds resources and stuff like that the most important one is build"
474080,480720," right and here it just uh parses the command flags and uh then it just builds everything so the first"
480720,487680," thing it does it creates a folder if it doesn't exist so the first function uh the first function"
487680,493680," is as simple as that if you want to create a folder uh you just do it like that and that will work"
493680,501440," on linux windows mac os seriously i'm not even joking right so uh you may think that like how i"
501440,505600," create a window it's only going to work on linux no no no this specific line of code will work on windows"
505600,512800," as well so i'm going to show you knob.h so let's actually find it uh there we go so and windows as"
512800,518880," far as i know it has make dir from posix but it doesn't accept accept the the mode of the file but yeah"
518880,522880," as you can see we actually distinguish between the like a windows mode and non-windows mode and we"
522880,528160," handle everything correctly there's also copy file which is different depending on the operating system"
528160,534000," for example on windows we just use copy file on linux we uh you know copy file by by chunks and stuff"
534000,538960," like that so each function if needed if it's not cross-platform it actually distinguishes between"
538960,544320," operating system windows or posix and has windows and posix implementation so that way if you write"
544320,550080," this sort of script it is cross-platform it is straight up cross-platform so and uh the next"
550080,556160," thing we do we build the mutualizer but the mutualizer has a like a little bit of a configuration right so"
556160,561360," the mutualizer right now has several targets you can build it for linux you can build it for windows"
561360,566480," and also you can enable or disable hot reloading do you guys remember we had some sort of hot reloading"
566480,571840," where you can modify the code and just press a button and it automatically hot reloads you have to build"
571840,578320," this thing differently you have to uh build it differently and because of that we pass a boolean"
578320,585440," indicating that like build it for hot reloading or for not hot reloading uh right so and after you build"
585440,591440," an executable right uh so we we can copy additional resources to the entire thing so okay let's take a"
