start,end,text
0,14000," *music*"
30000,54000," *music*"
60000,70000," *music*"
70000,80000," *music*"
80000,84000," *music*"
84000,88000," *music*"
88000,98000," *music*"
98000,104000," *music*"
104000,110000," *music*"
110000,116000," *music*"
116000,118000," *music*"
118000,120000," *music*"
120000,122000," *music*"
122000,124000," *music*"
124000,126000," *music*"
126000,128000," *music*"
128000,130000," *music*"
130000,132000," *music*"
132000,134000," *music*"
134000,144000," *music*"
144000,146000," *music*"
146000,148000," *music*"
148000,150000," *music*"
150000,152000," *music*"
152000,154000," *music*"
154000,183980," Thank you."
184000,213980," Thank you."
214000,243980," Thank you."
244000,273980," Thank you."
274000,303980," Thank you."
304000,333980," Thank you."
334000,363980," Thank you."
364000,393980," Thank you."
394000,423980," Thank you."
424000,453980," Thank you."
454000,483980," Thank you."
484000,513980," Thank you."
514000,543980," Thank you."
544000,573980," Thank you."
574000,603980," Thank you."
604000,633980," Thank you."
634000,663980," Thank you."
663980,668600," Hello, welcome, welcome, welcome, welcome, really glad to see you all today."
668600,675620," So, today is Saturday and today I felt like programming in a very interesting language."
676280,681460," Hello, Kaku Gaming, AWS Key, Mcore69, Benny Darshan."
681460,683160," Hello, hello, hello. Welcome, everyone."
683160,684820," So, yeah."
684820,690180," So, the previous year, we were doing Advent of Code 2020."
690180,696240," You can actually find the source code for all of the solutions in here, right?"
696240,699720," So, Advent of Code of 2020 was very interesting for me"
699720,703720," because I was doing 25 different languages challenge, right?"
703720,706340," So, for each problem, I was using a different language."
706340,709600," And there were a lot of languages that I never programmed before."
709600,711940," So, I jumped into them, like, completely blindly."
711940,714840," And one of those languages was Ada."
714840,718660," And I think Ada actually fascinated me."
718660,723180," And, well, there's nothing particularly, like, special about this language,"
723180,727180," except I didn't expect it to be a good language."
727180,734900," Like, it's actually, like, a proper language of the level of C, C++, D, or Rust."
734900,738120," But it's such an old language, seriously."
738120,740320," Like, it's from 80s, I think."
740320,741380," I think it's from 80s."
741380,742340," It's a very old language."
742340,745600," But at the same time, it has a lot of modern features."
746480,749740," So, I just, like, it caught me slightly off guard"
749740,752240," that it's going to be such a good of a language,"
752240,754880," even though it has a very boomerish syntax."
754880,758600," If you know what I mean, like, very Pascal-ish one, I would even say."
758600,760140," You see, it's kind of verbose."
760140,761680," It's like 80s syntax."
762280,767140," The syntax of SQL and other boomer languages and Pascal and stuff like that."
767140,769820," Nobody actually, like, designs syntax like that anymore."
769820,773200," C style syntax took over everything."
773200,775040," And, yeah."
775040,777660," So, we don't really see this kind of stuff often."
777660,780960," And, yeah."
780960,786620," So, what I decided to do at some point is to look deeper into this language"
786620,789620," because it's a very interesting language."
789620,791580," It's, in fact, a very interesting language."
791580,793320," It has a very interesting history."
793320,796360," So, some people say, well, a lot of people say"
796360,801360," that it's a basic language for U.S. military department"
801360,803220," because it's technically easy."
803220,805600," I think it was commissioned by U.S. military"
805600,808700," to one of the French computer scientists"
808700,810160," to design a language for them"
810160,812200," so they can use that language everywhere"
812200,813420," and it would be standardized."
813420,816480," So, yeah."
816480,820480," Today, a Russian hacker is going to program in a language"
820480,822220," designed for U.S. military."
822220,825920," And let's see how many elections we're going to hack."
825920,826840," I'm joking, of course."
826840,827840," It's just a joke."
827840,829560," So, yeah."
829560,834920," Furthermore, there is an interesting framework for this language."
834920,837600," It's called AWS, believe it or not."
839060,844720," AWS is not Amazon Web Services in this particular context."
844720,847440," It's a framework for ADA"
847440,850680," and it stands for ADA Web Server."
850680,851780," Right."
851780,853760," So, and I'm not even joking."
853760,856160," It's literally called AWS, ADA Web Server."
857440,860940," So, and among the authors, there is also a Russian dude."
860940,865840," So, as you can see, Russians infiltrated, like, U.S. military long time ago."
865840,868500," So, yeah."
871100,873280," So, yeah."
873280,878100," It can do, well, it can do very, very scary stuff."
878100,881020," Like SOAP and WSDL."
881020,888200," But on top of that, it can do HTTPS and SSL and hot plug, gotcha gasm?"
888200,889840," Hot plug modules."
890000,890480," Okay, okay."
890480,892080," So, it can also do hot plug modules."
892080,896100," So, and overall, it's like a web framework."
896100,897600," I think it can do even more."
897600,901460," I think I saw, like, web sockets at some point."
901460,906940," And also, it could be, like, a web client."
906940,908360," So, yeah."
908360,911480," Let's take a look into that."
911480,913080," Oh, another interesting thing."
913080,914140," Another interesting thing."
914140,917920," Hello, sorting2OS."
917920,919400," Hello, hello, stopgaming50."
919760,920380," Hello, hello, hello."
920380,922080," All right."
922080,926160," Search libaws."
926160,931440," Keep in mind that Ada is a language designed for U.S. military."
931440,933260," And it's a really underrated language."
933260,934860," You know that many people know about it."
934860,943400," But libaws is just casually available in the repo of Debian stable."
943400,946360," It's just there being available."
948920,950000," It's really strange."
950000,957940," Like, you wouldn't expect for such unpopular, obscure languages, like, to have any kind of support for anything."
957940,958860," But it's just there."
958860,960740," It's in Debian."
960940,962380," And there's, like, other compilers."
962380,965800," And also, Ada uses a special build tool, as far as I know."
965800,968040," It's called GPR build."
968040,969560," GPR build."
969560,970660," And it's also available there."
973560,981440," And all of that is developed by a company or organization called AdaCore."
981440,990120," So AdaCore has a proper web framework, a special build tool."
990780,999080," And they have an interesting website that has a very interesting theme."
999080,1001200," It has, like, this military theme."
1002800,1009620," And once you look deeper into that, it starts to feel like somebody puts a lot of money into this shit."
1009620,1014760," Like, somebody actually, like, makes sure that it's supported properly where it's needed."
1015320,1017380," Which makes it kind of creepy, to be fair."
1017380,1019960," Like, it's really strange."
1019960,1022800," And at the same time, it's not that well-known, right?"
1022800,1024300," Like, who knows about Ada?"
1024300,1026080," Who knows about this language?"
1026080,1027020," Nobody knows about it."
1027020,1028480," But at the same time, you want to program it."
1028480,1028960," There you go."
1028960,1029900," You have all the support."
1030020,1031260," Like, all the tools is just there."
1031260,1032120," Just programming it."
1032120,1032500," No, no."
1032500,1040320," So, 20% who gets moved to a budget is going to 5-3-minute programmers."
1040320,1041420," Yes."
1041420,1045640," So, to be fair, like, it feels a little bit creepy to me for some reason."
1045640,1046900," But, yeah."
1046900,1051340," How long have you been coding?"
1051340,1053140," You can check out my FAQ."
1053140,1054680," It's actually written in FAQ."
1054680,1057700," Is Luminati a programming language is confirmed?"
1057700,1059180," Yeah, that's true."
1059880,1062940," So, from some..."
1062940,1066720," Excuse me."
1066720,1069840," Oh, here are some plots."
1069840,1070860," Welcome to the stream."
1070860,1071380," Thank you."
1071380,1072040," Thank you so much."
1072040,1073880," We're looking at the..."
1073880,1078600," What the fuck?"
1078600,1081820," I need some tea."
1081820,1084400," We're looking at US military language."
1084400,1088900," The most K-Kono language you will encounter here."
1089080,1090820," To be fair, it's not particularly K-Kono language."
1090820,1092300," It was designed by a French person."
1092300,1095580," It was literally designed by a European for US."
1099680,1101660," All right, so, let's actually pour a cup of tea."
1101660,1101720," All right, so let's actually pour a cup of tea."
1102740,1121540," I'm just thinking, how did they manage to make a French computer scientist to design a language"
1121540,1121840," for US?"
1121840,1129720," My theory is they promise that they're going to use this language to write software against UK."
1132720,1147020," Okay, so let's actually install GPR build and learn it and see how we're supposed to use it."
1147020,1152160," Because, yeah, GPR build is also developed by the same company, by the way."
1152320,1154220," It's also developed by AdaCore."
1154220,1157880," And it feels like this is like the company."
1157880,1160820," And, again, we have another Russian person in here."
1160820,1161900," Is that the same Russian?"
1161900,1165060," Is that the same Russian person?"
1165740,1169840," So, the first one, Anizimkov."
1169840,1173080," Yeah, it's the same Russian, so let's see."
1173080,1176340," What the hell is going on?"
1176340,1181880," Why Russians are developing infrastructure for US military language?"
1182420,1185140," I'm telling you, they are infiltrated, the US military."
1185140,1192340," All right, GPR build, and let's install this thing and see if it's going to be successful."
1192340,1194340," We're about to find out."
1194340,1195520," Oh, we already installed it."
1195520,1197720," I guess I was already trying to do things with it."
1197720,1201720," Okay, so I don't really have a particular goal for today."
1201720,1203980," I just want to try AWS."
1203980,1206960," So, I'm going to go to the prop folder where I prop things."
1206960,1210600," And we're going to put AdaAWS."
1210600,1215560," All right, so let's see how intuitive this tool is."
1215560,1221240," Right, so I'm all about, you know, intuitive usage of tools without reading any documentation."
1221240,1224160," So, we have a GPR build."
1224160,1225300," I'm running it."
1225300,1226100," I'm running it."
1226100,1226800," What it's going to do?"
1226800,1229140," Using project, this thing."
1229140,1232540," Okay, warning, there is no sources of language Ada in this project."
1232540,1236400," GPR build, no sources to compile."
1236400,1237740," Okay, if I do help."
1239480,1243500," Russians that were recruited by CIA are recruiting Sony now."
1243500,1244380," Probably."
1244380,1247780," Maybe this is basically their way of recruiting people, right?"
1247780,1253940," So, they just put out these languages out there and see who got debated by them and start programming"
1253940,1254280," on them."
1254280,1254980," And then, boom."
1254980,1258440," Something similar to FUBAR from Google happens."
1258440,1264740," You just programming one day and, you know, the panel just shifts up and show you, show you"
1264740,1265400," like the message."
1265400,1268640," What, what, what I work for U.S. military."
1268640,1274180," You know, so something like that has been happening to me as well."
1276980,1280740," So, what do we have?"
1280740,1282380," What kind of flags do we have?"
1282380,1289040," Can I generate like a new project?"
1289040,1295520," Okay, so you have P project and you need some sort of a GPR file, right?"
1295580,1297140," Do you need some sort of a GPR file?"
1297140,1302180," Can I do something like new?"
1302180,1303420," Uh-huh."
1303420,1305680," Unit, uh-huh."
1305680,1307900," Generate, uh-huh."
1308440,1311860," Okay, so by itself, this tool is not that intuitive."
1311860,1313700," So, you need to read documentation."
1313700,1316000," All right."
1316000,1322160," So, this is a documentation for how to build the build tool."
1322160,1326300," Documentation provided in the various formats in the docs subdirectory."
1326300,1328280," You can also find it online."
1328280,1330360," Okay, let's take a look at the online documentation."
1330360,1334900," So, building with projects."
1334900,1337560," Thinking in portals."
1338440,1344280," Okay, there's a very simple example."
1344280,1349040," And as stated above, the simple project file is sufficient."
1349040,1351280," Project build is end build."
1351280,1357320," Okay, so this is the simplest project that you can have."
1357320,1358800," Build GPR."
1358800,1361560," Project build is end build."
1361560,1362240," Cool."
1362240,1364600," Let's go ahead and put it there."
1364600,1366340," Return."
1366340,1367720," Return point."
1368440,1371280," So, it has to be build GPR."
1371280,1378300," And it feels like GPR files are actually expressed in AIDA-like language as well."
1378300,1379760," So, yeah."
1379760,1386420," Project build is end build."
1386420,1389920," So, why is it highlighting is and end?"
1390000,1390460," What kind of..."
1390460,1390840," What kind of..."
1390840,1393000," Oh, it automatically..."
1393000,1393320," Okay."
1393320,1397360," So, Vim knows GPR files."
1397360,1401000," And it recognizes GPR files as AIDA files."
1401000,1403340," Okay."
1403340,1408380," So, if I don't have any source code, will it do anything?"
1408840,1409380," So, using..."
1409380,1409600," Okay."
1409600,1412180," So, it recognizes the build GPR file."
1412180,1415120," And there is no source code of language AIDA in this project."
1415120,1416640," No sources to compile."
1416640,1417700," Okay."
1417700,1420760," So, let's actually introduce something like hello ADB."
1420760,1421440," Right?"
1421520,1423200," And let's write a simple hello world."
1423200,1425040," I forgot how to write hello world to be fair."
1425040,1433460," So, we can actually store some source code from the advent of code in here."
1433460,1437900," To the advent of code in here."
1438040,1441880," So, you probably start with importing the text IO thingy."
1441880,1452300," It's going to be use AIDA text IO and use AIDA text IO."
1452300,1452960," There we go."
1452960,1454860," Then we start with the procedure."
1454860,1455140," Right?"
1455140,1456340," So, we're going to have a procedure."
1456340,1461620," Main is and it also has a begin and end."
1461620,1462440," Right?"
1462440,1464940," And also, you have to print something."
1464940,1466400," You put line."
1466400,1467680," Put line."
