start,end,text
0,4980," Hello everyone and welcome to yet another recreation programming session with Amista"
4980,12940," Zozin and his Disco T-shirt. So we've been working with Raylib for quite some time, right? So and"
12940,19880," the interesting thing about Raylib is that it has two notions for sound, right? So let's actually"
19880,27320," take a look at that. So if I go to the raylib.h, so it has a notion of sound, right? So there you"
27320,34460," go, here is the sound, and it has a notion of music. So what's the point of separate, like I mean"
34460,40280," they already put it in documentation, but the question is like what's the point of separation"
40280,46700," of these two things? And the point is that music is an audio stream anything longer than 10 seconds,"
46700,54960," right? So music is basically a long one, sound is a short, you know, music or sound. So and"
54960,61580," essentially the way it works, I think, is that a sound is loaded entirely into the memory,"
61580,68700," and music is sort of like a slowly streamed as it plays, right? Because it can be pretty big,"
68700,73260," you maybe on some platforms you don't want to actually keep the entirety of the music in the"
73260,80200," memory, right? Or at least like loading up that music is not going to take that long if you're just"
80200,85120," streaming it from from the hard drive, right? So but since the sound effects are usually very small,"
85120,89700," like loading them up into the memory, like doesn't really take that much time. But to be fair, I would"
89700,95200," like to confirm that. So if we take a look at the function something like a lot of like a load sound,"
95200,101660," not loud sound, but load the sound, right? So that's the thing that basically loads it from from the hard"
101660,109920," drive. And let's actually find the implementation of this function, right? So I'm going to actually do something"
109920,117620," like sound, loud sound. Where are, okay, so that is probably the implementation. And the first thing it does,"
117620,127040," it loads the wave. So actually, there is a third, you know, representation of sounds, it's the wave, right? So we can take a look at the wave."
127040,137960," And wave is literally the sound samples, the sound samples stored in the memory, right? So so the sound in the computer"
137960,144180," represented as samples, right? So the wave is just like a sequence of integers and wave in here, a structure wave is"
144180,152360," just like stores that. So usual small sound just loads the entirety of this thing in the memory. And then just like, you know,"
152360,157480," it parses that wave and gives you the sound object that you can then play and stuff like that. If we take a look"
157480,163920," at the load music, it actually does something slightly more interesting. I think that's the function that loads"
163920,171840," the music stream, right? So what it does, depending on the format, right? So the first thing it does, it tries"
171840,177340," to determine the format, right? So as you can see, it takes the file name, and then looks at the extension"
177340,182760," of that file name, right? And if the extension is wave, it does one thing. If the extension is OGG,"
182760,187900," it does another thing. If the extension is MP3, it does the third thing, and so on and so forth. You get"
187900,193160," the gist, right? So you get the gist. So let's take a look at the wave, right? So what it does,"
193160,199500," it allocates a little bit of memory for like a context, some sort of context, which is called"
199500,206960," dr.wave, right? And then it uses the dr.wave init file to create that context and stuff like that. So"
206960,215640," essentially, the idea is, depending on the extension, it uses different sound library to process different"
215640,223440," formats, right? So it's basically a little bit of the polymorphism in C, even though this is a pure C"
223440,229060," library, it still does a little bit of a polymorphism depending on the extension, right? So you can do whatever"
229060,236460," you want in C, right? So polymorphism is just a fancy name for dispatching, right? For dynamic dispatching"
236460,242580," at runtime. That's what literally it is, right? So in the case of the wave, it uses a library called dr.wave,"
