start,end,text
0,6080," looks like we're live hello everyone and welcome to yet another recreational programming session"
6080,13200," with a mr azuzin let's make a little bit of an announcement and officially start the stream as"
13200,21040," usual as usual red circle live on twitch and what are we doing today on twitch.a television website"
21760,32880," today we are improving improving build configuration for mutualizer i'm gonna give"
32880,41680," the link where we do know that twitch.tv/todding and i'm gonna ping everyone who's interested in being"
41680,48560," pinged so uh mutualizer is music visualizer that we're developing for quite some time already right"
48560,53200," so you can find the source code in here uh i'm gonna copy paste it in the chat and for people"
53200,58960," who are watching potentially watching all of that on youtube it is going to be in the description uh so"
58960,63840," it's a pretty straightforward application but today we're not going to talk about the application itself"
63840,71040," but rather its build system it has a pretty unique build system uh and uh that build system is written"
71040,81600," entirely in c in fact uh to build mutualizer to build mutualizer you uh don't need to uh have anything but"
81600,88480," a c compiler um right so and that's kind of the point of the entire build system so essentially you"
88480,95600," may notice that there is no make files c make or anything like that the only thing uh there is is knob.c"
96320,103600," so and that is the build system the entirety of the build system is contained within the source code of"
103600,114320," the project right so imagine if uh cmake the source code of cmake was part of the project so uh you to"
114320,120880," build your project you first have to build cmake and then use cmake to build your project you may say that"
120880,126640," it's kind of overkill but this is because the source code of cmake is over complicated and over bloated"
126640,132800," uh right so the source code of knob is so simple you can build it like this you build the entire build"
132800,139920," system that's it the entire build system is already there you you have an executable you can just run it"
139920,145680," and if you run the the executable it builds the rest of your project so and uh what's interesting is"
145680,152800," that you don't have to rebuild it right so uh the build system itself serves as the script uh as the actual"
152800,161520," instructions that uh that build your project so if you make any changes in here right so uh knob log knob"
161520,171360," info uh hello right it will automatically rebuild itself right so uh it basically renames its own"
171360,176720," executeable to knob old then recompiles and then runs the new executable and the new executable actually"
176720,182480," prints hello that hello that we uh put in here right so we can remove it and it will rebuild itself"
182480,191200," automatically right so the the whole point is that you bootstrap the build system once with a very simple"
191200,201040," command which is just cc dash o uh knob knob knob dot c and that is it you don't do anything else and any"
201040,208480," special actions should be performed by the build system itself right so and what's interesting is that"
208480,216320," there is a very common problem with cmake and auto tools and stuff like that is that uh you may have a"
216320,222720," build system um you know the script itself of the build system that is not compatible with the current"
222720,230160," version of cmake or auto tools it's not uncommon when you have to install a very specific version of cmake"
230160,237120," or very specific version of auto tools just to build a very specific project since the entirety of the source"
237120,245440," code of the of the build system is contained within the project you never have this problem you actually"
245440,252160," never have this problem so this is kind of cool uh right so that's basically the the unique build system"
252160,258480," of mutualizer and uh so today i would like to address a very interesting problem that we have with this"
258480,264160," entire thing uh the build system the specific implementation in this project has a configuration"
264720,269440," right and configuration has a few parameters right now it has three but i actually plan to have many"
269440,274320," of them as the project grows uh we're going to have more and more different parameters to customize"
274320,279680," for the project so as right now we have a target right so basically you can build for linux you can"
279680,285280," build for windows you can build for mac os a hot reloading is a special feature for developers of the"
285280,291760," project all right so basically an ability to make changes within the project and hot reload uh without"
291760,297440," restarting the project it is very convenient i use it all the time for developing ui uh right it's kind"
297440,303440," of like it's very difficult to develop ui without this feature and uh here we have a feature flag so we"
303440,309840," have unfinished feature uh which uh i don't want to enable yet so i put it behind the feature flag so"
309840,314720," unless you enable it the entire feature is disabled and as we develop more and more different features"
314720,319440," we're going to have more feature flags so this entire thing is going to be more and more complicated"
319440,325920," right so the way it works the way it works uh when you start nope for the first time we can actually"
325920,332640," try to maybe start it for the first time but it's going to rebuild the array leap right so it may take"
332640,337120," a little bit of time but maybe it's worth it actually when you start it for the first time it generates"
337120,345840," you a config file right so build build config right so and if you uh look in here uh you will find it in"
345840,351280," here and you can actually manually change these parameters uh there is also config subcommand"
351280,355280," that allows you to change these parameters via the flags and stuff like that it doesn't really matter"
355280,361520," uh right and then uh it just uses that specific configuration to perform the build"
361520,371600," to perform the build the inconvenience of this approach is that we have an extra code that uh generates the"
371600,377680," the configuration parses the configuration serializes and deserializes the configuration right and all of"
377680,384640," that code is located within knob.c right all of that code is located within knob.c so we have a special"
384640,389600," structure called config and here are all of these parameters in here again there's not that many"
389600,396560," parameters but i do plan uh to have more of them so this entire thing has to be i'm gonna say that word i"
396560,402400," like get ready i get ready i'm gonna say that word the whole thing has to be scalable"
402400,412960," i just said that word anyway so the whole thing has to be scaled right you know what i mean uh so"
412960,422720," and uh yeah so we have quite a few code to compute the default configuration to parse the configuration from"
422720,429360," the arguments right so part the configuration from the arguments then log configuration dump configuration"
429360,438640," like look how much code we have just dedicated for handling configuration just for handling configuration"
438640,446400," it's freaking insane and if i want to add another parameter to my configuration it's a major pain in the ass"
447280,457280," it's a major pain in the ass it's not scalable right so uh we can try to to do that right so let's actually"
457280,465440," add a parameter um like a boolean parameter uh which is going to maybe enable uh like a nightly mode i don't"
465440,471440," know uh what that means right but maybe some sort of like a nightly mode for using application at night if"
471440,477840," you just add this parameter to this structure nothing is going to happen like literally nothing"
477840,483440," is going to happen it's not going to pick it up or anything like that it's it's like useless you have"
483440,489600," to perform additional things uh to actually you know make that work right so we have a special function"
489600,496800," that initializes the default config okay so default config is mem set to zero and that means that the nightly is"
496800,501840," going to be by default false that is fine so maybe we don't have to attach this specific function we can"
501840,507600," just skip it parsing the configuration from the arguments now we have to think about like what kind of"
507600,514400," uh flag we're going to assign for the nightly mode right so we can say that it's going to be"
514400,523440," uh minus n right if the flag is minus n what we have to do uh what we have to do we have to just enable"
523440,530640," the the nightly mode right so and you would think okay so that is enough no this is not enough right"
530640,536880," so this is only to handle the arguments of the config subcommand right of the config subcommand"
536880,543200," so now we're also logging the configuration when we are building you probably noticed then when i build"
543200,548640," this entire thing i also print the configuration so i always know what exactly i'm building with what"
548640,553920," configuration and stuff like that this is very important this is a very important ux uh so you"
553920,560720," should not forget to add nightly in here right so and nightly as we know is a boolean right so it can"
560720,566960," be enabled or disabled so that's basically what we're doing here that is not enough as well we need to be"
566960,573120," able to serialize the config when we're saving that configuration right so here is the dump config to file"
573120,579600," so and essentially what we have to do we have to add a new nightly thing in here uh like so uh luckily"
579600,586560," you can easily copy paste all of that right so but now we should be able to uh i think parse the"
586560,592400," configuration is that it i think that's basically it so uh not really okay loading the configuration"
592400,599840," right so essentially uh when you encounter a new flag like nightly uh you should essentially uh"
599840,607760," parse the boolean right you should essentially parse the boolean and i think that is it i think that's all"
607760,613440," of the actions you have to perform just to add a new boolean field but this is just a boolean adding"
613440,618480," boolean fields is easy because we have already developed code for it like a parse boolean and stuff"
618480,624400," like that if i want to add a flag of a different type good luck you need to add support for that you"
624400,629280," need to implement special parsing and stuff like that well i mean granted over time it's going to"
629280,634080," become easier as you develop more and more different parses for different times but you get the point i"
634080,640160," just want you to add a single parameter and that's a major pain in the ads i absolutely hate it"
643680,649600," and that's what i would like to address today that's the topic for today's stream i want to get rid of"
649600,657920," all of that bush i want to get rid of all of that bush it kind of reminds me of uh stats from memcached"
657920,663600," do you guys remember the memcached stream do you guys remember memcached stream so uh for those who"
663600,668880," don't remember i think i'm going to leave the link to to that stream in the description uh and stuff like"
668880,673600," that so i think the stream was called like a best interview question or something like that so let's"
673600,680720," actually see a certain best interview question so we were hacking the memcached yeah so the"
680720,687520," best coding interview question ever uh we were hacking the source code of memcached and to add a new"
687520,696000," statistics to the memcached we had to modify i believe six or seven different places i think so is"
696000,701040," just like six or seven different places so it was freaking insane and this feels like it it feels"
701040,711040," like memcached and that is not somebody's else code this is my code i wrote this i wrote this garbage and"
711040,718640," i'm responsible for that so i need to fucking fix that i need to fucking fix that so when i was actually"
718640,725600," writing that i thought uh like i'm gonna just implement something to gather information right and i suppose i did"
726000,734080," i understood that this approach is so i mean to be fair how else would i knew"
734080,736480," that this approach is if i didn't try it"
736480,745520," so yeah you around and you find out so that's exactly what happened so i do not even regret"
