start,end,text
560,6560," looks like we're live hello everyone and welcome to yet another recreational programming session"
6560,11920," with a mr zozin let's make a little bit of announcement and officially start the stream"
11920,18240," as usual as usual so we're gonna do a red circle live on twitch and what are we doing today on"
18240,25680," twitch.at television website so today i decided to do um a relatively simple maybe not that simple"
25680,31280," but an interesting exercise uh today decided to implement a jit compiler for brain fog right so"
31280,34400," that's what we're going to be doing today i'm going to give a link to where we're doing all of that"
34400,39600," twitch.tv and i'm going to ping everyone who's interested in being pinged and there you go the"
39600,48000," stream has officially started so uh this exercise was suggested by a good friend of mine uh beat stream"
48000,55600," all right so you can actually check out uh his profile on on github so he's a he's an inspiring"
55600,61440," game developer so one of the games he released recently is this one so you may actually want"
61440,66880," to check it out so this is the exercise that he suggested and i thought that's a very cool exercise"
66880,73760," that i wanted to try uh right i wanted to try to do something related to jit for quite some time and i"
73760,80400," think uh doing the jit specifically for brain fog is ideal because brain fog is such a simple language"
80400,85520," uh right so you can google up like brain fog it's it's it's a language like with literally eight"
85520,92640," commands and it was designed specifically to make it easy to write compiles for not make it easy to"
92640,99200," program in but easy to write compiles for uh right so here are all of the commands right so essentially"
99200,106000," it's it's like a simple turing machine right so you you have a tape uh with the cells uh and each cell"
106000,113520," has uh 255 you know um you know range from zero to 255 right so it's a single byte you have commands that"
113520,120720," move the head uh right so left and right you can increment the cell by one or decrement cell by one"
120720,128320," they wrap around when they overflow and underflow uh then you can uh output the current by to standard"
128320,134640," output or maybe a read from the input and you have the loop commands right so for example if you encounter"
134640,140320," open bracket if the byte at the data pointer is zero then instead of moving to the instruction pointer"
140320,146400," forward you go to the corresponding closing thing right and if you encounter closing thing if the uh"
146400,152800," if the byte data pointer is non-zero instead of moving to instruction pointer go backwards and stuff"
152800,159120," like that so this is basic loops and they also simultaneously conditions right so because as you can"
159120,166320," see they're not unconditional jumps they're conditional jumps so you basically use them to implement both just"
166320,171920," loops and branches and stuff like that so that's the entirety of the language it's a very simple language"
171920,181040," but very difficult to master right so and all right i'm gonna give the link here um you know and for"
181040,186640," people who's watching on youtube it's going to be in the description as usual as usual i think i forgot to"
186640,194960," prepare prepare the description so let me quickly do that so this is going to be references references and where is my title"
196320,202080," i'm going to quickly grab the title so uh this is going to be the thing so what is the jit compiler"
