start,end,text
80,4720," Hello everyone and welcome to yet another recreational programming session"
4720,11520," with Mr. Zozin. So we are developing a game that I've been developing for quite some time,"
11520,16400," I think for two weeks already. So I developed the engine and as you can see I already started adding"
16400,22640," some content to the game. I added items and recently I also added an ability to throw bombs."
22640,29360," They bounce around. Luckily they are not exploding yet, but maybe at some point we're going to add"
29360,34640," that. So one of the problems that I keep dealing with while developing this kind of game in"
34640,42560," JavaScript is basically the performance. So honestly, I could have actually had a"
42560,47600," pretty good performance if I just used WebGL, but I'm intentionally not using WebGL. By the way,"
47600,54080," this is not WebGL. This is not WebGPU or like WebGL 2. This is not a hardware accelerator thing."
54800,61760," This is a 2D canvas. This is very important to note. This is a 2D canvas. So, and what I'm doing,"
61760,70320," I'm doing the classical ray casting algorithm pixel by pixel using JavaScript. No WebAssembly either."
70320,78560," No WebGL, no WebGL 2. No WebGPU, no hardware acceleration whatsoever. No WebAssembly. This is what I'm doing."
78560,84560," And as you can see, I have 20 FPS. Right. But this is because I'm streaming. Right. This is because I'm"
84560,89920," streaming. When I'm not streaming, it's actually logged to the frame rate of my monitor, which is 60 FPS."
89920,96880," And by the way, you can go to this website and you can actually confirm that it is in fact really fast."
96880,100880," Right. So I already gave that to the chat. And for people on YouTube, I'm going to put that in the"
100880,105760," description as well. Right. So it is fast. Right. It is fast. But for some reason, when I'm streaming,"
105760,112640," when I'm streaming something with my streaming setup, it fucks it up. So interestingly, the way we"
112640,118400," actually implemented the math is not really correct because at the time of implementing all of that,"
118400,127120," I didn't really know any better. Right. So what I'm doing is I'm using a class called vector. Right."
127120,133680," I'm using a class called vector. So let's take a look at this class. Right. So class vector. And quite often,"
133680,139680," I actually create a lot of different instances of the vector. Right. So it has a method clone that"
139680,147120," creates a temporary vector. Right. And sometimes I may create a lot of clones of this vector per frame."
147120,154800," Right. Per frame. So and JavaScript being the managed language it is with garbage collect and stuff like"
154800,162000," that. It kind of has like a, you know, difficult time processing all of these objects. Right. Especially"
162000,170240," if you generate them per frame. So the, the heap, GS heap looks like a, like it's having a stroke. Right."
170240,175520," So if you take a look at the GS heap and like how much it allocates and stuff like that. So during the"
175520,180640," frame, it may allocate like a two megabytes of memory. And then the next frame, like garbage collector kicks in,"
180640,185440," and it's just like delegates and it just goes up and down, up and down, up and down, up and down."
185440,192080," Right. And this is because we, we just spawn shit ton of like objects, vector objects. Right. And then the"
192080,197360," garbage collector has to spend some time cleaning them up. We can actually try to profile this. And I think,"
197360,202640," I think it would be interesting. Right. I'm not really sure if this is exactly what's,"
202640,209360," you know, reducing the performance for me, but I want to like, try to work in that direction and see"
209360,216080," what we can do in here. Right. So we can try to record a little bit of the, of the gameplay. Right."
216080,222320," So we can throw a bunch of bombs and stuff like that. So maybe let's record like 10 seconds,"
222320,226560," maybe. All right. So let's actually stop it now. It's going to take some time, you know,"
227600,234480," processing all of this stuff. Two megabytes is a high memory usage low W. I mean, it uses two megabytes"
234480,242240," per frame. So that's what I'm saying. Holy shit. I mean, yeah, we're also streaming in here."
242240,249760," So where is the memory usage? Do I see the memory usage? Okay. So here is the memory. So I probably want"
249760,258240," to, yeah, there we go. You can actually clearly see that. Uh, right. So, um, ah, fuck. Um, how can I,"
