start,end,text
0,29980," *music*"
30000,59980," *music*"
60000,62000," *music*"
62000,64000," *music*"
64000,66000," *music*"
66000,68000," *music*"
68000,70000," *music*"
70000,72000," *music*"
72000,74000," *music*"
74000,76000," *music*"
76000,78000," *music*"
78000,80000," *music*"
80000,82000," *music*"
82000,84000," *music*"
84000,86000," *music*"
86000,88000," *music*"
88000,90000," *music*"
90000,90000," *music*"
90000,92000," *music*"
96000,98000," *music*"
98000,100000," *music*"
100000,102000," *music*"
102000,104000," *music*"
104000,106000," *music*"
106000,108000," *music*"
108000,110000," *music*"
110000,112000," *music*"
112000,114000," *music*"
114000,114000," *music*"
114000,114000," *music*"
114000,116000," *music*"
116000,118000," *music*"
118000,147980," Thank you."
148000,177980," Thank you."
178000,207980," Thank you."
208000,237980," Thank you."
238000,267980," Thank you."
268000,297980," Thank you."
298000,327980," Thank you."
328000,357980," Thank you."
358000,387980," Thank you."
388000,417980," Thank you."
418000,447980," Thank you."
448000,477980," Thank you."
478000,507980," Thank you."
508000,537980," Thank you."
538000,567980," Thank you."
568000,597980," Thank you."
598000,627980," Thank you."
627980,657960," Thank you."
657960,687940," Thank you."
687960,717940," Thank you."
717940,747920," Thank you."
747940,777920," Thank you."
777940,807920," Thank you."
807920,837900," Thank you."
837920,867900," Thank you."
867920,897900," Thank you."
897900,927880," Thank you."
927900,957880," Thank you."
957900,987880," Thank you."
987900,1017880," Thank you."
1017900,1047880," Thank you."
1047900,1077880," Thank you."
1077900,1107880," Thank you."
1107900,1137880," Thank you."
1137900,1167880," Thank you."
1167900,1197880," Thank you."
1197900,1227880," Thank you."
1227900,1257880," Thank you."
1257900,1287880," Thank you."
1287900,1317880," Thank you."
1317900,1347880," Thank you."
1347880,1377860," Thank you."
1377880,1407860," Thank you."
1407880,1437860," Thank you."
1437880,1467860," Thank you."
1467880,1497860," Thank you."
1497860,1527840," Thank you."
1527840,1557820," Thank you."
1557820,1587800," Thank you."
1587820,1617800," Thank you."
1617820,1647800," Thank you."
1647820,1677800," Thank you."
1677820,1707800," Thank you."
1707820,1737800," Thank you."
1737820,1767800," Thank you."
1767820,1797800," Thank you."
1797820,1827800," Thank you."
1827820,1857800," Thank you."
1857820,1887800," Thank you."
1887820,1917800," Thank you."
1917820,1947800," Thank you."
1947820,1977800," Thank you."
1977800,2007780," Thank you."
2007780,2037760," Thank you."
2037760,2067740," Thank you."
2067760,2097740," Thank you."
2097760,2127740," Thank you."
2127740,2157720," Thank you."
2157720,2187700," Thank you."
2187720,2217700," Thank you."
2217720,2247700," Thank you."
2247700,2277680," Thank you."
2277700,2307680," Thank you."
2307700,2337680," Thank you."
2337700,2367680," Thank you."
2367700,2397680," Thank you."
2397700,2427680," Thank you."
2427700,2457680," Thank you."
2457700,2487680," Thank you."
2487700,2517680," Thank you."
2517700,2547680," Thank you."
2547700,2577680," Thank you."
2577700,2607680," Thank you."
2607700,2637680," Thank you."
2637700,2667680," Thank you."
2667700,2697680," Thank you."
2697700,2727680," Thank you."
2727700,2757680," Thank you."
2757700,2787680," Thank you."
2787700,2817680," Thank you."
2817700,2847680," Thank you."
2847700,2877680," Thank you."
2877680,2907660," Thank you."
2907660,2937640," Thank you."
2937640,2967620," Thank you."
2967640,2997620," Thank you."
2997640,3027620," Thank you."
3027640,3057620," Thank you."
3057640,3087620," Thank you."
3087640,3117620," Thank you."
3117620,3147600," Thank you."
3147600,3177580," Thank you."
3177580,3207560," Thank you."
3207560,3237540," Thank you."
3237540,3267520," Thank you."
3267520,3297500," Thank you."
3297500,3327480," Thank you."
3327480,3357460," Thank you."
3357460,3387440," Thank you."
3387460,3417440," Thank you."
3417460,3447440," Thank you."
3447440,3477420," We'll just have to do here."
3477440,3507420," Thank you."
3507420,3537400," Thank you."
3537400,3567380," Thank you."
3567380,3597360," First try."
3597360,3627340," So, let's try to solve it."
3627340,3657320," Thank you."
3657320,3687300," Thank you."
3687300,3717280," Thank you."
3717280,3747260," Thank you."
3747260,3777240," Thank you."
3777260,3807240," Thank you."
3807240,3837220," Thank you."
3837220,3867200," Thank you."
3867200,3897180," Thank you."
3897200,3927180," Thank you."
3927200,3957180," Thank you."
3957180,3987160," Thank you."
3987160,4017140," Thank you."
4017140,4047120," Thank you."
4047120,4077100," Thank you."
4077100,4107080," Thank you."
4107080,4137060," Thank you."
4137060,4167040," Thank you."
4167040,4197020," Thank you."
4197040,4227020," Thank you."
4227020,4257000," Thank you."
4257020,4287000," Thank you."
4287000,4316980," Thank you."
4317000,4346980," Thank you."
4347000,4376980," Thank you."
4377000,4406980," Thank you."
4406980,4436960," Thank you."
4436960,4466940," Thank you."
4466940,4496920," Thank you."
4496920,4526900," Thank you."
4526900,4556880," Thank you."
4556900,4586880," Thank you."
4586880,4616860," Thank you."
4616880,4646860," Thank you."
4646880,4676860," Thank you."
4676860,4706840," Thank you."
4706860,4736840," Thank you."
4736840,4766820," Thank you."
4766840,4796820," Thank you."
4796820,4826800," Thank you."
4826820,4856800," Thank you."
4856820,4886800," Thank you."
4886820,4916800," Thank you."
4916820,4946800," Thank you."
4946820,4976800," Thank you."
4976800,5006780," Thank you."
5006780,5036760," Thank you."
5036780,5066760," Thank you."
5066760,5096740," Thank you."
5096740,5126720," Thank you."
5126720,5156700," Thank you."
5156720,5186700," Thank you."
5186700,5216680," Thank you."
5216680,5246660," Thank you."
5246660,5276640," Thank you."
5276640,5306620," Thank you."
5306620,5336600," Thank you."
5336600,5366580," Thank you."
5366580,5396560," Thank you."
5396560,5426540," Thank you."
5426560,5456540," Thank you."
5456540,5486520," Thank you."
5486520,5516500," Thank you."
5516500,5546480," Thank you."
5546480,5576460," Thank you."
5576460,5606440," Thank you."
5606440,5636420," Thank you."
5636420,5666400," Thank you."
5666400,5696380," Thank you."
5696380,5726360," Thank you."
5726360,5756340," Thank you."
5756340,5786320," Thank you."
5786320,5816300," Thank you."
5816300,5846280," Thank you."
5846280,5876260," Thank you."
5876280,5906260," Thank you."
5906260,5936240," Thank you."
5936260,5966240," Thank you."
5966260,5996240," Thank you."
5996240,6026220," Thank you."
6026220,6056200," Thank you."
6056200,6086180," Thank you."
6086180,6116160," Thank you."
6116160,6146140," Thank you."
6146140,6176120," Thank you."
6176120,6206100," Thank you."
6206100,6236080," Thank you."
6236080,6266060," Thank you."
6266060,6296040," Thank you."
6296040,6326020," Thank you."
6326040,6356020," Thank you."
6356020,6386000," Thank you."
6386000,6415980," Thank you."
6415980,6445960," Thank you."
6445960,6475940," Thank you."
6475940,6505920," Thank you."
6505920,6535900," Thank you."
6535900,6565880," Thank you."
6565900,6595880," Thank you."
6595900,6625880," Thank you."
6625880,6655860," Thank you."
6655860,6685840," Thank you."
6685840,6715820," Thank you."
6715820,6745800," Thank you."
6745820,6775800," Thank you."
6775800,6805780," Thank you."
6805780,6835760," Thank you."
6835760,6865740," Thank you."
6865740,6895720," Thank you."
6895720,6925700," Thank you."
6925700,6955680," Thank you."
6955680,6985660," Thank you."
6985660,7015640," Thank you."
7015640,7045620," Thank you."
7045620,7075600," Thank you."
7075600,7105580," Thank you."
7105580,7135560," Thank you."
7135560,7165540," Thank you."
7165560,7195540," Thank you."
7195540,7225520," Thank you."
7225520,7255500," Thank you."
7255500,7285480," Thank you."
7285480,7315460," Thank you."
7315460,7345440," Thank you."
7345440,7375420," Thank you."
7375420,7405400," Thank you."
7405400,7435380," Thank you."
7435380,7465360," Thank you."
7465360,7495340," Thank you."
7495340,7525320," Thank you."
7525320,7555300," Thank you."
7555300,7585280," Thank you."
7585280,7615260," Thank you."
7615260,7645240," Thank you."
7645240,7675220," Thank you."
7675220,7705200," Thank you."
7705200,7735180," Thank you."
7735180,7765160," Thank you."
7765160,7795140," Thank you."
7795140,7825120," Thank you."
7825120,7855100," Thank you."
7855100,7885080," Thank you."
7885080,7915060," Thank you."
7915060,7945040," Thank you."
7945040,7975020," Thank you."
7975020,8005000," Thank you."
8005000,8034980," Thank you."
8034980,8064960," Thank you."
8064960,8094940," Thank you."
8094940,8124920," Thank you."
8124920,8154900," Thank you."
8154900,8184880," Thank you."
8184880,8214860," Thank you."
8214860,8244840," Thank you."
8244840,8274820," Thank you."
8274820,8304800," Thank you."
8304800,8334780," Thank you."
8334780,8364760," Thank you."
8364760,8394740," Thank you."
8394740,8424720," Thank you."
8424720,8454700," Thank you."
8454700,8484680," Thank you."
8484680,8514660," Thank you."
8514660,8544640," Thank you."
8544640,8574620," Thank you."
8574620,8604600," Thank you."
8604600,8634580," Thank you."
8634580,8664560," Thank you."
8664560,8694540," Thank you."
8694540,8724520," Thank you."
8724520,8754500," Thank you."
8754500,8784480," Thank you."
8784480,8814460," Thank you."
8814460,8844440," Thank you."
8844440,8874420," Thank you."
8874420,8904400," Thank you."
8904400,8934380," Thank you."
8934380,8964360," Thank you."
8964360,8994340," Thank you."
8994340,9024320," Thank you."
9024320,9054300," Thank you."
9054300,9084280," Thank you."
9084280,9114260," Thank you."
9114260,9144240," Thank you."
9144240,9174220," Thank you."
9174220,9204200," Thank you."
9204200,9234180," Thank you."
9234180,9264160," Thank you."
9264160,9294140," Thank you."
9294140,9324120," Thank you."
9324120,9354100," Thank you."
9354100,9384080," Thank you."
9384080,9414060," Thank you."
9414060,9444040," Thank you."
9444040,9474020," Thank you."
9474020,9504000," Thank you."
9504000,9533980," Thank you."
