start,end,text
560,5680," hello and welcome to another zozin session how about that oh"
5680,14880," so today uh i'm gonna continue working on the same so yeah uh i kind of really"
14880,21280," went very deep into this project and people already throwing money at me i didn't do anything"
21280,27040," people already throw money at me thank you so much trond cj for a tier one subscription your"
27040,31840," first subscription by the way you're going to be at the beginning of the video be proud of yourself"
31840,38960," thank you so much thank you for the support so uh yeah um i'm really deep into this project i don't"
38960,45040," know i don't know why it's the the most useless project i've ever worked in but it's usually like"
45040,51920," that right so it's usually the most useless projects that hook you up uh and it's just like yeah there's"
51920,56960," nothing i can do about it so um you can find the source code of this project in here if you're"
56960,61600," interested it's just like a tile generator it's actually not the point of today's stream"
61600,66720," right so even though we're going to be working on this project this project is not really the point"
66720,77360," of today's stream the point of today's stream uh okay not the point of uh today's stream but still"
77360,86800," the source code there we go uh right so this particular project has a command line interface"
86800,93520," right so let's take a look at this thing uh right so if you do something like this it generates details"
93520,100080," or whatnot but you can then do help and it has like a couple of uh flags that you can customize and stuff"
100080,106320," like that actually we have more flags i think i need to uh fetch the latest stuff so let me see i need to"
106320,116080," check out the muster and i'm gonna fetch prune origin uh right right right right so and git merch origin"
116080,122400," uh muster there we go so let's remove the previous branch and there we go and i'm gonna rebuild everything"
123520,130720," cool so uh if you take a look at uh flags now now we have way more flags look at that look at this"
130720,138240," amount of flags so uh yeah it has a command line interface and stuff like that and uh the way we"
138240,146320," actually handle all of that is we handle and in parts everything manually we're not using any special"
146320,153360," libraries or anything like that like i literally take the array of argv so array of arguments and i"
153360,157920," just iterate manually through each through each argument and i just parse everything accordingly"
157920,164400," that's the way i do that's the way i go so the software must be simple right but that introduces kind"
164400,171520," of a kind of a problem right so let's take a look at how it's done right now so uh i have a bunch of"
171520,177520," parameters so here parameters correspond to their like flags and stuff like that and they have default"
177520,183920," values then i iterate through each individual argument right and if i encounter a particular flag"
183920,189600," i handle it uh just extract the arguments and set everything also check if the value is correct and"
189600,196240," whatnot if the value is not correct it fails uh you know pretty straightforward stuff right and uh on top of"
196240,204720," that i have a function that prints the help for the user an explanation for each individual flag"
204720,213440," so essentially whatever you see in here i print it in here so to add a new flag i have to make pretty"
213440,221200," much the same modifications in two places right so i have to add a flag in here so it's going to be fprintf"
222000,229440," srmf so i basically first need to add documentation something like new flag uh right so all of you in"
229440,240880," the chat are new flags sorry so uh and then i'm gonna add uh the new flag this is the documentation right"
240880,249040," so i added the new flag and then i have to not forget to go to the place where i parse the flags right and"
249040,254880," add uh the check in here and you see the fact that i have to modify two places is actually pretty"
254880,260160," meh if you know what i'm talking about right so it's not particularly convenient to modify"
260160,268800," shit into different places uh so and uh what i wanted to do today is i wanted to develop um you know some"
268800,276240," sort of like a small library uh for parsing flags in this particular style um so i could have used"
276240,284400," something like get opts uh but unfortunately get opts sex as uh as an industrial vacuum cleaner so because"
284400,291760," of that i can't really use this library in in my project so and i was thinking about alternatives and"
291760,300640," recently i programmed a little bit uh in go and go has a beautiful module for parsing flags it is called go"
300640,308240," flags and it is it is precisely what i need uh so you can find it in here it is absolutely beautiful it's"
308240,317520," so simple it like it's like a no-bullshit library like it does precisely what you want no more no less"
317520,323520," it's just like beautiful have you guys worked with this library have you guys worked with this library so"
323520,330560," is anyone has anyone worked with this thing um i'm gonna leave it in the in the description so this is"
330560,338960," precisely what i want uh so where is my description and i was thinking can we have the same simple good"
338960,348960," shit but in c can we have good things in c already holy shit it's 2021 so goes a flag module right so here's"
348960,357600," the goes flag module so let's take a look at it so um i'm gonna actually probably go to uh this project"
357600,368000," and uh so go flag prop so let's give it a try so it's gonna main go right so i didn't remember how the"
368000,376400," program go i think it's a package main right so i'm gonna put the semicolon in here um okay so and then uh we"
376400,383680," probably also need to import uh fmt i'm gonna put the semicolon in here as well and then fmt print f uh"
383680,392720," hello world and not forget the semicolon in here okay so um oh i didn't mean to do that uh what what was"
392720,405040," that um what the fuck is this how did i open that i don't know how i did i open that but okay uh so and"
405040,415040," if i do go build uh main go yeah the kgb hacked my pc so i i didn't mean to actually go there but somehow i went there"
415040,424320," okay so we have a hello world and there we go here is the hello world so to start using flags i think it's a like a standard thing"
424320,433040," uh you see i'm using a separate import right i'm using a separate import not in the same uh not in this on the same line and i'm also using semicolon so i'm using separate import and also semicolon so i'm using"
433040,439520," using separate import and then it's quite important it's quite important okay so let's rebuild the internet"
439520,445600," i think i think you can just run the uh the application like that okay so it flag is not available for some reason"
446240,452480," uh so import flag uh so import flag is that because i have to install it first that's very strange"
452480,456640," oh yeah because imported not used all right all right so that's that's fine"
456640,462480," so imagine that you want to now parse a particular flag right so you have to call a"
462480,470480," function uh of the type that you want to use for example flag int is there any um like um"
470480,477120," um list of all of the functions in here so here is the index i can see the index yeah there we go"
477120,484000," so for different types you have separate functions right and in our case i suppose we want to use int"
