start,end,text
0,29980," *music*"
30000,37000," *music intensifies*"
37000,45000," *music intensifies*"
45000,55000," *music intensifies*"
55000,62000," *music intensifies*"
62000,71000," *music intensifies*"
71000,80000," *music intensifies*"
80000,85000," *music intensifies*"
85000,89000," *music intensifies*"
89000,94000," *music intensifies*"
94000,98000," *music intensifies*"
98000,103000," *music intensifies*"
103000,105000," *music intensifies*"
105000,107000," *music intensifies*"
107000,124000," *music intensifies*"
124000,129000," *music intensifies*"
129000,133000," *music intensifies*"
133000,135000," *music intensifies*"
135000,139000," *music intensifies*"
139000,144000," *music intensifies*"
144000,146000," *music intensifies*"
146000,148000," *music intensifies*"
148000,149000," *music intensifies*"
149000,164000," *music intensifies*"
164000,166000," *music intensifies*"
166000,168000," *music intensifies*"
168000,197980," Thank you."
198000,227980," Thank you."
228000,257980," Thank you."
258000,287980," Thank you."
288000,317980," Thank you."
318000,347980," Thank you."
348000,377980," Thank you."
378000,407980," Thank you."
408000,437980," Thank you."
438000,467980," Thank you."
468000,497980," Thank you."
498000,527980," Thank you."
528000,557980," Thank you."
558000,587980," Thank you."
588000,617980," Thank you."
618000,647980," Thank you."
648000,677980," Thank you."
677980,707960," Today is what?"
707960,737940," Thank you."
737940,745340," Yes, it is essentially like, you know, you know, how people, how Zoomers say that, oh, Kotlin is just a better Java."
745340,753680," Well, guess what? And this is not the first, it's far from first attempt at making better Java."
753680,783660," So, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah."
783660,788760," index uh i think it's even like in top 20"
788760,798300," uh tom's code cosplay today i mean i don't have a long hair i'm sorry uh yeah it's actually almost"
798300,805280," in top 10 it's almost top 10 like it's actually right there and it's such like it feels like an"
805280,810380," underground language because you don't really hear about it that often but it's there it's even more"
810380,821820," popular than assembly imagine being more popular than assembly mine gut anyway so today we're gonna"
821820,826380," program that language and to be fair i never programmed in that language i uh actually saw"
826380,833900," that language being used a lot in in the enterprise sector um so yeah you yeah i i fixed my headphones"
833900,840620," it's just was like a loose cable so everything's okay um yeah uh let's see what it's all about"
840620,845340," how about that buzzing goes how about that does it sound interesting sound interesting yeah yeah yeah but"
845340,855020," but but but uh so let's uh go uh let's go so uh i'm gonna go here i haven't read the description of"
855020,862780," the problem by the way i haven't read the description of the problem so uh let me go to the aoc uh fetch"
862780,870220," prone uh and let's go more popular than well it is what it is i'm sorry i gotta do it is what it is"
870220,880780," so uh okay i didn't do anything new so i'm gonna just do 22 groovy uh 22 groovy there we go so um"
882780,886060," the best discord music bot okay"
886060,898380," so that language is that boomer okay it's that boomer that it doesn't even go to the top results"
898380,905820," when you try to google groovy all right that's that's very interesting um so it's it's the second"
905820,910700," choice okay but i'm pretty sure since i click on the second uh link if i try to look for groovy"
910700,915660," it's going to be the first one no it's still the first one so the the google doesn't immediately"
915660,922300," process your data right it needs some time so maybe it we need to wait until the scheduled batch job"
922300,926780," overnight to process all of my personal data and come up with the recommendations you know"
926780,934700," the classical enterprise shit so uh what can we download yeah the logo is actually quite cool um"
936620,944620," yeah it's it's too complex for a logo because a lot of people go uh for a much simplistic logo"
944620,949660," right but this one it has a lot of like details but it still works out and it's quite recognizable"
949660,955980," it's actually pretty cool for a complex logo it's it's pretty cool a fat learning curve are you trying"
955980,964620," to insult me well i'm gonna take it as a compliment hello by the way welcome to the stream uh uh well"
964620,972220," just draw star and write groovy on top i guess well i mean it has like a very fancy font that's what i"
972220,977420," would say it's a very fancy font it's much more complex than for example apple logo or something"
979260,985820," uh okay let's download this how about that so you can download it here apparently because it's a big"
985820,993740," download button and it's downloading it it's that simple holy you can clearly see"
993740,1000620," that it's a very old language when you can go to the website you can click on download and it will start"
1000620,1007660," downloading things because these days if you go to a zoomer language right and uh for example you click on"
1007660,1015180," get started this is the you'll have to deal with copy paste this line into your bash around this script"
1015180,1021660," install our special tool to install it get in the ass without the loop and stuff like that so uh yeah so"
1021660,1027820," this is like a clear example of the zoomer language and this is a clear example uh of the boomer language"
1027820,1036940," you just click download and um it starts downloading so yes that's simple like you know these were uh simpler"
1036940,1049100," times anyway so we downloaded it uh let's let's go i didn't have to download c to use it well you have"
1049100,1059580," to download the destroy i suppose first um is it bad or good that i prefer boomer approach and it's it's"
1059580,1067180," different um i don't know it doesn't matter um to be fair i personally don't like this approach like"
1067180,1072700," it's just too many steps and two unnecessary things like just give me the file that works why can't you"
1072700,1077660," make a file that just works why do you need like these extra layers of obstructions on top of it it's"
1077660,1086620," just it doesn't make much sense to me um okay so and i'm gonna just move this into i think uh where is"
1086620,1093980," it i think oh it's a patch group okay so i'm gonna move it here and zip insl and uh yeah okay so this"
1093980,1102700," is not a zip bomb so that means i can quite safely uh just unpack it here and it's gonna work hopefully"
1102700,1109740," holy that's a lot of files okay uh if i take a look at the the size of the unpacked thingy what's the size of"
1109740,1120940," the unpacked thingy okay um it's it's bigger than scala by the way but maybe groovy comes with a lot of"
1120940,1127340," uh batteries and shit so maybe we can use that okay let's take a look at what we have here okay uh so"
1127340,1134460," we have been so essentially this is like a package and it also has the source code um is that the source"
1134460,1139980," code of the groovy itself uh maybe doesn't matter so let's take a look at the binaries uh let's take"
1139980,1146540," a look at the binaries so we have grape uh what is grape but we do have a groovy and what is a groovy"
1146540,1152780," uh i would presume it's some sort of a bash script yes it is in fact a bash script that just runs the"
1152780,1161100," ruby and um it runs another script that is called a start groovy or something yeah layers upon layers"
1161100,1171900," is that supposed to be like a swear word that's a very interesting way of spelling"
1180540,1186780," that's funny okay uh unux yes"
1186780,1196060," this is a bad word it's it's a very bad word don't ever say it"
1196060,1200540," we didn't we didn't say that word over here okay um okay"
1206220,1212220," so people usually put a star at you indicating that there is a lot of mixes right because you know"
1212220,1217100," and linux actually kind of breaks that but this is really weird"
1217100,1225740," clearly it was a joke maybe it's a trademark but you can also avoid the trademark by doing"
1225740,1232060," uh star links and quite easy to do that anyway it doesn't matter so if i try to run this thing it's"
1232060,1238700," probably will require jvm and yeah it doesn't require a java home to be set up okay so let's actually do"
1238700,1244220," source opt java environment and now we have everything"
1244220,1254620," would you look at that we have group how about that how about that so uh maybe i'm gonna move"
1254620,1262700," groovy uh to my opt folder uh so and have a special environment that i can set up"
1262700,1268140," and just use groovy on all of the binaries from the from the path folder so i'm gonna move apache groovy"
1268140,1274780," to opt i usually also move the archives there as well just in case i mean and i also have i need to have"
1274780,1283580," a permission to do that uh okay and then i can try to uh move the folder groovy right"
1283580,1291260," uh the folder groovy oh am i doing something incorrect"
1291260,1296940," i think i i something up did i really something up wait a second"
1300140,1304620," no i didn't like why did it start like moving everything this was pretty strange"
1304620,1311580," okay let me do the following thing you used v i was hoping that it will show only the folder single"
1311580,1318220," because moving the folder is gonna okay maybe i may be missing something uh sorry so i'm gonna remove"
1318220,1324620," this thing real quick and then i'm gonna do suda unzip apache groovy like from inside of it so i'm i"
1324620,1331900," i think i'm thinking a bit bigger yeah i think i am okay so there's something really strange um"
1331900,1339260," so let me copy scala environment so this is going to be scala moment i'm going to create a group a groovy environment"
1339260,1347260," uh you you can do that because you have to do it like that and then we're going to do sudo uh groovy environment sh"
1347260,1353180," and do i need to set up a home for this thing i don't think i'm going to do that and um"
1354620,1364460," so if i go somewhere here opt where is the groovy so here is the groovy and i'm gonna"
1364460,1375580," is groovy home even a thing because a lot of like a jvm things oh yeah groovy groovy home is a thing"
1376380,1385100," uh take me java home so yeah majority of like jvm languages they have this interesting pattern that"
1385100,1391340," where you have to set up language underscore home for them so they know where is their installation and i"
1391340,1398860," think it comes from the uh java home convention so yeah it kind of makes sense it kind of makes sense okay"
1398860,1407100," so and instead of that we're gonna have a sisk uh groovy home uh and a boom and then i can do something"
1407100,1417820," like uh replace scala with groovy please mr vim thank you so much cool this is a groovy path and"
1417820,1424540," everything is okay hopefully hopefully everything is okay so then i'm gonna do source groovy environment"
1424540,1432700," please and i'm gonna go back to zozin aoc 2020 do i have groovy here do i have groovy i do have"
1432700,1439980," mother flipping groovy cool so i'm gonna go here and we're gonna write um hello world we're gonna"
