start,end,text
0,6540," Hello and welcome to another totting session."
6540,12400," So today is Monday, if I'm not mistaken, today is Monday."
12400,19240," And today, according to the schedule, we're doing web development and we continue developing Emote Jam."
19240,27740," And Emote Jam is a simple website where you can upload sort of like emote or static image of an emote, right?"
27740,29960," And apply some different filters to it."
30000,34460," It's jumping backwards, yeah."
34460,46400," And after you apply certain filters to it, you can render this entire thing and download the final GIF where you can upload it to BTTV or other third party things."
46400,53260," So it's completely open source, you can find the source code of this thing on GitHub, I'm going to put all of that into the description."
53260,59740," So let's quickly do that and today we're going to simply continue developing this thing because it's Web Development Monday, that's what it is."
59740,62200," That's what it is, that's what it is."
62200,68200," Okay, so it's going to be Emote Jam and I'm going to give you the link to the website."
68200,69200," Right."
69200,74200," And Emote Jam source code, there we go, there we go."
74200,76660," Here it is."
76660,81660," So let's actually try to go to the source code of Emote Jam and let's fetch the latest stuff."
81660,89120," So we have some changes in here, so I don't think they are needed."
89120,91120," Let me try to fetch the latest stuff."
91120,98580," So, I think, yeah, I think we're up to date."
98580,101580," So if I try to do so, yeah, we're completely up to date."
101580,106580," Okay, let me try to run this entire thing locally with the Python 3."
106580,109040," HTTP server 69, 60."
109040,113040," Well, I mean, I should have actually run it with asynchronous mode."
113040,117040," And now if I open it locally here, it is locally."
117040,123700," So, it doesn't really require any particular backend or any HTTP server per se, but because"
123700,130040," of the, you know, modern web development and course stuff, you kind of have to like serve"
130040,132040," it via an HTTP server."
132040,140040," So, yeah, you can actually upload any, any image in here, which is kind of funny."
140040,141040," Right."
141040,146040," So, it can, it can literally accept any image, even GIFs, but it doesn't really animate GIFs."
146040,149040," This is something that I wanted to fix at some point."
149040,154040," But apparently, if you are uploading a GIF, right."
154040,161040," So, if you have an image element in a DOM and the SRC of that image element points to a GIF,"
161040,170040," right, apparently from a JavaScript, you can't that easily get the frames of that GIF."
170040,179040," So, what you have to do, you have to load the GIF file as bytes and parse GIF format manually."
179040,182040," And there are libraries that can do that for you."
182040,187040," And it's just like really weird, because obviously, like you have a GIF in the browser."
187040,195040," That means browser managed to parse that GIF and extract the frames and render the frames in a sequence over time."
195040,199040," And it's just like something that you cannot have an access to from a JavaScript."
199040,203040," And that seems to me completely insane."
203040,204040," Right."
204040,208040," So, you can have so much access from a JavaScript."
208040,209040," Right."
209040,216040," But you can't have an access to such simple thing as frames of GIFs that browser already parsed for you."
216040,222040," Maybe I'm missing something, but a quick Google app just show that no, it's not a thing that you can do."
222040,226040," You have to like grab the bytes of the file and parse them manually."
226040,229040," And it's just like, bruh."
229040,230040," Seriously?"
230040,233040," I actually spit it all over the place because of that."
233040,234040," Holy shit."
234040,237040," So, web development, am I right?"
237040,241040," So, anyway, because of that, I'm not going to be working on that."
241040,244040," So, I want to work on something different today."
244040,250040," So, you see there are filters in here."
250040,253040," And those filters are essentially hot coded."
253040,262040," For example, if you have this bounce thingy, you cannot control how high and how quickly the emote will bounce."
262040,265040," But it would be cool if you could, you know."
