start,end,text
480,7200," looks like we're live hello everyone and welcome to yet another recreational programming session"
7200,12320," with amistad dozin uh hello hello everyone i can see you guys in the chat welcome welcome welcome"
12320,15760," so let's make a little bit of an announcement as usual and officially start the stream"
15760,23200," so uh this is going to be a red circle live on twitch and what are we doing today on twitch"
23200,30800," a dot a television website today we're doing hash tables in c that's right uh i'm gonna give the"
30800,34800," link to where we do know all that twitch.tv slash turning i'm gonna ping everyone who's interested"
34800,40000," in being pink and there we go the stream has officially started the stream has officially"
40000,47120," started so why am i implementing a hash tables and see no particular reason i just felt like it right"
48240,54960," so i was watching the um you know software development section on um on twitch and one of"
54960,61600," my good friends uh provat right so i really recommend his streams by the way twitch.tv provat all right"
61600,68000," he's doing russian speaking streams but he also speak english right so if you uh accidentally stumble"
68000,75360," upon his streams uh just say hi right so and ask something in english he will answer um anything in"
75360,83440," english and uh so he's working on actually adding support for ray tracing to half life one so maybe"
83440,87760," this is something that you could be interested in right but it's very technical uh he's not really"
87760,92640," focused too much on entertainment he primarily focused on actually delivering implementation features"
92640,98080," so keep that in mind he speaks two languages russian english whatever you prefer so when he was"
98080,103440," working on implementing a hash table uh right for caching textures or something like that and that just"
103440,109840," like kind of tickled my my nostalgia a little bit right because the hash tables implementing hash tables from"
109840,115440," scratch kind of reminds me my childhood when i was only learning programming i was learning uh you know"
115440,121520," algorithms and beta structure and it's just like holy i i haven't implemented a hash table for quite some"
121520,128240," time already for quite some time already so uh so let's go ahead and maybe do that and we probably need"
128240,135440," hash tables uh for one of our existing projects right so specifically for mutualizing uh all right so in"
135440,142320," the mutualizer we have a very simple sort of like an asset manager uh right so essentially which allows you"
142320,150720," to do things like uh assets uh load i don't remember i think it was like a load texture yeah uh yeah assets"
150720,156000," texture so essentially if you need a particular texture you can do the following thing you could say assets"
156000,163360," texture and the path to that specific asset and what it will do it will load this entire thing once uh"
163360,169760," load this entire thing once and then cache it but right now it caches it into linear associative array"
169760,176960," right so inserting into that is basically of one but searching is of n which is fine uh as long"
176960,180960," as we don't have too many resources but maybe in the future we're going to have a lot of resources"
180960,186160," and this is where we can apply our hash table uh right so maybe in the future it's it's also going"
186160,190560," to be useful it's also going to be useful it's not depressing issue right now but you know thinking"
190560,199360," for the future so uh used to yes so yes let's go ahead and maybe create uh a folder where we're going"
199360,206320," to do all uh all uh all all of our experimentation so i'm going to do c hash uh table right so we see"
206320,214240," hash table let's go inside of it so and let's create a file uh let's start with a good old hello a world"
214240,224080," a hello world um so i'm gonna just do the usual thing and i suppose since we recently started to very"
224080,232720," actively use knob i'm gonna create the knob build right away in here right so let me actually go to"
232720,241040," mutualizer and still straight up still this file yes i am still in code i'm straight up still in the"
241040,248400," code but i'm still in my own code i'm still in my own code that's fine so let's create knob c uh which is"
248400,254720," going to be the the program that builds this entire thing uh we're going to include the knob dot h and"
254720,261200," we're going to define knob implementation and let's actually create an entry point right so essentially"
261200,272240," we're almost like writing the good old build sh but in c imagine if they uh you know if uh build sh was"
272240,278400," written in c so that's basically what we've done right it's just like build sh but better right"
278400,283600," written in an actual programming language not the toy programming language but an actual real programming"
283600,291120," language uh so and essentially one of the things we want to have is no go rebuild yourself all right so"
291120,299120," let me quickly open it no go rebuild yourself so this is a very important macro it's an extremely"
299120,305440," important macro because it allows you to like not rebuild the executable of the build system every"
305440,310640," time you modify it right it's capable of actually automatically detecting that it needs to be rebuilt"
310640,316080," and rebuilding itself right so that's what it's capable of doing so in here let's actually create"
316080,323120," uh a command line right which is going to build the the main application so we're going to do a knob"
323120,328000," cmd append uh all right i'm going to append in here what we're going to build in with cc"
328000,334880," so that's the compiler let's enable a couple of flags maybe w all for all the warnings maybe some extra"
334880,340000," warnings as well uh maybe some debug information because it's it's quite nice to be able to go with"
340000,344480," the debugger and stuff like that maybe we're going to be super pedantic about the standard who knows"
345120,352080," uh i think it's a good idea generally so so after that we're going to specify the output file path"
352080,358080," and the input file path and we're basically good to go so the only thing we need to do we need to do"
358080,363440," an opcmd run i think this time we're going to run it synchronously right so we're running it synchronously"
363440,369120," in case of an error we're going to return non-zero exit code and there we go we made a simple build"
369120,375200," system right so we need to only the only thing we need to do is to bootstrap that build system so we'll"
375200,382960," just build it as it is not dot c uh all right so there we go so something went wrong in here so uh"
382960,389600," you're supposed to provide i i thought it doesn't have to be a point i suppose right so yeah it doesn't"
389600,394880," have to be a point okay so we bootstrap the build system we don't have to rebuild that file ever again"
394880,399360," so that's very important it's not like you have to rebuild this entire thing every time i modify it"
399360,404160," no you don't have to rebuild it so you can just run this entire thing and it builds your main application"
404160,412240," uh right so if you wanna for instance after you essentially compile it run if you want to run it"
412240,420880," so the thing you can do is essentially just uh like this main and just automatically run right so"
420880,427520," you build it and automatically run it look i don't rebuild the main thing and uh it tries to compile"
427520,432960," itself automatically and as you can see it rebuilds itself then it rebuild the main program and then it"
432960,439200," run the main program so that's how cool it is it's not like you're constantly fiddling with your"
439200,444480," compilation or anything like that no you you bootstrap this build tool once and it takes care of"
444480,450320," everything itself you don't have to worry about that anymore right so you just sort of like pre-compile it"
450320,455680," and you forget about it you just focus on uh making sure that your main application builds and stuff"
455680,460000," like that it's just like you don't have to worry about that and it doesn't rebuild itself right so"
460000,464560," as you can see the second time it doesn't rebuild itself because it didn't detect any new changes"
464560,469760," right so that's basically what we have in here uh so that's how cool it is isn't it cool i think"
469760,476320," it's pretty freaking cool so this is called knob which is short for no build okay so what um"
