start,end,text
0,6000," Hello everyone and welcome to a new camera angle and yet another recreation programming session"
6000,14220," with Amistazozim. So we've been trying to add a new demo to our graphics library called Olivesi."
14220,19040," Right. So and the demo we're trying to add is the demo that is based on this 3D model."
19040,25460," Right. And this is a 3D model of a panger. So basically the mascot of our channel. Basically"
25460,31040," is it already mascot of our channel? But this is this is the character that our community came up with"
31040,36740," specifically Siphon Altera. But then a lot of people contributed to the character. So you can find"
36740,43100," more about this character at the website pangercity. Right. So this is a website dedicated to this"
43100,46900," creature. Right. So there's a lot of emotes. There's a lot of memes and stuff like that. I'm going to put"
46900,52640," that in the description for anyone who's interested in this weird obscure intimate meme that nobody knows"
52640,61560," about. Right. So and people have created this 3D model. I think the author of the of this model"
61560,69620," let me actually see. So it's somewhere in the in the assets. So the author is Max Kavula. I have"
69620,74000," pronounced the name correctly. So I'm going to put their profile here in the description as well. So"
74000,79600," they are the author of the model. So we managed to add the model right so far and chat is actually"
79600,89380," posting panger. The cult of panger. Right. I managed to put the the model in here. But the model is"
89380,96020," supposed to actually have textures and also an outline. So I learned a little bit about Blender. So I can try to"
96020,102700," maybe open the model in Blender. Hopefully we'll see. Hopefully my laptop will manage to do that. But I mean,"
102740,107920," it's a new laptop. So I'm pretty sure I'll be able to do that. So let's actually delete this entire thing."
107920,117280," And let me try to export the waveform OBG. Super, super, super quick. So I'm going to go to the assets and"
117280,124380," within the assets here is the path. So I'm going to just grab the path and I'm going to copy paste it in"
124380,130640," here. So I can basically go here and I'm exporting the whole thing. Did it export it? It didn't fucking"
130640,135160," export shit. I think I think I did something. I mean, import."
137160,144880," I don't know the difference between export and import. Sorry. My brain having a hard time too. And since I"
144880,153440," bro, since I exported an empty thing, it actually overwritten the model. And now I actually lost it."
153440,173300," Dude, I do not deserve a new laptop. I don't know how to use computers. How is it to be boomer?"
173300,181360," This is such a boomer thing to do. Like, holy fuck. I literally do not deserve a new laptop. Like,"
181360,191280," I don't know how to use computers. Luckily, luckily, I use Git. The whole model was under the Git. So yeah,"
191280,197840," as you can see, actually deleted it and stuff like that. I can revert the changes. But you didn't"
197840,202240," fucking expect that. I thought you just, I'm just some sort of a noob who doesn't know how to use"
202240,209680," computers. But I used Git and now I reverted the damage. That fucking easy. Anyways, so let's"
209680,215820," actually try to do that one more time. One more time. And maybe this time, I'm going to use the"
215820,221260," right option. Actually, let's actually see. Boom. Look at that. It's the banger. It's the banger."
221260,227120," Your mom's a banger. So one of the things, by the way, we need to do, we need to go to some sort of"
227120,232940," like a render mode. Right. So where, yeah, so this is the material sort of mode, but it's became"
232940,240740," completely black because it has an outer black hole. Right. And it's a trick that people use to"
240740,249360," create an outline. So the way the outline is created, the normals of the hole is actually inverted. And if"
249360,260240," you enable a hole, like basically normal culling, normal culling, it will appear. Right. So back"
260240,264780," face culling, that's what it's called. Right. So you enable back face culling and there we go. So this"
264780,269900," is how it looks like now. So this is a proper banger. This is how it's supposed to look like."
270500,274220," Right. This is how it's supposed to look like. Pretty cool. I think. I think it's pretty cool."
274220,283140," So and this is basically going to be goal for today's stream. We will try to modify this renderer. So"
283140,289760," the model finally looks like this. Right. That's the idea essentially. That's the idea essentially for"
289760,298980," today's stream. So we will need to put textures onto the triangles. Luckily, we already know how to do"
298980,303140," that. We already know how to do that because we've already done that in here. As you can see, here is"
303140,308640," the texture rendering. I don't remember how exactly it is done, but I can take a look at the at the source"
308640,317060," code. Right. And once we have textures, we'll also need to enable back face, not back face culling as"
317060,322920," well. So for that, we'll need normals. Right. We'll need normals. And the way we're going to do that,"
322920,328680," we're going to actually, I think the way it is done, I don't really know much about"
328680,335620," back face, back face culling. But I think you just take a dot product of the vector of the camera."
335620,340640," Right. So the camera has a vector direction where it is looking. You take that vector and you take"
340640,346760," the vector of the normal of the triangle and you do a dot product between them. And if it's, I think,"
346760,354020," negative. Right. You have to don't render that triangle. I think that's basically the idea."
354340,360200," Right. So because essentially the dot product tells you, so the kind of tells you an angle between"
360200,366940," two vectors. Right. Positive is the, yeah, positive is the same direction. Right. And negative is just"
366940,372840," like, yeah, roughly, roughly. Yeah, yeah, yeah. So it's not 100% that, but I mean, you can basically"
372840,381260," treat it for in this situation as such. Right. So to do back face culling, we need to actually have"
381260,387480," normals of the triangles. As far as I know, in our pipeline, we do not extract the normals of the"
387480,393460," of the triangles. So the way we actually do this entire thing, right, we have obg file and stuff like"
393460,403960," that. And we are converting obg file into c code. And we're baking the c code into the c executable into"
403960,409240," the c program. In our case, when it's in browser, we're baking it into the wasm module. Right. But it works"
409240,414220," actually outside of the browser. So did they already close? Yeah, I already called it. Right. So this"
414220,419900," entire thing is obviously compiled with WebAssembly into WebAssembly. Right. But then you have native"
419900,426280," versions of the same demos and they work outside of the browser. So in all of the cases, the model is"
426280,431440," converted into c code and baked straight into the program. So in case of the WebAssembly, it actually"
431440,438000," creates a very convenient situation that you don't even have to fetch any assets, you know, from your"
438000,442580," C program. Right. Because what you can do, like you just grab them from within the wasm module. You just"
442580,447580," need to load the wasm module and that's it. Right. This is actually super convenient. So and if you want to"
447580,452560," take a look at the native version, I think it's somewhere here. So it's going to be panger 3d sdl."
452560,461400," Right. There we go. So here's the native version here. So it's using sdl2 specifically. Works fine outside of the"
461400,467920," browser. See, you don't need browser, guys. You don't need browser. You can actually take and implement it like"
467920,476160," a very, very small subset of the browser. The only subset that your application actually needs. And you"
476160,482080," can ship that small, small, small subset of the browser with your program. Right. It's like almost"
482080,488040," like Electron apps. Right. So in case of Electron, you're shipping the entirety of the browser with your"
488040,493900," application. But the idea is if you know a little bit of a proper programming languages like C and C++,"
493900,500140," C++, you can implement a small subset of the browser. For example, like Canvas. And even small"
500140,505820," subset of the Canvas HTML. Right. So implement only the functionality of the browser that you need."
505820,510300," Implement your application on top of that functionality of the browser and just ship them"
510300,514540," together. And overall, the application is going to be way smaller, way more responsive."
514540,522620," So that's the new hot trick in web development. Right. So partial browser implementation. Because"
522620,527900," obviously implementing the entire browser is kind of difficult. Right. So you partially implement the"
527900,532460," browser. So partial implementation is actually way easier than the entire browser. You know what I'm"
532460,538780," talking about? That's how you trick web devs into proper software development, by the way. Right."
538780,541340," So just by telling them bullshit like this."
545820,555180," So anyways, what do we need? So we're converting that to C code. But as far as you know, we do not extract"
555180,560940," normals. Right. So we do not extract normals from the from the OBG. So this is probably something that"
560940,572300," we'll have to do. So let me go into the tools. OBG2C. OBG2C. And in here, I think what we're doing,"
572940,582220," we are literally skipping normals. Right. So the normals are the objects or the commands of OBG file,"
582220,588620," which start with vn, if I'm not mistaken. Right. So yeah, it is like, this code assumes that we already,"
588620,596300," yeah, so this is whatever. So this is a normal. And we are, it's actually, so yeah, we parsed."
599340,606060," This one is interesting. I think we'll literally just ignore the n, don't we? Yeah. Yeah. Okay. Okay."
606060,611340," So we count normals though. Right. We count them, but we ignore them. So I suppose we count them"
611340,622300," specifically to report them in the building. Right. So if I just do no build assets. Right. So no build assets."
622620,630940," At the end, we are reporting how many normals and texture coordinates we have. Right. But we don't"
630940,636700," collect them at all. This is just like a additional information that we have in here. So I suppose we"
636700,641100," need to start collecting them, honestly. Right. So we have to start collecting them in the same way we're"
641100,649900," collecting faces and vertices. Right. Faces and vertices. So this is actually super easy because,"
649900,656700," again, the n is just the three floating points. It's basically a vector. Right. So it is basically"
656700,662140," a vector. So this is going to be, you know, a list of vectors. So vertices, if we take a look at the"
662140,669420," definition of the vertices, it's a dynamic array of a vertex and the vertex is a little bit more"
669420,675980," complicated than what we may think. It has a position and it also has faces indices. This is"
675980,680380," needed for component analysis. Right. So this is additional thing. It doesn't really matter that much"
680380,687740," for us. All right. So let's introduce, I think, normals. Right. So we're going to have normals,"
688780,694860," normies. And normals is going to be basically a sequence of the three-dimensional vectors. Right."
694860,699500," So it's going to be a vector three. Do we have a vector three? Yeah, we do. So this is a vector three."
699500,704460," Okay. So that's pretty cool. So this is the items. And here we're going to just introduce capacity and"
704460,709740," we're going to just introduce the count. There we go. We have normals. So then in a place where we"
709740,716940," create, for example, faces. Right. We carry vertices, faces. We need to also create normals. Right. So"
716940,721660," these are the normals. And we probably want to get rid of the normals count. Right. So because"
721660,727980," the amount of normals is going to be the count that we're going to use. Right. So I might as well even"
727980,733740," just try to rebuild the entire thing. Let's rebuild the tools. I think I have to go somewhere here. So"
733740,738460," let's rebuild the tools. And here obviously it doesn't compile. So here we just add the normals."
739020,747900," So we need to try to parse three floats. Right. We need to try to parse three floats. How are we going"
747900,754700," to be doing all of that? This is a good question. So we already parsed three floats with V. The easiest"
754700,762220," thing to do in here would be to literally copy paste the entirety of this code into the vertex normals."
762780,769180," Yes. It is okay to copy paste. It is okay to copy paste. Don't listen to your university professor."
769180,779020," They don't know shit about software development. Copy pasting is how you identify patterns within the code."
779900,786620," And the more you can identify patterns the more you can then compress them if it is needed. Without copy"
786620,793180," pasting it is almost impossible to identify patterns which you can then factor out into the abstraction."
793180,800380," Copy pasting is not only good. It is a very important tool of creating architecture from the bottom to the top."
800380,807260," So anybody who does any series software development knows that."
808700,813020," Right. That's how a series software is actually developed. Cheers for that."
813020,819500," So that's pretty cool. That's pretty cool. So people have been subscribing and throwing money at me."
819500,822860," Do people subscribe and throw money at your professor? I don't think so."
822860,830620," So thank you so much everyone who gifted me money. So give us a 5,000. I hope I'm listening"
830620,837500," correctly. Thank you so much for the message. Yo! So emote banger."
837500,840860," I do agree with this message, right? So I do agree with the message of banger."
840860,845660," Uh, Krasty. Thank you so much for tier one. And NGDL MK. Thank you so much for it, which I really,"
845660,850380," really appreciate that. Very poggers. Very poggers, my new friend."
850380,859180," So in here, uh, essentially the thing that is responsible for, um, parsing the vector, right, is"
860060,869020," this two, these three lines. This is for computing the range of the vertices, right? So the minimum x and"
869020,875740," the maximum x, the minimum y and the maximum y. We don't really need that in a, in normals at all."
875740,882220," Honestly, this is kind of a useless information in normals. In vertices, in specific points of the mesh,"
882220,887740," we kind of do want to know what's the minimum x, what's the maximum x, what's the minimum y, what's"
887740,895020," the maximum y. So basically we know the box, the bounding box of the mesh. This is important. But in"
895020,901580," case of the normals, normals are, uh, basically the vectors that stick out of the, uh, of the triangles."
901580,906300," They stick out of the triangles and computing their ranges is just like, it's a useful information. It"
906300,910460," doesn't give us anything. So I don't think we need this kind of thing, uh, right? I don't think we need"
910460,917100," this kind of thing. Uh, right. And this is how we parse, essentially, uh, this is how we essentially"
917100,922380," parse the vector, right? So, and after that, we can create a 3D vector out of that. So it's going to"
922380,929580," make vector 3 x, y, z. And then we're going to append the, append that into the normals, uh, like so."
929580,933660," And this is how we support the normals. Uh, let's actually try to recompile the entire tools."
933660,940140," Uh, right. So what do we have in here? So, and ptr, we never actually defined and ptr. I think it has"
940140,949420," to be a character like so, right? So it basically tells, so str2f just parses float, but then it tells"
949420,955820," you at, uh, at which point it stopped parsing. So, and it does that through this variable and ptr. And"
955820,959340," because of that, it's very important to have this variable. So we know where to cut out the stuff"
959340,963820," that we've already parsed. Uh, so for more information, I really recommend to actually do"
963820,970940," man str2f, right? So, uh, I don't know how many people know that, but there is a lot of man pages"
970940,975900," for standard C library functions. They're super convenient, but usually depending on the Linux"
975900,979820," district, you have to actually install them, right? So development pages and stuff like that."
979820,985020," Uh, right. So, and if you want to know more information about str2f, you can just consult"
985020,989740," man page and there's a lot of information on how all of that str2f works in here,"
989740,996380," right? All that str2f works. Um, right. And let's try to rebuild this into, I think. So we have to be"
996380,1002220," in a different folder. So that's fine. And normals count. So this one is super easy, right? So this is"
1002220,1007260," just count, right? Because as soon as you just push them, they're automatically, uh, this count is"
1007260,1013020," automatically increased. Okay. We do, in fact, collect normals. We do, in fact, collect normals."
1013020,1020060," We can even kind of try to confirm that by, um, you know, running all that shit through"
1020060,1025500," the debugger, debugger waga. So let's do assets, right? So we are compiling the assets."
1025500,1032220," The way we, uh, run obg2c on the panger, it's this, right? So here is the command line that is used"
1032220,1039740," to convert panger into C code and the stuff that we probably want to do, right? So I want to copy"
1039740,1048700," paste this entire thing to a different place, right? So I'm going to grab the executable obg2c and I'm"
1048700,1056300," going to use gf2, uh, on this entire thing, right? Oh, I didn't have gf2 on this"
1056300,1064540," machine because it's a latest machine. Fuck. Right. So growing pains of the, of the new, uh,"
1064540,1069740," computer, right? Because you don't know what you're missing and stuff like that. Do I have at least gdb?"
1069740,1076140," Do, okay. So I do have gdb. All right. This is a good opportunity to actually take a look at gf."
1076140,1086140," One, no gf. Okay. So let's focus on coding. Okay. Let's focus on coding. Uh, let's go into next, uh,"
1086540,1090940," next, uh, gf2. I think that's their nickname. Uh,"
1090940,1097580," huh? What was the, okay, wait, wait, wait, wait, wait, wait, wait. Did I spell nickname incorrectly?"
1097580,1107260," I think next, gf2. Please don't tell me I spelled. Oh, it's, it's just gf. Okay. For those who doesn't know,"
1107260,1116780," gf, uh, is a front end for gdb that tries to make gdb look like a proper debugger, right? So that's"
1116780,1122860," basically what it does. And it's actually, there were a lot of wrappers around gdb, but I think this one"
1123500,1129020," is the best out of them, at least the ones that I tried, right? At least to my taste, right? At least"
1129020,1135740," to my taste. I really like this one. It's a little bit janky, but this is because it's a wrapper over"
1135740,1144700," gdb. So gdb is built in a way that fundamentally you cannot create a robust and stable wrapper around it,"
1144700,1151260," right? You just, just can't do that, right? So any wrapper around gdb is going to be slightly janky,"
1151260,1156220," right? So because the way it works, it injects a bunch of python scripts into gdb. Like I don't"
1156220,1161740," think there's any other way to do that, except maybe forking gdb and just modifying the source"
1161740,1166620," code and just baking something into the, into that, but that's too hardcore. And you're going to have"
1166620,1171820," like a hard time maintaining that and actually backporting changes from the upstream of gdb."
1171820,1178460," So it's a little bit janky, but it does the job relatively well, right? So I'm going to put that in"
1178460,1183260," the chat and in the description as well for anyone who's interested. It's really fucking cool. I really"
1183260,1188860," recommend to check it out and see for yourself if it's suitable for you. So, and it's relatively"
1188860,1195020," easy to build, I think. I think it is in fact relatively easy to build. So let's actually go to,"
1195020,1201740," to here. All right, I'm not going to do a third party. Do we have a third party folder? So third party,"
1202460,1208380," uh, nakaravati. And we're going to simply git clone this entity, I think."
1208380,1217340," Uh-huh. All right, all right. So this is what we've got. And there's a bunch of build scripts,"
1217340,1221900," all right, for different operating systems. FreeBSD, MacOS, NetBSD, OpenBSD."
1221900,1229740," And after that, people say that Linux has way too many incompatible distributions. What the fuck is that?"
1229740,1236860," Uh, but I mean, those are like, like straight up different kernels even, right? So they're not"
1236860,1240940," just distributions. They're straight up different kernels. They're basically different operating"
1240940,1246220," systems. Open-based. Maybe, maybe that's what it is. Okay, let's try to build it and see if it works"
1246220,1250300," or not. Uh, warning, free type could not be found. The fallback font will be used."
