start,end,text
240,4880," looks like we're live hello everyone and welcome to yet another recreational programming session"
4880,9360," with mr zozin let's make a little bit of announcement and officially start the stream"
9360,16320," as usual red circle live on twitch and what are we doing today on twitch.tv website did i"
16320,21120," even prepare the description i think i freaking didn't right but today we continue uh developing"
21120,29040," our own manim but in c with raylib and ffmpeg so today we're doing uh something special today"
29040,35040," we are integrating our small proof of concept framework uh with ffmpeg so we can produce the"
35040,40240," videos right luckily we already know how to do that because this is literally what we've done in"
40240,46640," usualizer so we can rip off some of the code from the mutualizer and just reuse it in our engine sort"
46640,52240," of speak right and that's going to be basically the topic for today's stream right so we're going"
52240,58960," to be integrating with raylib so let's take a look at the panium i developed a little bit this thing of"
58960,63440," screen because i mean on top of just developing this thing i also need to produce animations for"
63440,69120," my video right so i'm also like developing the framework and making the video simultaneously right"
69120,76800," i do these things simultaneously so i'm a huge proponent of developing the tool along with um using"
76800,83200," that tool simultaneously to produce something right because that's how you create uh you know the tools"
83200,88960," that are grounded on reality by instantly using them right so essentially you have a particular task"
88960,95840," you develop enough tool you develop enough tool to solve that specific task and then you basically"
95840,101280," try to solve more ambitious task and you develop your tool a little bit more and so on and so forth so"
101280,106640," it's constant back and forth between developing the tool and then using the tool right dog fooding yeah"
106640,112480," you can call it dog fooding right and essentially like if you try to force develop an engine and only"
112480,117600," then once you developed your beautiful engine try to produce something you will never produce something"
117600,123600," because you can develop your engine indefinitely right so you need to develop things with the purpose of"
123600,128720," producing something as quick as possible so because of that like i developed a little bit of a thing"
128720,135280," it allows me to make uh a little bit of animation that uh looks like this right so this is basically"
135280,140160," an animation that i'm probably going to use in my video right so it's a basically tape of the turing"
140160,145680," machine uh right so right now it just like goes back and forth nothing particularly special uh maybe"
145680,151680," it is a little bit too bright i kind of like this thing being bright uh but i also developed like um"
151680,158560," you know the dark mode version of this entire thing uh just for the just for the streaming actually"
158560,163360," because majority of the stuff on my screen is uh is dark so it makes sense for this thing to be dark"
163360,170240," uh right so i can actually switch the demon here rebuild this entire stuff uh right there we go and"
