start,end,text
0,14240," All right, looks like we're live. Hello, everyone, and welcome to another Zozin session. How about"
14240,21360," that? Pitching speech should happen yet again. So let's make a little bit of announcement and"
21360,27540," you know, tell people on Discord that we're currently live. So I'm going to say red circle"
27540,37060," live on Twitch. And what we're doing today, we are making a compiler yet again. So making compiler"
37060,42760," and I'm going to give the link to the Twitch channel, twitch.tv slash setting. And I'm going"
42760,49840," to ping everyone who's interested in being pinged. There we go. Everyone is pinged. Hello, hello,"
49840,59360," chat. How are you guys doing? Hello, graceful to be prime by your broad TV. Epic peaks. So"
59360,66680," hello, hello, everyone. Welcome, welcome, welcome. By stream. Hello, hello. So today, as usual,"
66680,72740," we continue developing our programming language, which is called port. You can find the link to the"
72740,80820," language here in the chat. Or if you're watching on YouTube, you can find and you can find this thing in"
80820,85700," the description. So I maintain a file where I put things in description. Okay,"
85700,90740," channel is subscribed for two months after one subscription. Thank you. Thank you. Thank you. And"
90740,99140," welcome to our epic port club. How about that? Thank you. Thank you. Thank you. So yeah, I'm slowly"
99140,106500," rewriting the language in itself off screen, right? Because it's kind of like a not really tedious"
106500,113140," process. But it's pretty much the same process as in Python. But your broad TV subscribe the tier one for"
113140,116820," five months. Thank you so much for five months of tier one subscription. Thank you. I really"
116820,124420," appreciate that. And welcome to epic ports club. So essentially, it's the same thing, but in port,"
124420,132180," right? So that's why I don't really like see any point in showing that. But sometimes when I rewriting"
132180,140980," portion itself, I encounter something, usually some features that are missing, right? So and one of such"
140980,147860," features right now is something that I'm also missing in Python, believe it or not. I really"
147860,155780," miss that feature in Python. And that feature is a static assert. Right? So everyone, like not everyone,"
155780,161060," but majority of people who are programmed for quite some time, and have a little bit of experience in"
161060,167460," developing big systems, they usually know what is assert, right? It's essentially some sort of an"
167460,174260," instruction or some sort of a procedure that lets you, you know, assert a specific expression, a"
174260,180660," specific condition at any particular point of the program execution, right? And so basically, it's a"
180660,187780," condition that must be true at that point of the execution. And if this condition is not true, at that"
187780,193940," point of the execution, that means there is a bug in your program somewhere else, right? So if your function,"
195540,201780," let's say, you have some sort of a function, maybe I'm going to actually enable the Python mode, I cannot"
201780,207860," enable Python mode for some reason, okay, so you have some sort of a input data for your function, right? And"
207860,218660," that input data is prepared by some other function, right? And function f expect the data to be of a particular"
218660,229460," format. For instance, it expects that the length of the of the data is always going to be five, right? Because"
229460,238340," it's going to try to access the data at like, for example, three. So and this should always be true. And we"
238340,249380," know that prepare always returns the data that is five elements long. But if you made make a mistake in"
249380,257620," this function, this function may break, right? So before we try to assume that the data has five elements,"
257620,264100," let's assert that first, because if that's false, that means you have a bug somewhere in other places in your"
264100,270740," code, this is a really dumb and simple example. But it basically demonstrates what what asserts usually"
270740,277140," are. In real world application, you probably won't just like rely on the data being a list of five"
277140,282420," elements, maybe you're gonna have some sort of a structure instead, or something like that. So yeah,"
