start,end,text
0,29980," Thank you."
30000,59980," Thank you."
60000,89980," Thank you."
90000,119980," Thank you."
120000,149980," Thank you."
150000,179980," Thank you."
180000,209980," Thank you."
210000,239980," Thank you."
240000,269980," Thank you."
270000,298000," Thank you."
300000,329980," Thank you."
330000,359980," Thank you."
360000,389980," Thank you."
390000,419980," Thank you."
420000,449980," Thank you."
450000,479980," Thank you."
480000,509980," Thank you."
510000,539980," Thank you."
540000,569980," Thank you."
570000,599980," Thank you."
600000,629980," Thank you."
629980,659960," Thank you."
659960,689940," Thank you."
689960,719940," Thank you."
719960,749940," Thank you."
749940,779920," Thank you."
779940,809920," Thank you."
809940,839920," Thank you."
839940,869920," Thank you."
869920,899900," Thank you."
899920,929900," Thank you."
929920,959900," Thank you."
959920,989900," Thank you."
989920,1019900," Thank you."
1019920,1049900," Thank you."
1049920,1079900," Thank you."
1079920,1109900," Thank you."
1109920,1139900," Thank you."
1139920,1169900," Thank you."
1169920,1199900," Thank you."
1199920,1229900," Thank you."
1229920,1259900," Thank you."
1259920,1289900," Thank you."
1289920,1319900," Thank you."
1319920,1349900," Thank you."
1349920,1379900," Thank you."
1379920,1409900," Thank you."
1409920,1439900," Thank you."
1439900,1469880," Thank you."
1469900,1499880," Thank you."
1499880,1529860," Thank you."
1529880,1559860," Thank you."
1559880,1589860," Thank you."
1589880,1619860," Thank you."
1619860,1649840," Thank you."
1649840,1679820," Thank you."
1679840,1709820," Thank you."
1709840,1739820," Thank you."
1739820,1769800," Thank you."
1769820,1799800," Thank you."
1799820,1829800," Thank you."
1829820,1859800," Thank you."
1859820,1889800," Thank you."
1889820,1919800," Thank you."
1919820,1949800," Thank you."
1949800,1979780," Thank you."
1979780,2009760," Thank you."
2009780,2039760," Thank you."
2039780,2069760," Thank you."
2069760,2099740," Thank you."
2099760,2129740," Thank you."
2129760,2159740," Thank you."
2159760,2189740," Thank you."
2189740,2219720," Thank you."
2219740,2249720," Thank you."
2249740,2279720," Thank you."
2279740,2309720," Thank you."
2309740,2339720," Thank you."
2339740,2369720," Thank you."
2369740,2399720," We're going to do,"
2399740,2429720," Let's take a look at you."
2429720,2459700," Thank you."
2459700,2489680," Thank you."
2489680,2519660," Okay, if I try to do, okay."
2519660,2549640," I need a cup of tea."
2549640,2579620," Thank you."
2579620,2609600," Hello."
2609600,2639580," So, it tells you, this is the ultimate, this is the ultimate, this is the ultimate, this is"
2639580,2669560," Zoomer test."
2669560,2699540," None of them know, none of them know how to test, none of them know how to test, none of them."
2699540,2729520," So, you know, we're going to do, okay."
2729520,2759500," And we're going to do, okay."
2759500,2789480," I think, we're going to do, we're going to do, we're going to do, we're going to do, okay."
2789480,2819460," We have a live, we're going to do, we're going to do, okay."
2819460,2849440," We're going to do, we're going to do, we're going to do, okay."
2849440,2879420," We're going to do, we're going to do, we're going to do, okay."
2879420,2909400," We're going to do, we're going to do, we're going to do, we're going to do, okay."
2909400,2939380," We're going to do, we're going to do, okay."
2939380,2969360," We're going to do, okay."
2969360,2999340," We're going to do, we're going to do, okay."
2999340,3029320," We're going to do, okay."
3029320,3059300," We're going to do, okay."
3059300,3089280," We're going to do, okay."
3089280,3119260," We're going to do, okay."
3119260,3149240," We're going to do, okay."
3149240,3179220," We're going to do, okay."
3179220,3209200," We're going to do, okay."
3209200,3239180," We're going to do, okay."
3239180,3269160," We're going to do, okay."
3269160,3299140," We're going to do, okay."
3299140,3329120," We're going to do, okay."
3329120,3359100," We're going to do, okay."
3359100,3389080," We're going to do, okay."
3389080,3419060," We're going to do, okay."
3419060,3449040," We're going to do, okay."
3449040,3479020," We're going to do, okay."
3479020,3509000," We're going to do, okay."
3509000,3538980," We're going to do, okay."
3538980,3568960," We're going to do, okay."
3568960,3598940,", okay."
3598940,3628920," We're going to do, okay."
3628920,3658900," We're going to do, okay."
3658900,3688880," We're going to do, okay."
3688880,3718860," We're going to do, okay."
3718860,3748840," We're going to do, okay."
3748840,3778820," We're going to do, okay."
3778820,3808800," We're going to do, okay."
3808800,3838780," We're going to do, okay."
3838780,3868760," We're going to do, okay."
3868760,3898740," We're going to do, okay."
3898740,3928720," We're going to do, okay."
3928720,3958700," We're going to do, okay."
3958700,3988680," We're going to do, okay."
3988680,4018660," We're going to do, okay."
4018660,4048640," We're going to do, okay."
4048640,4078620," We're going to do, okay."
4078620,4108600," We're going to do, okay."
4108600,4138580," We're going to do, okay."
4138580,4168560," We're going to do, okay."
4168560,4198540," We're going to do, okay."
4198540,4228520," We're going to do, okay."
4228520,4258500," We're going to do, okay."
4258500,4288480," We're going to do, okay."
4288480,4318460," We're going to do, okay."
4318460,4348440," We're going to do, okay."
4348440,4378420," We're going to do, okay."
4378420,4408400," We're going to do, okay."
4408400,4438380," We're going to do, okay."
4438380,4468360," So, yeah."
4468360,4498340," We're going to do, okay."
4498340,4528320," We're going to do, okay."
