start,end,text
0,14240," all right looks like we're alive hello everyone and welcome to another zozin session how about"
14240,22320," that how about that that should do happen so uh let's make a little bit of an announcement before"
22320,34960," we actually start so uh real quick uh red circle live on twitch and today we're doing a very special"
34960,43600," topic today we're doing a very special topic uh thank you so much uh copper case it for 27 months"
43600,47680," of tier one subscription thank you thank you thank you and welcome to our epic temple os club"
48400,54240," welcome to our epic temple so uh today we're doing advent of code 2021 i forgot to actually"
54240,59920," mention it's 2021 in temple os that's what we're doing uh what it's all about i'm gonna get into"
59920,65520," that a little bit later uh twitch.tv/todding and i'm gonna ping everyone who's interested in being"
65520,72160," pinged somebody sneakily called themselves pingly um and now i want to ping them right but i'm not"
72160,75680," gonna ping them all right so the stream has officially started"
75680,84080," the stream has officially started and uh yeah so today we're starting advent of code and for those"
84080,91440," who doesn't know advent of code is an annual event where um basically through like starting from december"
91440,100240," 1st up until december 25th uh you're given one problem to solve right every day and it's like basically"
100240,106320," the advent calendar right so i don't know anything about advent calendar uh because i'm coming from"
106320,113520," the orthodox world not from the catholic one so uh i actually like before i learned english and actually"
113520,121200," started to do advent of code i never heard of such concept as advent calendar at all in my entire life uh"
121760,128640," yeah so uh so just something to uh to be aware of right so i'm coming from a completely different uh"
128640,134240," cultural world where this uh is not a thing right so i was actually quite surprised that it's a thing"
134240,141120," in uh in central europe in u.s uh probably in canada i don't know where where it is but in from the world"
141120,146160," where i'm coming from this is not a thing so i just don't know it's it's basically like a advent calendar"
146160,154880," and uh yeah so we already did this thing last year and uh the challenge of the last year was that"
154880,160240," uh i have to use a different language for each individual problem right uh so let's actually start"
160240,169600," uh to um you know keep track of the description configs 21 says whoop whoop whoop whoop indeed"
169600,172880," thank you so much for two months of tier one subscription thank you thank you thank you and"
172880,178960," welcome to our epic temple uh that's right uh so uh let's actually start keeping track of the"
178960,184640," description so i have a description file from a uh previous stream so i think i'm gonna actually comment"
184640,190320," it out so the stream was about uh i think it was a port where we removed overloading right so i'm"
190320,195200," gonna actually mark it like this and i'm gonna open the new description file uh description id this"
195200,201840," is a reference and uh in the reference i'm gonna give the link to advent of code check it out advent of"
201840,209120," code uh there we go so check it out i'm gonna actually put that in the chat for everyone who's"
209120,213200," watching live and for people who's watching on youtube you're gonna find this thing in the description of"
213200,219280," course uh all right so as i already said in the previous year the challenge was to use a different"
219280,226080," language for each individual day so and i put all of the solutions in this repo you can find it in the"
226080,236560," description as well uh solutions solutions for advent of code 2020 you can find it in here and i'm gonna"
236560,242880," copy that in the uh in the chat as well for anyone who's interested so the challenge of today's year as"
242880,248080," already mentioned in the previous in the announcement right is going to be solving all of the problems in"
248080,254240," holy sea inside of the temple os uh for those who never heard about temple os it's a very special"
254240,260080," operating system it's a very interesting operating system it's not like um it's not like a distribution"
260080,265360," of linux or anything like that it's an operating system that is written from scratch by a very famous"
265360,272000," person uh terry davis uh right so you can find it in here and uh of course i'm gonna put that in the"
272000,277920," description temple or ads so here it is and for anyone who's watching live i'm gonna copy that in"
277920,285040," the chat so here it is here is the uh here is the link so uh one of the things uh about the author of that"
