start,end,text
160,5680," Hello everyone, and welcome to yet another recreation programming session with Amistazozin."
5680,12880," So here we have a simple online game, multiplayer online game. So essentially, if I open this game in"
12880,17840," a second tab, we have a second player joined. Right, so I can control this player and I can"
17840,25680," control this player. Right, and it doesn't really support that many players, even locally. So I'm"
25680,32320," running it locally right now, but even locally it is kind of slow, honestly. So we can actually test"
32320,38320," it out. So I have a sort of like a test suite that allows me to spawn a bunch of bots, right, so I can"
38320,43600," do something like that. So here is, I think it's going to spawn like 30 bots. And the thing about"
43600,48800," these bots is that, oh, this is not how we do that. So yeah, I'm using wrong commands, I'm sorry about"
48800,54000," that. There we go, we spawned a bot and here they are, here they are running around and stuff like"
54000,59440," that. And it's fine because it's around 30 bots, I think. So let me actually maybe increase the"
59440,65040," amount of bots a little bit. So yeah, this is a 30 bots. But there's also on the server, there's a"
65040,71520," little bit of a limitation how many connections we accept. So I accept 69. So I kind of want to get rid"
71520,75600," of this limitation. So let's actually put something like 1000, right, so effectively it will get rid of"
75600,82240," the limitation. At least for now, right. So we can't really do 1000 of the players, but maybe in the"
82240,91280," future we'll be able to do more. Okay, so I need to restart the server, right. And for the bots, let's"
91280,97760," actually spawn like maybe 100 of them. I think it's going to be very interesting to try. So here is the"
97760,108560," player and I'm spawning 100 bots. Here they are. And look at that! At 100 bots, the ping actually becomes,"
108560,118560," like, it jumps to almost 100. Right. So something grows in here non-linearly. Right. So let me go to"
118560,126800," 50. Right. So I'm actually going to cut it in half. So what about 50? Right. So this is 50 bots and the ping,"
126800,133280," look at the ping. Sometimes it jumps to very high values, but when the GC doesn't kick in, it's like around"
133280,140160," 6 milliseconds or something like that. Right. But as soon as you like put 100, it jumps like dramatically."
140160,146560," Like, holy fucking shit. So let's go. There's some sort of a non-linear algorithm happening in here."
146560,155120," Look at that shit. Right. And maybe we can now increase the amount of bots even more. So 150. And I think it's"
155120,161200," going to be, it's not going to work like at all. Right. So yeah, it's going to be so super laggy."
161200,167920," Look at that. So one second. Look at the ping of one second. Holy shit. Right. And again,"
167920,175520," all of that is locally. Right. All of that is locally. So there is non-linear algorithm somewhere"
175520,181200," in the server or something like that. So this is bad. Right. I mean, it's local shit."
181200,189440," So and one of the places I think I can identify where we have non-linear algorithms"
189440,198720," is when we process in the tick. Right. So this one is rather interesting. So there's like several stages"
198720,208000," where we do things. Right. So essentially, before tick is being processed. Right. So this is a callback"
208000,213520," that is called periodically. Right. So it's just basically called periodically and it loops itself"
213520,219840," through set timeout. Right. And the amount of timeout is actually dependent on how much time it took"
219840,225680," for the tick to process itself. Right. So and it just like waits a little bit less if it took too long."
226400,233120," So that's basically how it works. And since it's like a set timeout callback, while it is being waited,"
233120,240080," we receive different events from the WebSocket and we're basically accumulating those events"
240080,248320," in different sets and maps and stuff like that. And as soon as tick kicks in, as soon as tick kicks in,"
248320,254480," we're processing everything we received while we were waiting. So that's basically how it works. Right."
254480,262240," So basically in the server, we have our code split into parts, the part that receives events and just like puts them"
262240,268480," somewhere in some sort of like data structures and stuff like that. And the tick code, then when it kicks in,"
268480,274800," it takes everything that's been collected while we were waiting and then processes that as the tick."
275440,283200," So and we have the first thing that we do, we look at the set. Right. So it's a set of joint"
283200,289920," players. Right. So it's a joint IDs. This is the IDs of the joint players. And we process them and we send"
289920,295920," out different, you know, different events and stuff like that. And here already we have"
296880,305520," a square algorithm. So look at that. So it's not even even square algorithms. So we iterate through each joint IDs."
305520,310960," And for each joint ID, we iterate all of the players."
310960,315200," Right. So we have a hash map of all of the players."
315600,323360," And for each ID, we iterate each player. So it's basically the joint amount of the amount of joint IDs"
323360,328640," multiplied by the amount of players. Right. So it's not really like a square. It's like a rectangle."
328640,335920," So this is one basically source of nonlinearity. It's not really square. Right. So it's more like n by m."
335920,344000," Right. So where n is the amount of joint players and m is the total amount of players. Right. So it's not"
344000,351200," exactly square, but at some situations it could become square. At some situations it could become square."
352240,358560," So for the left players, it's also kind of like repeating itself. Right. So it's a left players"
358560,366640," multiplied by all of the players. And the most slow part, I think, is actually this one. So this is"
366640,377920," straight up square. Look at that. For each players. For each players. Straight up. So this is basically"
