start,end,text
400,5760," looks like we're live hello everyone and welcome to yet another azu is in session"
5760,12160," azu is in session let's make a little bit of an announcement and officially start at this stream"
12160,19440," hello hello welcome welcome welcome how are you guys doing so uh let's do the usual uh red circle"
19440,28000," live on twitch and what are we doing today on twitch.tv website today we are implementing"
28640,35040," back propagation propagation uh in c that's what we're doing today i'm going to give the link to"
35040,40240," twitch.tv/totting the place where we're doing all that twitch.tv/totting and i'm going to ping"
40240,45600," everyone who's interested in being pinged there we go the stream has officially started the stream"
45600,53040," has officially started so so for the past several streams we were developing uh an nh which is a"
53040,58480," simple header-only library for neural networks and we're doing that purely for educational purposes"
58640,63760," right so we're trying to explore the paradigm of machine learning and the paradigm of machine"
63760,69680," learning is essentially paradigm where you're developing a model that models a certain process"
69680,76000," right something and you're not coding the model directly you're not developing the model directly"
76000,82960," you are essentially describing how the model has to behave and the training process or the learning"
82960,89520," process uh is supposed to configure the model so it behaves as close to your description as possible"
89520,94400," so that's basically the paradigm we are working with it's a very new paradigm for me i never worked with"
94400,98800," that paradigm before but it's extremely fascinating and that's what we're doing today so and for"
98800,104080," educational purposes i'm doing everything from scratch i'm using c not touching any of the you know"
104080,109360," tensorflow or pi torch or whatever the fuck they are until i understand how this entire thing works"
110080,115920," right and that's essentially what we're doing today so we're gonna give the link to the nn.h uh all"
115920,121040," right to the chat right so let me quickly copy paste this entire thing so it's in the chat and for"
121040,126720," people who's watching on youtube it's going to be in the description as usual so uh let's take a look"
126720,133600," at uh what we have in here so we already implemented sort of like a hello world of uh neural networks we"
133600,139520," implemented xor neural network it's a very simple neural network that consists of like two input"
141040,148880," two input neurons two hidden layer neurons and one output neuron and it's supposed to act like a xor gate"
148880,153760," right so i i can even draw how it's supposed to look like so i think it's it's a little bit better to"
153760,160960," understand if you just visually draw this entire thing so the entire neural networks network looks"
160960,170240," roughly like this uh so you have two input neurons uh right then you have two hidden neurons and one"
170240,174400," output neuron and since it's a fully connected uh neural network that means all of these things are"
174400,181600," connected uh everything is connected right and essentially this is sort of like the first bit that"
181600,187360," you put in here right and this is the second bit and this is the output bit and it's supposed to act"
187360,195120," like a xor gate right so the way we uh you know sort of train this entire neural network is that we"
195120,202800," initialize all the parameter of the neural network uh with random numbers right so each uh sort of like"
202800,209200," neuron each neuron has its own bias and each connection has its own weight uh and stuff like that"
209200,214640," right and then uh the learning process basically just configures all these weights and biases until"
214640,220400," this entire thing acts like a uh xor gate right so that's basically what it does we can even take a look"
220400,225120," at this entire stuff so we have a little bit of a training data in here so we even have like a training data"
225120,230560," for order right so it's actually easy easy to swap different training data data if you want to train"
230560,235680," different uh different gates and stuff like that so let's actually build this entire thing"
235680,240720," uh right so i'm going to do xor xor.c and i'm also going to link with the math library"
240720,246080," just in case as you can see it built and uh i want to run this entire thing and as you can see"
246080,250080," so what we have in here it's printing the cost function while it's training everything"
250080,256000," so it's doing i don't know how many epochs it's doing it's it's one hundred one hundred thousand"
256000,263760," epochs so it's actually pretty slow in the uh in emacs because emacs is not a very fast terminal right"
263760,270880," it's not a very fast terminal so it's actually open like a real terminal right so uh so we can do that"
270880,278480," a little bit faster uh right unless you just use or uh and it goes through one hundred thousand epochs pretty"
278480,284640," easily right and these are basically final weights and biases of the neural networks of this specific"
284640,291040," neural network and this is its behavior so this is what we're basically validating so zero zero is very"
291040,298800," close to zero right so it's very close to zero zero one is one one zero is one but one one is zero right"
298800,306080," so as you can see it works and again we can actually swap it out we can swap out the data if we want or"
307280,313520," it's going to train or so let's actually just build this entire thing without you know running it because"
313520,321040," we want to run it in a separate terminal so and uh i think i can do a half of the iterations and as you"
321040,327360," can see it acts like or zero zero is zero right so maybe i can even make it a little bigger zero one is"
327360,334880," one one zero is one and one one is one right so and you can sort of model this simple sort of gate so the way we"
335680,346000," uh optimize the um the cost function we're doing a very stupid hack right we're doing a very stupid hack"
346000,353760," uh which uh is called finite differences i'm not sure how common this hack is uh from what i saw on the"
353760,360560," internet and from what i could understand from like talking to chat gpt it is very uncommon but i like this"
360560,368160," trick i absolutely like this trick because it is so simple it is extremely simple so it just for"
368160,374080," educational purposes i think it's extremely like invaluable right because it just allows you not to"
374080,381360," talk about back propagation and just focus on what a gradient descent actually is even though it is very"
381360,388640," slow you know what i mean right sometimes like um so there there's a problem i think we discussed that"
388640,395360," recently is that um one of the cool things in math one of the valuable things in math is its rigor"
395360,404480," math it tends to be very rigorous but at the same time uh rigor is actually quite often bad for education"
405040,410560," right because it makes a lot of things obscure for people who are not familiar with the concepts they"
410560,417120," are trying to learn right so and it's kind of similar with uh i think performance in programming"
417120,424560," right in performance in programming because uh people are trying to like you know force other people to"
424560,428800," write as fast as possible to like write the most performing algorithms"
429440,436400," without understanding like why like where to move i made an analogy in the previous stream is that right"
436400,443280," demanding a person who's learning neural networks to write propagation back propagation from day one"
443280,448160," is like asking them to run as fun as fast as possible without telling them direction"
448160,455120," right essentially you come to them and say you have to run you go to the jump to the car and drive but"
455120,459040," but where do you drive like i don't know it doesn't matter just drive as fast as possible but but you"
459040,465520," don't know the direction right so that's the analogy i uh i like to make so back propagation is rather"
465520,471280," confusing right for people who are never working with this kind of stuff and uh finite differences is"
471280,476240," actually super easy to understand right for educational purpose but it's slow right it allows us to figure"
476240,482000," out the direction in which we can move and uh once we figure out the direction we can try to move"
482000,488800," faster right so let's actually uh do a recap of uh how uh finite differences actually works"
488800,496880," so essentially we have a cost function right and the cost function is effectively a function of all of"
496880,503120," the parameters of your uh of your model right or neural network in that specific case so here i'm going"
503120,510400," to denote uh for all of the parameters as w right so but usually you have like thousands and maybe millions"
510400,514880," and billions of parameters right in your neural networks in this specific case how many parameters"
514880,523680," do we have we have at least six uh and then uh four so ten uh we have 12 parameters i think i think that's"
523680,531280," how many parameters we have in here so if i'm mistaken yeah so this is it's actually less i think it's oh it's"
531280,538160," nine yeah i'm gonna get i'm sorry yeah i think it's nine anyway so essentially and the cost function"
538160,544960," essentially tells you tells you how well your model performs right so uh the higher it is the higher it"
