start,end,text
80,6480," looks like we're live hello everyone and welcome to yet another recreational programming session"
6480,13440," let's make a little bit of an announcement and officially start this stream as usual as usual"
13440,21120," so let's wait for discord right for very fast application uh live on twitch and what are we"
21120,29520," doing today on twitch.at television website today we're writing asset manager for mutualizer right"
29520,33360," so i'm going to give the link to where we're doing all that twitch.tv turning and i'm going to ping"
33360,38800," everyone who's interested in being pinked there we go the stream has officially started the stream"
38800,43680," has officially started today we continue working on mutualizer which is music visualizer that we"
43680,48080," started to develop some time ago so i'm going to copy paste the link in the chat for beautiful people"
48080,54560," on twitch and for beautiful people on youtube it's going to be in the description right in the description"
55280,61520," so it's a very simple idea right so essentially you have an application uh which allows you to generate"
61520,67600," a pretty uh visualization of some music right so whatever music you want so let's actually start it"
67600,72640," up so this is how it looks like it greets you with drag and drop music here right so this is how you"
72640,78480," support supposed to work with it let's grab some music all right so maybe this one right and as you"
78480,84160," can see it starts visualizing so it also has an interface uh right so you can actually jump to any"
84160,89920," point in music you can actually have several songs in here you can switch between them uh right and stuff"
89920,95600," like that and on the very stream we added an ability to actually go full screen right in case you just want"
95600,102000," visualization of particular music on the background or something like that right so and at some point you can"
102000,110560," press uh i think r and it will start start rendering the um mp4 video of that visualization for that music"
110560,114720," right we're not going to do the full thing because it takes some time because it's a high quality video"
114720,120800," uh but you you get the idea right you get the idea that's basically a mutualizer right it's a music"
120800,128320," visualizer it's a music visualizer uh so uh on the previous stream we worked with a little bit of"
128320,135360," assets right so we worked with a little bit of assets specifically to add um icons right so"
135360,140800," essentially you can see in here there is a button for full screen and you when you hover over it it"
140800,146800," just like changes its icon and when i press it uh basically changes again so it switches between the"
146800,154640," states and stuff like that and um developing this particular thing was um it was okay right it was okay"
154640,160880," but it was a little bit difficult to use hot reloading feature right so our application does"
160880,167680," in fact support hot reloading features yes it is written in c in a native programming language but you"
167680,173360," still can hot reload things and by hot reloading i mean changing the behavior of the program without"
173360,180080," restarting the program yes it is not intrinsic to web applications it is not intrinsic to web applications you"
180080,186080," don't need a browser you don't need a dynamic language to be able to hot reload programs right"
186080,193360," it's a basic feature of any modern operating system right i know it's kind of weird it's it sounds"
193360,198400," kind of weird but it's been common knowledge for decades people just forgot about it it's not"
198400,202720," contradicting to it to itself right so common knowledge and people forgot about it i think it's"
202720,208320," these two statements are contradicting to each other but anyway uh right so it's been a common thing"
208320,214320," uh for decades right people just forgot about it people just forgot about it so i can actually"
214320,221600," demonstrate right so we can go to the source code in here so we even have a table right so we even have"
221600,229120," a table uh for so-called accents so color accent is basically this bluish color right it's this bluish"
229120,237040," color uh i can change this entire thing to for example red right so as far as i know it's zero and then i can go"
237040,242960," and simply rebuild this entire thing and boom i didn't restart the application the application was"
242960,248880," not restarted but uh the accent the color accent has been changed and the the color was not safe in some"
248880,256240," sort of a text file i literally modified the source code c source code i modified c source code and without"
256240,262800," ever starting the application i reloaded the behavior you can do that so but it's a little bit difficult with"
262800,270480," the assets right so specifically if i am about to add a new button with a new icon right what i'll have to"
270480,278000," do what i'll have to do so i have a special uh structure special god structure that stores the"
278000,283760," entire state of the application right so the way it works in the memory you have a chunk of memory that"
283760,289520," stores the state of the application right the whole state of the application then you have a chunk of memory that"
289520,296400," stores the code of the application that works on the data on the state of the application when you want"
296400,302560," to have to reload something you unload the code you retain the data you retain the data but you only"
302560,306800," unload the code and load a new version of the code that works with the previous data"
308240,315840," if you change the schema of the data you still have to reload the whole application you still have to"
315840,321200," reload the whole application because the hot reloading feature does not work with the data it only reloads"
321200,328880," the code it doesn't reload the data so because of that uh right so if i want to add a new image in here"
328880,334800," i'll have to add a new field in here right specifically one of the buttons i would like to have in here or one"
334800,341600," of the elements that i would like to have in here is the control of the volume uh right and uh so what"
341600,348960," i'll have to do i'll have to add a new field into the structure uh volume um just a second volume image"
348960,353680," right and also for the texture of course uh right because we have an image and the texture so we can use"
353680,360320," that via the opengl all right and that will require the full reloading of the application and that is not"
360320,367440," convenient i want to be able to add new assets without uh having to reload everything without"
367440,373040," having to reload everything so and the way we load by the way so in the plugin in it and the plugin in it"
373040,382400," so we just like call uh load that specific file by that specific path right so load that specific file"
382400,388960," file by that specific path and uh so what i was thinking how we can solve all of that i was thinking"
388960,396080," how we can solve all of that and i suppose the most logical solution would be to have some sort of a cache"
396080,401520," some sort of a like a cache asset manager i don't even know how to call that i suppose different people"
401520,406880," call that slightly differently uh right but essentially we can have uh some sort of a"
407680,413360," asset structure right it doesn't really matter what exactly it is right what it doesn't really matter"
413360,422480," what exactly it is uh we can define it right before the plugin right so somewhere here uh and within"
422480,432640," the plugin system we're going to have not assert assets right it's just not uh you know um reflexes"
432640,438640," so maybe even assets because there are several of them so this is assets uh and essentially we can have"
438640,446240," um different methods for that specific class for that specific structure for example we can say asset"
446240,453440," image load and here we'll accept uh file path file path to the image that you want to load and this"
453440,459440," entire thing is going to return an image so how is that different from just loading the image well it's going"
459440,468320," to cache that specific path right so basically when you try to do asset load somewhere for the first"
468320,475120," time it will call the image load and then when you do that for the second time with the same path that"
475120,481120," was already loaded it is not going to load anything it will return you already cached thing so and the way"
481120,486560," you are supposed to use that right as the way i in vision envision you're supposed to use that so let's"
486560,492640," actually find something like screen maybe texture i think i think texture is going to be better so in"
492640,499440," that case maybe we want to have something like texture 2d uh texture load right so full screen"
499440,508320," texture full screen texture and uh let me see so as you can see i want to i want to try to draw a texture"
508320,513440," instead of call instead of instead of using that field of the plugin i will do something like asset"
513440,524080," uh texture load right asset texture load and it will provide resources icons uh full screen png like"
524080,530000," literally like that uh when this thing is called for the first time of course it's going to be a little"
530000,535840," bit slower it's going to load the file but then on the next frame right so it's it's going to be called uh on"
