start,end,text
960,6800," Hello everyone and welcome to another Zeus in such. How about that? A bitching's way that should"
6800,15840," happen. So let's do a 16th day of advent of code in the gods temple. Packet decoder. As you leave"
15840,21000," the cave and reach open waters you receive a transmission from the elves back on the ship."
21000,28280," The transmission transmission was sent using the buoyancy interchange transmission system"
28280,35520," bits, a method of packing numeric expressions into binary sequence. Your submarine computer has saved"
35520,41360," this transmission in hexadecimal. Okay, I know what is a hexadecimal, your puzzle input. The first"
41360,45880," step of decoding the message is to convert the hexadecimal representations into binary. Each"
45880,54840," character of the hexadecimal corresponds to four bits in a binary data. Okay, cool. The bits transmission"
54840,64680," contains a single packet at its outermost layer, which itself contains many other packets. The"
64680,71720," hexadecimal representation of this packet might encode a few extra zeros at the end. These are not part of"
71720,74080," the transmission and should be ignored."
74080,81320," a single packet. So it's kind of like a simulating whatever is going on in the in the networks, right? So you have like ethernet packets within"
81320,90560," within them, you have like IP within the IP you have like UDP or TCP and so on and so forth. Right? So I guess maybe that's what's going on. But I'm not sure I still"
90560,100560," it's it's kind of difficult for me to comprehend this, this problems. So every packet begins with a standard header, the first three bits encode the packet"
100560,111880," version and the next three bits encode the packet type ID. These two values are numbers, all numbers encoded in any packets are represented as binary with the most significant bit first."
111880,124560," Most significant bit first. Okay, for example, a version encoded as a binary sequence one zero zero presents the number four. Okay, packets with the type ID for represent a literal value."
124560,153800," literal value packets encode a single binary number. To do this, the binary number is padded with leading zero until its length is multiple of four bits. And then it is broken into groups of four of four bits. Each group is prefixed with a one bit except the last group, which is prefixed with this with by a zero bit. These groups of five bits immediately follow the packet header. For example, the hexadecimal string becomes I didn't understand"
153800,173000," stand shit. Thank you so much. What? What? Okay, so below each beat is a label indicating it's perfect. Okay, so here we have a package, for example, the hexadecimal string becomes this. Alright, so and this is the version, this is the type."
173000,183040," This is start with one, and not the last group reading and contains the first four bits of the number. Okay, so these are four bits of the number,"
