start,end,text
880,5120," Hello, everyone, and welcome to another ZOZIN session."
5120,6160," How about that?"
6160,7560," Bet you're doing SPOZIN!"
7560,14580," So, some time ago, I found a pretty cool extension for Emacs."
14580,19540," It's called FixMe, with, as you can see, double E, right?"
19540,23860," And what it does, it basically, like, goes through all of your buffers"
23860,29020," and collects all of the to-dos into this, you know, like, aggregate view."
29120,31380," And it also allows you to jump between them."
31380,35680," And one of the cool features of this extension, as I demonstrated some time ago,"
35680,39280," is that how it handles urgency, right?"
39280,41560," So, here you have an urgency tab."
41560,45280," And if you want to increase the urgency of a particular to-do,"
45280,48460," you just add an extra leading character, right?"
48460,52280," So, instead of to-do, you say to-do with double O at the end."
52280,55240," And that gives it an extra point of urgency."
55240,60500," In fact, the more O's it has at the end, the higher the urgency, right?"
60500,65580," So, I thought it's a pretty cool idea because it makes it super easy to bump the urgency"
65580,68440," or reduce the urgency just by adding or removing the character."
68440,70740," And it works with FixMe as well."
70740,74540," So, there is, like, a section with explanation on how it works, right?"
74580,79440," So, you can use FixMe, or you can use to-do, and, yeah, that's pretty cool."
79440,82400," And it also sorts them by the urgency, right?"
82400,85080," So, if you found an issue that you want to work like next,"
85080,89260," you can basically bump up the urgency and then refresh this thing."
89260,90300," And it's going to be at the top."
90300,92220," And you can just basically sort by that urgency."
92840,96000," So, I'm going to put the link to this extension in the description"
96000,97360," because I think it's a pretty cool idea."
97360,98280," I really like that idea."
98280,100600," So, let me find the description file."
100600,103200," Where is my current description file?"
103200,104120," There's too many of them."
104120,104360," Okay."
104360,109120," So, FixMe extension for Emacs, right?"
109120,110980," So, let's actually capitalize Emacs."
110980,112080," Okay."
112740,117500," But I found a problem with this extension is that, for some reason,"
117500,123140," when I close the Emacs, it takes, like, a couple of seconds to close."
123140,126680," And, look, I just closed the Emacs, and I'm waiting."
126680,129800," It's not even a couple of seconds."
129800,131300," It's actually quite a lot of time."
131300,132780," I have no idea what is it doing."
132780,136980," Maybe it's sending all of my personal information to the author of this extension."
136980,139000," I don't actually know, so I'm not going to accuse anyone."
139520,143940," So, yeah, but I know for a fact that it's caused by that extension"
143940,148620," because if I disable that, it's not happening anymore, right?"
148620,150020," So, let's actually do FixMe."
150020,151820," I'm going to comment it out."
151820,155340," So, if I close Emacs right now, it's going to take, you know,"
155340,158000," several seconds to close because it's still on, right?"
158000,159380," So, we're going to wait a little bit."
159380,166020," And then, if I start Emacs yet again without that extension, right,"
166020,168720," and I just close the Emacs, it closes instantaneously."
169100,171860," So, obviously, it's something within this extension,"
171860,175920," and I'm pretty sure it's a bug that needs to be reported and maybe fixed."
175920,179180," At the beginning, I thought, well, I mean, I really like the extension."
179180,181180," Maybe I'm going to report that and fix it."
181180,182940," Maybe somebody already reported that, by the way."
182940,184160," I never looked into the issues."
184160,189240," So, looks like nobody reported that."
189240,191740," Maybe somebody reported that in the closed issues or something like that."
191740,201100," But anyway, so, but then I thought that this is a very cool idea that is kind of editor agnostic."
201100,207300," You see, like, this idea is tied to a specific editor."
207300,214120," But what if we had a tool like fix me that utilizes the same urgency system,"
214120,216880," but it's not tied to any particular text editor."
216880,224940," So, something like a command line tool that just collects all of you to-dos and just serves them by the urgency without any extension."
224940,229520," So, with that tool, you can easily integrate with any text editor."
229520,232400," So, yeah, what if we had that instead?"
232400,233880," Right."
233880,238180," And then I remembered that I kind of already have such tool."
238180,241360," So, some time ago, I developed a tool called Snitch."
241360,242520," Right."
242520,244260," And this is a very cool tool, by the way."
244260,246120," I still use it from time to time."
246120,250320," Not that often these days because I quite rarely use issue trackers these days for some reason."
250320,256780," But anyway, so what it does, it basically searches for all of the to-dos in your project"
256780,260720," and reports them as issues to the GitHub issue tracker."
260720,262520," In fact, it supports more than GitHub."
262520,264880," I think it supports GitLab and GitI."
264880,266240," I don't know."
266240,272240," People from time to time basically contribute different, like, drivers for different platforms and stuff like that."
272240,277100," I don't remember how many platforms it supports, but it supports GitHub and GitLab for sure."
277100,278360," Right."
278360,280720," So, I'm going to put the link to this thing in the description."
280720,282940," So, let me quickly open Emacs."
282940,285300," And I'm going to open the description."
286520,290000," Snitch, the to-do collector."
290000,293100," There we go."
