start,end,text
720,10280," Are we live or is the page dead or something? I don't know. We're live. Okay, so Twitch is being twitched and stuff like that."
10280,17920," Right, so this is the reason why you need React to keep the page in sync with the actual state."
17920,21740," Right, this is why you need React, am I right?"
21740,29740," So anyway, hello everyone and welcome to yet another recreational programming session with Amista Azuzin."
30000,34480," Let's make a little bit of an announcement and officially start the stream as usual."
34480,44860," Right, so Red Circle live on Twitch and what are we doing today on twitch.at television website?"
44860,51920," Today we're adding volume control to Mutualizer."
51920,59860," I'm going to give the link to where we do all that twitch.tv and I'm going to ping everyone who's interested in being pinged."
60300,63920," And there we go, the stream has officially started."
63920,65540," The stream has officially started."
65540,68660," So today we continue developing Mutualizer, right?"
68660,72220," So which is the music visualizer that we started to develop some time ago."
72220,74880," I'm going to give the link to the chat, right?"
74880,78580," And for people who's watching on YouTube, it's going to be in the description as usual."
78580,80960," So let's take a look at it."
80960,83040," So I'm going to actually quickly start this entire thing."
83040,84760," I'm using Mutualizer, there we go."
84760,88600," Look how fast the application has started."
88600,91160," This is unbearable."
91160,92600," This is a bad UX."
92600,93320," Like, look."
93320,96120," What the fuck is that?"
96120,97940," Why is it so snappy?"
97940,99280," It's getting too disarray."
99280,100320," Like, I don't understand."
100320,102940," Like, it's difficult for me to use this kind of application."
102940,104600," It confuses me."
104820,108080," Anyway, I'm sorry."
108080,110840," Right, so."
110840,113300," Just a second."
113300,116180," So, Mutualizer."
116180,117620," Music."
117620,119960," And let's put some music in here, I suppose."
119960,122900," I'm going to just drag and drop this entire chat."
122900,125340," Look how quickly it loaded it up."
125340,128000," This is such a bad UX."
128000,129560," This is unbearable."
129560,131420," That's impossible to use."
131900,133260," Like, holy shit, dude."
133260,134720," Uh, right."
134720,138260," Look how quickly it recomputes its layout."
138260,140180," It's fucking disgusting."
140180,141600," I swear to God."
141600,143720," Look how quickly it goes to full screen."
143720,144920," It's just like..."
144920,146500," It doesn't feel good."
146500,148920," It doesn't feel good."
148920,150820," Right, what the fuck is this shit?"
150820,151500," Fuck you."
151500,153680," Your native applications are shit."
153680,157340," You need to use Electron to slow down your application."
157340,159320," Because that's better UX."
159320,161000," That is better UX."
161900,164340," Anyway."
164340,166820," So, yeah."
166820,171440," Essentially, recently we added this full screen button."
171440,173540," Recently we added this full screen button."
173540,176980," And one of the things I would also like to have in here,"
176980,178420," like in a similar fashion,"
178420,181100," is some sort of like a volume control."
181100,183640," Right, some sort of a volume control somewhere here."
184180,187920," And the way I want the volume control to behave"
187920,190320," is essentially I want it to be originally"
190320,193580," in this sort of like a collapsed form."
193580,195760," It's going to be similar to YouTube, right?"
195760,197840," You know how in YouTube it works, right?"
197840,199360," So it's sort of in collapsed form."
199620,202120," But when you hover over that icon,"
202120,204260," it expands into a slider"
204260,205780," and then you can click a slider"
205780,207300," and just drag it around"
207300,209080," and that controls the volume."
209080,212680," Then you basically hover out."
212680,214680," Is that a word that you can use?"
214680,216960," Like sort of basically go out of the control"
216960,218060," and it collapses again."
218060,219140," Right."
219220,221020," So I'd like to implement something like that."
221020,224200," We can even try to maybe draw."
224200,225800," Right."
225800,227920," So initially we're going to have,"
227920,229400," just a second,"
229400,232060," some sort of a volume control."
232060,232480," Right."
232480,235960," So what's going to be the icon of the volume control?"
235960,237500," So it's going to be something like this."
237500,238200," Right."
238200,240640," So this is going to be something like that."
240640,242220," And we have this kind of thing."
242220,243400," So this is the volume."
243400,245860," So this is sort of the first state."
245860,248440," When you hover over this entire thing,"
248440,250220," it gets expanded."
250220,253180," It gets expanded into something like this."
253180,253620," Right."
253620,257060," And then you can have something like that."
257060,257520," Right."
257520,259200," Right."
259200,262880," And then you have this sort of slider in here,"
262880,265840," which is like some sort of a circle,"
265840,268900," which then can drag around."
268900,270240," And when you're done,"
270240,272080," it goes back to here."
272080,272780," Right."
272780,273980," It goes back to here."
273980,276880," So depending on the sort of volume,"
276880,277340," right,"
277340,278300," so the current volume,"
278440,281480," we also probably want to change the icon"
281480,284880," in three different sort of stages."
284880,285320," Right."
285320,289220," So the no volume at all"
289220,290680," is going to be something like this."
290680,293260," Then like a little bit of a volume"
293260,296020," is probably going to be something like this."
296020,300560," And the full volume is going to be something like this."
300560,301340," Right."
301420,302980," So there's going to be three states"
302980,306380," and we'll need to draw icons for all of the states."
306380,306740," Right."
306740,308260," And depending on the percentage in here,"
308260,310380," we will just have to pick three different icons."
310380,312220," Maybe for no volume at all,"
312220,314220," this is going to be something like this."
314220,314740," Right."
314740,315520," Who knows?"
315520,317660," I think it's a pretty good idea to just indicate."
317660,320780," Because maybe you're going to put volume somewhere here,"
320860,323600," but it's still going to be playing something."
323600,325320," So it's not completely mute."
325320,326280," It's not completely zero."
326280,326560," So,"
326560,327400," and because of that,"
327400,331640," it's going to be displayed without this cross."
331640,331980," Right."
331980,332800," So because of that,"
332800,336260," I think there's going to be four of such icons."
336260,336640," Right."
336640,339880," So the no volume whatsoever"
339880,341460," is just like a cross in here"
341460,342420," or something like that."
342420,342640," Right."
342640,345980," So there's four stages of this entire thing."
345980,348260," So that's basically the idea."
