start,end,text
400,5760," looks like we're live hello everyone and welcome to yet another recreational programming session"
5760,11120," with a mr azuzin let's make a little bit of an announcement and officially start the stream as"
11120,18560," usual red circle live on twitch and what are we doing today on twitch.a television website"
18560,23680," today we are doing game development and assembly how about that so i'm going to give the link to"
23680,28080," where we're doing all that at twitch.tv/todding and i'm going to ping everyone who's interested"
28080,33440," in being ping there we go the stream has officially started the stream has officially started that's"
33440,40960," an interesting topic topic right so um so essentially i was like just working on my you know background"
40960,49360," project right which is not for streaming and i was working with l format and um you know flat assembly"
49360,58000," and stuff like that and i found out that it is super easy to link flat assembly program with the static"
58000,64320," libraries it is actually way easier than i thought right so uh i basically started to google up how"
64320,69680," to do that in general and uh this is the discussion that i found by the way all the documentation of"
69680,75680," flat assembly is done through uh communication in this forum this is absolutely beautiful i really really"
75680,81760," love it uh maybe one day i should create like an account on this forum and maybe like you know uh have"
81760,88320," a conversation there and stuff like that but that's basically it right so essentially this is for linux uh"
88320,97040," x86 64 and um essentially you create two sections one text section right so dot text section is sort of"
97040,103360," like a conventional section where you store the code right and uh the data section this is the section where"
103360,107440," you store the data you don't really have to do that right so maybe you can keep everything in a single"
107440,113840," section but traditional people like to do like to separate this into separate sections and uh essentially"
113840,122240," what you do you declare some of the uh symbols as externals right and it allows you to call to those"
122240,129600," symbols right so for example i can call here printf and i declare it as external and there you go i can"
129600,134480," do that but that's not enough you won't be able to just compile this entire thing because phasm doesn't"
134480,140720," know how to link thing uh the only thing you manage to produce is an object file that you'll have to link"
140720,146960," yourself with a linker right but that that's you know one of the steps that you uh that are acceptable"
146960,153680," usually in in software development right so and uh so let's actually take a look at how it uh you know it"
153680,165120," would look like right so uh let me do a probe uh maybe maybe somewhere in sorry and uh so phasm libc"
165120,170160," right so this is going to be phasm libc and i'm going to create something like uh you know main azim"
170160,176320," and uh the the mode that i use in here is nazim maybe i should actually reconfigure my emac so it"
176320,181920," automatically uses the phasm mode so the first thing we have to do we have to say that the format is going to be"
181920,190080," f64 right so then i'm going to create a section for the code right so this is going to be the text"
190080,195200," section it's going to be executable and i'm going to create the second section uh where i'm going to"
195200,201600," have the data right so this is going to be just that executable so i don't really know what i'm going to"
201600,205520," put in the data right but one of the things i'm going to put in the text is i'm going to put the entry"
205520,212800," point right so as far as i know you have to sort of like declare the symbol uh start as public and"
212800,218080," what we're going to do in here i suppose we can just call to printf right so that would be nice"
218080,225040," actually so and we're going to say that printf is going to be an external symbol right so there you go"
225040,231760," and we're probably going to use the so i suppose we just follow the usual you know new call convention"
231760,238000," on x86 64 linux uh so for that we're going to just put a message in here right so we're going to move"
238000,244480," a message to rda rdi if i remember correctly right so the message is going to be uh something like this"
244480,250560," in here so it's going to be hello world uh right probably with a new line and probably also new"
250560,257680," terminated because that's what's usually what you usually work with in c right and uh that's basically"
257680,261840," it so another interesting thing they're doing here instead of like calling to exit syscall directly"
261840,267120," they're using underscore exit function from the standard library of c right because they are linking with"
267120,273040," libc uh right so maybe this is something that we can do as well it sounds like a pretty cool idea"
273840,279440," uh right so i'm going to move this entire thing in here and i'm going to move to rdi"
279440,284400," um so let's actually put zero in here and call to exit so that should be enough"
284400,292880," uh that should be enough if i try to do phasm main.asm uh it actually created an o file"
292880,300160," it actually created an o file so and uh the next thing you have to do you have to actually link"
300160,307280," uh this entire thing so you have to do ld uh like main dot o right so we can try to do that"
307280,312240," uh and as you can see if you just try to link this entire thing it will say that it doesn't know"
312240,318000," anything about symbols print tab and underscore exit and this is because you you want to link with the c"
318000,325760," library right so there's a couple of warnings uh has a low the segment with uh rwx um you know read"
325760,330400," write execution permission which is kind of interesting so yeah this is because i have data"
330400,335520," so which is probably has to be readable so let's actually do uh that thing one more time so it's"
335520,345280," going to be main dot o i'm going to link with lc uh and um so section data is cannot be readable so i"
345280,351200," suppose it has to be writable then is that what you want okay so it wants to be writable apparently not just"
351200,357440," readable but writable uh and afterwards we got a file right so afterwards we got a file"
357440,365120," and it doesn't really execute it doesn't really execute so they're using a very specific dynamic"
365120,370560," linker in there right so maybe that's one of the things we have to do as well uh right so"
370560,376800," let's actually give it a try maybe that's what it wants uh right so that created another thing"
378080,383600," right so it's we still cannot do that so uh usually what i can do with executables i can"
383600,391760," do ldd and there you go here i can see a dynamic linker uh right so the dynamic linker that they"
391760,398720," actually suggested to you is just a sim link to this one i suppose maybe we have to use that linker"
398720,406000," directly instead right so let's actually try to use that linker directly instead uh let's remove that"
406000,412160," thing in here uh right and if i could take a look at ldd it actually points to that linker directly and"
412160,420160," if i run this entire thing it says hello world right so i'm not calling to"
421120,428720," syscalls of linux directly i'm actually linking with lipc with a system lipc and i'm calling lipc"
428720,436800," right so as you can see it is in fact relatively straightforward right so uh i have to a little"
436800,441920," bit of additional syntax right instead of segments i have to use sections and also i have to use an"
441920,447440," external program for linking but apart from that i can actually do that right so but the question is"
448000,454000," what are the interesting libraries i can actually link with what are the interesting library i can"
454000,460400," actually link with and obviously i must try raylib"
460400,469040," so let's give it a try so i already have a raylib somewhere in here so uh before we can do that i think"
469040,474480," it would probably make sense to create a make file right so it makes sense to create a make file so let me"
474480,479920," actually take uh our build thing right so first thing we want to do first thing we want to do we"
479920,486960," want to create like an all file right and all file is going to depend on main.asm and to create an all"
486960,491920," file we have to do phasm command right so this is going to be something like this after that we want to"
491920,499680," create i suppose main file which is going to depend on main.o and the thing it is going to do it is going to"
499680,504160," basically use the linker to create all that stuff so on top of that maybe we want to do something like"
504160,510480," this uh right so now i should be able to just do make and it seems to be working right so it resolves"
510480,516880," the dependencies and stuff like that so we have an extra added out and everything so i'm gonna go to"
516880,524080," mutualizer right so and in a mutualizer i do have already pre-built static ray leap which i can actually"
524080,531440," copy paste in here right so and let's just go ahead and try to link straight up link with ray leap in"
531440,538480," here okay will i be able to do that right so let's just give it a try so there is no such thing uh ray"
538480,544640," leap no such file or directory okay so what what if i just use like search path as dot"
546640,554000," all right all right all right so it just linked with ray leap it doesn't use ray leap but it just linked"
554000,561200," with it that is interesting isn't it i think that's pretty interesting okay okay okay so what if i"
561200,569760," define one of the external symbols of ray leap so what if i do something like init window so will that work"
573040,580800," okay it it complains that it doesn't know sqrtf so that means it wants to link with more libraries"
580800,586720," right because ray leap depends on uh math library and stuff like that so we can do that we can actually"
586720,592160," just try to provide that uh right so it's going to be l m and c what's going to have"
592160,599760," okay so there's a couple of warnings like node gnu stack section implies executable stack uh it's actually"
599760,608160," really funny so i suppose the linker has this sort of convention that if you have uh this section it"
608160,614400," doesn't make the stack executable otherwise it makes it and that's very interesting this is something"
614400,622640," interesting to discuss uh but in any case uh yeah it it seems to be compiling right so it it calls to"
622640,627600," hello world but it doesn't call to anything from ray leap or anything like that so maybe we should just"
627600,635520," try to call to init window right so um so what's the what's the stuff in in ray lip well we actually"
635520,641280," need to find uh the definition of ray lip so we need a header right because i don't really remember the"
641280,649520," signatures of this stuff and and everything so uh let me actually see so i'm gonna go to raylib.h"
651200,657520," and init window uh right so we have three arguments in here width and height and the title so we can"
657520,667840," provide them uh rdi is gonna be 800 so rsi is gonna be 600 and i think the third argument is rdx right and"
667840,677680," we can have a title somewhere in here uh so we can have a title which says something like hello raylib from"
677680,685200," phasm right so i'm going to put a zero in here and we can just call to init uh window right so we can"
685200,692000," just call to init window and interestingly we can try the following thing what if we well i mean yeah we"
692000,698160," probably need to call to should close window and stuff like that right uh so by the way i should have"
698160,703920," not actually removed exit i think this particular exit is going to be useful right so uh we initialize the"
703920,709840," window so what's going to be the next thing the next thing has to be should uh window should close right"
709840,717920," so we should call to this specific function extern window should close all right so call uh window should"
717920,726000," close and as far as i know the result in x86-64 linux calling convention is returned through racks and since"
726000,733760," it returns boolean right so false is going to be zero so we can actually test uh racks against itself right so"
733920,738560," which essentially uh which essentially uh which essentially going to check whether it's zero or not"
738560,748800," right so and essentially if it is uh zero so jz um we can say i don't know over right so we can jump to"
748800,755600," something like over uh right and over is going to be somewhere here and i suppose it's going to just call to"
756160,762960," close window right so this is going to be close window uh right so so this is going to be close"
762960,770720," window uh okay so yeah we just check this thing in here and we probably want to organize a loop"
770720,776880," right so maybe we're going to have unconditional jump to again which checks this entire thing again"
776880,780480," right so we check in whether we should close the window over and over and over again"
781280,789840," uh right so and in here we have to call to begin drawing right so then we have to call to end drawing"
789840,794560," we have to call to end drawing and suppose between those things well i mean we can just keep it as it"
794560,801760," is right so we can just keep it as it is and uh right so this is going to be begin drawing and end"
801760,807760," drawing and let's see if such a simple program like this is the simplest boilerplate that you can have and"
807760,817040," relief is going to compile right so let's do make it just compiled"
817040,824800," and it just yeah so i suppose we should use g and z"
834560,843600," so yeah that's going to be the topic of today's stream so apparently uh in fosm it is super easy to"
843600,849840," link with external libraries and reuse some of the existing code and really is such a simple library"
849840,857120," that you can call to it through assembly so that sounds like a cool idea for a stream doesn't it"
858000,864160," that sounds like a freaking cool idea so and that's why i'm streaming today so yeah welcome"
864160,872800," to those in session how about that uh all right so we should maybe write some sort of a game we should"
872800,876960," write some sort of a game what kind of game should we write i'm not even sure maybe something simple"
876960,882400," right so i don't really want to uh you know milk this idea for too long i generally don't like to"
882400,889440," milk a single idea for too long because it's it doesn't work right because of the format of of my"
889440,895600," streams it doesn't really work that well so uh anyways so the first thing we probably have to do we"
895600,902880," probably have to clean the the background right so we're not setting the background color like at all"
902880,909760," so the usual way we do that is through the function clear background right so which accepts a structure"
910400,918400," what a bummer isn't it what a bummer but color structure is rather an interesting structure"
918400,926560," isn't it so it's actually a structure that consists of four bytes so it's literally fits into 32-bit"
926560,934160," integer and that is actually done intentionally so you can use sort of like the the hex color codes"
934160,938720," uh as the values and stuff like that and i wonder and i wonder if i"
939680,948640," can do something like rda rdi not rda rdi uh and say something like ff zero zero zero zero ff so i'm"
948640,954720," essentially like passing an entire structure as an integer uh right so i'm passing the entire structure"
954720,962240," as an integer and i'm calling to clear uh background right so something like that and i suppose if i try to"
962240,967120," compile it right now if i try to compile it without it will say that the clear background you know does not"
967120,974720," exist uh so we have to actually export it right so clear background i wonder if it's going to work"
974720,980480," i wonder if such a small structures are actually passed as integers and stuff like that they are"
980480,984160," they're passed as integers apparently so yeah"
984160,988400," that's how freaking easy it is i love it"
989760,998640," mm-hmm so yeah so this is how an entire color structure is passed under the hood right so that's"
998640,1003040," how an entire color structure is passed under the hood that's actually pretty cool so but i don't"
1003040,1008000," really like such a harsh color i would like to put something like 80 80 80 right so i think that's much"
1008000,1012640," better and there we go so that's a much better structure look at the speed of the compilation"
1013360,1018880," look at the speed of this entire thing so look how quickly this entire thing compiles right so just like"
1018880,1028720," um i'm actually very curious about this like a node gnu stack section i wonder if i can just create"
1028720,1037760," that section somehow just like create an empty section uh section gnu without any rights or anything like that"
1037760,1046000," so okay so i just created a section with this name and the linker does not complain anymore and i wonder"
1046000,1057200," if i can just run this game it runs it okay so that's fine so the presence of this uh section indicates to"
1057200,1064080," the linker that you don't want to have an executable stack which actually makes sense you don't really want"
1064080,1070000," your stack to be executable don't you do you i mean i don't know how to do tag questions in english okay"
1070000,1080000," this is my second language uh right so that's kind of interesting so and i wonder why it opts in"
1080000,1089840," to executable stack without that specific section maybe because if like objects don't have that specific"
1089840,1098720," sections these are like very old sections which are written in the very very weird c that may require"
1098720,1101120," executable stack for whatever freaking reason"
1101120,1108560," so i don't really know that's very interesting so but we we can keep this section in here just to like"
1108560,1113360," remove the warning because why not uh and it doesn't really require anything in that section like it"
1113360,1119040," doesn't even need any permissions like executable writable and it like it doesn't even have any content"
1119040,1126080," right it's just like it's just there um yeah so that's a good point i think ld just expects c runtime"
1126080,1135520," and c runtime on linux gnu slash linux as i as i call it gnu plus linux probably usually has this section"
1135520,1142240," right so we by using fuzz and we are sort of on this uncharted territory right so we're not really c"
1143360,1151280," anyways anyways it is what it is and it isn't what it isn't is it not minor for under i think it is the"
1151280,1158400," next thing we have to do minor for under we have to draw something on the screen draw something on the"
1158400,1165760," screen so what kind of shise can we draw uh so we can draw rectangle all right so we can draw right there"
1167760,1182160," holy i only now realized a pure genius of ray san ray summer pure genius of ray summer i always wondered"
1182160,1189440," like why sort of the basic signatures the basic signatures of these shape functions are usually"
1189440,1195040," integers because like obviously the library can work with floats and stuff like that and it actually"
1195040,1201200," demonstrates that it's capable of working with floats uh in different versions of the same functions for"
1201200,1206960," example there is a draw rectangle v which accepts vector 2 and vector 2 is a floating point vector so"
1206960,1212320," as far as i know it's defined in ray math right and if i take a look at the definition of this and i"
1212320,1218000," think as you can see it is in fact floating point like why for this sort of like the basic functions"
1218000,1223040," the function that you're going to use uh for the first time they use integers"
1223040,1229840," well it kind of makes it easy to use this function from assembly"
1229840,1236560," actually because in in assembly at least in x86-64 linux convention calling convention you pass"
1236560,1245040," integers through rdi rsi rags your mom you know the integer registers and the the floating points as far"
1245040,1249280," as far as i know if i remember correctly they're passed through this weird cmd registers and stuff"
1249280,1256400," like that it's just like it makes it super convenient for uh to to run from assembly right"
1256400,1261040," maybe that's the reason maybe"
1261040,1270240," yes your mom register it's the widest register in the x86 69 processor"
1270880,1280160," your mom register the widest one so far cmd is not thank you everyone anyway"
1280160,1292880," so yeah let's give it a try we should actually give it a try uh and see how it goes and again"
1292880,1298240," caller actually makes it super easy to to pass it through through the registers and stuff like that so"
1298880,1306080," yeah uh so now i'm gonna go into the main so we'll still have to learn how to work with floats at"
1306080,1312400," some point anyway and the problem is that i keep forgetting how to do how to use flows in assembly"
1312400,1321280," in exit 664 assembly specifically um right so let me see let me see so here is the clear background"
1321280,1331440," nothing particularly special uh move rdi uh so this is going to be zero rsi is going to be zero then rdx"
1331440,1339440," rdx is the stuff so let me define the calling convention so the calling convention"
1339440,1346560," of the regular functions is the same as the syscall so i'm going to use this chromium os uh you know table"
1346560,1352640," right because it actually contains sort of like the calling convention um let me let me just find that"
1352640,1362160," there we go so rdi rsi rdx r10 i hope i hope it's r10 actually so r10 it yeah let's actually make it"
1362160,1371920," smaller maybe like 100 by 100 and uh the next one is going to be uh r8 which is rather in weird choice but"
1371920,1377760," okay and in here we're going to actually use the red color right so this is going to be just a red color"
1377760,1385920," and we're going to do draw rectangle and hopefully that is going to be uh the the thick okay so that's"
1385920,1397680," kind of weird it is kind of weird so it doesn't really work rdi rsi rdx r10 and then eight so"
1399120,1403920," we did a little bit of a walkie walkie and potentially oopsie doopsie so it's probably not"
1403920,1411600," how it works which begs the question so how the do you even do that uh right so we can actually"
1411600,1419200," cheat a little bit we're gonna we're gonna cheat a little bit for sincd we're gonna create a c program"
1422800,1429120," we're gonna just like look it up we're gonna just look up uh how exactly you call to to to this"
1429120,1435360," function right so we're gonna disassemble it and and everything and you know okay so don't tell my"
1435360,1442000," mom by the way don't tell my mom that i cheated a little bit um okay so i'm gonna probably copy paste"
1442000,1451440," the ray lib uh we probably need all of these things right ray math and rl gl uh i'm gonna just mark them"
1452800,1457360," here because i think it's particularly useful uh and in here so maybe this one is going to be called"
1457360,1463360," test right so it's going to be called test and the test is going to be like one of these things in here"
1463360,1471200," so we're going to actually do cc test test c and we're going to just link with array lib uh just link"
1471200,1477200," with the radio okay and to be fair we can actually create something like all which is going to sort of"
1477200,1481600," build both of these things in here we're going to build both of them simultaneously all right that"
1481600,1487360," seems to be working that seems to be at working so and one of the things i want to do is probably to"
1487360,1494960," just call uh well i mean i want to include uh array leap all right so i'm going to go trade and i'm going to do"
1494960,1503360," draw rectangle and we're just calling to that zero zero uh 100 and this is going to be just like red"
1504000,1509600," all right so and let's just try to compile this entire thing of course this entire thing"
1509600,1518880," wants to link with a math everyone wants to link with math and there we go i wonder and i wonder"
