start,end,text
0,6580," Hello everyone and welcome to yet another recreational programming session with Ahu Mr. Azuzin."
6580,11220," So today I want you to take a look at a very interesting thing that is called PyPy."
11220,15580," It's a Python interpreter that is somehow implemented in itself."
15580,21980," So if you know anything about software development and specifically programming languages"
21980,28220," and how programming languages work, it sounds really weird at first because Python is an"
28220,35700," interpreted language. Right, so an interpreted language is basically an interpreter, a separate"
35700,43560," program that reads the source code of your program and instead of turning that source code into another"
43560,51380," program, it just acts like the program that is described. You know what I'm talking about? Right,"
51380,58060," instead of creating a new program, it just looks at the description of what it needs to do and acts"
58060,64740," like that program. That's what's called being interpreted. Right, and if you're writing Python"
64740,71040," in itself, how the fuck do you even do that? Right, so you have an interpreter, then you have the source"
71040,76000," code of your Python interpreter, you're interpreting the source code of the Python interpreter to"
76000,82960," interpret the Python code. What the fuck is that? Are you fucking crazy? And on top of that, PyPy"
82960,112780," is pride itself being faster than Python. What the fuck is going on in here? Like, what the fuck is this shit? Like, when you read about this stuff, it's just like, it's crazy. It's nuts. How the fuck do you even do that? It looks like a meme. And no wonder nobody takes it seriously, by the way, but that's besides the point. So the cool thing they did, the cool thing they did."
112780,119460," They introduced, the cool thing they did. They introduced actually RPython. RPython is"
119460,127540," a subset of Python that is small and compact enough that it is translatable to see."
127540,136520," But since it's a subset, the code written in RPython is still interpreted by the full Python compiler."
136520,163280," You see what they did? You see what they did? They have a limited version of Python, right? And the entire interpreter implemented in that limited Python. You can interpret it with real Python interpreter. And then they have a separate analyzer and translator that analyzes that code in limited Python and turns it into C and compiles it. So that's what they did."
163520,170200," So it's funny, like you may argue, okay, it's not Python implemented in Python. It's actually Python implemented"
170200,179240," in RPython. But RPython is a subset. And since it is interpreted by Python, it is technically Python."
179240,186480," So it is Python implemented in Python. Isn't that fascinating? That's fucking fascinating."
186480,200120," So, and this is what made me to actually, you know, check this entire thing, right? I'm really curious. I used PyPy before. I actually used PyPy before, but I never looked inside of it."
200920,210600," Right. And what I want you to do today, I want you to fucking look inside of it. Like, how the fuck did you do that? Can we write like a, uh, actual programs in RPython?"
210600,221380," Can RPython replace C? That's a very good question, right? So if RPython is this limited subset of Python, can we just use it instead of C?"
221380,236260," Why do we need even Mojo if we already have RPython, right? Mojo is basically like a native language that tries to look like Python, but isn't RPython already that? And it was invented like many years ago?"
236260,238380," Can we just use RPython? Why do we need Mojo?"
239060,247940," Okay, I know why we need that. We need to, like, you know, burn investors' money, but that's besides the point. If we put that out of the equation, like, why exactly do we need..."
247940,263260," Anyway, let's actually download this shit. So, what do we have? What do we have? So, we have a bunch of binaries. And I suppose we also have a bunch of code. Let's fucking go."
265260,275580," Right, so this is gonna be a probe. And, uh, so PyPy, PyPy, and then we get, and, uh, let's actually, yeah, download this entire shit."
275580,286940," I hope it's not gonna take half of an hour. Fuck. It's taking some time. I'm actually streaming over a VPN, so fuck me."
288200,296320," Well, I mean, it's not that long, right? So, it's a couple of minutes. So, we can talk. We can talk while we're waiting for PyPy to download."
296320,298660," So, how is it going, everyone?"
298660,305080," So, kill the stream. I'm not gonna be killing the stream. What the fuck are you talking about? No."
306380,309300," Virtual Python network, VPN. Haha!"
309300,320040," This is how yapping starts. Well, I mean, we're, we're genuinely waiting. We're genuinely waiting for the source code download, okay?"
322280,335480," Can you use common Python libraries with PyPy, like NumPy, and such? I heard that yes, but not all of them. Right, so they, they, I think they, somewhere on the website, they have some sort of, like, a compatibility sheet or something like that."
335480,339800," So, there are features. Compatibility. Okay. So, here is the compatibility."
339800,354780," Pure Python code works. Just a pure Python code works. But there are a few differences with the object lifetime management modules that use CPython, C API will probably work, but will not achieve the speedup via the JIT."
355180,372860," We encourage library authors to use C FFI and HPy instead. So, this is something about, you know, calling to C libraries. If you're looking for how to use PyPy with a scientific Python ecosystem, we encourage you to use Conda. I have no idea what the fuck it is. I'm not a Python developer."
373540,392020," Right, so, all of a sudden, just became, okay, something like that. So, I suppose things that are written in pure Python will work, which are probably majority of the, of the web frameworks, right? So, probably, maybe Django works or whatnot."
392460,405140," So, that's the only thing I know about this kind of shit. It's the only thing I know. Okay, so, we've got some subs. Thank you so much, R.Torriswear, for the message, hello again. Great stream. Have you seen Moj?"
405140,411460," I haven't. I heard about it, but I haven't seen it. The expressiveness of Python and the performance of C."
412900,427740," So, Python compatible syntax with the option to go low level. Are they still, you know, subscription only? So, can I just go to their website, download the binary and just start using it like I do with PyPy?"
427740,438100," I just downloaded the source code of PyPy. Can I do the same with Mojo without, you know, giving my email, making accounts or any shit like that?"
438740,441460," Can I do something like that? Mojo store?"
441460,446080," Okay, I know. I know. I know. I know."
446080,450040," So, Mojo programming for all of AI."
450040,459320," If I can't do that, fuck that. I'm not giving any information. I just want to download some shit. Like, can I do that?"
459320,465700," Can I just fucking download this shit? I don't fucking see it. So, there's a get started."
468580,477000," And see, sorry. So, thank you. Thank you for the Twitch Prime. And already downloaded. Look at that. Look at that."
477000,487400," We already downloaded the source code. The source code. Okay, let's actually try to unpack it. So, we're unpacking it. It's taking some time because there's all the files."
487400,494540," Should have not done that through Emacs. And here is the source code in its glory. Right."
495200,513600," So, I already kind of like roughly looked into this folder. And from what I understood, there's two important folders in here, which is RPython, which contains the implementation of RPython Translator, and PyPy, which contains the implementation of Python."
514480,522900," Right. In RPython. Right. So, this is the implementation of this thing. Right. Does it have any sort of entry point or anything like that? It has init."
522900,531980," It has init. All right. But I'm not sure if it's actually has an entry point. The thing about RPython. Look at that. Look at that. It contains an entry point."
532480,539300," So, that means this folder in specific. This folder in specific is actually an executable. Right."
539300,547440," So, RPython Translator usage. Right. So, you have translation options. You have targets. Right. So, and you have target options."
547440,552160," Right. And it just calls to this implementation and stuff like that."
552620,570460," So, let's try to run it. Because it's kind of an interesting thing. Right. So, you probably won't expect that. But if you try to just run Python RPython. Right. It works as an executable. Right. So, it works exactly as you would expect. Right. It's just an executable."
571420,585220," So, let me try to run it. So, let me try to do that again. Python RPython. So, and it says that you can pass help in here. But then it kind of fails. Right. So, there's no module named RPython. Right."
585220,598980," So, if I remember correctly. So, there's something like a search path. Right. So, there is an environment variable called Python path. Right. So, and as far as I know."
599400,607200," So, you can just add the current thing to the Python path. And then just do RPython and help."
607200,615620," And you'll notice something interesting. Don't you notice something interesting?"
615620,624940," Don't you notice something interesting? Python 2.7. Yeah. Python 2.7."
624940,627980," Think about it."
629400,631760," It's a Python 3.7. It's a Python 3.7."
631760,635320," Implemented in Python 2.7."
635320,641280," That is bizarre."
641280,648760," So, it's a code that will probably work with Python 3.7."
648760,652280," But itself is implemented in Python 2.7."
652280,656080," That is fascinating, isn't it?"
657000,659360," Right. So, it's Python 3.7."
659360,659640," Right. So, it's Python 3.7."
659640,662220," But it's implemented in Python 3. And because of that, it's fine."
662220,665260," Right. So, the problem is that I don't have Python 2 in here."
665260,667900," Right. So, it's just like I don't have Python 2."
667900,668980," I only have Python 3."
668980,671420," So, I won't be able to run our Python."
671960,673560," So, but here's an interesting thing."
673560,679580," There is Python 2.7 executables in here."
679580,681640," Right. So, of PyPy."
681640,683260," Of PyPy."
683260,685040," Which I can probably download."
685040,687360," Right. Let's actually quickly try to do that."
687360,689000," So, here is an executable."
689000,690520," Actual binary executable."
691060,693620," And let's see if we can quickly do that."
693620,695920," So, I'm going to just do download this."
695920,699020," My new friend is going to take some time probably."
699020,700960," It's actually going faster."
700960,702380," I really appreciate that."
702380,704080," I really fucking appreciate that."
704080,706540," So, and let's just unpack this entire thing."
706540,709700," Right. So, this entire thing is being unpacked."
709700,712240," Right. So, there's no process in here."
712360,713120," Okay. So, that's cool."
713120,715100," And this is just a distribution."
715100,717920," Right. And it contains a bunch of things."
717920,720060," So, it contains PyPy."
720060,725840," And various basically symlinks that, you know, go into PyPy."
725840,729360," Right. So, this is pretty self-contained."
729360,732660," And it doesn't refer to anything that I personally don't have."
732660,736660," Right. So, that's totally fine."
736660,739580," Okay. So, let's put it like this."
740020,744020," So, that means I should be able to do something like that."
744020,745520," I didn't really."
745520,750900," Okay. So, PyPy2 and PyPy."
750900,752820," Right. So, if I try to."
752820,757600," Yeah. This was not the best idea to actually do that."
757600,760660," Right. So, because I actually want to start it from here."
760660,764660," PyPy2 bin PyPy."
764660,766520," Right. So, we'll get that."
766520,768580," And I just run RPython."
769020,770080," It seems to be running."
770080,773120," And if I do help, it actually works."
773120,777560," And what's funny is that it works without Python path in here."
777560,779980," Right. So, I didn't have to provide Python path in here."
779980,786860," I suppose the problems with Python path were due to, you know, having a different version of Python."
786860,787280," Right."
787680,792600," But, again, it's a compiler for, like, Python 3 anyway."
792600,794240," It's just implemented in Python 2."
794240,795880," Right. So, it's not the define."
795880,798120," And we can still run it to some extent."
798120,801140," So, the question is, how do you even fucking do that?"
801140,803100," How do you even translate something?"
803200,810620," Can I write some Python code and translate that code to C, for instance?"
810620,815760," Right. So, as you can see here, I can provide a target, specific target options."
816220,817880," Okay. So, usage translate."
817880,821900," Right. I have no idea what that's supposed to mean."
821900,826400," So, does it mean that I use this as a command?"
826400,828240," Could not find target translate."
828240,832220," Okay. So, what if I create main.py?"
832220,836320," Right. And I just put something like hello world in here."
836320,838000," Can I do something like that?"
838780,841940," All right. And then, I just do main.py."
841940,844320," That's okay."
844320,847760," That's a lot to unpack."
847760,849640," That's a lot to unpack."
849640,850760," Let's actually see."
850760,853520," So, this is where we started."
853520,857260," Okay. So, translation info."
857260,859420," Py.py. 7.3.17."
859420,862180," GCC. Set platform with host."
862180,864220," CC. None."
864220,865940," Using CC. GCC."
865940,867200," Version unknown."
867760,869100," Okay. That's very interesting."
869100,870320," And then, it said hello world."
870320,871220," Look at that."
871220,874040," It actually interpreted it to some extent."
874040,876740," Right. It actually, it said hello world."
876740,881400," And then, it traced back, saying that"
881400,886700," mine.py is not a valid target xxx.py."
886700,891560," Nice error message, by the way."
891560,895480," But I suppose this thing is not supposed to be like a user's facing."
895480,896740," Right. So, maybe that's why"
896740,898600," it's not particularly great error message."
898600,901140," Because it's for the developers of Py.py anyway."
901140,902660," So, who fucking cares?"
903480,907540," But, we have a little bit of a, like, actual source code in here."
907540,907920," Right."
907920,908860," xxx videos."
908860,909160," Yeah."
909160,912100," xxx videos."
912100,914580," So, we've got some subs and bits and boots."
914580,916560," Beats."
916560,918700," Say, thank you so much for all of the bits."
919380,921380," So, Howard Roark, 11."
921380,922540," Thank you so much for each prime."
922540,924820," Kalaedo, thank you so much for all of the bits."
924820,926420," With the message, a snackception."
926420,927040," Snackception."
927040,928060," Exception."
928060,928300," Indeed."
928300,930240," Artoryswear."
930240,931480," Thank you so much for five gifts."
931480,932100," Thank you."
932100,932340," Thank you."
932340,932600," Thank you."
932600,933400," And your tools."
933400,934520," Thank you so much for each prime."
935560,937880," I have no idea what that means."
937880,938700," But, thank you so much."
938700,939200," Thank you."
939200,939440," Thank you."
939440,939740," Thank you."
939740,942560," So, all right."
942560,945940," So, we can take a look at what the fuck is going on in there specifically."
945940,946300," Right."
946360,947980," So, the translate.py."
947980,949840," I'm really curious about that."
949840,951000," Right."
951000,956440," Let me find the file name, which is translate.py."
956440,957620," Let's take a look at it."
957620,958420," So, here it is."
958420,961400," And if we go into that specific file, right."
961400,963040," And it's at the line."
963040,964800," You can't probably see that."
964800,965080," Right."
965080,966020," You can't probably see that."
966020,967740," But it's at the line 99."
967740,970580," So, this is where it was happening."
970580,972060," So, okay."
972060,975020," So, load the target and target spec."
975600,978880," Translate the target as defined by target spec."
978880,979640," Right."
979640,980160," So, target."
980160,981740," I suppose this is the path."
981740,983980," So, target spec ends with pi."
983980,987300," If it doesn't end with pi, we just append pi."
987300,987720," Right."
987720,993740," So, that means we didn't even have to provide pi in here."
993740,996680," We didn't have to do that because it will do that automatically."
996680,997020," Right."
997020,998360," So, as you can see, I could have just."
