start,end,text
0,4780," Hello everyone and welcome to yet another recreational programming session with Amista"
4780,13080," Zozin. So recently John Cormack actually tweeted a very interesting post about Act on Press. So"
13080,17420," for those who doesn't know what is Act on Press and or Act on Release or anything like that,"
17420,23480," you probably, I don't know how many people actually notice that, but if you click on any"
23480,28700," button on like any interface, right, so GUI application or web application doesn't freaking"
28700,34420," matter, like you click on it and it doesn't activate the click unless you release it."
34420,41440," So this is what we call Act on Release and the reason why we usually do that is because it makes"
41440,46440," the click cancelable, right, so essentially I just click on it and then I realize, oh no, no, no,"
46440,51540," I don't want to actually click it, but what do I do now? What do I fucking do? Well, you can basically"
51540,57400," like move out your cursor out of the boundaries of the button, unpress it and it doesn't register the"
57400,63000," correctly. So that was original idea behind this sort of UI decision and it kind of sticks,"
63000,70100," kind of stuck with like all of the UIs over decades, right, so this is what we got used to. So"
70100,77540," John Cormack recently wrote a whole post where he argued that you need to do Act on Press. Don't do the"
77540,82200," whole thing where you wait until the user releases, just like if the user pressed, just immediately"
82200,88660," activate it, right, so and personally I don't really have like a very much strong opinion on like how to"
88660,95000," organize things, right, so the only reason why I do Act on Release is because it kind of makes sense, the"
95000,100240," explanation of why people implement it like that kind of makes sense and everyone is doing that, so that means"
100240,107240," I assume that that's the expectations of the user, right, so and I do that as well and I did that as well in my GUI"
107240,112200," application that I developed for quite some time already, so which is called Visualizer, so let's actually take a"
112200,117880," look at it, right, so I'm gonna just run it super quick, so this is how it looks like you're supposed to"
117880,123880," actually drag and drop some music in here, there we go, so and I have a bunch of buttons in here, right, so one of"
123880,131240," them for instance is full screen, right, so and essentially if I click on it, it doesn't activate full screen, only when I"
131240,138200," actually unpress it, it activates the full screen, and the same with play and so also mute and"
138200,143480," everything, and especially I think it's kind of important for the render button because render is actually a very heavy"
143480,149080," operation, you don't want accidentally clicking it, right, so you want to be able to cancel sort of this"
149080,156520," action, rendering like starts up FFmPack and starts rendering the animation, piping the frames into FFmPack, creating an"
156520,162120," actual video and stuff like that, right, so this is what Visualizer was created for, right, so and"
162120,167320," yeah, so recently John Cormack actually argued that you should do act on press, and it would be kind of"
167320,175160," interesting to like listen through his argument, so this is a UI design hill I will die on, and it"
175160,182440," dismays me how often and hard I have, I have had to fight for it, almost all interactions, almost all"
182440,188120," interaction methods have a press and release event associated with them, whenever possible you should"
188120,193640," do, you should do the thing when you get the press event instead of waiting for the release event,"
193640,198040," okay, so this is completely like opposite to what I was just explaining, right, so because it makes an"
198040,204840," interaction feel substantially more responsive, and it reduces the user error by not allowing the focus to"
204840,214920," slide out of the hotbox between press and release, so it reduces user error by not allowing, oh I see,"
214920,223400," so if you have a very small button you can actually like accidentally slide and not, I see, this is actually a"
223400,233480," very good point, right, huh, I never fucking thought about that, what the fuck, but how often does it"
233480,238200," happen to me, right, because like it doesn't activate, like it just like slips through, but if it was"
238200,246120," activating immediately, like I wouldn't have that problem, okay, so more responsive produces error,"
246120,252280," even a ballistic tap where your finger is intentionally bouncing off of the button or touch surface involves"
252280,257880," several tens of milliseconds delay between the press and release, and most button presses have well over"
257880,263560," 100 milliseconds dwell time, I have no idea what all of that means, but whatever, there is a delight in"
263560,270040," interfaces that feel like they respond instantly to your wishes, and the benefit to every single user is"
270040,278280," often more important than additional niche features. Game developers with simple UI toolkits tend to get this"
278280,285240," right more often than more often, but sophisticated app designers will often fight hard against it because"
285240,291640," it's mostly incompatible with options like interactive touch, interactive touch scrolling views, long press"
291640,297640," menus, and drag and drop. Okay, so in case of a drag and drop is just like you activate thing on release"
297640,303560," basically, right, but I mean it's just like they don't like it because it's inconsistent with all that, or that's"
303560,309560," kind of a weird reason to actually not do that, but anyway, being able to drag scroll a web page or,"
309560,314520," oh I see, drag scroll the web page, I see, I see, I see, being able to drag scroll a web page or view with"
314520,323640," interactive control in it is here to stay and nets out way better than having to use a separate scroll bar,"
323640,330600," but there are still tons of fixed position controls that should act on press, and it is good UI design to"
330600,339080," favor them when possible. Okay, I see that, right, so maybe for web it is not really an option anymore,"
339080,346120," right, so drag scrolling and everything, right, so because essentially like I'm trying to do that and when"
346120,352120," I'm going up, especially on mobile, it's supposed to activate scrolling, right, so and if you actually"
352120,359080," act on press, you can't really easily do that, right, that kind of makes sense, right, so that kind of makes"
359080,366040," sense, okay. All right, so in the early days of mobile VR, the system keyboard was dedicated,"
366040,372680," was a dedicated little OpenGL app that responded instantly. With full internationalization, it became"
373240,379400," prudent to turn it into a convenient Android app. I don't know how to read this word, but whatever."
379400,385160," But the default act and release button behavior made it feel noticeably crappier. The design team"
385160,391000," resisted a push to change it and insisted on commissioning a user study, which is a corporate"
391000,398840," politics ploy to bury something. I was irritated at how they tried to use leading questions and tasks, but it"
398840,406440," still came back one of the clearest slam dunks I have seen for user testing. Objectively less typos,"
406440,414200," expressed preference, and interview comments about the act on press version feels crispier and more"
414200,421000," responsive. And this is something that actually caught my attention in this entire post. They actually"
421000,427400," conducted a study. This is not just somebody's opinion, right, so John Cormack's opinion, but still opinion"
427400,435080," nonetheless. They conducted a study which demonstrated that act on press actually has a higher preference and"
435080,441160," it feels more responsive. So that's what like really really caught my attention all. So there's something"
441160,447960," objective to that. Holy shit. Right, it would be kind of cool if the results of this study were published"
447960,452920," somewhere, like with actual data, with actual details and stuff like that. So we can actually see that,"
452920,459160," but I doubt that they're going to do that, right? So because it's VR, so he worked in Oculus, right?"
459160,463080," So if I'm not mistaken, so it's a Facebook and stuff like that. It's probably not going to release that,"
463080,470280," but that would be interesting for like for everyone. So I want that one, but the remaining times I brought it"
470280,476360," up for other interfaces, I did not. And you still see act and release throughout the meta-VR system"
476360,483640," interfaces. This is a very interesting post, right? So, and again, I really don't have strong opinion"
483640,488680," on this entire thing, so you can find it in here, right? I really don't have a strong opinion. I just"
488680,495000," do that because everyone does that. So I'm open to alternative ideas and I think it's kind of a good"
495000,503160," argument, right? So, and I thought, can we just like go ahead and try to implement that in mutualizer"
503160,513000," and see if it just feels better, right? So, oh yeah. So the follow-up, yeah. So the easy undo. So I think,"
513000,520680," yeah, essentially, I didn't hear. Yeah. Relative UI principle is making everything easy to undo,"
520680,527320," whether it's navigating back to where you just were or undeleting a file. Don't use it as an excuse for"
527320,533080," act and release or model confirmation dialogue. Just do it, but allow it to be undone. For example,"
533080,540360," it should be easier to cancel an app launch in VR, then you misclick. It's irritating that the meta"
540360,545080," button doesn't work during the launch process. Yeah, it's understandable. So, and we have this kind of"
545080,551880," situation in mutualizer as well and it's a rendering, right? So it's a rendering thing. So let me actually"
551880,563000," try to do that. So essentially, if I take... Just a second. So I need some sort of a maybe small music"
563000,570280," icon here, right? So, and if I press render, it starts rendering. I can still cancel it by pressing"
570280,576920," escape, but it doesn't feel super fast, right? So it doesn't feel super fast because it takes some time"
576920,586760," to stop ffmpeg, right? So, and because of that, it kind of penalizes you for misclicking render. So one of"
