start,end,text
0,6580," Hello everyone and welcome to yet another recreational programming session with Ahu, Mr. Azuzin."
6580,13040," So, today we want to develop a little bit of a language, right?"
13040,20880," So, essentially we'll be working on this random art thingy, which is a random shader generator, right?"
20880,27080," It generates random shaders which create cool patterns which we can't watch because GitHub is shit."
27080,30820," But we can actually run this entire thing on our machine locally, right?"
30820,33520," So, let's actually rebuild it. Let's actually run GUI."
33520,37720," So, and there we go. This is a random pattern, right?"
37720,41060," It's too bright. So, let me actually restart it and pick a different pattern."
41060,47940," It's still too bright. So, maybe they look the same honestly, but they're supposed to be random."
47940,52660," Maybe we are unlucky. Yeah, there we go. That's a little bit better."
52660,60400," That's a little bit more interesting, right? And every time you do this thing, it generates a random shader and displays it to you."
60400,66940," So, the shader is actually generated based on a grammar that we had coded within the code, right?"
66940,68900," So, let's find default grammar."
68900,72000," And the grammar is basically like BNF, right?"
72060,77180," So, you have a bunch of rules and a bunch of branches with their probabilities, by the way."
77180,86420," BNF doesn't really have probabilities, but here we have probabilities because this is what we had in the paper, in the original paper, where we got this idea from, right?"
86420,90120," So, this is the paper. All of that is going to be in the description, obviously, and stuff like that."
90120,94300," The link to the source code and everything, right?"
94300,98260," So, it's basically BNF, but also with probabilities for the branches."
98260,101300," Like, this is the grammar that we had coded, right?"
101300,104220," So, as you can see, here is the rule."
104220,105780," Here's how you rewrite it."
105780,111980," There are several branches separated by bars, and there's also probabilities associated with each individual branch."
112480,118560," So, as of right now, we kind of hot-coded this entire thing in the code, right, directly."
118560,121000," As you can see, we just push branches and everything."
121000,129540," But it would be nicer if we just could describe grammars in a separate file with its own separate language, right?"
129540,132540," So, and this is what I want you to do, to work on today, right?"
132540,135440," So, how are we going to develop the language?"
135440,139940," So, it's going to be grammar, let's say, BNF."
141440,146460," So, we already discussed the idea for the grammar in one of the previous streams."
146460,149080," The link to the playlist is going to be in the description."
149080,154460," So, but essentially, we're going to specify the name of the rule, right?"
154460,160820," So, the rewrite operator, and then for each branch, we're going to have a bar, right?"
160820,163120," So, which then describes the expression."
163120,170860," So, for the entry, we're going to have only one expression, which is basically a triple CCC, right?"
170860,175260," So, maybe I'm going to call it E, so it looks exactly like in the paper in here."
175260,180960," What's interesting is that, so, triple is basically a vector 3."
180960,185300," So, what I was thinking is that instead of, like, calling it a triple, let's actually literally call it vector 3,"
185780,189920," similar to how it is called in shaders themselves, right?"
189920,196080," So, and every time you want to add a new branch, you just add it like this, right?"
196080,207420," So, and the reason why we start each individual branch with a bar is because I want to increase the probability of a certain branch by just adding more bars to it."
207680,213040," So, the probability of this branch is going to be higher than, like, the rest of them."
213040,214440," So, that's basically the idea."
214440,220840," And since each individual branch starts with a bar, I think the rewrite operator is kind of redundant, right?"
220920,226220," So, we're going to have essentially our own format, which looks like this, right?"
226220,233080," So, essentially, you write the name of the rule, and these are all of the possible branches."
233080,240220," They all start with a bunch of bars, and the amount of bars indicates how likely, you know, that branch is in the process of generator."
240460,244800," So, it doesn't really have a way to sort of, like, finish the sequence of branches, right?"
244800,248800," So, and one of the symbols we can use is basically like a semicolon, right?"
248800,252680," So, semicolon indicates that, okay, so you're done describing the branches of the grammar."
252680,257400," So, for E, in here, we have only one branch, which generates, like, a vector 3."
257400,260920," So, the next one is going to be A, right?"
260920,268280," So, it's a terminal rule, and that terminal rule consists of either a random value from minus 1 to 1,"
268640,273460," or a variable x, or a variable y, like this, right?"
273460,276980," And all of them have equal probabilities, right?"
276980,280660," All of them have equal probabilities, and here we end this entire thing."
280660,287600," So, and then we define C, which is either A, or add operation, or multiplication, right?"
287600,288660," So, let's actually quickly do that."
288660,294800," So, it's going to be A, or add operation, which also uses C, so this is a recursive thing,"
294800,298200," or multiply operation, like so."
298320,299860," And here we add them, right?"
299860,303200," So, this is how we describe this specific grammar in our language."
303200,305060," So, this is how our language is going to look like."
305060,310560," So, now."
310560,315040," So, what's interesting is that we need to specify the probabilities."
315040,318980," I'm a little bit bad with fractions, right?"
319060,325140," But the chat told me on one of the previous streams that if you just multiply it by 2, it's going to be 2 eighths."
325140,330060," So, that means here we have to put two bars and three bars for these ones."
330060,332960," So, these two things, right?"
332960,335360," So, they are more probable than this one."
335360,337880," And this is how we sort of encode the probabilities."
337880,343120," The reason why I do probabilities like that is because it becomes kind of visual, right?"
343120,350720," So, we could have basically added like 2 and 3 in here, but it's not particularly convenient, right?"
350720,356360," So, like with amount of bars, you can instantly like sort of see relative like value."
356360,359080," What is more probable than another one?"
359080,361160," So, I think it's kind of cool, right?"
361160,362760," So, I want to keep it like that."
362760,364480," Right."
364620,366600," So, this is basically what we need to parse."
366600,370620," But before we can parse this entire thing, we need to lex it."
370620,373900," So, lexing is a painful topic for me, right?"
373900,378040," So, because it's so deceivingly simple, right?"
378040,379700," So, it's actually deceivingly complex."
379700,380520," How do you even say that?"
380520,383620," So, it feels like it's simple, but in reality, it's complex."
383620,385520," That's what I'm trying to say, right?"
385520,394160," So, and every time I sit down to like implement quickly a lexer, I end up wasting an entire freaking stream implementing the goddamn fucking lexer."
394620,401560," So, one of the options that I can, you know, have is use stb-celexer, right?"
401560,406820," But stb-celexer has proven to be a huge pain in the ass."
406820,409100," Well, this is not stb, right?"
409100,414620," So, somebody actually squatted the handle stb, okay?"
414620,417060," Okay, then anyways, right?"
417240,424780," So, one of the things I, like, I have as an option is stb-celexer, but it's unusable, honestly."
424780,432680," It has a really weird API, and when you try to actually use it to then parse some things, it's a huge pain in the ass."
432680,434700," It's an absolute huge pain in the ass."
