start,end,text
0,9840," Hello and welcome to another certain session how about that how about that I bet you didn't expect"
9840,18780," that shit to happen yet again it's almost every day unless it's not so yeah today we're gonna"
18780,27840," continue working on this silly thing that we've been working for I don't know for five five days"
27840,35540," I think this is the fifth day right so and on the previous stream we implemented into like a very"
35540,42720," simple OpenGL integration right for our project so let's actually do a little bit of a cleanup I'm"
42720,49080," gonna do clean fdx which will remove my render dock and I will regret doing that I will have to"
49080,53820," download it yet again but I have zero motivation to actually move this entire thing to a different"
53820,59460," place you know what I think I do have motivation because it's a single command I'm gonna do something"
59460,66240," like this I'm gonna move it to my software folder right so I'm gonna do git clean fdx right so that"
66240,71820," removed everything and let's fetch the latest stuff uh right so because I did a little bit of cleanup"
71820,79460," off screen basically we wrote the whole project from scratch I'm joking I didn't uh and uh yeah so"
79460,84060," essentially I just like organized everything a little bit so now we have a scc folder and I put"
84060,92420," everything into scc folder and uh now uh we can try to build this entire thing one of the things I did"
92420,100220," uh is basically I merged together the uh previewing and the rendering version of this entire thing uh so"
100220,108260," now I can just do a preview and here is the OpenGL example that we were doing right so the the interesting"
109460,116420," example is that it doesn't use any bind uh like basically third-party bindings we implemented all"
116420,124280," of the bindings ourselves right so uh right now we're using GLFW for cross-platform creation of the Windows"
124280,132380," uh and also OpenGL for cross-platform uh rendering and we implemented a very small subset of the bindings of"
132380,139720," unsafe bindings uh that we are using right so an entire code is like 200 lines of code and what it"
139720,144680," does it just basically creates OpenGL context uh just compiles a bunch of shaders and just generates"
144680,151580," this pretty picture and all of that without using cargram right so and that's basically what we have so far"
151580,160940," right but that's not enough our main goal is to render the video we generate in real time let's take a look"
160940,166940," at the video that we're generating so let's quickly generate everything so it's going to take some time"
166940,173240," so the way we generate the video is just we are actually generating raw frames and raw sound and then"
173240,179000," using ffm pack we just merge them together and that creates the final video right so of course the entire"
179000,186200," process is rather slow uh and uh yeah after some time we should be able to take a look at the video"
186200,192280," and here is the video so as you can see it generates the video and it generates uh the sound but all of"
192280,200600," that was generated offline right all of that was generated offline so and that's the goal um of our you"
200600,207160," know of our today stream and our future streams is to learn how to generate this kind of stuff of uh online"
207160,217000," right basically in real time so we already have um you know gpu accelerated rendering um and the last"
217000,223400," thing that we need to port this uh kind of thing to real-time rendering is the sound so we'll need to"
223400,230360," integrate with some sort of a sound api so i was researching what sound api uh would be sufficient to"
230360,239240," integrate with i tried elsa uh and um i think elsa like basically directly working with elsa in 2021 is"
239240,245640," kind of completely invisible right because majority of the distros are using pulse audio and pulse audio"
245640,253960," by the way is literally x11 for sound it's actually quite bizarre uh right it's literally x11 for sound"
