start,end,text
160,4960," Hello everyone and welcome to yet another recreational programming session with Mr."
4960,11440," Zozian. So some time ago on Twitter, I noticed a very interesting, cool project which is called"
11440,17200," QuineClock. Right, so essentially it's implemented by Amitok Clape, I hope I pronounced"
17200,22560," their name correctly. So and the idea is that you have this like a mess of JavaScript, right,"
22560,27840," so and what it's capable of doing, it's actually capable of like printing itself on a page and"
27840,32240," acting like a clock, right. So there's a video in here that kind of demonstrates that"
32240,41440," and also I think there was somewhere a link where you can actually look at this entire thing. So here"
41440,50560," it is. So for people like in the chat, all of that can be, you know, received, achieved. So all these"
50560,56480," links can be printed by the bot when you do today command. I forgot how to English today, okay. And"
56480,61120," for people on YouTube, it's going to, it's going to be in the description. Right, so it's kind of cool."
61120,67680," I don't really know how they achieved that because this thing is unreadable. So, and I don't know if"
67680,73760," it's like a legit Quine, right, that actually sort of like prints out its own source code,"
73760,78880," or maybe they're actually inspecting DOM and extracting this kind of stuff, like I don't really know."
78880,86800," But this got me, gave me an idea that I could try to implement this kind of thing in C for the ANSI"
86800,94080," terminal. Right, so ANSI terminal, it actually allows you to have animations like that if you like,"
94080,101840," you know, update the cursor correctly, right, and refresh the sort of like the scene that you rendered,"
101840,107360," and you can also have colors, you can kind of replicate this entire thing in the ANSI terminal."
107360,111680," And on top of that, you can implement it as a Quine. So I don't know if I already said that,"
111680,117200," like what is a Quine. Quine is a program that actually prints its own source code, right. So if you never"
117200,122080," heard about it, and we had quite a few people in the chat, in the press stream that don't know what"
122080,126640," is Quine. Quine is a program that prints its own source code, right. So if you google that Quine,"
126640,135520," it's actually a very interesting concept. In the languages that allow you to inspect their own"
135520,141920," source code, it is actually pretty easy and pretty straightforward, like for example in Python or in"
141920,148560," JavaScript again. But I don't know if this one actually like uses self-referencing. So, but in the"
148560,155200," languages like C or Java where you can't really read your own source code, it's kind of more difficult,"
155200,160240," right. So you have to actually use some interesting tricks. And if you try to implement Quine in a very"
160240,167200," naive way, you will notice that, right, so you have a program and then you have a string that is supposed"
167200,173600," to print itself, but then within that string you need to have that string again, which also supposed to"
173600,178160," have that string again. And you kind of go into this infinite loop and you don't really know"
178160,184080," how exactly to print your own source code. So this is kind of like the trick in Quine's, like how do you"
184080,190800," even do that. So, and I actually implemented Quine's in the past, so I kind of know the idea of how"
190800,198160," it all goes. And yeah, I just want to try to replicate this cool and fascinating project. I don't really"
198160,204800," know if I'll be able to do that honestly, right. So, but kind of I kind of have like a road map in my head,"
204800,211440," right. So, and I try, try, and I want to try to attempt, you know, doing that. I'm not sure if I'll"
211440,217360," be able to even finish this entire thing within the, within the stream, right. So maybe I'm going to do"
217360,222960," like a footnote and a flying footnote to finish this entire thing. We'll see, we'll see, like I haven't"
222960,228320," decided yet. Right. But let's go ahead and try to do that. So the first thing I want to do, I want to kind of"
229200,236480," refresh how to implement Quines, right. Let's just implement a classical Quine, right, without any"
236480,242400," clocks or anything like that in C, just a program that prints its own source code. And once we have"
242400,249760," that, so the next step is going to be, let's implement just a clock without being a Quine, right. So let's"
249760,255280," actually split the problem into two parts, right. Let's implement Quine and then implement like an"
255280,262400," ANSI terminal clock. And then we can see how we can combine these things together. Right. So that's the"
262400,268800," roadmap I have. Right. I kind of like understand how to implement these two things separately."
268800,274480," And I hope once I implement those two things, it's going to be more or less obvious how to combine them"
274480,278880," together. You know what I'm talking about? Right. So that's going to be basically the idea. That's going"
278880,285040," to be basically the idea. Okay. So let's go ahead and do that. So I'm going to just create a"
285040,296800," a file Quine.c. Right. So I'm going to just write a simple hello world, like so. Right. And just"
296800,303520," set up my building thing. Set up my project, so to speak. So then print hello world. So what I'm going"
303520,307360," to be using for building, I think I'm going to be using, I think I'm going to be using Nob. Right."
307360,313760," So because I'm probably going to have several programs here. Right. And some programs I'm going to be running,"
313760,319440," you know, other programs and maybe processing some files, we'll see how it will go. So I'm going to"
319440,327520," just bring Nob in here. Right. So this is going to be visualizer. And where is my Nob? Nob.h."
327520,335520," I'm going to copy paste it in here and I'm going to create Nob.c. Okay. So I'm going to include Nob and I'm also going to"
335520,345280," enable implementations. Right. So because by default Nob acts like a header and this is not what we want in"
345280,352800," here. This is definitely not what we want. And then we're going to enable, you know, go rebuild yourself"
352800,360080," technology. So Nob, go rebuild yourself technology. It requires the argument, but it allows the executable,"
360080,365120," the build executable to rebuild itself when it's modified. So the next thing we're going to do,"
365120,370400," we're going to create a CMD object. Right. So I'm going to be just appending some things in here."
370400,376800," So I'm going to append the compiler. Right. So then I want to enable a bunch of warnings. Right. So it,"
376800,384800," because it's always nice to have some warnings in here. Then afterwards, I'm going to, I suppose,"
384800,392320," say that the output is going to be Quine. Right. Because we're building the Quine.c and the input is"
392320,398880," Quine.c. So afterwards, we're going to say run this entire thing synchronously. Right. So it's going to"
398880,404080," block until the command is finished and it's going to return false in case of an error. And in that case,"
404080,409040," we're going to say that we return non-zero exit code. Okay. So everything is prepared. So let's"
409040,416080," actually build this entire thing like so. And it cannot find Nob.h. Right. Let's try to do it like"
416080,421200," that. So this thing doesn't have to be by a pointer. There we go. So we build the build system. Now,"
421200,426960," if I try to run the build system, it builds the Quine. There we go. If I try to run the Quine"
426960,433760," afterwards, the Quine prints hello world. Right. So that's basically what we have in here. We have a"
433760,440880," prepared project. Okay. So what if you try to do a very naive thing? Right. So, okay. The program must"
440880,446960," print itself. Okay. Let's just copy paste the entire program and just say, okay, print yourself. Like, is it"
446960,455520," going to even work? Okay. So there's some problems in here with maybe new lines. We can try to replace"
455520,464640," new lines and stuff like that. So let's create, replace new lines with like escapes and everything."
464640,470880," There we go. Okay. So, and we also need to escape the quotes in here. Right. So that should work as"
470880,478000," well. And if we try to run this entire thing. Okay. So it kind of prints, but it doesn't print itself."
479440,485520," It, it, it, it, it, it's not the source code. Right. So as you modify this, uh, this thing,"
485520,492160," you kind of realize, you kind of realize that like, it doesn't print this thing anymore. So you have to"
492160,498560," kind of go recursively. And now in hello, you have to copy paste it again, but now again, it's not the"
498560,504960," same program. So we have to keep copy pasting it indefinitely on how you break out of that recursion."
504960,511760," Like how exactly do you break out of that recursion and print your own source code. Um, so it's, it's,"
511760,517840," it's kind of bizarre, but I mean, again, in C, you can kind of like, just maybe do something like you"
517840,526000," can include knob, right? So you can include knob.h, uh, knob read the entire file. You can basically read"
526000,534640," entire like file in here. And as far as I know, in knob, I read entire file. Yeah, it's, it's a right"
534640,541520," entire file. I need to read entire file. So to read an entire file, what you have to do is to have a"
541520,550640," string builder, because that's where it actually stores whatever it read. Like so. And you can always do"
550640,556640," something like that. Right. So, and if it's like not working, we're going to just return one. So,"
556640,562640," and in this specific case, we can just do f right. Um, and how f right works. I can never remember the"
562640,569520," order of the parameters of this goddamn fucking function, mate. Goddamn fucking function. Uh,"
569520,576880," right. So this is the point as, so we have to say that this is going to be sb items, right? So the size is"
576880,582400," going to be sb count. The amount of such things is going to be one, and we're going to be printing"
582400,589280," all of that to the standard output. So that's about it. So we can now try to do this kind of thing."
589280,598720," Uh, and, uh, yeah. So we need to also have the knob implementation. There we go. So that is"
598720,605840," Quine basically, but among the Quine enthusiasts, it is considered cheating. Right. It is considered"
605840,611360," cheating to actually refer to your own source code. And furthermore, if you rename the source code,"
611360,617280," that exact executable does not print its own source code anymore. It's not even printing your own source"
617280,623200," code. It's literally just reading from a file and printing a file. It's not a Quine, honestly."
624000,630560," It is not a Quine. So ideally you want your Quine to be like a self-contained executable. You really"
630560,637840," want it to be a self-contained executable. Uh, so the idea of a Quine that I usually implement. So as far"
637840,643040," as I know, you can implement them in different ways, right? So you can be very creative in how you implement"
643040,652080," all that. But the idea is I use is an idea of an interpreter. Right. So essentially I'm sort of"
652080,661040," thinking about this entire stuff as a mini interpreted language. Right. So, and I kind of embed the source"
661040,667440," code that I'm going to be interpreting, um, into this, into the program itself. Right. So what's actually"
667440,675680," called SRC? So, and what commands does this language have? What commands does this language have? It has"
675680,683760," command of a character, right? So if it encounters some sort of a character like A, it prints that character"
683760,691440," A. That's what it does. And to be fair, any character that it encounters, which is like a valid character in C,"
691440,699600," it will just print that character. There is, however, a special character. And I don't know which one to"
699600,704320," use, but, but I prefer to use like a question mark, maybe, because I'm not going to be using question"
704320,711760," marks throughout the program. So if that interpreter encounters a question mark, what it does, it just"
711760,721120," takes the entirety of SRC and prints that entirety of SRC. So that's basically the mini language that I"
721120,728640," implement within the Quine. Quine becomes an interpreter of that mini language. Right. With"
728640,735200," a special command of question mark that just prints its own source code. So, and after that, after I just"
735200,738960," like denoted some sort of a source code in here, like it doesn't really matter, I don't have to write"
738960,747920," anything in here. Below, after that, I just write an interpreter for that language. I just write an interpreter for"
747920,754480," that language. So, let's go ahead and write an interpreter for such language. So, we're going to"
754480,758800," basically iterate throughout the source code. Right. So, but we need to know the size of the source code."
758800,766320," It's an unlimited string, so we have to do something like srcn. Right. So, we have to do strlen src,"
766320,771760," and I'm going to include string just in case. All right. So, let's just iterate through the entire thing."
771760,779600," Let's just iterate through the entire thing. All right. So, srcn."
782160,790640," So, if you encounter question mark. Right. So, you just encountered a question mark."
790640,798960," What you have to do? You have to print the entirety of the source code. Right. Just print the entirety of"
798960,807040," the source code. So, this is how we can do that. Just src. If you encountered something else, if you"
807040,813200," encountered something else, we are going to print that thing effectively. Right. So, print tab"
813200,825760," c. Maybe for now, it would be even better to not even use switch cases. Right. Because I think it's just"
825760,834880," better to do something like this. Right. If src equal to the question mark, just do that. Just bring the"
834880,843920," entirety of this entire thing. Otherwise, do that. All right. Though, there is a couple of interesting"
843920,851360," things in here. Right. I feel like it's like when we encounter like a back slasher. So, we'll have to do"
851360,858000," something different. Okay. So, let's actually do it like that. So, anyway. If I try to now run this"
858000,863520," entire thing and I sort of like print it, as you can see, it just prints the source code itself. Right."
863520,868400," So, it encounters the question mark. The entirety of the source code is just a question mark. So, it just"
868400,878080," prints this entire thing. So, now what we need to do, we need to replace the entirety of the source code"
878080,884800," with itself. Right. The entirety of the source code with itself. But we also need to replace the new"
884800,888240," lines and stuff like that. So, let's actually go ahead and do that. So, I'm going to quickly replace"
888240,894640," the new line. I already have that. Right. With like basically connect all of these things together."
894640,900560," Like so. So, and now I'm going to just paste it in here. So, there's a little bit of problem,"
900560,906400," as you can see. So, the double quotes, they also have to be escaped. All right. So, let's actually do"
