start,end,text
160,4960," looks like we're live hello everyone and welcome to yet another"
4960,12320," recreational programming session not really but maybe we'll see we'll see uh let's make a little"
12320,17120," bit of a tiny bit of an announcement and maybe officially start the stream we'll see we'll see"
17120,24320," the winner gets t that's for sure uh red circle live on twitch and what are we doing today on"
24320,34960," twitch.a television a website today uh the topic of today's stream is ask me something right so"
34960,41200," essentially i wanted to stream something today but i uh didn't have any prepared content right i didn't"
41200,47040," have any prepared interesting topic uh to stream but i still wanted to stream so i decided that"
47040,53680," maybe you decide the the topic of today's stream like maybe you ask something so let me give the"
53680,60560," link to where we do all that uh so twitch dot tv slash studying and i'm going to ping everyone"
60560,67840," who's interested in being pinged uh right so what if you uh start by asking me questions right um"
67840,76080," regarding programming and uh i'll try to answer them but i'm going to try to answer them more or less like"
76080,81920," legit not in a snarky usual way right so for example you may ask me like"
83040,90000," what text editor should i learn and i would legit try to answer that that would have been interesting"
90000,97680," um is your ethernet better uh yes it is but i'm not streaming from ethernet this time uh i forgot to"
97680,104800," actually connect it so um the stream might be actually very unreliable uh right now so i'm still"
104800,112400," rather i'll rely on wi-fi yes uh is port a finish i suppose you mean port uh the development of course"
112400,119760," is kind of paused uh right so and uh i will get to that at some point so as you can see sometimes i"
119760,126000," actually pause some projects and work on something else and then maybe in a year i can come back to that"
126000,133360," so you never know uh do you have a c course really like how you explain things i don't really have any"
133360,141680," courses at all to be fair like i don't really teach people despite uh what it might look like"
141680,147360," it might look like i teach something but i don't really teach people what i do is just like i sit down"
147360,153120," and work on the projects that i like to work and i hope that maybe people can learn from that but i do"
153120,160560," not intentionally teach something and in fact i don't really know how to teach people programming uh from"
160560,168800," scratch like i have no idea like how to teach person c like i don't even know how to approach that like"
168800,177520," how do i teach a person c who doesn't know c uh where to start like i have no idea honestly so that's"
177520,184160," that's probably why um i i just don't have any courses right so maybe i should start working that"
184160,191040," i could could have taken like the c programming language book as the base as the list of topics and"
191040,199200," i could basically give my take on each individual topic in that book and call that a course and maybe sell it"
200480,209520," and become rich that's a cool video actually i'll think about that uh i have a question if you run"
