start,end,text
400,6400," Hello everyone and welcome to yet another recreation programming session with Amista Azuzin."
6400,12000," So Freya, like I think a year ago, posted a very interesting video talking about whether you can"
12000,18240," actually distinguish 60 fps, 30 fps, 120 fps and so on and so forth. Right, so I'm going to put the"
18240,22720," link to this tweet in the description for people in the chat. You can actually do today comment"
22720,29520," and it will give the link to the tweet. Right, so let's take a look at the video. So what"
29520,39360," she did, what she did is actually rendered animation at different fps but also rendered subframes."
39360,45360," Right, so let's take a look at that. So look at that. So this is different fps and her point was"
45360,52320," that you can definitely see the difference between different fps. But here's an interesting thing."
52320,59040," How do you do that? And this is how you do that. Right, so essentially, and a lot of people accuse her"
59040,65040," in the replies of deceiving or something like that. But I don't think it is deceiving. It's sort of like"
65040,73200," an approximation how your eye will actually see the differences. Right, so what she did is that for a"
73200,81920," single frame she did a simulation for the target fps and rendered the subframes. So which created kind of a"
81920,87840," blur effect but that blur effect actually worked really really well. Right, so and one of the"
87840,93600," things I wanted to do, I wanted to actually implement that and see how easy or difficult it is to implement"
93600,100080," and maybe even integrate that to Panim. Right, so we'll see. I'm not really sure about Panim but I really"
100080,108480," want you to try that. So the thing is here is that people absolutely hate like a motion blur in video games."
109440,113680," And I don't really know why because I don't really play video games and I never really played a video"
113680,119200," game with a motion blur. Right, so I kind of stopped playing video games I think around 2000,"
119200,125760," I think around 2014. Right, so when I started to actually, yeah, when I moved to a different city"
125760,130400," and stuff like that, I didn't really have time to actually play video games at all."
131440,137440," So, and my hypothesis why people like hate this kind of interpolation and stuff like that is because"
137440,146480," fps in a game is not just an animation, it is also latency of the input because you kind of pull"
146480,153200," the input on each individual frame and the more fps you have, the more often you kind of pull the input,"
153200,161040," right, so the more responsive it feels. And when you have a lower fps you have a more latency in the input"
161040,169760," but then the visual part tries to extrapolate all of that stuff and it looks more fps than it actually feels."
169760,174560," There's some sort of a disconnect, right, between these things. This is my hypothesis. I need to"
174560,178400," actually try to play with the motion blur to understand like what exactly is the problem"
178400,184080," here but people absolutely hate it. So for post-processing it actually works fine, right,"
184080,188880," but I suppose for video games it doesn't really work that well. Right, but maybe I don't know what"
188880,195440," I'm talking about like I'm literally talking out of my ass right now, right. So, but anyway, so I think"
195440,201680," this is a very cool exercise to actually implement. We can actually step by frames, right, so this is the"
201680,208160," initial animation, right, so the next frame we can clearly see how all of that stuff goes and I suppose"
209120,218960," the way you just do that you simulate a frame, right, so you render a frame and that frame lasts longer"
218960,229040," than your target fps. So you split that frame into smaller frames into the target frames and you simulate"
229040,235040," and you sort of render several frames and maybe you combine them together. In the case of a circle it's"
235040,241360," actually pretty easy, you just draw n circles in here in a single frame, right, you just draw several"
241360,247680," circles in there. Right, for something more complicated where you don't control all different"
247680,254880," objects and where they go, I wonder if you can like literally save frames in a frame buffer and just"
254880,260480," overlay them on top of each other with different alphas, which will also probably create some sort of like"
260480,264960," a motion blur effect. We can experiment with that as well, right, because this is exactly"
264960,270960," the situation we have because the engine itself doesn't really know what kind of objects you render"
270960,275920," on the screen. It can only ask you to render something on the screen and then save it as an image,"
275920,280480," right, so and I want to add this kind of thing on the level of an engine, not specific animation,"
280480,288240," right, something like that. So, sounds interesting, right, so I wanted to implement that like a year ago"
288240,293600," right away after I saw this tweet, but I only came to that only now, right, so I have a lot of things in"
