start,end,text
760,11800," Hello welcome to another stream how about that about that welcome welcome welcome how are you"
11800,21800," all doing today so today is Sunday if I'm not mistaken and today according to the schedule"
21800,28380," we're doing a what we're supposed to be doing game development but today I decided before we"
28380,34560," start game development I just wanted to program a little bit in Adam and I was actually learning"
34560,42780," either off-screen quite a lot and I want to try to implement something simple in it just to showcase"
42780,49260," what the language is capable of and it's different features and stuff like that and usually such a"
49260,57240," project for a good candidate for such a project to you know just test trial the language is game of"
57240,65220," life and I already implemented such a game of life in C++ some time ago it's actually very simple"
65220,74920," implementation so let me go somewhere here so it's located it's it's basically example in AIDS for"
74920,82900," those who doesn't know AIDS is a replacement for STD it's a replacement for STD and one of the examples"
82900,89200," there is a simple game of life thingy which looks like this so it's a rendering console without using"
89200,96880," any incurses or anything like that so yeah why not just go ahead implement something like that in ADA"
96880,104380," just to you know try different interesting features of of the programming language so that's what I was"
104380,110920," uh thinking to do before uh before the stream uh all right so hello everyone by the way uh hello I stream"
110920,120580," chess uh caterson yet the nas of belginal uh script sh uh nvp 135 noia before bed hello hello upon the"
120580,127360," podium welcome welcome welcome uh it's for eight of them well uh we're starting with implementing an example"
127360,135700," from AIDS uh so maybe later we're gonna implement the whole AIDS for for ADA uh so yeah so that's probably"
135700,143600," how it's gonna go uh all right so let me see let me see let's uh just go ahead and do that uh how about"
143600,160400," that uh so uh add them go so i'm gonna be a the goal and um don't give it haha very funny uh so let me"
160400,172880," pour a cup of tea by the way uh my kettle just broke it gave me the last cup of tea and broke so"
173600,182000," uh i guess f for for for the kettle subscribe so you can buy a new kettle no not really like you"
182000,186800," don't have to actually have spare money for a new kid don't worry about it as a matter of fact i have a"
186800,193600," spare kettle like it's a it's a old one but uh i can use it to make a couple of cup of cups of tea so"
193600,200080," it's not that big of a deal uh just fix the caramel yeah it's probably something simple uh maybe i don't"
200080,211280," know i'm too lazy for this kind of stuff um um yeah"
211280,218480," all right so this is the last cup of tea from the kettle maybe let's see if i manage to maybe fix it um"
222640,232720," all right so let's start with um a file goal adb so adb file stands for ada body right because there's"
232720,239280," a the specification and there is a the body so essentially they're similar to uh you know c"
239280,247360," slash c plus plus header files and c files but um they are not like files that intended to be included"
247360,252800," using preprocessor so they're just two different files for describing a package or a module right so"
252800,257680," semantically they're nothing like in c slash c plus plus they are like proper modules as a matter of"
257680,266240," fact i think module system in ada is closest to a camel one yes a camel and they have a very similar uh"
266240,272560," package system or module system whatever you want to call it of course use some of our yeah i do have like an"
272560,279840," actual sum of our uh which uses you know coals and stuff like that but i think it's i think it's kind"
279840,285360," of dangerous to use it inside so probably not going to use some of our sorry um maybe you should bring"
285360,290720," some of our to the stream one day but it's so huge and heavy so i didn't i don't think i want to do it"
290720,293840," at least right now so yeah cheers by the way"
296640,300720," use electric somewhere well i don't have electric some of ours so i'm talking about the sum of ours"
300720,308000," that i have here right now in the apartment right so i don't have an electric somewhere i have the"
308000,315360," regular one all right so let's define the procedure uh ada looks um more like um pascal so that's why it"
315360,324320," has keywords like procedure function and so on and so forth uh so we're gonna call it a goal uh maybe maybe"
324320,330160," i can call it game of life because why not yeah so here's the beginning and here's the end"
330160,337760," so then to indicate that your translation unit depends on other translation you need to use with a"
337760,347040," clause uh ada text io the only thing we need to have here is a the text io so uh and then you can do"
347040,353760," something like ada text iom uh put line right and you can say something like hello world isn't that"
353760,359840," amazing i think it's gonna be important so now we can try to compile that i'm gonna use not make i could"
359840,366400," could have just used a gpr build with gpr built you can also just provide the ada file uh but the problem"
366400,376880," with gpr build is it generates shit ton of garbage holy shit uh so uh i wish i could quickly actually"
376880,382960," remove it so let me try to remove uh think like this i want to remove everything from here right then"
382960,390480," i want to remove everything that is std here like this and then i'm gonna remove everything like ali"
391920,399920," uh back ch oh i don't know what these things are i only care about the executable so if you use"
399920,405840," something like not make um you're gonna end up with actually a little bit cleaner uh situation you're"
405840,410160," only gonna have like things that are needed the gpr build probably generates some intermediate share that"
410160,415680," you don't need for such a simple for such a simple program i don't really know how they work but yeah"
415680,422960," we're gonna use gnat make uh within that make you can also enable uh additional warnings uh gnat w a"
422960,430960," which basically equivalent of uh all warnings w all from gcc or something like that right so uh yeah"
430960,439440," basically will provide more warnings all right so to not uh add this prefix every time i want to use put"
439440,446960," line i'm gonna just use ada text io this is like similar to using in c plus plus right so essentially"
446960,451840," you have a package and then you you do use and it basically puts everything from that package into the"
451840,459120," current scope and it makes it a little bit easier to work with uh yeah and here is another interesting"
459120,464240," thing so here's the warning the file name does not match the unit name so i have a file name called goal"
464960,472000," and uh the unit name is game of life so it's not that big of a problem but it's something worth generating"
472000,477760," a warning about um ada is a very bureaucratic language what can i say so let's let's actually"
477760,484880," rename it back to goal then sure uh sure sure sure might as well actually uh construct something like this"
485600,491200," so yeah here is the hello world all right who knows what is a game of life"
491200,499120," uh so hello squad monkey welcome welcome to the stream hello who knows what is a game of life"
499120,504880," so we implemented it so many times in the stream i assume everybody knows"
505520,509760," uh you know cells going crazy that's a good description of game of life"
509760,517920," uh it's a game where you win by dying well also by being born as well i guess maybe i don't know"
517920,523840," it depends on the criteria uh i'm going so emotional with me yes it's a very emotional music"
523840,531120," because the line uh it's so cool with gliders and yes it is in fact cool cellular automata go"
531120,539680," okay so uh game of life let me take a look will it have gui or console only only console because it's"
539680,547680," a very quick uh very quick project to showcase uh ada right just a very quick project to showcase ada"
548640,555520," all right so here are the rules uh essentially you have a grid right you have a grid and you have"
555520,562640," cells that can be in two states it could be a life it could be dead make sense hello hello hello so and"
562640,569680," here are the rules any live cell with two or three live neighbors survives any dead cell with three live"
569680,577680," numbers becomes a a live cell and lives what what is this english okay all other life cells die in the"
577680,585360," next generation similarly all other dead cells stay dead so yeah this is basically the rules i guess"
585360,592800," it's a simplified rules and this was which compared the behavior of them can be considered okay uh this"
592800,597440," more strict rules but i didn't want to read them because they're too boring anyway so uh we're gonna"
597440,604080," implement something like that right we're gonna implement something like that so uh since we have cells"
604640,614000," right in ada in the spirit of ada right uh we need to introduce type for the cell right so it's gonna be"
614000,623600," type cell is dead or alive this is enumeration or some sort of a discrete type uh which is quite"
623600,628240," interesting i'm not gonna like quite interesting so and if you try to build that it seems to be working so"
628240,637520," yeah uh you can think of it as enumeration all right uh so the next thing is to uh define a board we could"
637520,645920," have actually defined uh something like this board uh which is array uh where you have like um from zero to"
645920,656080," a height then from zero to width and then off cells and call it our board essentially right uh call it"
656080,662400," our board and on top of that by the way if you wanna if we wanna you know enumerate actually from zero to"
662400,667600," n minus one we have to do uh minus one because the ranges in ada they're inclusive they include both of"
667600,673440," the ends right and on top of that uh we're gonna have code width and height of the board right now"
673440,680400," right so it's gonna be something like width uh and it's gonna be uh let's say positive here's an interesting"
680400,688560," thing about positive positive is a number from one uh up until the end of the integer as far as i know"
688560,694880," right so there are naturals and the natural numbers but these uh numbers include zero we don't want our"
694880,700800," board to be equal zero like zero by zero board doesn't make any sense uh unless you want to be"
700800,708000," a smart ass of course but we don't want to be smart asses so um yeah we're not going to include zero size"
708000,713440," right so it's going to be positive so let's actually make it five uh by five so this is going to be like"
713440,719440," this on top of that since this is going to be a hard credit uh value we can mark it as constant"
719440,724240," right so it's going to be constant there you go so we have a constant and on top of that"
725440,730560," at the constant uh will be known at compile time so the compiler will be able to do all sorts of"
730560,737360," optimization and be smart ass about it so i think it's a good when a competitor is being smart ass but"
737360,743760," when a person is being smart it's not usually that useful anyways what the am i talking about"
744720,759360," um here's an interesting thing um about ada about ada you can define new types uh new integer types with it"
760000,766240," specifically for example you can define a type degree right you can define type degree and say"
766240,778800," that a degree is a range um from zero to 360. right and this type is like a valid integer type"
778800,786560," believe it or not so you can define an angle which is in degrees and you can just say 90 degrees uh right"
786560,793600," and it will it will actually work it will actually compile and um yeah so let's actually do something"
793600,801040," like this and i think i can take an angle and even convert it to integer uh to to to string just to"
801040,808960," print it on the screen so let me see so it actually printed 90 right it actually printed 90. so uh"
808960,818480," the range indicates that this well you cannot be uh actually outside of that range uh belginal gifted a"
818480,823760," tier one sub to her Hudson plots thank you thank you so much belginal for uh supporting the channel and"
823760,831840," in her Hudson plots welcome tour epic hey the club how about that i know this is your favorite language"
831840,836800," i know this is your favorite language and this is exactly why i'm streaming it just for you"
836800,839920," heroes and plots just for you because i love you cheers"
842480,855920," uh let's get the hype train rolling hey hype train hype train hate train i disabled hype trains by the"
855920,865040," way so thank you so much for being uh yes let's keep keep giving bits uh the hype train actually is it"
865600,871920," i remember i remember quite vividly disabling it so if twitch enabled it again uh that's not me i didn't"
871920,879840," enable it the thing is is i um the thing is i can't see it because i'm not using the the twitch thingy"
879840,890880," let's get the hatred we do not approve of hate um all right so so we defined it as a range but what's"
890880,895280," going to happen if you try to put something outside of that range for example i'm going to put"
895280,906240," uh like 14 uh and it generates a constraint error range check failed so essentially you can define"
906240,914880," integers that are valid within a third a certain range and anything outside of that range is going to"
914880,924560," is going to be considered invalid so furthermore uh there is no built-in integer types in ada"
925680,934640," seriously because there is no need to make it built-in in the standard library the integer the actual"
934640,944400," integer is defined i believe like so it's defined as a range from uh minus two to the power of 31"
944400,954640," uh up until uh plus two to the power of 31 minus one so this is actual definition"
954640,961360," of integer in standard library i believe i think this is how it's defined and um essentially it's up to"
961360,970400," the compiler to choose an appropriate and most efficient representation for uh this integer right"
970400,976640," so if uh for it depends it probably depends on an architecture it depends on the target so if the target"
976640,983360," is going to be exit to 664 it will just use 32-bit integers to represent all of that but uh yeah on some other"
983360,989280," other platforms and some other architecture some other definition is going to be uh more efficient or uh"
989280,996560," less efficient it's just all depends so you see integer is not particularly like a magical built-in type in"
996560,1003120," ada it's just yet another range that you can define yourself and you can define any ranges and it will be"
1003120,1010000," up to the competitor to decide how to do that on the low level on the level of a particular a particular"
1010000,1017040," hardware right and i suppose it was done to make ada extremely portable uh because it's"
1017040,1021520," quite often used in embedded um systems and an embedded system i believe there's a lot of different"
1021520,1025840," hardware so the uh the programs have to be uh portable like that"
1028960,1035280," what about when you need to write an int to disk what about that so what exactly is the question if"
1035280,1040160," you need to write an into a disk you can just write an into a disk so you're probably trying to ask what's"
1040160,1048000," the size of such integer right you're probably trying to ask something like that uh need to have an exact"
1048000,1052960," format i don't know so but i'm pretty sure there are mechanisms for in ada for that but i haven't learned"
1052960,1058080," them yet uh when i learned them i might as well actually tell you what exactly what exact format"
1058080,1068800," uh oh and speaking of unsigned integers um unsigned integers actually don't use ranges uh unsigned"
1068800,1076160," integers don't use ranges they have uh they use something called mod uh types so speaking of mod so"
1076160,1083760," something like degree would have been better to uh to define not as a range uh type but as a mod type"
1083760,1091680," there we go so this is another type of defining a type it's a mod type and essentially what it does"
1091680,1098560," any operations done on this type if they overflow or underflow they wrap around"
1100320,1105280," you see they wrap around and for a degree it's it's actually better like that so imagine that you have"
1105280,1116080," um 359 uh 59 and then you have an angle right um you have an angle and you do uh plus 90 and then"
1116080,1123920," uh i'm not sure if it's going to compile but uh just a second um quality yeah it's not going to compile"
1123920,1130400," because i have to do it like that it has to be degree image and let's just remove this entire thing"
1130400,1143040," uh there we go it's 89 you see so angle was 359 and we did plus 90. so these are mod type as far"
1143040,1150160," as i know they work uh on both of the sides so if you for example have a zero degree and you subtract 90"
1150720,1157600," uh it will be 270. so we see you can define the types that automatically apply modular arithmetic"
1157600,1164320," and it's very useful when you work with degrees time and everything circular right everything"
1164320,1170240," repeating everything circular and furthermore these kind of types are used for unsigned integers so unsigned"
1170240,1176480," integer i don't know then i don't remember the name of unsigned integer in ada uh but i think something"
1176480,1184000," like unsigned like unsigned integer for 32-bit architecture would be defined as a mod of 2 to"
1184000,1192240," the power of 32 and what's interesting is that on x86 64 um overflow i mean if we're talking about 64"
1192240,1200480," it's probably going to be like 64 right overflowing uh overflowing an unsigned integer wraps it back to the"
1200480,1210160," zero so this kind of mode behavior in on some architectures is actually a valid behavior so"
1210160,1216880," what's interesting is that ada has mechanisms of describing that low level hardware behavior"
