start,end,text
960,4940," Hello, everyone, and welcome to another Zooten session."
4940,6020," How about that?"
6020,8040," Bet you didn't expect that shit to happen."
8040,13180," So today is the second day of doing Advent of Code in the Guts Temple."
13180,20020," So in the previous session, I probably need to create like a playlist for all of the TempleOS sessions."
20020,22020," So let me actually put myself some sort of reminder."
22020,29820," So an Advent of Code in TempleOS to be done."
30380,34640," Right, so in the previous session, we set up the development environment, right?"
34640,41380," So we created a bunch of scripts to set up the QEM virtual machine with the TempleOS instance and stuff like that."
41380,46880," Off screen, I spent some time actually cleaning up those scripts and organizing everything."
46880,49820," And I put them into this GitLab repo."
49820,54780," You can find the source code, you can find the scripts right in the description right here."
54780,57320," And let's actually take a look at them."
57500,61200," So essentially what you have, you have five shell scripts."
61200,63140," The first one is the configuration."
63140,65760," This script you're not supposed to run, right?"
65760,73480," So it's just like basically a list of parameters that is used by all of the other scripts, right?"
73480,78200," So and you want to use the rest of the four of them, right?"
78320,84580," So we have install.sh script, which basically creates the installation of TempleOS."
84580,91600," We have a mount.sh script, which mounts the file system of the TempleOS into the host file system."
91600,96660," So you can exchange the files between host operating system and TempleOS."
96900,104380," We have run.sh, which essentially runs the QEM virtual machine with the TempleOS instance and stuff like that."
104380,113080," And we have a sync script, which basically syncs the folder with the solution between the TempleOS and the host system."
113460,117160," And in fact, you can use it to sync it both ways, right?"
117160,123660," If you made some changes in the host folder with the solutions, you can sync them into the TempleOS."
123660,128520," And if you made some changes in the TempleOS, you can sync them back into the host system."
128520,133880," And you want to sync them back into the host system because that's what we're going to be committing into this repo."
133880,138360," We're not going to be sharing the actual, you know, drive, right?"
138440,143560," So I'm going to be sharing essentially this folder that I sync out of the TempleOS instance."
143560,151780," And because of that, I can quite easily recover the TempleOS instance if I, for instance, break it for whatever reason."
151780,153340," So this is actually quite convenient."
153340,160000," For instance, I have this image, half of a gigabyte image, and I don't really need it anymore."
160000,161860," I can straight up remove it, right?"
161860,163460," So it's not needed anymore."
163460,165060," Right."
165060,166820," So should I fetch the latest changes?"
166920,168640," I think I'm going to try to fetch the latest changes."
168640,170120," I think I already did that."
170120,171180," Right."
171180,174680," And now I can quite easily create a new installation."
174680,178620," So I need to run install.shscript, but I have to provide the name of the image, right?"
178620,181060," So you can actually have several images if you want to."
181060,188020," It's going to be AOC 2021 image, and it will create that image, and it will start the virtual machine with the TempleOS."
188020,192180," The ISO of the TempleOS is included in the repo."
192180,193540," It's actually quite small."
193540,196240," It's 17 megabytes, so it's not going to be that."
196920,198800," A huge over-dependency to download."
198800,203840," So I decided to just commit it into the repo, and I don't plan to change it at all."
203840,213260," Usually, the binary files in Git create problems when you change them a lot, because it cannot store the differences between the binary files, as far as I know."
213600,214600," Please correct me if I'm wrong."
214600,219360," And essentially, every time you modify the binary file, it creates a copy of it."
219360,221200," I think this is how it works, right?"
221200,230020," So if I put a single small binary file into Git repo and never change it, I think it's not going to create that much problem."
230680,232220," Again, please correct me if I'm wrong."
232220,242460," So anyway, here I have TempleOS ready for installation, and I just say yes, and it will spend some time installing everything."
242460,244860," And while it's installing, let's actually make a cut."
244860,248260," And no, this is not how we make a cut."
248260,251620," And we're done installing this thing."
251620,256400," So it suggests to reboot the operating system, we're not going to reboot anything."
256400,257320," We're going to answer no."
257600,260120," And I'm going to just straight up close the virtual machine."
260120,266280," So after the installation, we have our image, which we can go ahead and run."
266280,272540," So I also have to provide the password, because it tries to unmount some systems and stuff like that."
272540,274920," And let's go ahead and load this entire thing."
274920,278240," So it will take some time to decompress a dictionary."
278240,282560," I have no idea what is a dictionary, as I already said in the previous sessions."
282560,286740," Like it's, I don't know, maybe it's a dictionary of all of the functions or something like that."
286740,288640," But it's uncompressing it."
288640,290220," It's going to take some time."
290220,291380," So maybe we should cut it."
291380,292820," Let's go ahead and cut it."
292820,296840," So it's almost done uncompressing the dictionary."
296840,297480," And there we go."
297480,301680," We are ready to use our freshly installed TempleOS system."
301680,304320," It's not going to do that every time you start it."
304320,308460," It only does that for one single time after the installation."
308460,311560," So if I just close this entire thing and restart it one more time,"
311560,315840," it's going to just start the TempleOS and not going to uncompress anything."
315880,317380," So it's just like one time event."
317380,321580," So, but in here we don't have our advent of code solutions."
321580,324140," So we need to sync them into the Temple."
324140,326240," To do that, we have a sync command."
326240,329440," It accepts the sub-command host or Temple."
329440,332820," And host or Temple depends on your target, right?"
332820,333760," What is your target?"
333760,338040," We want to sync the solutions into our Temple, right?"
338040,339960," So that means the sub-command is going to be Temple,"
340180,342300," where the destination is the Temple."
342300,346180," And I also provide the image and it will basically mount everything"
346180,350560," and it will use our sync to sync the solutions into the Temple."
350560,355480," And then I can run my TempleOS installation and the solutions should be there, right?"
355480,356640," The solution should be there."
358220,358720," Okay."
358720,359880," So there we go."
359880,361980," Here are the advent of code solutions."
361980,363300," I can open that."
363300,364480," Here is the first day."
364480,366720," And here is the source code of the first day."
366720,367360," There you go."
367360,371680," So we basically recovered the TempleOS installation, right?"
372060,375360," So, and I can make some changes in this thing."
375360,379820," Let's actually say something like hello from God's Temple."
379820,383800," And I'm going to save this entire thing."
383800,386080," And I'm going to quit the whole virtual machine."
386080,391700," After that, I can quite easily just sync it into the host, right?"
391700,399560," And if you take a div, you will see that now we have the line that we added in the TempleOS."
399560,400260," Right."
400260,401200," Here's the interesting thing."
401200,408340," I already noticed that in a previous session, but TempleOS constantly inserts this Ctrl-E symbol."
408340,417620," And what I recently learned, it's the TempleOS way to remember what was the last position of the cursor, right?"
417620,424800," So essentially, when it opens a text file or source code file, it puts the cursor in this place,"
424800,427620," which is kind of an interesting feature, right?"
427620,430340," So it doesn't store the last cursor position somewhere outside."
430340,433860," So it does not disturb the file content or anything like that."
433860,437140," So the cursor is part of the file content."
437140,441000," So it's kind of interesting and weird at the same time."
441000,444180," But we don't question divine intellect on this channel."
444180,446300," Okay, so it is what it is, right?"
446300,451820," And after that, I can quite easily just commit the changes that I've made in TempleOS, right?"
451820,452220," You see?"
452220,453900," So I just do add."
454860,463080," And let's do something like add message from the gods' temple."
463080,468120," Unfortunately, I can't use these single quotes in here, right?"
468120,469460," So I have to use double quotes."
469460,471880," And then I can push that right into the repo."
472000,476020," And this is basically going to be our workflow as we solve the problems."
476020,478700," Push origin master."
479540,481180," Okay, so that's pretty cool."
481180,483020," So it's going to take some time."
483900,487640," And let's start the gods' temple one more time."
487640,488540," AOC."
488540,490200," There we go."
490200,499860," So, and I suppose let's go ahead and create the folder for the second day, right?"
499980,505980," So I'm going to go there and I'm going to do dirmk02, right?"
505980,508400," That should create the folder 02."
