start,end,text
400,6320," Looks like we're live. Hello everyone and welcome to yet another recreational programming session"
6320,12240," with Mr. Zozy. Let's make a little bit of an announcement and officially start the stream."
12240,17200," Hello, hello, welcome, welcome, welcome. So today we're doing Red Circle live on Twitch."
17200,26720," And what are we doing today on Twitch.TV website? Today we are implementing multi-user chat in"
26720,33200," Go plus Redis. Yes, that's a very interesting topic, very unusual one for me, because I usually don't"
33200,41840," try to tackle these kind of topics. I mean, I can develop network applications on my"
41840,48240," local machine, I can do that, but it's not that interesting if nobody except me can participate in"
48240,54640," that. And to make everyone participate in this kind of activity on a network multi-user"
55440,61680," application, we need to have some sort of a VPS. And I didn't really have enough resources to,"
61680,70160," you know, rent VPS until recently, until recently, we actually created an option to, for people,"
70160,76480," for the viewers to donate for the, for the service, right? So essentially, if you do donate command,"
76480,80960," there is a link in here, right? So there's a very cool hosting called Zap Hosting. I'm not sponsored by"
80960,85520," it by the way. I just personally think that this kind of feature is very cool. So essentially,"
85520,92720," by that link, you can donate a little bit of money. And I can use that money to rent VPS servers for"
92720,98400," different projects and stuff like that. Right. So people actually, you don't need to donate anything"
98400,105440," right now, because people already donated quite enough for me to cover like a year of my bot hosting or"
105440,109920," something like that. So it's actually, thank you so much, everyone who donated it. It really means a lot"
109920,118800," for me, right? So, and what I decided to do today, I decided to test the format, the format of like network"
118800,126000," project development, right? So where I develop a network application, and I deploy it live, and everyone is"
126000,133920," trying to use it live, and see how quickly we can break it, right? So that would be interesting, right?"
133920,139680," So that would be interesting. So we're going to start with something super simple. As I already said,"
139680,145200," it's going to be just a chat application. I decided to go with the very sort of like safe technology,"
145200,150960," right? So that is like, really bottle tested. So we're going to develop everything in Go. Go already,"
150960,156480," understand library has a quite convenient network capabilities, right? So the network package just"
156480,163440," allows you to just listen to TCP connections right away. And for the database, I didn't want to spend"
163440,170640," too much time on setting up like a proper database like a podcast SQL or anything like that. So I thought"
170640,176160," something like Redis is going to be enough. I never actually used to Redis, by the way, I never actually"
176160,181840," used Redis. So it's going to be a little bit of a, you know, learning experience for me, but I kind of"
181840,187520," understand the basics, right? So I kind of understand the basics. It's basically a hash table with a mutex over a"
187520,190320," TCP connection."
190320,199600," Isn't it right? So it's a hash table with a mutex. Like I tweeted that right before the stream, and I think"
199600,204640," judging by the replies, I think I triggered quite a few people by saying that. But anyway,"
205200,209520," so let's actually start the development."
209520,219120," Okay, so I don't know how we're going to develop the the client, right? Well, we're going to start"
219120,223040," with the server, right? So we're going to start with the server, and the server is going to just listen to"
223040,229680," TCP connections. And a client, let's say that the client is going to be just like a telnet for now,"
229680,234880," right? Because telnet allows you to just connect over TCP over some ports and stuff like that."
234880,240400," So yeah, maybe we won't have any particular client, right? So maybe it's going to be telnet."
240400,246800," But you know, stuff like, you know, basic commands would allow people to come up with"
246800,252560," their own clients, right? So telnet is like a bare bones client, but maybe people will come up with"
252560,257600," their own stuff, maybe netcat, right? So netcat is even better, right? So because telnet is sort of like a"
258160,268880," very like specific tool for specific purposes, right? So in any case, so let's go ahead and start"
268880,274160," developing the thing. So how should we call our chat application? How should we call it?"
274960,284560," So what I was thinking is, right? If you spell chat in Russian, right? So in Russian, it actually looks"
