start,end,text
800,6400," looks like we're live hello everyone and welcome to yet another recreational programming session"
6400,13520," with Azuzan let's make a little bit a tiny bit of an announcement and officially start the stream"
13520,21280," as usual as usual so uh we're gonna do a red circle uh red circle live on twitch and what"
21280,29200," are we doing today on twitch adopt a television website today we are um yeah we're doing a little"
29200,37840," bit of a proof like i don't even know how to explain that but we are uh proving uh arithmetical"
37840,44240," theorems right so specifically we're going to be proving this statement which is basically this"
44240,50240," sum the square of sum uh right so the usual formula that quite famous formula so we're going to be"
50240,54640," proving that but we're not going to be just proving that we're going to prove in that we're going to be"
54640,62160," proving that from the very beginning from the very beginning using piano axioms uh right so i'm going"
62160,67360," to give the link to where we're doing all that uh twitch.tv/todding and i'm going to ping everyone"
67360,73760," who's interested in being pinged at this time and there we go the stream has officially started the"
73760,81200," stream has officially started uh all right so to do that to do that we're going to be using knock uh which"
81200,87280," is a very old project of mine i think i actually started to develop that project like two years ago"
87280,93120," uh right so i started to develop two years ago and then i uh basically put it on pause right so i never"
93120,99920," abandoned my project okay so people have a perception people been spreading misinformation that i never"
99920,106880," finished my project and i abandoned them i never abandoned my project i put them on pause i pause them then"
106880,113600," i research and work on something else and i go back to them and this is the proof of that right so it's"
113600,118720," not the first time when i actually went back to an old project of mine and continue just developing it"
118720,124800," right so i can continue developing any of my project at any moment right i never abandoned them they never"
124800,133280," abandoned they're just paused okay so we're on the same page so it's an old project of mine and um yeah so i"
133280,140240," i decided to revisit it again uh the reason i decided to revisit it again is because i've been doing like"
140240,145680," a very simple recreational math at my spare time like at my spare time sometimes i like to play with"
145680,153280," expressions and stuff like that and i just started to prove things starting from the piano axioms right"
154640,162560," and uh then i realized that um a lot of things uh that can be proven starting from piano axioms like"
162560,167600," different uh different properties of sum and multiplication and stuff like that they could be"
167600,175600," proven uh using mathematical induction and then i got a stroke of genius i can actually do a mathematical"
175600,183280," induction in knock even though i never explicitly programmed it to do that which is rather interesting"
183280,189600," i can do mathematical induction in this thing but i never explicitly said like this is how you do that"
189600,196960," so i just realized that and that realization actually enabled the whole array of tools to prove a lot of"
196960,202880," things in a very powerful way and that's exactly what i would like to explore today right so and we're"
202880,209280," going to be using this the the square of some formula as sort of like a playground to uh to explore these"
209280,217760," ideas to explore this tool so to speak so uh let's go ahead and go into the repo of knock and see"
217760,224400," how we can use all that right so the main thing in knock is its ripple you basically do everything"
224400,232320," through ripple uh right so but ripple is not particularly very uh very powerful we are working"
232320,237280," on a better ripple but it's in a very intermediate state so it's not particularly usable right now"
237280,243120," so one of the things uh i usually recommend while using this ripple is to use a rel wrap which basically"
243120,248960," adds a read line interface to to this entire thing right so for instance it allows you to do ctrl b"
248960,254720," ctrl f and navigate and stuff like that and also it allows you to look through the history and search"
254720,261040," for the history even though i never actually explicitly coded any of that stuff into the ripple so you can"
261040,268320," still do that by using rl wrap right so and essentially what do you have in here you can have some sort"
268320,273920," of expressions right so you can have some sort of expressions like a plus b so and what you can do with"
273920,279760," the expression you can for instance shape it right so you can just go ahead and shape it so i think it's"
279760,284800," a little bit more interesting expression would be a plus b uh multiplied by c right so that's a little"
284800,291520," bit more interesting and you started shaping the expression so what you can do what what is shaping"
291520,299280," what is essentially shaping shaping is basically providing a pattern a certain pattern and replacing that"
299280,306960," specific pattern with something else for example you want to swap uh the operands of specifically"
306960,314400," plus separation but not multiplication what you can say okay a plus b uh with a capital letter we denote"
314400,320480," a variables they're going to be that can capture a specific sub-expressions and you're going to say okay"
320480,328640," v replace that with b plus a right and uh then you have to put a bar in here and after the bar you have to"
328640,337040," specify the uh replacement strategy and uh the usual replacement strategy that i use is basically all"
337040,343920," so essentially it is going to recursively traverse this entire ast and every time uh something matches"
343920,348400," this specific pattern it's going to apply that pattern and replace it with this kind of thing so that's"
348400,354960," basically strategy of all means uh there are different other strategies for example you can uh replace uh the"
354960,361440," zeroes match or the first match the second and so on and so forth you can basically enumerate all of the"
361440,367360," matches as it traverses the stuff but usually you want to do all and as you can see it actually swapped"
367360,375920," these two things so that's basically shaping that is shaping so um interestingly enough"
376960,384320," you um you um can actually assign different sort of rules of the shaping to some sort of names right so"
384320,391520," for example this is some commutativity right so we define the rule some commutativity uh there we go"
391520,399440," here is the rule and uh we can just literally apply just that rule and we swapped it again and then we can"
399440,406400," finish the uh the shaping so this is what it allows you to do this is what it allows you to do uh so"
406400,414080," interestingly enough um you can have a lot of different rules and one of the usual um example that"
414080,422560," uh i do is this formula of the uh square of sum right so the square of sum so let's actually try to"
422560,428960," um sort of like prove the square of sum so we can we're gonna have something like a plus b uh right"
428960,436880," square right and what's interesting is that you can uh define rules you can define rules through shaping"
436880,443040," right so here what we did we just did the shaping uh where did we start the shape we just did the"
443040,447840," shaping of some expression as soon as we finished the shaping nothing really happened and we just forgot"
447840,453360," about it but you can actually save the shaping you can take the shaping and assign it to a particular"
453360,460240," name and the result of that shaping is going to become uh the new rule that you can use in other"
460240,466480," shapings right so let's actually define a rule sum uh of square right sum of square and start shaping this"
466480,472400," entire thing start shaping this entire thing right the first thing we need to do we need to sort of like"
472400,478800," expand uh this square right so uh let's actually say okay so square is essentially"
478800,484960," something like this right so this is basically the definition of square if you have some variable a"
484960,491680," that is squared it is equal to a multiplied by a so that's basically how we understand the square"
491680,497840," right so we can define this entire thing and we can apply this thing and as you can see we expanded"
497840,506400," this entire stuff we just expanded it so uh now what we can apply we can apply the uh sum would"
506400,513440," multiplication distribution right so essentially a multiplied by b plus c is equal to a multiplied"
513440,519760," by b plus a multiplied by c so this is basically the distribution that is defined on addition and"
519760,526960," multiplication so let's actually call this thing multiplication sum uh distribution right sum distribution"
527600,533200," there we go we define this rule and then we can go ahead and apply this entire thing to our current"
533200,541760," shaping and this is what we got so we literally mechanically transforming the expressions we literally"
541760,547760," mechanically transforming them so we could try to apply the multiplication distribution one more time"
547760,553200," uh right but it's not going to work because there is no match for that right so we have this"
553200,560800," multiplication but the uh the distribution assumes a to be on the left side it assumes it to be on the left"
560800,567120," side so what we have to do we have to apply the sum commutativity right so the sum commutativity is"
567120,572640," basically actually not the sum commutativity it's multiplication commutativity right because we want to"
572640,579600," swap around specifically uh for multiplication right and that property that property is a multiplied by b"
579600,585680," equal to b multiplied by a uh right so then we can go ahead and apply this entire stuff like so"
585680,590560," and as you can see it actually swapped this is what we have and ahead well this is what we have now"
590560,597520," which allows me to apply the sum distribution and boom this is what we got this is what we got"
598320,603040," so interestingly enough so interestingly enough we have a multiplied by a and b multiplied by b"
603040,612000," uh right and we already defined um um a rule square right but it goes in a different direction"
612000,618080," right so it's basically transform a to the power of two to a multiplied by a but here we have an opposite thing"
618080,622160," um so what we can do we can actually apply the square"
622800,630640," but in reverse so any of the rules can be applied in a forward direction and in a backward direction"
630640,636480," right if you have one rule defined like that you can apply it the other way right and there you go"
636480,641680," we actually transformed a multiplied by e to i a to a squared and the same with b"
643760,652640," so that's pretty cool uh so i would like to maybe swap around b and a so uh these two things are equal"
652640,657280," to each other so to do that what do we need we need a multiplication commutativity so here's a"
657280,663840," multiplication commutativity and specifically we need to apply that to this second uh multiplication so"
663840,668320," they're actually indexed uh starting from zero so if you want to apply it to the second one you have to"
668320,676880," provide one uh there we go and here we have these two things we could probably define something like um"
676880,685840," so we already have square we could have actually create something like a double where you say um a"
685840,692480," 2a is equal a plus a right it's kind of similar to square but it's with the different operations in here"
692480,699200," so we could try to do something like that and try to apply double to all but there is no matching here"
699200,706320," right because these two things they're on opposite sort of parentheses they're not directly the operands"
706320,713440," of the plus what we'll have to do we'll have to shuffle around the parentheses to make them appear"
713440,720240," within the same parentheses right so to be able to do that we need another law uh and now it's not really"
720240,726960," law it's like theorem but maybe it's you can call it a law uh which is the sum associativity do you guys"
726960,736000," know what is the sum associativity uh right it's essentially a plus b plus c equal to a plus b plus c"
736000,745120," so this is the sum associativity um right so and now we should basically carefully shuffle things around"
745120,751680," so i suppose we can just apply some associativity on the very first top thing in here okay so that seems"
