start,end,text
480,6320," looks like we're live hello everyone and welcome to yet another recreational programming session"
6320,11120," with the mr zodin about that but you don't expect that to happen so let's make a little bit of"
11120,17360," an announcement and officially start the stream red circle live on twitch and what are we doing"
17360,25360," today on twitch.a.tv website today we're doing post-apocalyptic software if that makes any sense"
25360,29840," so i'm gonna give the link to twitch.tv turning and i'm gonna ping everyone who's interested in being"
29840,37440," pinged and go the stream has officially started the stream has officially started so uh hello hello"
37440,42480," everyone welcome welcome welcome i can see people in the chat so on the previous stream we checked this"
42480,49840," a very interesting thing called uxian ecosystem which is a personal computing stack and essentially"
49840,56480," this is a very small virtual machine uh with different devices attached to it right and"
56480,61120," essentially you're writing software for that virtual machine in a special force-like language"
61120,67920," and uh so then you compile that uh you know your program written in that language into a rome that"
67920,74000," you can distribute around and stuff like that so and generally like i looked around the website and"
74720,83120," um so the software behind all of that has a very interesting philosophy of being um i suppose offline"
83120,91440," first and uh right so overall it's very interesting philosophy um and it gives me all these like post"
91440,97040," apocalyptic vibes which i really really like and that's why i call today's stream a post-apocalyptic"
97040,102240," software development so i think it's pretty much fitting it's pretty much fitting uh we wrote a very"
102240,108640," very simple like hello world like uh things in that uh in that programming language and i think the time"
108640,114960," has come to implement something more substantial something more complex and i was thinking that what"
114960,121520," could be more complex than hello world a very simple hello world probably uh you know a game of life"
121520,127840," right let's implement the game of life we know how to put graphics uh on the screen uh right we know how"
127840,134560," how to do loops and stuff like that right so let's just go ahead and uh ramp up the complexity of um"
134560,141040," of our challenges right so and after that maybe we can ramp up even more we'll see we'll see so um"
141040,147440," what's interesting is that the communication um for this entire thing is all over the place"
147440,156160," and kind of difficult to use and track things so what i tried to do off screen i tried to read the source"
156160,163760," code of this entire thing instead and it worked out better than reading documentation honestly like"
163760,169920," if you want to learn more about uxn don't read documentation maybe read like the first like hello"
169920,176960," world and stuff like that to get the idea but if you want to get a deeper understanding and more details"
176960,183120," just read the source code seriously just read the source code of the virtual machine itself of the you"
183120,190000," know barbaric system and stuff like that so it gives you more precise information because uh this is what"
190000,196000," the documentation lacks it kind of lacks the precision and you know systematicness like as already said it's all"
196000,200240," all over the place so you can find the source code of this thing here i'm going to copy paste it in the"
200240,205440," chat and for people on youtube it's going to be in the description of course uh right and let's go ahead"
205440,212400," and maybe i don't know clone this entire thing let's go ahead and clone it so i'm going to be just doing"
212400,216960," this i wonder what would be better i think it would be better to just use https protocol"
218400,230240," um so uh git clone and let's say go we're cloning this thing we are in fact a cloning so it is actually"
230240,239120," super small and uh it has just like a build sh script uh right so you can just run the build sh and"
239120,244960," it's going to build the entirety of the thing uh it's going to have the emulator and the assembler and"
244960,252640," everything uh and it even starts it even starts like a small like a boot rom automatically with a"
252640,259760," simple like small file manager and stuff it's it's really really cool uh right so you can like walk"
259760,266320," around but i don't know how to use the keyboard in here so uh what i can say right i can just use mouse"
266320,272560," and i can read things in here uh right so it has a small built-in text i think i can even yeah i can"
272560,278880," like go full screen and it like feels like a temple os or something it kind of feels like a temple os"
278880,284080," like i don't know how to use the keyboard there is some sort of like a shortcuts in here but i have no"
284080,290480," idea what is bl like i press bl it doesn't work it doesn't do anything so the whole thing doesn't really"
290480,296080," explain that well how to use it right so the mouse works uh the mouse works which is already great so the"
296080,302880," arrows work uh but enter doesn't work so i have no idea how to use this thing honestly right but if i"
302880,309600," just do something like this it seems to be working uh right so that's pretty cool so and that built"
309600,317360," uh all the necessary binaries that we already had and uh so the most interesting thing in here is probably"
317360,324960," the virtual machine itself it's uxnc uh and it's extremely simple actually it's extremely simple"
324960,333040," um right so here are all the opcodes uh and for all of these opcodes there are different macros that"
333040,340320," modify the state of the virtual machine i suppose uh so that's what they do anyways anyways anyways anyways"
340320,348000," so let's go ahead and try to like recreate the hello world again so to start something with uh"
348000,353120," right to start something with so this is going to be hello tal uh and i already have a highlighting"
353120,360080," for this entire thing i already have a highlighting so we need to take some devices to be"
360080,365920," fair you still kind of need documentation for at least devices right so because i want to have"
365920,372880," i want to be able to do console that so you know what i'm gonna actually copy paste the hello world"
372880,379520," from uh whatever we were doing in the previous stream so let me actually grab that so there was my stuff in"
379520,387040," there i do remember that quite well and there we go so here we basically laid out the you know the"
387040,394160," device thingy right so now we have a console and here we wrote a hello world so we can do something like"
394160,404880," that in here so if i now try to do bin uxian azim um hello tal hello rom uh that seems to be working"
404880,411040," that seems to be twerking and then bin uh uxian emulator so we don't really have to use emulators"
411040,418000," so as far as i know we can just do cli uh right so we can just do cli and it's basically an emulator"
418000,423440," without the event loop and without any of these things so if i want to just print something on the"
424240,429200," right on the screen i can just do that right so we can do try to do something more complex"
429200,435680," right so here we're just doing the loop i can of course factor out to something like this print text"
435680,445040," um so i think it's jump to r right so that's what it is so essentially when you call to this function"
445040,451200," it will put a return address to the return stack which is going to be two bytes right and to return out of"
451200,458560," that you have to jump to something that is on return stack and i also have to use the short mode uh you"
458560,463600," also have to do the short mode why there's only one person actually spamming in the chat so i have to put"
463600,470480," put like a subscriber mode um all right so let me let me see so i'm gonna factor out this and i think"
470480,476800," uh all right and uh there we go so this is going to be something like that"
476800,487680," so uh print text uh there we go and that should be basically it that should be basically it so let me try to"
488400,496720," um you know just do that there we go so what i've noticed is that's quite often something messes with"
496720,503040," my compilation mode right so and i think this is the uxn tile mode but let's not focus on that i don't"
503040,507760," think it's that important uh all right so that seems to be working so we managed to factor out hello world"
508320,514720," and uh we may try to just like repeat that several times let me try to put maybe like a zero on the"
514720,520720," stack so we're going to put we're going to keep the number at the top of the stack as sort of the counter"
520720,525840," uh right so it's going to be one byte counter it's going to be one byte counter so we're going to duplicate"
525840,532720," this and then i think and i suppose i just want to compare to um to some value let's say that we're"
532720,537600," going to do five iterations in here right so we're going to do five iterations and now i need to compare"
537600,548320," that this thing while this thing is sort of like uh less than um you know that that five we're going to"
549200,557680," let it fall through and perform one single iteration so let me take a look at the opcodes all right so"
557680,564960," maybe i'm going to even start using the virtual machine in here like uxnc um so i think there was"
564960,572400," something like a less than l yeah there we go so there is a less than and how does it even work okay so"
572400,581520," it's literally um t and n and i'm not even sure what is that are they popped out of this stack"
581520,591680," so there is this t which is a capital t and i okay so it is basically part of the state you know what"
591680,598160," you know what i need like a tags file chat chat i need a tags file because i want to be able to actually"
598160,606400," jump around in that virtual machine uh right so let me find all of the files all of the files from here"
606400,613040," right so um yeah there we go so here are all of the files of the source code and i'm gonna just feed them"
613040,619440," into e-tags right i'm gonna feed them into e-tags and that gives me the tags file so that gives me"
619440,630000," everything and um so let me let me see i'm gonna go back into the virtual machine and less than uh i"
630000,635280," should be able to do the following things so for example i'm gonna press on that it asks for the"
635280,643680," tags file and i can jump right here right so set x is basically this shift thingy i can go inside of"
643680,649840," shift and basically then go back you can jump around and figure out things which is kind of cool i think"
649840,657040," which is kind of cool uh so i still don't understand what is 2 minus 1 in this particular case it's uh x and"
657040,665280," y um right so maybe it's something about the offsets something about the offsets so the t itself i think"
665280,673600," it's a variable allocated here on the scope of the of the function right and suppose it's basically c89"
673600,678640," i think i think it's basically c89 because all the variables are no no not not all the variables at"
678640,683840," the beginning of the scope actually they are i mean at the beginning of the body so some of them are here"
683840,685120," and they're using tabs"
688160,694960," ready you're using tab i mean i don't judge i don't know anyways so"
694960,705600," i don't judge but oof oof oof oof uh so what do we have in here so t uh we already defined t so s"
705600,716080," you have data plus pointer uh right it's a data plus pointer and s i suppose is a global variable so it"
716080,726160," not necessarily has to be global variable it's um it's a stack s is a stack s is a stack s is a stack"
726160,734160," so that means t stands for the top of this stack it stands for the top of the step uh stack and n"
734160,740720," i suppose is something below the yeah there we go so here is the where data starts and here is the pointer"
740720,750560," so that's the top n is something below the top of the l is even lower x is even lower y is even lower"
750560,757840," z is even lower that's a very interesting convention minor friend t n l x y z"
757840,765600," okay so yeah maybe n is equal to next yeah maybe n is equal to next but what is l"
767040,773600," so i mean it's fine we figured it out it's so it's that that doesn't mean it's that cryptic"
773600,778480," so l is last okay why do we have x after l then"
778480,786640," so it's more last than last so what is x then"
788720,793920," because math moment yeah exactly i think that's because just like you know i think the names are"
793920,800640," kind of semi-arbitrary uh i think they are semi-arbitrary yeah it does feel like like hallucination"
800640,807120," like twitch gpt so it's funny how people quite often also hallucinate similar to to the language models"
808880,817040," uh similar to the language models um anyway um so oh yeah they even explain that right so there we go"
817040,826640," oh these are oh these are registers huh that's a very interesting yeah so they're sort of like a"
826640,834720," register so top five elements on the stack are kind of registers uh and oh that's pretty cool so this is"
834720,842160," also layouting of these things so when you refer to t2 you're referring to these two things and then"
842160,849120," yeah that's very cool like you see it's already more productive than reading documentation like chat i'm"
849120,858160," fucking telling you code is the best documentation code is the best code is the best documentation you can't"
858160,864480," argue with that it's been proven over and over and over and over again because it always"
864480,872720," explains precisely what it does and it never gets outdated it never gets outdated because if it does"
872720,881120," it doesn't compile so it forces you to update this thing code is the best documentation code is the best"
881120,891040," documentation all right so um less than so and here we have a top and here we have a thing below the top so"
891040,905680," that means we are comparing yeah we're comparing think oh that's actually interesting so um if i do less i think"
905680,912400," that means i'm actually doing that incorrectly if i'm doing less it's going to be comparing top"
912400,922880," uh yeah so this is going to be that uh this is going to be that and this is going to be that"
922880,928960," so it is going to no it's going to be fine it's going to be fine though i'm not really sure about the set"
928960,941040," two minus one so you do the shift uh and aha it's something about updating"
941040,953440," consume to aha maybe maybe that's what it is right so you basically explain the amount of bytes you consume"
953440,963840," and that kind of yeah huh but why is it minus three what is it minus three it has something to do with"
963840,971040," updating the stack yeah that's definitely has something to do with updating the stack anyway um"
976400,985120," all right so i think that means it is correct and um we just gonna do lth"
985120,994240," we're gonna do lth so if it is true we actually have to continue this thing so i suppose it's gonna"
994240,1002480," be negative is there something like uh great so i'm pretty sure there's a greater than uh but is there"
1002480,1011680," something like greater equal uh greater or equal uh greater or equal maybe not uh so this is not equal uh"
1011680,1023360," is there something like not maybe there is maybe there is there is nip the over equal"
1030000,1034720," i don't see i don't see i don't see that that's that's that's very interesting so there is some"
1034720,1045120," multiplication maybe there is an inversion no uh so is there something that inverts the bytes or maybe okay"
1045120,1048160," uh-huh"
1048160,1050640," so"
1055360,1063120," that's bizarre that's bizarre there's nothing that also inverts the bytes so the i don't see the"
1063120,1069280," inversion the negative is only not equals but maybe that's the limitations you have to deal with"
1069280,1077440," maybe that's the limitations you have to deal with and that's fine uh so you also do zor in here so this"
1077440,1078480," is the division"
1078480,1084240," uh this is the division"
1084240,1095040," but okay so you are uh zor with one technically yeah i see i see what you mean i see what you mean"
1095040,1103840," all right all right all right so we can do zor then so less than um and uh so we can do just can i just"
1103840,1116880," do something like this f funnily enough yeah um so you are and if it's greater or equal we probably want"
1116880,1127120," to basically skip right so this is going to be like over right so this is going to be like over and over is"
1127120,1135840," going to be located in here and i'm not even sure if um having like a relative uh label in here is"
1135840,1141280," generally a good idea right so without the main label so maybe i have to do something like on reset"
1141280,1149280," in here just in case um right so and after that so i suppose all of that stuff kind of consumes uh"
1149280,1156720," right and in here we're gonna just increment and um at the end in here we're gonna maybe jump to again"
1157280,1162720," and i suppose this is how you immediately jump right so this is how you immediately jump and this is"
1162720,1171520," basically the thing that we can do in here uh right so uh invalid token um zero in console"
1171520,1182160," invalid token zero in console and what uh well yeah yeah so this is what my experiments okay so that seems"
1182160,1190320," to be working and it doesn't really work at all which is rather weird honestly which is rather weird"
1190320,1202640," because um so is that the other way around so if i do gth uh no it doesn't work either so lth it doesn't work"
1202640,1215440," either so that's not what i wanted actually um so that is bizarre right so if it's yeah let's put it this"
1215440,1224960," way right if it's greater right because i'm thinking about this operation in the same order as it would be"
1224960,1235200," applied to uh to this thing so if it's greater uh greater i wanna basically be over so that means"
1235200,1241040," it's gonna be it's gonna be okay right so it's gonna be okay so let me double check the um you know"
1241040,1249120," the virtual machine let me double check the virtual machine gth uh right so top no it's not the same"
1249120,1257440," the same the same the same thing so we're applying the greater not to the top but to the thing that is"
1257440,1268720," below that is bizarre right so that means we have to do lth and that's is going to no it still doesn't"
1268720,1273200," work it doesn't even perform a single time and this one also doesn't perform a single yeah it does perform"
1273200,1282720," a single time so it is it is greater so if this thing is greater right um and that's basically"
1282720,1289280," performed five times right so if you want to do uh 10 times it is going to be like that so and then uh"
1289280,1294400," so i want to bring back the the new line in here so when we can literally see it's probably not 10"
1294400,1300640," actually it's actually 11 because we have that extra thing in there um all right so that means i want"
1300640,1307360," to do this thing which is not going to perform a single time uh and i want to invert it right so i"
1307360,1318000," want to invert it uh like so with a zor right so where do we have zor uh so e or r um so this is"
1318000,1324080," how we're going to and it doesn't work this idea of inverting it like that literally doesn't work"
1324640,1331920," and um i have no idea why right so why doesn't work"
1331920,1342880," because do i so if you have zor like zero and you zor in it with one you get one if you have one and"
1342880,1349200," you zor in it with one you get zero so that makes sense if i put a truth table in here so there's something"
1349200,1361200," weird is going on i don't quite understand um all right so let me repeat what is going on let me repeat"
1361200,1370000," what is going on so we have zero we duplicate it we have zero a uh so then we perform lth right so we"
1370000,1379840," we perform lth uh lth right which is literally checking the one that is below with this thing"
1379840,1388640," so that becomes true right so that becomes true which effectively um right turns it into a one i"
1388640,1394240," suppose right so i suppose it turns it into one this is at least what i see because you're assigning one"
1394880,1405920," two t right so that's what you do and then if it is true right if it is uh right then we're doing zor"
1405920,1414560," uh which is not entirely so that means uh what we have to do in here i suppose is just do that"
1414560,1421360," to actually invert it because instead of just doing that uh right so you should have not listened to the"
1421360,1428560," chat right so should have just like did everything myself all right so that is going to probably work"
1428560,1435440," all right there we go so that seems to be working and that uh all right is actually equal to exactly"
1435440,1442480," 10 so that seems to be okay that seems to be okay so we know how to do the loops we know how to iterate"
1442480,1454800," and everything so that's pretty cool um so um now what we so originally the virtual machine like"
1454800,1461280," directly is way more um efficient than reading documentation right so it's just like literally"
1461280,1469680," explains you how it works uh it literally explains you how it works uh now if we're going to be doing the"
1470640,1475840," um you know game of life if we're going to be doing the game of life we need to probably"
1475840,1483520," um so know the size of the area in which we're doing all that right so like how big of a size of"
1483520,1489920," the area it is um usually i like to know this kind of information at compile time right so i usually like"
1489920,1496160," to know at compile time so and as far as i know there there was some macros in the in the entire thing"
1496160,1502080," there was some market macros in the entire thing um so let me see so if i take a look at some of the"
1502080,1508480," examples if i take a look at some of the examples uh where are the examples i remember uh projects okay"
1508480,1520400," so examples demos um so there's a move i wonder if there is any macro so i know that macros start with"
1521040,1527040," uh dollar right so the macro start with the dollar let me just grab everything and just look for the"
1527040,1534240," dollar i don't remember if it's um uh okay so here what we have in here so here's what we have here so"
1534240,1539280," this is what i'm talking about right i want to be able to define things like width and height and"
1539280,1546240," everything right so i want to be able to do that and apparently you do that with the dollar um but how"
1546240,1553760," what exactly the macros do they're probably literally replaced with this value in here"
1553760,1558800," but we can try to confirm that actually because we have a source code of the assembler itself in here"
1558800,1567920," right so here is an assembler uh right so an assembler what it does uh it's actually pretty simple"
1567920,1574320," all right so it opens the file right and then it assembles the file okay so when it assembles the file"
1574320,1580560," it copies on reset into the scope right so on reset is sort of like a thing that is automatically"
1580560,1587920," existing there so then it scans a word checks that the word is not bigger it's kind of funny how the"
1587920,1594240," entire project always use a hexadecimal and quite rarely uses decimal uh that's what's interesting about"
1594240,1599680," this is just like primarily hexadecimal so slen is basically a sterlian right nothing particular"
1599680,1604960," special it's a custom slen doesn't even use anything from standard library okay so it uses at least input"
1604960,1611440," uh right so then we do the parts right and we're just looking at what it is do you have the case for"
1611440,1618320," the yeah there we go so this is the macro and we're just doing the macro when you're doing the macro"
1618320,1626240," you just check for the duplicates then i don't know what that is what is that um so while you iterate"
1626240,1633520," through this thing and if it's not alpha numeric oh string is hexadecimal you just check whether this"
1633520,1642000," thing is hexadecimal if it's a hexadecimal and the length is divisible but okay that's it's kind of"
1642000,1651280," interesting oh right so hexadecimal has a so this is a criteria of a hexadecimal it's a thing that"
1651280,1658080," consists of the hexadecimal digits and the length of that thing is divisible by two that's what it is"
1658080,1665280," apparently right because of the each character represents a nibble uh okay that's probably why by the"
1665280,1674560," the way the the mode um so there is a rule 110 that's this kind of um yeah it's that's a rule what"
1674560,1680880," so you also probably have a game of life then right so because rule 1 1 0 is basically game of life but"
1680880,1688400," one-dimensional but not really but i mean uh right so hello so that's probably why when i do something yeah"
1688400,1700240," there we go uh okay uh emacs so what's funny is that according to that tokenizer at least for the macros"
1700240,1707600," this should have been recognized as um as a hexadecimal number but emacs didn't recognize it"
1707600,1714560," the hexadecimal uh that's kind of funny maybe maybe it's only for for the macros but yeah generally so"
1715360,1723600," then what's the next thing we do so macroname is invalid it's one of the opcodes or smp brk brk"
1723600,1730640," is not an opcode is not one of the opcodes at least internally right internally it's not considered to be"
1730640,1739440," opcode oh probably because like the usual modes of you know short mode return keep are not applicable to"
1739440,1744560," that thing that's probably why so macro limit is exceeded so then you do macro and then you"
1744560,1751120," okay and then you basically iterate through rest of the tokens until you encounter the closing curly"
1751120,1759600," right so first you encounter the curly you basically skip it then you uh you go until you encounter um you"
1759600,1769280," know everything and you just basically append the tokens into the macro you just append the tokens into the macro"
1769280,1775680," all right so that's pretty cool uh and of course you can't define macros within the macros right so"
1775680,1781680," there's also uh like limitation and everything it's kind of interesting how okay so what is m"
1782320,1789120," m is a macro so let me take a look at the definition of the macro uh yeah it's funny how there's not a"
1789120,1796720," single malloc or free in here all of the arrays are static and everything has a size limitation"
1796720,1802400," so which actually simplifies the memory management which is kind of cool all right so it definitely"
1802400,1810560," simplifies the you know the memory management okay so there you go i didn't have to read an article about"
1810560,1815200," macro system of this language i just looked at the source code and now i understand how it works"
1815200,1821680," so the macro is basically like a single word uh that gets replaced with a sequence of tokens and it's"
1821680,1828320," literally what it's written in the source code again uh source code is the best documentation uh source code is"
1828320,1836080," the better condition um all right so let me see what we want to have uh right so we're going to have"
1836080,1840080," width all right so this is going to be the width and we're going to define width as what so i don't"
1840080,1846400," even have to do these hashes i honestly don't really understand what's the point of these hashes so they're"
1846400,1853200," supposed to be sort of like immediate something we can read it in source code like why am i even asking"
