start,end,text
0,13500," All right, all right, all right, all right, all right, hello everyone and welcome to yet another"
13500,23740," offline stream while I'm on vacation, vacation, I don't speak English, I'm sorry, I'm trying to,"
23740,31900," all right, so today is Saturday, the day of the Saturn, right, that means today according to the"
31900,39980," schedule we're doing a game development in OpenGL and C++ as usual, so we continue to develop our"
39980,47940," game, so this is how the game looks like so far, so it's using OpenGL, it doesn't use any engines or"
47940,51760," anything like that, well, you may say that I'm using a custom engine, it just depends on the"
51760,57320," perspective, right, so from one perspective I'm not using any engine, from another perspective I'm using"
57320,62700," a custom engine, it just depends on how you look at it, you know what I'm talking about, yeah, so and"
62700,72140," this custom engine is actually pretty cool, so it's a rewrite from PureSDL2 and in PureSDL2 we were not"
72140,78640," able to actually do this kind of effects where you can make an object shatter into like pieces and also"
78640,84200," pieces maintain the textures and stuff like that and they also disappear because it's not really easy to"
84200,92240," do in PureSDL2 because PureSDL2 doesn't really provide you that much power, so we have to we had to go a"
92240,99360," little bit lower in the abstraction layer because SDL is built on top of OpenGL, DirectX and Metal, so we just"
99360,108760," went layer down, OpenGL and we unlocked a lot of computation power that we can finally use in our game and I'm super happy actually, I'm super super happy."
108760,121320," Alright, before I start, I would like to actually shout out people who were donating while I was still on vacation, so first of all,"
121320,138320," Jaime Covey, thank you so much for $5 donation, Shredding gives up, he donated it like while while I was offline when I was not even recording or anything like that, thank you, thank you so much. And also, I got a new Patron,"
138320,144880," on the Patron, on the Patron, thank you so much Susan Sun for a generous 20 euros"
144880,159760," Patronage? I don't even know how to call that, I quite rarely use a Patron, so I do have a Patron and I had it for quite some time, I sort of reserved it for my main YouTube videos and my main YouTube channel."
159760,170320," So, in any case, thank you. So, if you still want to support me, I'll leave all of the links, all the support links in the description."
170320,199880," So, let's start our development. You can find the source code of the game that we'll be developing on the GitHub, so the game doesn't really have any particular name. So, that's why the repo is called like that. So, but game source code."
199880,216440," You can find the source code in here. If, of course, you are interested. If you're not, you can just watch me making pretty pictures. Well, it doesn't really look that pretty. I don't know what I mean. Maybe at some point it's going to look interesting, but right now it is not. It is not."
216440,228680," But, okay. So, let's go to the source code and see what we can do. I think I had a couple of issues. I think I had a couple of issues that I wanted to resolve."
228680,248400," Yeah. Recently, we actually refactored our renderer, right? Our renderer is capable of rendering different things, specifically triangles. You can provide the geometry of a triangle, the color of a triangle that will be mixed in into the texture and UV coordinate of the texture."
248400,258400," And then, you can also provide a program with which you want to render that triangle, right? You can switch between different programs and stuff like that."
258400,276400," So, and by the way, the texture coordinate is taken from our texture atlas. So, all of the textures are consolidated into a single texture atlas. And also, calculated their UVs. So, you have to provide the UV coordinate inside of the texture atlas. So, essentially, that's what you have to do."
276400,304600," So, we can also render a AABB, access align boundary box, but it's essentially implemented in terms of field triangles because it just takes AABB and splits it into triangles. And we also had a circle. We also had a way to render a circle. And I'm not even sure. Well, so essentially, the way we rendered circles, right, the way we render circles, we used to render circles, actually."
306400,325220," So, it's the following. I just opened my paint and accidentally closed it. It's a shame that my paint closes faster than it opens up. Anyway, so, we usually just render a quad, right? We usually just render a quad."
326340,342880," So, inside of a shader, right, we also sort of set up its UV coordinates, right? UV coordinates from 0 to 1, 0 to 1. And then we pass all that information to the fragment shader. And in the fragment shader, we already calculate the distance from the center of the squad."
343120,351380," And we simply draw the circle, right? Usually, I mean, it's filled in, right? So, this is how we usually do that."
351380,361760," But then, like, we refactored everything and making, like, allowing the user to actually just render AABB in triangle and just specify the program that you want to use."
361760,373720," So, I feel like this particular function is sort of obsolete because now you can essentially just draw AABB with a special circle program, right?"
373720,377720," You just need to write a special circle program and just draw the regular AABB."
377720,381540," But the cool thing about this function is that it doesn't accept AABB."
381900,385460," What it does, it accepts the center and the radius."
385460,393480," So, what I'm thinking is that maybe we're going to retain the signature of this function, but we're going to rename it a little bit."
393480,399000," And the thing that this function is going to do, it's going to simply take a point, the center, right?"
399000,403240," Then, take the radius. Let me actually switch the brush."
403240,408320," Take the radius, go up, and then go another radius in here."
408320,411280," And this is going to be the position of the AABB."
411560,413640," Then, go here and here by one radius."
413640,415700," And this is the size of AABB."
415700,424360," So, basically, it will just render the AABB with the center that you provided, and radius is going to be the size."
424360,431280," So, on top of that, since it's going to be, like, pretty much the same thing, you also should provide not only color, but the UV coordinates."
431280,435320," The UV coordinates that you may want to have."
435320,439560," But the question is, what's going to be the UV coordinates in that particular case?"
439560,441220," What's going to be the UV coordinates?"
441220,444540," It's a good question, actually."
444540,446140," It's a good question."
446140,450740," Maybe we won't provide any UV coordinates."
450740,455660," Maybe it's always going to be automatically, like, 0, 0, 1, 0, 1."
462660,480260," Okay, I'm going to actually postpone that idea for a while, because I'm not pretty sure what's going to be UV coordinates in Atlas."
480380,492340," So, I suppose UV coordinates in the Atlas also should be, like, center and the radius, but in the coordinates of the Atlas."
492700,507620," So, that means I'll have to have something like V2 GLFloat UV center and then GLFloat UV radius."
508080,515380," But there's just too many things to actually provide, so I'm going to just actually postpone that, because I just want to fix the issue of implementing this fill circle."
515380,522380," And the question is, how I'm going to call this entire function if it's not going to be about the circles anymore?"
522460,536380," Let's actually keep calling it fill circle for now, at least, and then maybe I'm going to rename it to something else."
536920,545780," Yeah, since I don't know how to call this function, since I don't know how to call this function, maybe I just don't have enough information about that function, about what that function is."
545780,551620," So, I'm going to leave it as this right now, maybe later it's going to be a little bit more clearer."
551620,562720," So, but we still use this function, by the way, we still use this function for particles, right, for particles, because the particles are usually rendered at a particular position with the center of particular position,"
562720,568520," And they're usually just quads, but with the texture generated procedurally, right, so that's basically what it is."
568520,579360," Okay, so, and as I already said, we probably have to accept the program, right, we probably have to accept the program with which all of that is going to be rendered."
579360,583800," All right, so let me, let me see."
583800,590820," So, maybe we need to create a separate branch for this entire thing, the branch is actually 79, right, it's going to be 79."
591620,596360," And, let's get started, let's get started."
596360,599040," So, I'm going to remove that."
599040,611420," So, this is the center, this is the radius, this is the color, and we're going to accept program asset, right, program asset."
611420,618320," And program asset is the, essentially, the shader program, right, program asset."
