start,end,text
0,29980," Music playing"
30000,59980," Music playing"
60000,89980," Music playing"
90000,119980," Music playing"
120000,149980," Music playing"
150000,179980," Music playing"
180000,209980," Music playing"
210000,239980," Music playing"
240000,269980," Music playing"
270000,299980," Music playing"
300000,329980," Music playing"
330000,359980," Music playing"
360000,389980," Music playing"
390000,419980," Music playing"
420000,449980," Music playing"
450000,479980," Music playing"
480000,509980," Music playing"
510000,539980," Music playing"
540000,569980," Music playing"
570000,599980," Music playing"
600000,629980," Music playing"
629980,659960," Hello, Hello, Hello, Hello, Hello, Hello, Hello, Hello, Welcome, Welcome, Welcome, Welcome, Welcome, So today is Sunday and that means today, according to the schedule, we're supposed to be doing a game development in C++, you can find the source code of the game that we'll be developing here in the chat and yeah, let's just jump into it, it's just something, it's some sort of a game that we've been developing for the game, it's just something, it's some sort of a game that we've been developing for the game."
659960,666120," for quite some time and I don't know how it is going, maybe it's going quite well, maybe"
666120,673340," we never will finish the development, we'll see, we'll see, we'll see. So let me let me"
673340,689800," see, let me see what we have here. So let's run Origin and let me merge everything. Origin Master."
689960,696740," Everything is already merged. Don't we have any pull requests to actually merge before we start?"
696740,704900," Something like something. Now we have everything merged, would you look at that. Okay, so I'm"
704900,715740," gonna rebuild everything from scratch just in case. So something debug, something debug."
719960,726320," Okay, so and let's take a look at the game. So yeah, this is holding. I forgot that we changed"
726320,733180," it to Zodin Pog. Yeah, and you can actually shoot it. I completely forgot how it looks like."
733180,740740," Yes, this is so, this is so cool. Yes, you can just do that. Yeah, this is the game right"
740740,749200," now. And yeah, that's, that's pretty cool. Very cool. It's a Zodin Pog. And we also have"
749200,757180," something like, like wave attack. Right, it's not supposed to be used by the player, but yeah,"
757180,763760," player can use it because we need that for testing purposes. Hello, heroes and plots, welcome"
763760,773160," to the stream. Yeah, so this is the game. Hello, Crazy Peders, thank you for the raid. Alright,"
773160,779640," so yeah, I'm just waiting for my tea actually. I don't know, for some reason it takes so much"
779640,787640," time to warm up my water for my tea. But yeah, today we're gonna continue developing this game,"
787640,792520," essentially. Essentially, we're gonna continue developing this game and soon it will be available"
792520,798600," on Steam and we're gonna make a shit ton of money by selling this game for free. That's right,"
798600,805240," that's the plan. Sell this game for free and make a lot of money. Okay, enemies don't have their weapons"
805240,812280," rendered. So yeah, here's the thing. The player does have its weapon rendered, right, but the enemies"
812280,818360," don't. And if I create an enemy, right, so here's an enemy. The enemy can shoot me, but it doesn't have"
818360,829560," any, yeah, any weapon. Yeah, that's really funny. Okay, so let me quickly, let me quickly go to the kitchen,"
829560,835400," pour some hot water and I'm going to be back. I'm going to be back. Fuck."
859560,882440," All right, so yeah, we need to make enemies render their weapons. I wish I could wake up properly,"
882440,887480," for some reason I cannot wake up, even though I woke up like five hours ago, maybe even more."
888760,893160," But right now I'm extremely sleepy for some reason, so I have no idea why."
893160,900200," Do you know Carlson game? No."
900200,917960," So, let's find out why the fuck the weapons are not rendered for the enemies, right, while I'm trying"
917960,925320," I'm trying to wake up. I'm trying to wake up, it's really hard. So, I'm trying to wake up for like five"
925320,929320," hours already. Still didn't manage to do that, still didn't manage to do that."
929320,937560," So, what I need to find, I need to find the game object, right, so here's the game object"
939480,947240," and let's find the render function. So, the render function renders everything. Okay, so here's"
947240,955880," we rendering the weapon of the player. So, the player is an entity, right, the player is an entity"
955880,962040," and we just render its weapon, nothing particularly special, nothing particularly fancy. So, I suppose we"
962040,972040," can do a similar thing here. Oh, what's interesting is that if we're gonna iterate through all of the"
972040,978360," entities, right, through all of the entities and for the alive entities, we're gonna render the current"
978360,983880," weapons, we might as well get rid of this entire code in here. Let's actually see what's gonna happen."
984440,999320," So, enemies offset. Ah, so we're rendering them. Oh yeah, this one is interesting. So, if they are in a"
