start,end,text
160,6720," Hello everyone, and welcome to yet another recreational programming session with Mr. Zozin."
6720,12640," Have you heard about LLVM compile infrastructure? It's the infrastructure that powers your favorite"
12640,16880," programming language. It doesn't really matter what language it is, like I'm talking about"
16880,24000," system languages, right? C++, RAS, Zig, whatever. All of them are just LLVM wrappers. They're just"
24000,33520," LLVM wrappers. They are like v8 for Node.js or for ban, or I don't know. I think these, you know,"
33520,39200," JavaScript engine distributions, they actually switch to something else. I think there's like"
39200,45600," a JavaScript core. I don't really follow the web trends, but essentially it's like an engine that"
45600,52240," is written by people who are smarter than you, who already solved the hard part. That's what it is,"
52240,58000," right? So that's what it is. And one of the things I recently tweeted is, so let's actually"
58000,64160," open Twitter. Stop simping for LLVM wrappers. I thought it's a pretty bass take, because that's"
64160,70320," what they are. That's what they fucking are. They are LLVM wrappers. So somebody already solved all the"
70320,76960," difficult problems for you. Stop simping for LLVM wrappers. And some bass individual actually"
77440,84560," responded, ""You should stream just using LLVM IR to build something with RayDip."" And I thought"
84560,90080," that this is a banger idea. And that's what we're going to be doing today. So for those who doesn't know,"
90080,98320," what is IR? IR stands for intermediate representation. So you can think about IR as sort of like a"
99200,107360," cross-platform assembler, right? That's what it is. So essentially, you have different platforms,"
107360,118960," maybe x86, x86, arm, right, arm, leg. I mean, I'm sorry, there is no leg. So MIPS maybe. All right,"
118960,123840," so something like MIPS and whatever, it doesn't really matter. And all of these things, they kind of have"
124560,132400," different assemblers, right? And essentially, your language, right, so your language is supposed to"
132400,138320," compile to all of them, right? It's supposed to compile to all of them. So, but it's kind of difficult"
138320,145440," to compile to all of them. So what they usually do, they compile to intermediate representation,"
146000,152640," which is a sort of like an assembler for some sort of a virtual machine, which is a common denominator"
152640,160640," between all of these things. And then what the so-called language backend does, it takes this"
160640,168480," intermediate representation and then generates actual target code, actual target machine code. And that"
168480,176080," actually enables you to add more different platforms in here without modifying this part of the language"
176080,182640," that targets intermediate representation, right? So that's basically what it is. This is what intermediate"
182640,190240," representation is. So, and LLDM being a compiler backend, it has its own intermediate representation,"
190240,196560," but that intermediate representation actually has also textual representation, so it kind of acts like its"
196560,204400," own programming language, right? So it's a programming language without the programming language, right?"
204400,211680," So, and that's exactly what I want to do today. I want to program without a programming language."
211680,218480," I want to program directly in intermediate representation of LLDM. And the fun part is that"
218480,225920," I don't know it, right? I never actually worked with intermediate representation of LLDM, like I have no idea."
225920,233520," Like I roughly know how it looks like, but that's about it. So I, before I worked with QBE,"
233520,241520," right? So it's like another backend, an alternative simple backend, and not that one. Backend,"
241520,246320," an alternative simple backend for different languages. And it was actually kind of nice. So"
247440,255040," I suspect that maybe LLVM IR is kind of similar to that, right? We did an entire stream actually programming"
255040,261600," this entire thing. And it looks like this. So I suspect that maybe LLVM IR looks similar, right?"
261600,268000," Does it look similar? Do we have any professional LLVM developers in the chat who can confirm that LLVM IR"
268000,275200," probably looks like this. Probably. I don't know. So one of the things we can do. Clang"
275200,285600," is actually written using LLVM. And I know that there is a way to write some C program and then ask it,"
285600,293200," please generate LLVM IR. What we can do, we can start by writing simple C programs, generating LLVM"
293200,301840," LLVM out of them and studying the output and then creating our own one. I think it's a good strategy,"
301840,306160," right? Instead of reading documentation, and I'm pretty sure this kind of stuff is probably poorly"
306160,313280," documented because it's LLVM. It's easier to actually, you know, fuck around and find out,"
313280,319760," as I usually like to do. So let's go ahead and maybe create like a separate thing in here. So LLVM IR,"
320960,326000," right. So, and let's maybe write a hello world. Right. So let's actually the main dot C."
326000,332080," Rest engineer LLVM IR. Yeah, that's exactly what we're going to be doing today. So, yes."
332080,341520," I'm using tabs, by the way. Look, I'm using tabs. So this is left from the development of C3."
341520,346800," Are you guys okay that I'm using tabs? I'm using tabs now."
348320,357680," Yo. Actually, spaces are more popular than tabs. You know what that means? That means if I'm gonna do"
357680,365680," only tabs, I'll be able to piece off more people. Yo. What the fuck? I need to switch to tabs. Okay."
365680,372960," Anyway, so let's actually do, uh, hello world. Right. So this is gonna be hello world. And, uh, let's do clang. Oh,"
373520,381280," a main, main dot C, main dot C. There we go. So what do we have in here? Uh-huh. So if I try to run this"
381280,389600," and that thing, it says hello world. Okay. So let me try to Google clang generate LLVM IR. Uh, let's actually do"
389600,405280," um, how to make clang compile to LLVM IR. Alrighty. Uh, so, okay. So S emit LLVM. Okay. So S emit LLVM out of S. Uh,"
405280,414720," S. So I know that S is just like, you know, um, speed out assembly. And I suppose here you say emit LLVM. Uh, emit,"
415360,423600," emit LLVM. Uh, there we go. Okay. Uh, so is that, oh, okay. So that, holy shit."
423600,435440," Um, really? Is that what it is? Uh, can I, okay. So if I try to do something like this,"
