start,end,text
0,29980," *music*"
30000,35000," *music*"
35000,40000," *music*"
40000,50000," *music*"
50000,55000," *music*"
55000,67000," *music*"
67000,79000," *music*"
79000,91000," *music*"
91000,103000," *music*"
103000,115000," *music*"
115000,127000," *music*"
127000,139000," *music*"
139000,149000," *music*"
149000,151000," *music*"
151000,163000," *music*"
163000,175000," *music*"
175000,187000," *music*"
187000,187000," *music*"
187000,189000," *music*"
189000,189000," *music*"
189000,191000," *music*"
191000,193000," *music*"
193000,203000," *music*"
203000,205000," *music*"
205000,205000," *music*"
205000,207000," *music*"
207000,219000," *music*"
219000,219000," *music*"
219000,219000," *music*"
219000,219000," *music*"
219000,221000," *music*"
221000,235000," *music*"
235000,235000," *music*"
235000,237000," *music*"
237000,239000," *music*"
239000,253000," *music*"
253000,255000," *music*"
255000,257000," *music*"
257000,275000," *music*"
275000,275000," *music*"
275000,277000," *music*"
277000,293000," *music*"
293000,295000," *music*"
295000,295000," *music*"
295000,297000," *music*"
297000,313000," *music*"
313000,315000," *music*"
315000,317000," *music*"
317000,319000," *music*"
319000,321000," *music*"
321000,323000," *music*"
323000,325000," *music*"
325000,351000," *music*"
351000,377000," *music*"
377000,379000," *music*"
379000,381000," *music*"
381000,407000," *music*"
407000,436980," Thank you."
437000,458200," And we trust it."
467000,496980," And we trust it."
497000,526980," And we trust it."
527000,556980," And we trust it."
557000,586980," And we trust it."
587000,616980," And we trust it."
617000,619000," And we trust it."
619000,623000," And we trust it."
623000,627000," And we trust it."
627000,629000," And we trust it."
629000,633000," And we trust it."
633000,639000," And we trust it."
639000,641000," And we trust it."
641000,641000," And we trust it."
641000,643000," And we trust it."
643000,653000," And we trust it."
653000,663000," And we trust it."
663000,663000," And we trust it."
663000,665000," And we trust it."
665000,667000," And we trust it."
667000,668000," And we trust it."
668000,677000," And we trust it."
677000,697500," I haven't been following along. So yeah, essentially this is my new look from now on and that's the explanation. Hello Linux 9.2 numbers and Harp Joshi. Hello, hello. Hello, welcome, welcome, welcome."
697500,716260," So, today is Friday, as I already mentioned, and that means today on your schedule we are doing a random one-off stream. And the topic of today's stream is spam filter in Haskell. So yeah, that topic was inspired by Erica M on Discord and here she's stripped back. Thank you, thank you very much."
716260,737200," She was implementing like a spam filter for Discord using Naive Bay's classifier. And since my university was such a shit, I never learned about such techniques. So I decided to make up for that on my streams and learn about that on the Friday stream."
737200,755680," So yeah, thank you. Thank you so much for inspiring today's topic. I didn't read much about that technique. So I just read like a very, very concise Wikipedia article. And I don't want to read anything else on that. I want to just try to derive the solution off of that Wikipedia article."
755920,777040," So don't expect anything particularly educational out of that stream, because I'm going to pull off this solution for this classifier out of my ass, literally. Not literally, I mean, it's against us, but just keep in mind that I have no idea what I'm doing, right? But I kind of get the whole, like, the general idea of how to do all of that."
777040,790840," So, and that's essentially how we're going to go today. All right. So, already triggered. I'm sorry, Lost Algorithm. I know that you're doing that, like, professionally."
790840,799840," But yeah, I'm probably going to do, going to make a lot of mistakes. And please, please forgive me for that. By the way, hello, Lost Algorithm. Welcome, welcome, welcome."
