start,end,text
0,11040," all right looks like we're alive hello everyone and welcome to yet another"
11040,18240," zozin session how about that how about that but you didn't expect let's make a little bit of"
18240,25320," announcement on our discord server so we're currently live on twitch if i'm not mistaken"
25320,34920," right live on twitch and what are we doing uh today we are programming in rust rust rust"
34920,40920," uh we're programming rust specifically we're implementing persistent stack which is rather"
40920,47720," interesting we get to what it is a little bit later so it should be switch.tv so starting and"
47720,53640," we're gonna ping everyone who wants to be pinged and there we go this stream has officially started"
54200,61560," hello everyone hello hello hello welcome welcome welcome chat tell me what do you think about rust"
61560,70680," anyway so what is a persistent data structure right so specifically we're implementing persistent stack"
70680,77000," but generally there is like a whole class of data structures called persistent data structures"
77000,83560," so let's actually google it up uh persistent data structure all right i'm going to prepare the"
83560,89320," description because i want to put the link about this thing in the description as well in computing"
89320,95560," a persistent data structure or not ephemeral data structure i never heard like the term ephemeral data"
95560,101400," structure to be fair i only heard persistent one it's a data structure that always preserves the previous"
101400,109240," version of itself when it's modified that is very interesting so uh so specifically quite often uh"
109240,116040," the like persistence is applied to trace and stuff like that but but we're going to apply it to uh to"
116040,121800," stacks specifically linked lists so i really want to give the link to this thing in the description but if"
121800,127720," i just copy paste this entire stuff it will contain some garbage that google put in there uh put in"
127720,132600," here um i don't know what's what's going on with my speech today so um i have to specifically remove all"
132600,137480," of that this kind of stuff it's so annoying i don't know why google keeps doing that and it's so difficult"
137480,143080," to get rid of that and it's just like they think it's helpful but it's not helpful at all it's just like"
143080,147480," puts a lot of garbage in your url and if you want to share something it's just like you have to do this"
147480,155800," extra work of removing all of that it's just so annoying i don't know anyway so um okay so why do"
155800,162040," we even need a persistent data structure so believe it or not this entire stream is actually related to"
162040,167160," port right so i've been developing uh my own programming language called port for like more"
167160,173480," than two months already i think uh right so i'm gonna give the link to uh to this language here in"
173480,178360," description if you're watching uh if you're watching live i'm going to put that in the chat so here it"
178360,185400," is you can find it in here uh so port programming language right here's the port programming language"
185400,192120," and it's a stack based programming language meaning that all of the operations like literally everything"
192120,198680," is done via the data stack right so we can take a look at some of the examples of this language"
199800,207000," soon uh chirurgical thank you so much for 29 months of tier 1 subscription uh thank you thank you thank"
207000,215320," you and welcome to our epic uh rust club um okay so let's take a look at some example uh brainless"
215320,220520," brainless jellyfish thank you so much for two months of twitch prime subscription thank you and welcome to"
220520,226760," our epic rust club it's not a rust club yet it's still a port club but after we're done with port uh we're"
226760,234280," gonna do some rust uh buying bar 18 thank you so much for two months of three prime to the twitch prime"
234280,241240," subscription and welcome to our epic port club um okay so let's take a look at hello world right so hello"
242040,252760," uh ports okay emacs emacs what is going on uh hello fourth there we go so i need to include the standard"
252760,260280," library right and then i don't think hello world is actually pretty good example of this you know stack"
260280,267160," orientedness of the language so let's actually do something like a thing that sums up two numbers uh so if you type"
267160,275640," 34 that is a command within the language to put that number onto the stack right if you uh type another"
275640,281960," number it will put another number onto the stack uh right and then you have operations that operate on"
281960,288120," the top elements on the stack like plus right so this thing takes top two elements on the stack sums them"
288120,294200," up and puts the result back on the stack and uh here uh the top of the stack after this plus separation"
294200,300760," you're going to have uh the sum uh on the stack and then you can do print and that the thing will print"
300760,307880," the um the result of the sum onto the screen right so uh i think we don't need this standard library for"
307880,312840," that so this is a very simple program and if i try to compile and execute that program"
314360,320840," uh it is going to print 69 right as you can see uh it compiled this entire thing and printed the result"
320840,326040," okay that's pretty cool so this entire this is what it means for a language to be stack oriented right"
326040,330760," if you want to learn more about stack oriented languages i really recommend to just google up that"
330760,336680," term or specifically google up fourth i think this is the most prominent uh stack oriented language"
336680,343560," right a lot of people get into the stack oriented paradigm um by looking into fourth so i really"
343560,351560," recommend to check it out uh so i'm gonna put uh the link to the uh fourth uh wikipedia article in"
351560,358040," the description as well just for anyone who's interested okay uh one interesting thing about port is that"
358040,366280," it is uh statically typed right it is statically typed um so essentially uh during the compilation the"
366680,371480," compiler actually checks that you're not trying to do things that you're not supposed to do for"
371480,378200," instance here for a plus separation to actually work properly you need to have at least two elements"
378200,383080," on the stack and this is ensured by the compiler for instance if you remove one of the elements"
383080,388680," this is not going to compile because the compiler cannot prove that should have enough elements on"
388680,395080," the stack so it will tell you not enough uh arguments for the plus separation uh so if you try to compile"
395080,399880," this entire thing uh basically it will tell you that so it tells a lot of things in here and this is"
399880,407080," because the plus separation is overloaded right it uh can sum up integers it can sum up pointers and"
407080,411880," integer and pointers and stuff like that and basically for each uh overloaded plus separation it tells you"
411880,418120," that you you've got an error so so the the entire air reporting is not really well you know polished"
418120,423240," uh so i just hacked together something just for the compiler to report so it's not really that important"
423240,429960," but in any case it just tells you that there is not enough arguments for the plus right and uh yeah so"
429960,437000," that's basically it and uh interestingly enough this uh static type checking actually works for if"
437000,443480," conditions right uh so for instance uh what we can do in here for instance we uh summed up these two"
443480,451880," numbers and then put 69 onto the stack and we compared and this entire thing will give us boolean and we can"
451880,457880," dispatch we can basically do a conditional check on uh upon that boolean right so um"
457880,466840," uh the execution will go here if this condition is true and it will go here if this condition is false"
466840,472840," right so you can even do something like uh true and you can print this uh thing onto the screen"
472840,476280," and then you can do false uh and you can also print that onto the screen"
477400,484360," so uh just a second i think i forgot about a very important thing in here uh i forgot to put something"
484360,491560," behind my camera right so i usually just put some sort of a window behind my camera just in case i"
491560,498520," actually start typing somewhere where you can't see uh right so it just makes it easier for me to know"
498520,505800," whether you can see what i'm typing or not so it's pretty convenient uh okay so and uh what's interesting is"
505800,513880," that our type checker is capable of even checking this kind of stuff uh right so yeah so we can even"
513880,520680," remove puts and we can put puts in here uh right and the compiler will check that both of the branches"
520680,527640," put enough arguments for the puts to consume right so here's the very important so if one of the branches"
527640,534600," don't have enough arguments for puts to consume uh right so the program may work only when this condition"
534600,541160," is true but when this condition is false there will be no arguments for this thing so it will crash or you"
541160,547400," know yeah it will basically crash in sick fault so our compiler will ensure that in both of all in both of"
547400,553400," the branches you have enough of the arguments for this operation uh right so if i try to do something like"
553400,560120," this um it's oh it doesn't have puts because it's located in the standard library right it is located"
560120,567080," in the standard library so as you can see it just says true if i compare it with 70 it will say false"
567080,572360," right but if in one of the branches you don't have enough arguments for the puts to consume this will"
572360,578280," not compile and it will explicitly say not enough arguments provided for puts right uh so and then you'll"
578280,583160," have to go and fix one of these things so the question is how does it do that uh membrilla"
583160,587480," i'm a really thank you so much for 10 months of uh twitch prime solution thank you thank you thank you"
587480,595080," and welcome to epic port club so the way it does that right so the the way it uh type checks the program"
595080,602040," generally during the compilation it maintains the type stack right during the execution we have the data"
602040,607880," stack where you put the data that you operate on but during the compilation we have a type stack"
607880,614440," and what the program does it just goes through each individual operation and just puts the data type"
614440,622200," of this uh thing onto the type stack right and then checks if the you know types you know match together"
622200,628520," right so when it encounters 35 it will put integer onto the stack then another integer onto the stack then"
628520,633880," it will encounter plus and it knows that plus consumes two integers so it will look at the type stack"
633880,639640," see two integers and say okay that's type checks that actually type checks so everything's fine"
639640,648760," so and when it encounters if something interesting is happening it splits the stack in two right so"
648760,654200," essentially it has an execution context uh which has its stack of the types and stuff like that"
654200,661240," and if it encounters if it splits the entire context and continues the type checking uh in two contexts"
661240,665960," simultaneously so basically it will type check the execution if it goes here and then it will type"
665960,671800," check if the execution goes here and then both of the executions will merge together in here right"
671800,679400," so basically what we do we do like a small bfs on the control flow of the entire program right we bfs the"
679400,687560," entire control flow of the program so for this what there's no bfs it's a algorithm on graphs so uh yeah"
687560,693560," essentially you have a graph or like in our case it's a tree i think yeah it's actually graph it's a directed"
693560,701240," graph and you're basically sending a wave um through that graph like this here is the wave going on"
701240,708280," and that's basically what we're doing we're just basically sending and type checking wave uh through the entire program right"
708280,720280," uh and uh that requires again as i already said copying the stack copying the execution stack"
720280,725560," and uh we can even take a look at how it's done in the python program"
727000,731560," so type check i think it's somewhere here type check program"
731560,738200," type check program uh so here is the execution context right"
738200,746600," uh i think it's here yeah there we go so we have a variable called context which is a list of contexts"
746600,752840," right and we start with a single context which starts at the instruction zero and as we go further and"
752840,759080," further uh when we encounter ifs and maybe if stars and maybe while and stuff like that well while doesn't"
759080,766760," split anything do splits uh we actually copy the entire context we create a new one which copies the stack"
766760,772600," uh copies some other like expected outputs of the execution so this is just details but you see there is like"
772600,777400," a the uh situation of splitting um the stack and stuff like that"
777400,784040," so in in python it's relatively easy to implement because"
784040,789640," the python is a dynamic garbage collected and so on and so forth but we are currently"
789640,795480," re-implementing a port in itself right and port is closer to assembly"
795480,802280," than to um than to scripting language right so essentially we don't really have"
802280,809080," any uh automatic memory management and just copying stacks around is kind of tedious and kind of like"
809080,815960," error prone so what i was thinking is that we need to develop a data structure and approach"
815960,822920," where doing this kind of stuff in such a low level language would be easier right you see what i'm"
822920,829320," talking about so essentially like type checking requires like you know sophisticated algorithms and"
829320,834200," data structure they're not that sophisticated but you have to implement them in a low level language right"
834200,840440," um so and we need to come up with something that is easier to manage right we need to come up with"
840440,848760," something that is easier to manage right um and um the idea that i have in my mind is some sort of like a"
848760,855640," persistent data stack right persistent type stack right because we are operating on the on the level of of types"
856680,864840," so and that could be achieved by implementing the stack using linked lists right so which is rather"
864840,870440," interesting so i'm going to show you let's actually open up my paint and in my paint i'm going to show you"
870440,884600," let me let me let me let me let me try to do this thing so essentially how do you implement a stack"
884600,892520," uh using linked lists right so essentially you um create a bunch of nodes right so when you push a one"
892520,900120," you create a node uh that puts uh one like so i think i need to switch this entire thing right so"
900120,905960," here's the first element on the stack then you want to push two onto the stack right you create a new node"
905960,914840," you link the previous thing to one um the previous thing for one would be null probably right uh and the"
914840,920040," top of the stack is going to be here so here is the top of the stack so you have two elements on the stack"
920040,925080," and then if you want to put three on the stack uh you create a new node and you link it with the"
925080,931400," previous one here is your new top and this is how you implement stack uh with linked lists if you want"
931400,938920," to pop an element from the stack you essentially look at the top you follow its previous uh element and"
938920,944200," you set the new top in here and you do something with this note you forget it if you're working in a"
944200,950680," garbage collecting language you remove it manually if you work in the menu you know had manually managed"
950680,956120," language uh and so on and so forth so this is basically how you do that so what's interesting"
956120,963320," is that this kind of approach makes it super easy to copy and split the stack in two so let's actually"
963320,969240," reorient the stack a little bit uh let's actually orient it like vertically i also want to just make it a"
969240,975800," little bit more saturated if you know what i mean uh so i'm just trying to find a good color for this"
975800,980360," and i think i think this is a good color okay so imagine that you're pushing some stuff onto the stack"
980360,986760," right so we have one so this is basically the first element in the stack this is null then you have two"
987480,995960," uh right and then you have three and then at this point you decided you want to split this stack right"
995960,1002440," so your top is currently pointing here and at this point you want to copy the stack and just split it"
1002440,1009640," right so what you do uh you keep this top as a separate pointer and then you create a new pointer"
1009640,1015000," right and you put something like four uh right so maybe i want to choose a different color let's actually"
1015000,1021960," choose like a red one look a pink one so this is a four and uh you have two stacks in here so one stack"
1021960,1027720," pointing here and another one pointing in here right and then you decide that you want to put an element"
1027720,1035640," into the green stack right in that case um you will do something like uh this so this is going to be five"
1035640,1043800," and uh basically um you're going to have uh this node that is shared between two stacks right so the"
1043800,1051160," first stack is here right if you follow down here is the stack and uh if uh on the second stack you have"
1051160,1058920," this stack but in this sort of share like a part this sort of share a part so when the elements of these"
1058920,1065560," stacks are shared uh it's kind of dangerous to just like blindly remove them right so if you start popping"
1065560,1071960," elements out of the stack you can't really remove elements that are shared so in our case we probably"
1071960,1078280," want to forget them right so imagine that you want to pop an element from this thing so you basically go"
1078280,1085000," to follow uh and uh make this uh think your new top and you're basically gonna forget this thing"
1085000,1090360," uh right then you decide okay let's actually pop uh another element out of this thing and this is going"
1090360,1096920," to be our new top and then you decide okay i want to push a new element in here right i want to push a new"
1096920,1103000," element in here so i'm going to put it here so this is going to be something like six and this is my new top"
1103000,1107960," right so you have two stacks in here the first stack starts somewhere here and the second stack"
1107960,1113640," starts somewhere here so here is the first stack and here is the second stack and this basically"
1113640,1121240," becomes unreachable node right this becomes an unreachable node uh but you quite easily"
1121240,1128600," uh can copy this entire thing so it's super easy to implement something like that in a low level language"
1128600,1135320," where you just like create and leak the nodes and you don't have to copy like chunks of like memories"
1135320,1141560," and stuff like that you just like pile things on top and it makes it super easy so the question is um"
1141560,1147720," what do we do with sort of like a leaked nose is it is everything clear so far by the way because"
1147720,1151640," i'm not sure if i make any sense right is everything clear what i'm trying to say"
1156440,1162040," so is there something like yeah so you have this approach where you can just pile and leak the notes"
1162040,1169800," and don't get scared of the idea of leaking notes right i know that uh like we i have a lot of cs"
1169800,1175960," grads in the chat who are super scared about leaking anything right because it's super dangerous because"
1175960,1181960," their professor is gonna like punish them for for that right but uh here there's no your professor in here"
1181960,1189080," uh trust me it is okay to leak a little bit of memory it is totally okay to leak a little bit"
1189080,1195720," as long as it is as it doesn't consume your entire memory it's okay to do that uh so"
1195720,1200520," uh anyway"
1204680,1211880," it's 2021 just buy more ram exactly that's exactly what i'm talking about uh so here's an interesting"
1211880,1222120," thing um we can basically pre-allocate a fixed amount of nodes so usually when i uh work with"
1222120,1229480," like trees or linked lists and stuff like that uh the things that have fixed uh size nodes right they have"
1229480,1237560," fixed uh sick sick um i'm reading your nickname and i'm trying to say thick or fixed uh thick size nodes"
1237560,1243320," yes uh thick auger thank you so much for twitch prime subscription uh really appreciate it okay so"
1249000,1256360," usually when i'm working with a data structure with a fixed size nodes i like to pre-allocate uh fixed"
1256360,1263320," amount of uh such nodes right so i like to pre-allocate like an array somewhere in the in the static memory"
1263320,1271080," right somewhere in the static memory thank you so much damis ve for twitch prime subscription um"
1273560,1277640," so maybe i want to actually make this entire thing a little bit thicker so you can see"
1277640,1285880," so here's what we have and each of these elements of that array is going to become a node uh that you"
1285880,1293320," can use for building this data structure right so and essentially i would uh implement a simple like"
1293320,1300200," bump allocator on top of that array uh every time i need to allocate a new node i will just grab this node"
1300200,1306760," and move uh the pointer to uh to the next thing right so i move it in here and then allocate another one"
1306760,1312280," and then move it in here and so on and so forth so that way i just like linearly like um you know"
1312280,1318360," allocating these nodes and within these nodes you can refer to other nodes via the pointers and stuff"
1318360,1323640," like that so basically this entire data structure can be linearly stored in some sort of like a global"
1323640,1331160," array with fixed pre-allocated uh nodes right and that way i'm basically allocating the um the nodes"
1331160,1337960," myself right and here's an interesting thing as i already said this entire approach is leaking the"
1337960,1345480," nodes right it is leaking the nodes but maybe for our type checking process it is okay to dig them"
1345480,1352520," right maybe our type checking process is not going to produce that much of a waste right uh it doesn't"
1352520,1357560," produce that much of a waste that it will be okay if some of these nodes are leaked right and if there"
1357560,1364120," is not enough nodes we for the time being we can just basically allocate bigger buffer and as we uh"
1364120,1370760," get to some you know stable point we can implement like a dynamic uh dynamic growing thing in here uh that"
1370760,1375960," basically like grows as you need more and more nodes and you don't have to uh deal with the fixed ones"
1376520,1382040," uh but maybe it's not going to be okay so we'll have to somehow estimate how much uh waste our type"
1382040,1388200," checking process produces and if it does produce uh waste that we want to clean up how we're going to"
1388200,1394280," clean up uh sort of like this um leaked nodes right how we're going to clean up this uh you know"
1394280,1402120," leaked nodes so i think we're gonna uh we can implement a more sophisticated allocator in here right we're not"
1402120,1409240," gonna only uh like bump allocate things right uh we want to be able to free the nodes right we need an"
1409240,1417240," ability to free the nodes uh since we don't need them um and um how we usually do that usually i create a"
1417240,1425160," second array where i keep track of the freed nodes right so essentially i allocated a bunch of nodes in here"
1425160,1433960," here and then i want to free this one before freeing this one i will grab its index i'm gonna put it in"
1433960,1441880," the array of free uh nodes right so i know that this thing is free and this is in my list and the next"
1441880,1448200," time i need to allocate a node again instead of like bumping these nodes all right allocated nodes i will"
1448200,1456120," just look at the array of free uh free nodes and grab the one by index 2 and reuse it right so basically"
1456120,1462920," by adding another array we have an ability not only allocate nodes but also free them right and then"
1462920,1468680," later we use them so it's a very simple allocator right implementing an allocator for fixed sized objects"
1468680,1474840," is actually super easy it is difficult to implement an allocator for objects of variant uh size right as a"
1474840,1479800," a matter of fact i think i made like a series of videos on that on my uh on my youtube channel i'm"
1479800,1484920," i'm pretty sure i did it's something about writing your own malloc and free and also writing your own"
1484920,1489720," garbage collector and stuff like that so i really recommend to check it out um so let me see"
1489720,1500040," so ding um malloc uh let me let me see so write in your own malloc and see uh right i really recommend"
1500040,1504680," to check this out i think i think that stream was actually very interesting i really enjoyed doing it"
1504840,1512840," uh okay so i'm gonna put that thing in the description i'm gonna put that thing in the"
1512840,1521880," description so writing my own malloc in c right but here we were trying to implement an allocator for"
1521880,1528200," like a variable size objects which is rather difficult to do fast uh here we have an allocator for a fixed"
1528200,1533720," sized object which is super easy you just have to erase the first array is pre-allocated objects and the"
1533720,1538760," second array is the index of you know free objects that you can reuse in the future it makes it super"
1538760,1546040," easy okay so we have an ability to allocate nodes for our weird data structure and we have an ability to"
1546040,1553240," de-allocate them but the question is how do we even detect that some of these nodes are leaked right"
1553240,1560120," because we cannot just de-allocate nodes as you pop them right because if you if you have a stack in here"
1560120,1565560," you pop this thing you de-allocate it okay but now you're pointing in here and now you pop again and"
1565560,1572120," you de-allocate this thing but this thing is pointed by uh this stack right so uh you have to be careful"
1572120,1579000," you cannot just like blindly de-allocate nodes right which can be like reused by other things so we could"
1579000,1586040," take an approach of um you know reference counting as you can see we can clearly see that that node is"
1586040,1595000," actually pointed by uh two things but here is an interesting thing um okay so this thing is pointed"
1595000,1605800," by um maybe we can actually use that can we um maybe we can use a reference counter this is actually"
1605800,1612840," rather interesting so uh yeah we can try to use a reference counter another interesting approach like"
1612840,1620360," instead of reference counting would be to do a simple mark and sweep garbage collector uh as well"
1620360,1625640," um i'm not sure if reference counter is going to actually work properly we'll see we'll see uh but uh"
1625640,1632200," then the second option is going to be um basically mark and sweep because we know where uh the stacks"
1632200,1639800," start right so we can take this roots and we can bfs this entire thing marking what's uh reachable and"
