start,end,text
880,15620," All right, chat, we've got this goofy-ass language, and unfortunately it doesn't support any form of asynchronous programming because it's C3, it's supposed to be an evolution of C, but we kind of need asynchronous programming, honestly."
15620,36720," We do kind of need asynchronous programming because we're doing a little bit of asynchronous networking, and so I was thinking how can we approach asynchronous networking in C3, and I decided let's try to implement the obstructions that a lot of languages out there implement, and the obstruction is actually future, or in some languages it's called promises."
36720,55200," I think in JavaScript they're called promises, and in Rust they're called futures or something like that, so we can actually look up like Rust future promise or something like that, hoping that maybe Google, yeah, so they're called also promises in Rust, I didn't know that, but I feel like they're basically the same thing, aren't they?"
55360,78540," A promise is a way of doing the work in the background. The promise in this library have the same feature set as those ECMAScript 5. ECMAScript is JavaScript, by the way, it's an official name of JavaScript because freaking Oracle squatted the copyright for the name JavaScript, and now nobody can actually officially call it JavaScript, even though everyone calls it JavaScript, Oracle being an asshole."
79000,98060," It's actually kind of funny how somebody made a petition to ask Oracle to free the copyright on the word JavaScript, and it made me laugh so fucking hard. It's just like, people who decided to make that petition don't understand what kind of company Oracle is."
99940,123740," Excuse me. Oracle is an evil company. And I actually mean it. They know that they're evil, and they're proud of it. They're comically, cartoonishly evil. Like fucking straight up. So, they will listen to that petition, and their answer will be, fuck you. We're gonna keep it until the end of the fucking universe, because fuck you."
123880,137400," They are like that. I'm not fucking joking. They are cartoonishly fucking evil company. They will just fucking do that. So, for them, this kind of petition is an encouragement to actually not do that."
137400,147680," So, it's just like, I don't even know. I don't even know what that person was even thinking. So, but Oracle would never fucking do that. They would never fucking do that."
149480,156520," Still one step behind Microsoft? Probably, right? It's kind of difficult to compare in terms of evilness. Who's more evil, Oracle or Microsoft?"
156520,172220," But Oracle is pretty much like a straight up evil company. So, anyways, right. So, and yeah, Promises is, you can think of Promises as sort of like a piece of work that you need to finish, right?"
172660,182840," And if you think in terms of like, maybe an interface, right? So, let's actually maybe create some sort of a problem here. I'm gonna do a C3 Futures. We're gonna call them Futures."
182840,187000," Or maybe for the sake of consistency, we're gonna call them Promises. I don't know."
188280,195880," All right. So, I'm gonna do C3. And I'm gonna import the standard IEL, because I want to be able to print on the standard output."
195880,203880," Right. So, if you think about in terms of like interface, right? Unfortunately, interface is not highlighted in my mode. But imagine that interface is highlighted, okay?"
204920,218260," So, promise is sort of like, it has one method, right? So, which you have to periodically call, right? So, let's call it poll or something. Sometimes I call it update, right?"
218260,233740," So, but maybe you can call it poll. It may accept some stuff. It may accept some sort of data. And one of the things it will return you, it will return you some sort of a boolean that says that whether the task or some piece of work has been finished or not."
233920,243440," So, during working on that thing, obviously, it can fail, right? And essentially, that's about it, right? So, think about it like interface."
243440,255620," And this interface can be implemented by all sorts of tasks, by all sorts of tasks. And another thing, another sort of operation that you can do on the Promises is sort of like chain them together, right?"
255620,263780," So, as soon as one task is finished, another task has to be sort of called or created or something like that, right?"
263780,271740," I don't really know how exactly to call that, but... So, think about it like chain is going to be a function, right? So, it's a higher level function."
