start,end,text
80,7440," hello welcome to another zozin session how about that a bitch you didn't expect that"
7440,13760," to happen so uh let me adjust my window and everything just to make sure that everything"
13760,23040," is good and today the topic of today's stream is uh a simple literate programming uh system in c"
23040,29360," so which is rather interesting so i don't think uh as far as i know nobody actually got"
29360,37920," the idea of literate programming right and neither we are we go how to say that neither we're going to"
37920,45200," as well how to say that anyway so and we're also not going to get it right but we're going to get"
45200,49840," some sort of like approximation to the uh literary programming idea so let's actually try to google"
49840,55680," that literate literate programming right so what is a literate programming so it's a thing that was"
55680,64640," invented by uh donald knuth right the creator of the uh four large books that nobody reads uh the"
64640,73680," creator of of things like later and meta font and stuff like that so yeah that guy right so um basically"
73680,78960," it's a programming introduced by donald knuth in which computer program is given an explanation of"
78960,86720," its logic in a natural language such as in english interspersed with snippets of macros and traditional"
86720,90880," source code from which the compilable source code can be generated"
95440,103040," you you describe the uh the program in a natural language but you also sneak a little bit of code"
103040,108960," in there and you have a special system that takes this thing and can generate uh a readable human"
108960,117200," readable documentation and executable program from the same thing right so uh maybe you can describe it"
117200,125200," with a with a little diagram some sort of a little diagram so let's wait uh for my paint and uh you"
125200,129920," basically have a single source code source but you're going to be associated let's actually pick a green"
129920,142320," color a nice green color s r s r c so here is your src and from that src you can for example generate uh"
142880,152080," a basically a tech file of a book that is documentation for your program right that is documentation for"
152080,160480," your program or uh you can generate uh also the c code the c code that is executable version of that"
160480,170560," program so it wording it this way actually makes it sound like you know like a javadoc system do you"
170560,180640," guys are you guys familiar with the javadoc right so um essentially um it's a i think java introduced"
180640,188560," this system first where you can annotate methods and stuff like that and then uh generate documentation"
188560,196400," from that methods so i wonder um if javadoc is a tool that you can just call like that apparently it is not"
196400,203600," so i probably have to do it like that i don't remember that i had uh jvm somewhere so here is"
203600,212480," the name so jdk so then i can go to here and do i have a thing that can generate stuff for me"
212480,219040," so yeah here's a javadoc so i can use this entire thing to to generate docs so if i go there"
220240,228320," for example i'm going to do something like probe uh javadoc probe uh right so and if i go in here"
228320,235680," right so main not mean main dot java right so let's program in java a little bit do you guys like java"
235680,242800," uh java is actually awesome language my favorite language of all time so okay can you even see what"
242800,248400," the is going on i think this this one is actually not really readable uh right so let's actually open that"
248400,260160," in emacs now that's what i call a readable code then public static uh static void main then we have"
260160,271040," arguments so this is going to be that and then system out for interln then uh hello world right so"
271040,279440," and then i can compile the entire thing um into a class right so i don't even have a java java c so"
279440,284160," the thing i probably need to do i probably need to enter some sort of like a environment for java i do"
284160,293280," remember that i had something like that uh so if i take a look at opt yes so here is the java environment"
293280,299680," and i can quite easily just do something like this and if i do which java so i have the latest jdk so i can"
299680,305520," turn this entire thing into a java class right so it will take some time but we'll turn it into a java"
305520,311360," class there we go so here is the java class you can see it's bigger than the original source code but i"
311360,317600," mean that's fine that's usually the case uh and then if i run it it says hello world right so then you can"
317600,322800," run a java doc on this entire thing i think this is how you use it i don't remember like how to use it"
322800,327680," properly but i'm gonna try to do that so it's loading the source and it generated the doc documentation and it"
327680,333280," generates a shit ton of html files like holy fucking shit that's all the html files so then you can open"
333280,339840," this entire thing uh this generates index i think it also generates an index and there you go you have"
339840,345840," documentation for your program so here is your main class and here is your main method and so on and so"
345840,355600," forth and furthermore if i remember correctly you can now put shit in here right so uh the entry point to the"
355600,360560," program right something like that and then you can close it in here and then you can have things like"
360560,369520," param right uh args and say something like arguments arguments to the program right so and you can have"
369520,377040," like this um you know small comments right so these kind of small comments and can we regenerate javadoc from"
377040,385280," that so it will construct javadoc and everything and let's take a look at what we've got and uh if i go into the"
385280,390240," the main method into the main method uh here it is here is the documentation the entry point for the"
390240,395440," program here is the parameters rx arguments to the program and so on and so forth and you can write"
395440,400240," i think there you can use a markdown language in here rust has a similar system like a lot of modern"
400240,407200," languages have similar systems these days and the first time i saw this system i think it was in java i"
407200,412880," don't know who introduced this system maybe it was the the sun micro system who invented that but maybe not i don't know"
412880,419520," so this kind of thing sort of fits into the definition of literate programming so you have"
419520,424800," a single thing and from that single thing you can create an executable program maybe maybe in this"
424800,431520," particular case maybe in this particular case we want to say something like dot exe right for the binary"
431520,437760," executable and then you have a documentation so in that case it's going to be something like html uh right"
437760,443200," uh right well i mean in our case it actually turned out to be class so let's actually be a little bit"
443200,450160," more precise so it's kind of is a literate programming system if we're using just that definition from"
450160,461120," wikipedia but um from what i heard it is really not because um so uh again as i already said i heard a"
461120,468480," lot of rumors that everyone gets the idea of literary programming wrong and this is this is basically the"
468480,475280," case if i remember correctly the original idea was that you can have snippets in whatever order and they"
475280,481760," can cross-reference them uh cross-reference each other in a particular graph and the tool actually"
481760,487680," collects that graph and sort of uh untangles it and constructs either documentation or a program or"
487680,492800," something like that it's actually a very complicated idea but since uh it's yet another knuth idea that"
492800,500240," nobody understood so nobody understood um all right so maybe uh we could read about that maybe there's"
500240,508800," some diagrams that indicate so by the way this system uh that uh uses like um that first implemented um"
508800,517040," literary programming was called web right so it was before web was a thing that's how old it is"
517600,524480," right it's before web was a thing uh that's why it was called like that um so it's probably to actually"
524480,529920," sort of indicate that it's a semantic web or something or whatever so i don't really know what's"
529920,538160," up with that so um so there's a documentation or workflow uh oh yeah so yeah it's kind of interesting"
538160,542880," so implemented programming consists of two steps weaving generating a comprehensive document about the"
542880,549120," program in its maintenance tangling generating machine uh executable code uh weaving entangling are done on"
549120,555840," the same source so that uh that they are consistent uh with each other right so and that's why it's"
555840,561040," called web because you're weaving entangling or something like that some sort of a pen upon i mean"
561040,568880," um oh yeah this is how it's supposed to look like apparently so you have uh some sort of human"
568880,575440," readable code then you have chunks of executable code uh and there's some sort of macros in here"
575440,581920," i suppose scanline fill buffer something something something and uh your actual program and documentation"
581920,590000," is supposed to be um you know built from that in any case uh what i'm going to be doing i'm not going"
590000,595680," to be implementing this literate programming right so i'm going to put the uh link to the literate programming"
596400,604960," in the description so here is here it is wiki pedia uh article on literate programming"
604960,616400," so i'm going to implement the idea um from haskell's literary programming so haskell has um"
616400,625520," basically uh a take on literate programming uh literate programming so let's take a look at it"
626400,638560," so and it's very simple um it is extremely extremely simple so you write uh so-called lhs styles lhs files"
638560,647200," files oh my god lhs files which look like uh later document so let's actually take a look at them so uh i'm"
647200,655680," i'm going to go to prob uh and i'm going to do lhs uh and in here i can create an lhs file"
655680,663600," so and in here you can start uh creating a document right so this is going to be a document"
663600,671520," uh right so i think it's something like an article right um how do you start the document does anyone"
671520,677440," remember i haven't used the later for quite some time do you do begin document is that is that how"
677440,684240," we do that um okay so nobody's gonna help me uh document okay so thank you all right so begin"
684240,692960," document and then you can put your stuff in there uh all right so hello uh world all right and then you"
692960,701360," can run pdf later uh in lhs right so and it didn't really work because there's no such thing in there"
701360,709840," okay so uh is it is it another call i think it's a document class if i remember correctly or something"
709840,718000," like that okay i need to google it up later um uh document class okay uh so let's try to recompile this"
718000,723920," entire thing and there we go we have a pdf document uh we have a pdf document there we go so we have"
723920,732320," article and hello world so what's up with this entire thing well if you write something like begin code"
732320,746160," and end code you can stick a haskell code in here all right so and um obviously if you try to compile"
746160,751920," this entire thing with later is not going to work because you don't have the code environment yet so"
751920,759040," i think you have to create the code environment first to actually be able to use it um to do two"
759040,767520," so i think um this impact another alternative is to use well yeah the easiest thing is to just create"
767520,774160," uh code environment and you know to be verbatim verbatim i don't know how to pronounce this thing"
774720,780240," uh but i'm gonna just stick it in here all right so i think i have to put it in here"
780240,789040," and that way uh it is going to compile hopefully right so and then if i open this entire thing right"
789040,795600," uh here is the haskell code oh my god i can't i can do that okay so here's the haskell code and on top"
795600,802640," of that uh you can write some um some documentation in here so let's actually try to do something like put"
802640,812800," strln uh hello world right so section uh hello uh world"
815760,826960," world in haskell hello world in haskell this is how you write the famous uh hello world um"
826960,834720," program in haskell right and then you have this code environment and then if you recompile the entire"
834720,842080," thing you refresh it there you go you have some sort of article that talks about uh how to write hello world"
842080,850800," in haskell but here's an interesting thing i'm in a lead haskell mode bird whatever that's supposed to"
850800,858400," mean but lead haskell mode and you can see that the haskell code is highlighted in here and lhs is an"
858400,869040," extension that haskell compiler does recognize so if i do something like um uh run ghc main lhs"
869040,880480," it will take some time because i mean i need to load up um so i wonder how much time it will take"
882160,889440," it will uh around hello world so essentially you have a single document from which you can produce"
889440,897680," sort of an article documentation and which you can compile as a program so that's the basically"
897680,904880," uh a little illiterate programming take uh in haskell right so this is basically what they do maybe"
904880,912080," there is more than that but that's basically it but the idea is actually super simple uh essentially"
912080,920560," they treat by default everything as a comment and everything between the code blocks environment"
920560,928640," as the code and that way you can treat the same document as the later document right so which describes"
928640,934880," an article right that does something or you can uh treat it as the executable code so basically you can"
934880,940880," write an article with the pieces of code and you can always make sure that those pieces of code compile"
940880,947840," every single time right so you automatically verify the pieces of code in your article so this is how it's"
947840,955360," usually used um does make sense sounds good sounds gucci sounds tamaguchi so that's basically what it is"
956000,963200," and um i was thinking this is such a simple idea actually it is a very simple idea you can implement"
963200,971040," it for example for c or for any language as a matter of fact basically make this uh sort of like a code"
971040,981280," brackets customizable and you would be able to mishmash markdown and javascript or maybe html and c plus plus"
981280,987680," and you can have a general single tool that takes all these things uh configuration on how to treat"
987680,996320," it and then produce documentation and an executable code that you can compile so my idea is to actually"
996320,1003280," make a more general version of this make a single command line tool that can uh you know where you can"
1003280,1008800," configure how you treat these codes and stuff like that and so it can generate two versions of the files"
1008800,1013040," right the version that is executable and the version that is basically documentation"
1013040,1018000," so that's the idea of today's stream that's the idea of today's stream"
1026960,1032400," jupiter notebooks how is that the same as with jupiter notebooks jupiter notebooks is supposed to be like"
1032400,1038720," uh interactive environment so interactive environment where you interactively re-evaluate"
1038720,1045200," the blocks and stuff like that uh it has nothing to do with how jupiter notebooks works i don't know"
1047440,1055200," um"
1055200,1060800," so all right okay so there's no questions i suppose"
1060800,1068720," uh let's go ahead and implement that so and the idea is actually super simple right and i think we'll"
1068720,1074640," be able to get the idea to implement that idea in a single stream because essentially what we need to do"
1074640,1082960," we just need to load the whole file uh find where the code begins and find where the code ends and uh"
1082960,1089200," then basically command out everything that is not the code and leave only the pieces of code"
1089200,1096080," so uh yeah so that's basically what we're gonna do sounds good sounds gucci sounds tamaguchi so maybe i'm"
1096080,1101280," gonna actually put the uh link to the literate programming in haskell to the uh description as well"
1101280,1111280," to the description as well so where is my uh description uh there we go uh literate programming in"
1111280,1116400," haskell there we go so here's literate programming in haskell"
1118160,1125600," uh so how should we call this literate programming system uh how should we call it so we should we"
1125600,1128480," need to come up with the name for it with the catchy name for this thing"
1128480,1132240," so"
1139680,1145680," i don't know i don't have a name for it so maybe something like literate programming in c but i mean"
1145680,1152400," it's it's not going to be actually specific to c that's the point right so i put it in c for click bait"
1152400,1157680," right because people you know uh have a very controversial opinion on c and they always want a"
1157680,1164640," person program and see just to see like you know um it feels like to me that people join the c streams for"
1164640,1170480," like for the same reason people go to the zoo right they think that nobody programs in c and if you put"
1170480,1176480," c they will just watch oh wow look a person programs in c in 2021 holy fucking so that's the the only"
1176480,1183440," reason why i put c in there but it has nothing to do with c per se right so because uh it's going to be"
1183440,1188720," written in c but it will work with any language that's kind of the point right so that's kind of the point"
1189920,1202960," um so um yeah so we need to think about that um so maybe we're gonna just call it lead then uh right"
1202960,1210720," so and let me go ahead and just create this entire thing"
1217600,1221920," so the first thing we probably want to do right the first thing we want to do we want to read"
1221920,1227680," the file into the memory and then iterate the file line by line you know as a matter of fact i think"
1227680,1236000," i'm going to take my uh main lhs file did i already removed i hope i didn't remove it so if i go to"
1236000,1244480," something like probe uh and what was that i think it was lhs here it is so i'm going to use this specific"
1244480,1252400," file as basically the test subject right so we're going to try to produce um both a later document"
1252400,1258320," from it and a haskell document from it so to produce a later document we don't have to change anything as"
1258320,1263920," far as i can tell well maybe that's the that's the point uh here you don't have to change anything"
1263920,1269920," but produce to produce a haskell document you'd have to uh basically command everything out like this"
1271120,1275040," right you have to comment it out like this and then comment it out like this and there we go"
1275040,1281040," you've got the haskell document that's exactly why i want to implement this idea because it's so simple"
1281040,1286240," right so then you uh look at the haskell mode and there you go you can just compile this entire thing"
1286240,1294480," you just basically need to remove uh all of these things in there um all of these things all right so"
1294480,1300880," let's go ahead and do that uh so how are we going to accept the uh command line argument i think we're"
1300880,1309040," going to check argc uh greater than if it's less than two right that means you didn't provide the input"
1309040,1318320," file so we're going to do something like s error error um um no input file yeah what is provided right no"
1318320,1325840," input file is provided so and on top of that maybe we want to print the usage um the usage is going to"
1325840,1332320," be printed to the standard error uh usage file uh stream all right"
1332320,1343040," so uh f print f uh stream uh usage lit and uh this one is going to be just input"
1344160,1349520," uh right so we don't have any options right now so but we're going to add them a little bit later"
1349520,1356160," so and after that we're going to just exit with this entire thing so uh let me also create maybe"
1356160,1362960," some sort of like a make file right so and uh this is what we're going to have in here so this is going"
1362960,1371760," to be cc c flags uh maybe i should use no build for this one yeah maybe maybe i should use no build let's"
1371760,1378480," actually use no build why not uh if we're using everything homemade so we might as well use no build"
1378480,1388080," so even though it's not particularly ready for production uh i might as well use that thing as well"
1392240,1406080," uh all right let's include this entire thing right and define no build implementation"
1406080,1419760," and uh create an entry point and let's just call um cc so we're gonna have some flags of course the output is"
1419760,1425440," going to be just lit and then we're going to provide the uh the input in here so it's going"
1425440,1432640," to be a single file so i want this system to be super simple right uh so define c flags uh and it's"
1432640,1437600," going to be w all we're going to enable all of the warnings we're going to enable all of the extra"
1437600,1442560," warnings uh then the standard that we're going to be using we're going to be using c11 uh we're going"
1442560,1448640," to be pedantic about it so here's a pedantic and we're going to enable the uh debug information in"
1448640,1454720," case we want to debug things all right so i'm not going to accept any arguments right now and oh almost"
1454720,1460400," forgot we we do need to accept arguments because we need to enable self-rebuilding so the uh the build"
1460400,1467440," system is capable of rebuilding itself so it has a special macro called go rebuild yourself right so where you uh"
1467440,1477120," uh provide the command line arguments right arc c arc v and uh then we can just uh bootstrap the build system"
1477120,1483120," once hopefully that will compile and then when we run the build system it will just uh basically go ahead"
1483120,1491920," go ahead and rebuild itself uh okay so it doesn't really allow me to like it complains that we don't"
1491920,1500000," use org v but this is probably because we need to actually do something like uh so input input file"
1500000,1507520," path arc v arc v zero actually it has to be one right so because the zeros element is the program name the"
1507520,1513360," first one is the first argument uh of the of the command line right so that's basically what it is"
1513360,1523200," it is what it is and it isn't what it isn't so um now uh if uh yeah so the cool thing about this build"
1523200,1528320," system right the cool thing about this build system is that you can add additional things in here hello"
1528320,1535120," uh right and you don't have to rebuild the script because look look look look look look the script will"
1535120,1541760," automatically detect that you modified it it will rebuild itself and it will rerun itself and then"
1541760,1547280," it will run the new version of that script it's not really script it's a program but then you can remove"
1547280,1552880," it and it detects that it was modified it rebuilds itself and so on and so forth so uh you don't have"
1552880,1558480," to uh you know constantly rebuild when you modify these things which makes it super convenient actually"
1558480,1561600," it's almost like using shell scripts and stuff like that you know"
1561600,1572000," isn't that cool isn't that cool i think it's pretty cool so uh we need to read the whole file"
1572000,1578880," we need to read the whole file so how can we read the whole file i like i like to memory map my files"
1580080,1585760," uh because it's like three calls but it's not particularly portable and i'm not sure if it's"
1585760,1593600," gonna work well on windows right i would like to for this thing to work on windows out of the box"
1593600,1600240," so maybe because of that i'll have to go with the you know the classical fc ftel thingy"
1600240,1606080," that basically estimates the size of the file and then allocates enough memory and just reads everything"
1606080,1614720," into that file i don't know how do you memory map files in windows does anyone know is it is it too hard"
1614720,1622400," to memory map file and windows um maybe we could write like a cross-platform uh library for memory"
1622400,1631840," mapping stuff uh on both posix and windows on posix it will just use a map uh on windows it will use map"
1631840,1638800," view of file okay map view of file let's actually google that um so is that how we do that is that the"
1638800,1643520," official way because i know nothing about windows programming right i'm not a casey moratorium right so i"
1643520,1650240," know nothing about this shit so uh i know how to memory map files on posix though maps a view of a"
1650240,1655920," file mapping into address space of calling process so you have to provide the handle as far as you know"
1655920,1663200," you open uh file to get this handle so then you can provide the desired access which is basically read"
1663200,1670000," write it's it's kind of similar to a map so file of set high and low this one is interesting so file of set"
1670000,1678000," high and low uh what's up with that um so high order do you word of the file set where the view begins"
1678000,1685840," hmm so the low order uh offset file where view is to begin i don't understand what's up with this"
1685840,1691840," file of sets but okay the number of bytes to map okay it's kind of similar so you need to have a handle"
1691840,1696560," which you probably get by opening the file then you need to estimate the size of the file so you can"
1696560,1702240," properly map everything so it's also like at least two calls open the file and estimate the size of the"
1702240,1710560," file right so win uh win api get size of file because you will need that size of file to number of bytes"
1710560,1716000," to map right uh you'll definitely need that get file size what does it accept does it accept like file"
1716000,1722480," path or opened file uh it actually accepts open file so basically it's it's literally pretty much the same as in"
1722480,1731760," posix is just like the functions are different right uh it's combined like oh it's for ah it's for very"
1731760,1738800," big files right so it's in case the file is so big it doesn't fit into 64 like bit addressing or something"
1738800,1748240," like that is that what it is also what is the d word is d word is 32 uh or a 64 um oh it's a 32 oh"
1749600,1759360," so it's like a it's a leftover from the 32 bit times okay so oh okay i see what's going on here all"
1759360,1765920," right that's a funny api so i mean i understand that it's sort of like a legacy thing but yeah it's just"
1765920,1773920," kind of funny uh all right so maybe at some point we can uh we can use that as well uh so"
