start,end,text
720,6960," Hello everyone and welcome to yet another recreation programming session with Amista Zozin."
6960,10560," So today we're going to do a little bit of an interesting thing. Today we're going to try to"
10560,16720," use WebAssembly on the back end. How about that? So we have this interesting game, right, so which"
16720,24720," is basically like a web multiplayer game with a server, right, so which enables you to have several"
24720,31360," players, right, so you open a game in one tab and then you can essentially open this game in another"
31360,37840," tab and that creates another player and players can actually see each other, right, so here is the"
37840,41760," second player, I can stand in front of the other players, as you can see we can actually see each"
41760,49680," other. So it uses this like an old-school raycasting graphics intentionally and originally it is written"
49680,57200," in JavaScript, specifically it is written in TypeScript, but we recently started to incrementally"
57200,64080," rewrite this entire thing in WebAssembly, specifically in a language called C3. If you never heard about"
64080,69280," this language, this is because it's not really that well known, right, so it is kind of normal for you"
69280,75280," to not know about this language, but it's a SQL to C, right, so I'm trying this language out,"
76800,82000," it's kind of an okay language, it's an interesting language and but it's not particularly finished yet,"
82000,90160," it's rough around the edges, but the development is rather open, so I'm using it because it is the"
90160,98160," developer of this language makes it easy to report bugs and contributes fixes, right, so essentially if I"
98160,104640," see any problems with the language as I use it, I know that I can easily report some bugs or contribute"
104640,110400," fixes, right, so the code base of the language is also easy to read. So recently what we did,"
110400,118480," we actually rewrote a little bit of a rendering code in C3, right, so here is the rendering as you can see,"
118480,126960," so the rendering of the floor is actually implemented in C3, so the floor is implemented in WebAssembly,"
126960,135840," right, so C3 compiled to WebAssembly, but the walls, the walls themselves are not implemented in C3 and"
135840,144720," they're still happening in JavaScript. The way it works is that we basically render into a shared WebAssembly"
144720,151600," memory, that's how we do that, so we render into a shared WebAssembly memory and every time I need to render,"
152320,158320," for example, floor, I call to WebAssembly function and every time I need to render the walls, I call to a"
158320,164320," JavaScript function, and that's how it works, so this allows us to actually slowly incrementally,"
164320,171760," you know, rewrite JavaScript code in C3, right, so that's basically the strategy that we have in here."
171760,178400," So the other day I was actually thinking how I'm going to rewrite rendering of the walls in C3,"
178400,182960," and I encountered a rather bizarre problem, not really bizarre problem, but kind of an annoying"
182960,188560," problem. We can take a look at the client which is responsible for rendering the walls, so there's a"
188560,198880," literal function called render_walls, right, so, and what it accepts, it accepts a scene, right, and a scene"
198880,206480," is basically an array of booleans, so it's a grid, it's an array of booleans and it's a grid, so where"
206480,212480," there is a true, there is a wall, right, so let's actually take a look at how we call this function"
212480,220720," and where we call this function. So here we have a level scene and stuff like that, so we pass the scene"
220720,230960," from here, and the interesting thing about this scene is that it is supposed to be shared between the client"
230960,238400," and the server, it is supposed to be shared between the client and the server, so let me actually bring"
238400,244800," up the architecture of the whole application, so it's a little bit easier to understand, so what exactly is"
244800,253120," the problem, right, so let me actually start up my laptop, not really laptop, how is it called, like a tablet,"
254960,258960," so we have sort of like three things in here, so there is a common part"
258960,267120," which is implemented in TypeScript, so it's a code that is reusable both on the client and the server,"
267120,270800," right, so because we're using TypeScript, right, so we have a universal common code,"
271920,279280," right, so we have a client also written in TypeScript, and we have a server written in TypeScript,"
279280,287520," so server ts, let me sort of denote them as sort of like circles and stuff like that, and the client"
287520,294560," uses common part and the server is using common part, and the interesting part is that we have a little bit"
295120,303760," over rendering code on a client which is implemented in the Wasm, right, so it's implemented in Wasm,"
303760,315680," so and now rendering code is trying to use the state of the scene, but server also uses the scene"
315680,321520," to check for collisions, right, because when you're walking around, it's actually processed by the server,"
321520,327280," and servers actually determines whether you can go through a wall or not, so it checks for collisions,"
327280,336560," so the scene array is shared between the client and the server, so now the renderer code is trying"
336560,343440," to access something, is trying to access something that is supposed to be in common in here, right,"
343440,351360," but if I try to rewrite something in Wasm in common in here, that means server must be able to work with"
351360,359200," that as well, but I was planning to rewrite server in actual native code, my idea was that I rewrite"
359200,366320," everything in C3, and this common module for the client is going to be compiled to WebAssembly,"
366320,372560," and for the server it's going to be compiled to a native code, and now like I need to take this state"
372560,377760," of the scene, right, and I need to rewrite it to WebAssembly, but I can't do that, right, so I can't"
377760,388000," call a native code from the server TS, but it just occurred to me that I can actually use WebAssembly from"
388000,394080," Node.js on the server. It is a thing you can do in Node.js, can't you? I'm pretty sure you can, right,"
394080,401040," if I do this thing, I can do, yeah, WebAssembly instantiate, instantiate, yeah, there we go,"
401040,409120," so I can actually load WebAssembly module and just like use it on the server side, so that means I can"
409120,417440," take some code that needs to be shared between the client and the server, basically a small part of the"
417440,424720," common, right, small part of the common in here, and renderer is going to be using this part, and the"
424720,430560," server also going to be using this part, right, and essentially, yeah, so this is how the architecture is"
430560,436480," going to look like, so everything green is JavaScript, everything blue is WebAssembly, and as you can see"
437440,443760," within each of the modules, there is a little bit of WebAssembly, and we're going to be slowly growing"
443760,450960," these bubbles until we sort of rewrite everything in WebAssembly, right, the fact that I can use WebAssembly"
450960,456320," modules from Node.js makes it makes it actually rather easier, but for some reason in the previous"
456320,461840," stream, I didn't think about that, right, but now it kind of makes sense, right, and I think it will make it"
461840,466880," easier, so as soon as this bubble grows to the entirety of the server, we'll be able to just like,"
466880,473120," you know, recompile it to a native code, and now the server is going to become a native executable."
473120,478960," There will still a little bit of problems with WebAssembly implementation because Node.js comes with"
478960,484880," its own WebAssembly implementation, it's actually not true. You need to install WebAssembly third-party"
484880,491360," package, right, so to be able to do that, but I mean, I had a plan to implement WebAssembly for"
491360,498960," C3, no, not WebAssembly, WebSockets, I'm sorry, okay, freaking them, these web devs, freaking prefixing"
498960,505680," everything with web, so all of the names look, like, sound the same: WebGL, WebGPU, WebAssembly,"
