start,end,text
0,5360," can i just write like a c program that uses all of these procedures so coroutine go it definitely"
5360,9600," doesn't return anything but it accepts the pointer to the function it's a pointer to the function that"
9600,15440," also doesn't take anything in it this one doesn't return anything and doesn't accept anything yield"
15440,19280," is kind of similar if you think about it so and now we should be able to create some something"
19280,29760," interesting like counter int 0 10 plus plus i so maybe here we can include stdio print f d and here"
29760,36480," is the entry point for routine in it coroutine go just use counter let's create like two of them and"
36480,42400," indefinitely let's just yield like this and by the way we should also yield on each iteration of the"
42400,45600," counter too otherwise it's not going to work properly i guess that's it"
48960,58880," let's go let's go look at that i have coroutines in c implemented in assembly in a completely"
58880,65120," different assembly not even a gnu assembly gnu assembly phasm phasm is the way to go"
65120,77040," all right chat do you guys know what is a what the is coroutine um i should probably not start the"
77040,83040," video with a what the otherwise i'm gonna get demonetized i mean i'm not monetized in the first"
83040,90880," place so that do you know what the is a coroutine right so uh essentially um let's actually"
90880,95680," take a look at some example a very interesting example we're going to write that in c uh because"
95680,101360," it's an example i want to be able to actually quickly uh quickly start an example so imagine you"
101360,108880," have a counter right so and it's a simple procedure that just counts uh right so you do something like"
108880,119360," from 0 to 10 uh plus plus i and you probably just want to print f uh something like d i so it's basically"
119360,126960," counting from 0 to 10 and printing the the numbers it is counting so you run that in the main uh in the main"
126960,134400," procedure all right so let's actually compile the entire thing uh main.c and run the entire application"
134400,141520," okay so but then i want to actually run the same routine the same procedure but in parallel"
141520,148880," right so i run it in parallel and uh well i mean yeah i'm running it sequentially so if i do it like"
148880,156400," that it's not going to be in parallel right so first uh the first call executes then uh the second call"
156400,163360," executes but i want them to be interleaved i want them to be interleaved um so essentially i could"
163360,169360," probably run them on separate threads but uh how exactly they're going to be interleaved is particularly"
169360,177120," not particularly predictable so uh essentially uh coroutines allow you to implement that uh so they"
177840,184560," usually traditionally introduce um like a special keyboard like yield uh right so and there's"
184560,189840," different kind of coroutines uh that work in a different way i have different kind of you know"
189840,197280," properties and different kind of keywords so i'm looking like it's you know very basic very generic"
197280,203280," coroutines right so imagine you have a procedure and uh it's executing in the loop and uh on each"
203280,210480," iteration after printing this thing it calls yield right so and essentially here we can use maybe a"
210480,215440," goal notation and we can say that run that in a separate sort of core routine right so this is how"
215440,223360," usually gold does that right and what essentially will happen is that this routine executes it prints i"
223360,230240," then on yield it will switch its context it will switch its execution to the next routine"
230240,237440," uh execute the code until the next yield and then switch to the next one and next one so it's basically"
237440,252160," going to round all right we're back uh so yeah this one actually was quick right so today we only started"
252160,258000," we already went down so i had to uh you know turn off the vpn and stuff like that so i'm glad that we're back"
258640,264160," right so essentially uh we are running two coroutines and they're running sort of like"
264160,270640," simultaneously uh right and every time you call yield it switches the execution to the next coroutine"
270640,276720," where the next coroutine uh actually called yield right so this yield becomes sort of like a switching"
276720,281680," point between several coroutines and what's interesting is that all of that can execute"
282400,288800," on a single thread so we're sort of switching the execution context within a single thread without"
288800,296560," any multi-threading or anything like that so why would you need this kind of stuff for the same reason"
296560,303200," you would need futures right so remember we developed like a future library for c3 uh right so and the whole"
303200,312320," point is kind of um to be able to do uh something while you're waiting for something else like in"
312320,317840," case of asynchronous networking right so in case of asynchronous networking you have non-blocking"
317840,324960," sockets that may have something to read or they have an opportunity to write but maybe sometimes"
324960,330160," they're not ready to read or write and while they are not ready you don't want to waste time you don't"
330160,335920," want to waste cpu cycles you want to do something else and this is where futures are really useful right so"
335920,342240," because they basically um split the code into these small blocking chunks and between those blocking"
342240,348320," chunks you can actually do something else right the same thing in here so it could be used for the"
348320,354560," same uh for the same purpose right so essentially you're doing something within a coroutine and then"
354560,360640," you encounter something that like you have to wait for something okay so i can basically tell the run time"
360640,366880," the execute the execution engine okay go do something else i have nothing else to do right now so go do"
366880,374960," something else and you yield right you can even say that okay so don't resume me until uh that socket uh"
374960,380320," you know has something to read or something to write you can even do something like that it's sort of like"
380320,388000," the same the same the same purpose in fact futures are literally kind of like that aren't they so uh we"
388000,394720," can take it some of the examples right so i think here we have a very simple example without any highlighting"
394720,401920," or anything like that and here we even have a counter right so an account of future uh so let's actually"
401920,410080," maybe fetch the stuff from the future library right so it feels when i looked at how uh coroutines worked"
410080,417120," in the lib meal library that we looked at uh i mean on one of the previous stream right um so on one of"
417120,423120," the previous stream and we looked into this library and this is by the way what inspired today's stream"
423120,428160," right so i looked at this library and i got really inspired and i wanted to explore how exactly you even"
428160,434880," implement things like that uh lib milf yeah exactly so here's the lib meal i'm going to uh go into the"
434880,442480," description so here is the lib meal and uh let me see so let's actually find this stream where we did"
442480,448080," i can't find the stream because i turned out the vpn so i i don't have an access to youtube i'm sorry"
448080,455520," so i i'm gonna do something like a lib meal uh string right to be done so it's going to be in the description"
455520,461440," for the uh for the youtube people but you here uh into which you can just google the app right so i"
461440,467040," think it's one of the like latest videos i think it's called something like this library turns c into go"
467040,477600," or whatever right um so essentially i i get really inspired and uh it feels like futures and coroutines"
477600,484400," are kind of isomorphic they're kind of like yeah they're kind of the same right so uh essentially"
484400,495280," the future has pole right so if you take a look at the interface of the future uh here it is so interface"
495280,503840," future right so it's just an object that has a method pole that gives you a result telling you that"
503840,508960," something finished or not and the execution environment the runner of the future is"
508960,516240," supposed to constantly pull it constantly call this thing checking whether the uh the job is done or not"
516240,522000," and uh so the future itself is supposed to do a little bit of a work a little bit of work within"
522000,528960," that pole and then return status spending telling the executor telling the runner that okay go do"
528960,535280," something else and you may have several futures right and the runner is going to just like pull one future"
535280,540080," right look at the result of this feature and then pull another one and another one and another one"
