start,end,text
0,29980," Thank you."
30000,59980," Thank you."
60000,89980," Thank you."
90000,119980," Thank you."
120000,149980," Thank you."
150000,179980," Thank you."
180000,209980," Thank you."
210000,239980," Thank you."
240000,269980," Thank you."
270000,299980," Thank you."
300000,329980," Thank you."
330000,359980," Thank you."
360000,389980," Thank you."
390000,419980," Thank you."
420000,449980," Thank you."
450000,479980," Thank you."
480000,509980," Thank you."
510000,539980," Thank you."
540000,569980," Thank you."
570000,599980," Thank you."
600000,629980," Thank you."
629980,659960," Thank you."
659960,689940," Thank you."
689960,719940," Thank you."
719940,749920," And see what's going to happen."
749940,779900," So, as you can see, our build produces a lot of garbage."
779900,809880," Thank you."
809880,839860," That's what we're working on."
839860,842840," We have a tool, we have a tool, we have a tool, we have a tool that takes a byte code of"
842840,846860," We have a tool that takes a byte code of the virtual machine and translates it to an assembly,"
846860,848860," which we can then compile."
848860,848900," And the idea is that that assembly has to be self-contained."
848900,853300," And the idea is that that assembly has to be self-contained."
853300,857360," It shouldn't depend on any third-party dependencies, including libc."
857360,859860," So that's why we implement in everything ourselves."
859860,862840," So, the result in executables."
862840,869840," So, if we take a look at some of them."
869840,899820," it's a static executable, it's a static executable, it's a static executable, it's a static executable."
899820,900820," This is actually what happens."
900820,901820," This is actually very interesting."
901820,907820," So, the final executable, well, I mean, there's also execve, but I think it's something that"
907820,908820," comes from the bash or something."
908820,909820," Maybe it's a trace."
909820,913820," But yeah, it literally just calls write and exit zero."
913820,914820," That's it."
914820,916820," So, that's how self-contained it is."
916820,918820," Doesn't locate anything, doesn't initialize anything, doesn't do anything."
918820,920820," Just write and exit."
920820,921820," Exit."
921820,921820," Simple as that."
921820,927820," If we compare that with a hello world in C, what's going to happen actually?"
927820,931820," Like, how many C's calls a simple hello world in C does?"
931820,933820," I don't know why it is important for me."
933820,935820," It's probably not important, but I'm just curious."
935820,936820," Like, you have something like this."
936820,938820," Right, what does it do?"
938820,943820," Then I'm going to call it like this."
943820,945820," So, here is the hello world."
945820,947820," I definitely forgot the new line, but who cares?"
947820,950820," Because we're just going to take a look at the S trace."
950820,952820," And, holy shit, it allocates some memory."
952820,957820," It opens, like, yeah, it dynamically loads libc, first of all."
957820,959820," Holy shit, it's just a simple hello world."
959820,960820," Can you imagine that?"
960820,963820," Like, it does, like, all sorts of shit."
963820,967820," So, yeah, and our program actually sums up three numbers and just exits."
967820,969820," And it's two C's calls."
969820,970820," Isn't that amazing?"
970820,972820," I think it's goddamn amazing."
972820,979820," So, we actually were experimenting with the algorithm that prints floating point numbers"
979820,982820," because we need that for our self-contained executables."
982820,986820," So, this is the algorithm that we're going to bake into our executables."
986820,990820," And you can find the source code of that algorithm here."
990820,998820," So, yeah, we were using, like, a white paper, like this one, as a reference for the algorithm."
998820,1000820," And we managed successfully to implement that."
1000820,1003820," Actually, off screen, I did a little bit of changes to this algorithm."
1003820,1005820," I made it support negative numbers."
1005820,1008820," And I also fixed the floor."
1008820,1009820," Yeah."
1009820,1011820," So, let's take a look, actually, at this thing."
1011820,1015820," Origin."
1015820,1018820," Okay."
1018820,1019820," So, it's already working."
1019820,1021820," I think I showed it on one of my previous streams."
1021820,1022820," Yeah."
1022820,1024820," I think I showed it on one of my previous streams."
1024820,1025820," Yeah."
1025820,1026820," Fixed floor."
1026820,1038820," So, the thing about this algorithm, right, is that it only works for x86-64 and only for Linux, right?"
1038820,1049820," If we were to add more platforms, if we were to add more platforms, we'll have to reimplement all of this stuff for all of the new platforms."
1049820,1055820," And I was thinking, we don't really have to do that."
1055820,1058820," We can just implement all of that in Basm."
1058820,1059820," Seriously."
1059820,1064820," The functions that I call native in our virtual machine."
1064820,1067820," So, let me take a look at its natives."
1067820,1069820," It's not examples."
1069820,1070820," It's not src."
1070820,1071820," It's actually examples."
1071820,1073820," It's going to be native Hasm."
1073820,1075820," All of these functions, what do we have there?"
1075820,1081820," So, like print, f64, i64, u64, print pointer, whatever that's supposed to mean."
1081820,1082820," Maybe even dump memory."
1082820,1083820," Yeah, why not?"
1083820,1084820," Maybe even dump memory."
1084820,1087820," All of that could be just implemented in Basm."
1087820,1096820," So, and then, the next time I need to add a new platform, I don't have to reimplement these functions because they're going to be implemented automatically because they're implemented in Basm."
1096820,1105820," So, the thing I wanted to do today is, in fact, take this algorithm that we implemented in x86-64 and port it to Basm."
1105820,1111820," Yes, and port it to Basm and make it compilable to x86-64."
1111820,1113820," So, that's the goal for today, at least."
1113820,1114820," Right?"
1114820,1116820," So, port it to Basm and compile to x86."
1116820,1124820," It's probably not going to be as efficient as hand coded because, like, Basm compilation process right now is not particularly efficient."
1124820,1131820," But, as we add more and more optimizations, I do plan to have, like, optimizations when we compile the x86-64."
1131820,1136820," So, maybe that implementation is going to get closer to whatever we hand coded here."
1136820,1137820," Does it sound interesting?"
1137820,1138820," Sound interesting?"
1138820,1139820," Hopefully it does."
